id,order,daily,vip,reward_id,buy_time_limit,activity_id,is_open,cd_time,price,bargain_num,bargain_count,bargain_rate
54,54,2,0-8,950037,3,5005049,1,180,2400,3,80|70|60,100|100|100
55,55,2,0-8,950032,1,5005049,1,180,1600,3,60|50|40,100|100|100
56,56,3,0-8,950029,1,5005049,1,180,500,3,90|80,100|100
57,57,3,0-8,950030,1,5005049,1,180,7200,3,60|50,100|100
58,58,3,0-8,950044,1,5005049,1,180,200,3,90|80|70,100|100|100
59,59,3,0-8,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
60,60,3,0-8,950041,2,5005049,1,180,1500,3,60,100
61,61,3,0-8,950042,2,5005049,1,180,1500,3,80,100
62,62,4,0-8,950043,1,5005049,1,180,1000,3,90|80,100|100
63,63,4,0-8,950044,1,5005049,1,180,200,3,90|80|70,100|100|100
64,64,4,0-8,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
65,65,4,0-8,950036,3,5005049,1,180,2000,3,70|60,100|100
66,66,4,0-8,950037,3,5005049,1,180,2400,3,80|70|60,100|100|100
67,67,4,0-8,950032,1,5005049,1,180,1600,3,60|50|40,100|100|100
68,68,5,0-8,950029,1,5005049,1,180,500,3,90|80,100|100
69,69,5,0-8,950030,1,5005049,1,180,7200,3,60|50,100|100
70,70,5,0-8,950044,1,5005049,1,180,200,3,90|80|70,100|100|100
71,71,5,0-8,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
72,72,5,0-8,950040,3,5005049,1,180,800,3,60|50|40,100|100|100
73,73,5,0-8,950032,1,5005049,1,180,1600,3,60|50|40,100|100|100
74,74,6,0-8,950035,1,5005049,1,180,1500,3,90|80,100|100
75,75,6,0-8,950044,1,5005049,1,180,200,3,90|80|70,100|100|100
76,76,6,0-8,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
77,77,6,0-8,950036,3,5005049,1,180,2000,3,70|60,100|100
78,78,6,0-8,950037,3,5005049,1,180,2400,3,80|70|60,100|100|100
79,79,6,0-8,950029,1,5005049,1,180,500,3,90|80,100|100
80,80,7,0-8,950029,1,5005049,1,180,500,3,90|80,100|100
81,81,7,0-8,950030,1,5005049,1,180,7200,3,60|50,100|100
82,82,7,0-8,950044,1,5005049,1,180,200,3,90|80|70,100|100|100
83,83,7,0-8,950031,10,5005049,1,180,500,3,70|60|50,100|100|100
84,84,7,0-8,950041,2,5005049,1,180,1500,3,60,100
85,85,7,0-8,950042,2,5005049,1,180,1500,3,80,100
