id,level,exp5,exp4,exp3,exp2,exp1,star5,star4,star3,star2,star1,SkillExp,power5,power4,power3,power2,power1
62,62,77000,66000,55000,44000,44000,,,,,,,1700,850,426,426,426
63,63,82600,70800,59000,47200,47200,,,,,,,1750,875,439,439,439
64,64,88200,75600,63000,50400,50400,,,,,,,1800,900,452,452,452
65,65,93800,80400,67000,53600,53600,,,,,,,1850,925,465,465,465
66,66,99400,85200,71000,56800,56800,,,,,,,1900,950,478,478,478
67,67,105000,90000,75000,60000,60000,,,,,,,1950,975,491,491,491
68,68,110600,94800,79000,63200,63200,,,,,,,2000,1000,504,504,504
69,69,116200,99600,83000,66400,66400,,,,,,,2050,1025,517,517,517
70,70,121800,104400,87000,69600,69600,,,,,,,2100,1050,530,530,530
71,71,127400,109200,91000,72800,72800,,,,,,,2150,1075,543,543,543
72,72,133000,114000,95000,76000,76000,,,,,,,2200,1100,556,556,556
73,73,138600,118800,99000,79200,79200,,,,,,,2250,1125,569,569,569
74,74,144200,123600,103000,82400,82400,,,,,,,2300,1150,582,582,582
75,75,149800,128400,107000,85600,85600,,,,,,,2350,1175,595,595,595
76,76,155400,133200,111000,88800,88800,,,,,,,2400,1200,608,608,608
77,77,161000,138000,115000,92000,92000,,,,,,,2450,1225,621,621,621
78,78,166600,142800,119000,95200,95200,,,,,,,2500,1250,634,634,634
79,79,172200,147600,123000,98400,98400,,,,,,,2550,1275,647,647,647
80,80,177800,152400,127000,101600,101600,,,,,,,2600,1300,660,660,660
81,81,183400,157200,131000,104800,104800,,,,,,,2670,1335,678,678,678
82,82,189000,162000,135000,108000,108000,,,,,,,2740,1370,696,696,696
83,83,194600,166800,139000,111200,111200,,,,,,,2810,1405,714,714,714
84,84,200200,171600,143000,114400,114400,,,,,,,2880,1440,732,732,732
85,85,205800,176400,147000,117600,117600,,,,,,,2950,1475,750,750,750
86,86,211400,181200,151000,120800,120800,,,,,,,3020,1510,768,768,768
87,87,217000,186000,155000,124000,124000,,,,,,,3090,1545,786,786,786
88,88,222600,190800,159000,127200,127200,,,,,,,3160,1580,804,804,804
89,89,228200,195600,163000,130400,130400,,,,,,,3230,1615,822,822,822
90,90,233800,200400,167000,133600,133600,,,,,,,3300,1650,840,840,840
91,91,239400,205200,171000,136800,136800,,,,,,,3370,1685,858,858,858
92,92,245000,210000,175000,140000,140000,,,,,,,3440,1720,876,876,876
93,93,250600,214800,179000,143200,143200,,,,,,,3510,1755,894,894,894
94,94,256200,219600,183000,146400,146400,,,,,,,3580,1790,912,912,912
95,95,261800,224400,187000,149600,149600,,,,,,,3650,1825,930,930,930
96,96,267400,229200,191000,152800,152800,,,,,,,3720,1860,948,948,948
97,97,273000,234000,195000,156000,156000,,,,,,,3790,1895,966,966,966
98,98,278600,238800,199000,159200,159200,,,,,,,3860,1930,984,984,984
99,99,284200,243600,203000,162400,162400,,,,,,,3930,1965,1002,1002,1002
100,100,289800,248400,207000,165600,165600,,,,,,,4000,2000,1020,1020,1020
101,101,300300,257400,214500,171600,171600,,,,,,,4090,2045,1043,1043,1043
102,102,310800,266400,222000,177600,177600,,,,,,,4180,2090,1066,1066,1066
103,103,321300,275400,229500,183600,183600,,,,,,,4270,2135,1089,1089,1089
104,104,331800,284400,237000,189600,189600,,,,,,,4360,2180,1112,1112,1112
105,105,342300,293400,244500,195600,195600,,,,,,,4450,2225,1135,1135,1135
106,106,352800,302400,252000,201600,201600,,,,,,,4540,2270,1158,1158,1158
107,107,363300,311400,259500,207600,207600,,,,,,,4630,2315,1181,1181,1181
108,108,373800,320400,267000,213600,213600,,,,,,,4720,2360,1204,1204,1204
109,109,384300,329400,274500,219600,219600,,,,,,,4810,2405,1227,1227,1227
110,110,394800,338400,282000,225600,225600,,,,,,,4900,2450,1250,1250,1250
111,111,405300,347400,289500,231600,231600,,,,,,,4990,2495,1273,1273,1273
112,112,415800,356400,297000,237600,237600,,,,,,,5080,2540,1296,1296,1296
113,113,426300,365400,304500,243600,243600,,,,,,,5170,2585,1319,1319,1319
114,114,436800,374400,312000,249600,249600,,,,,,,5260,2630,1342,1342,1342
115,115,447300,383400,319500,255600,255600,,,,,,,5350,2675,1365,1365,1365
116,116,457800,392400,327000,261600,261600,,,,,,,5440,2720,1388,1388,1388
117,117,468300,401400,334500,267600,267600,,,,,,,5530,2765,1411,1411,1411
118,118,478800,410400,342000,273600,273600,,,,,,,5620,2810,1434,1434,1434
119,119,489300,419400,349500,279600,279600,,,,,,,5710,2855,1457,1457,1457
120,120,499800,428400,357000,285600,285600,,,,,,,5800,2900,1480,1480,1480
