1001904,Army HP,Increase Army HP by {0}%,army_hp,1001900,4;1,1001903,1,0,3,5,5|1281473;7|1281473,15530,,1101020,900,52001,40,3000,Combat Elite,#ffffff,2,,1,
1001905,Army HP,Increase Army HP by {0}%,army_hp,1001900,4;1,1001904,1,0,4,5,5|1922210;7|1922210,21742,,1101020,1200,52001,40,4000,Combat Elite,#ffffff,2,,1,
1001906,Army HP,Increase Army HP by {0}%,army_hp,1001900,4;1,1001905,1,0,5,5,5|0;7|0,0,,1101020,1500,52001,40,5000,Combat Elite,#ffffff,2,,1,
1002001,Navy HP,Increase Navy HP by {0}%,naval_hp,1002000,4;3,1001704|1001804,1,0,0,5,5|379695;7|379695,5660,,1101021,0,52001,40,0,Combat Elite,#ffffff,2,,1,
1002002,Navy HP,Increase Navy HP by {0}%,naval_hp,1002000,4;3,1002001,1,0,1,5,5|569543;7|569543,7924,,1101021,300,52001,40,1000,Combat Elite,#ffffff,2,,1,
1002003,Navy HP,Increase Navy HP by {0}%,naval_hp,1002000,4;3,1002002,1,0,2,5,5|854315;7|854315,11093,,1101021,600,52001,40,2000,Combat Elite,#ffffff,2,,1,
1002004,Navy HP,Increase Navy HP by {0}%,naval_hp,1002000,4;3,1002003,1,0,3,5,5|1281473;7|1281473,15530,,1101021,900,52001,40,3000,Combat Elite,#ffffff,2,,1,
1002005,Navy HP,Increase Navy HP by {0}%,naval_hp,1002000,4;3,1002004,1,0,4,5,5|1922210;7|1922210,21742,,1101021,1200,52001,40,4000,Combat Elite,#ffffff,2,,1,
1002006,Navy HP,Increase Navy HP by {0}%,naval_hp,1002000,4;3,1002005,1,0,5,5,5|0;7|0,0,,1101021,1500,52001,40,5000,Combat Elite,#ffffff,2,3,1,
1002101,Air Force HP,Increase Air Force HP by {0}%,air_hp,1002100,4;5,1001704|1001804,1,0,0,5,5|379695;7|379695,5660,,1101022,0,52001,40,0,Combat Elite,#ffffff,2,,1,
1002102,Air Force HP,Increase Air Force HP by {0}%,air_hp,1002100,4;5,1002101,1,0,1,5,5|569543;7|569543,7924,,1101022,300,52001,40,1000,Combat Elite,#ffffff,2,,1,
1002103,Air Force HP,Increase Air Force HP by {0}%,air_hp,1002100,4;5,1002102,1,0,2,5,5|854315;7|854315,11093,,1101022,600,52001,40,2000,Combat Elite,#ffffff,2,,1,
1002104,Air Force HP,Increase Air Force HP by {0}%,air_hp,1002100,4;5,1002103,1,0,3,5,5|1281473;7|1281473,15530,,1101022,900,52001,40,3000,Combat Elite,#ffffff,2,,1,
1002105,Air Force HP,Increase Air Force HP by {0}%,air_hp,1002100,4;5,1002104,1,0,4,5,5|1922210;7|1922210,21742,,1101022,1200,52001,40,4000,Combat Elite,#ffffff,2,,1,
1002106,Air Force HP,Increase Air Force HP by {0}%,air_hp,1002100,4;5,1002105,1,0,5,5,5|0;7|0,0,,1101022,1500,52001,40,5000,Combat Elite,#ffffff,2,,1,
1002201,Hunter in the Wild,Increase the damage dealt to neutral units by {0}%,career_battlemaster_003,1002200,5;2,1001906|1002006,1,0,0,3,5|1281473;7|1281473,30439,1600025|2,1101023,0,52001,45,0,Combat Elite,#ffffff,2,,1,
1002202,Hunter in the Wild,Increase the damage dealt to neutral units by {0}%,career_battlemaster_003,1002200,5;2,1002201,1,0,1,3,5|1922210;7|1922210,42615,1600025|3,1101023,500,52001,45,1000,Combat Elite,#ffffff,2,,1,
1002203,Hunter in the Wild,Increase the damage dealt to neutral units by {0}%,career_battlemaster_003,1002200,5;2,1002202,1,0,2,3,5|2883315;7|2883315,59661,1600025|5,1101023,1000,52001,45,2000,Combat Elite,#ffffff,2,,1,
1002204,Hunter in the Wild,Increase the damage dealt to neutral units by {0}%,career_battlemaster_003,1002200,5;2,1002203,1,0,3,3,5|0;7|0,0,,1101023,1500,52001,45,3000,Combat Elite,#ffffff,2,,1,
1002301,Combat Gift,Get extra rewards after killing neutral units,career_strengthen_004,1002300,5;4,1002006|1002106,1,0,0,3,5|1281473;7|1281473,30439,1600025|2,1101029,0,52001,45,0,Combat Elite,#ffffff,2,,4,
1002302,Combat Gift,Get extra rewards after killing neutral units,career_strengthen_004,1002300,5;4,1002301,1,0,1,3,5|1922210;7|1922210,42615,1600025|3,1101029,2500025,52001,45,1000,Combat Elite,#ffffff,2,,4,
1002303,Combat Gift,Get extra rewards after killing neutral units,career_strengthen_004,1002300,5;4,1002302,1,0,2,3,5|2883315;7|2883315,59661,1600025|5,1101029,2500026,52001,45,2000,Combat Elite,#ffffff,2,,4,
1002304,Combat Gift,Get extra rewards after killing neutral units,career_strengthen_004,1002300,5;4,1002303,1,0,3,3,5|0;7|0,0,,1101029,2500027,52001,45,3000,Combat Elite,#ffffff,2,,4,
1002401,Mass Rally,Unlock Mass Rally to launch a stronger attack against your target!,career_strengthen_001,1002400,6;3,1002204|1002304,1,0,0,1,5|4324973;7|4324973,449218,1600025|20,1101010,0,52001,50,0,Combat Elite,#ffffff,3,,4,
1002402,Mass Rally,Unlock Mass Rally to launch a stronger attack against your target!,career_strengthen_001,1002400,6;3,1002401,1,0,1,1,5|0;7|0,0,,1101010,1,52001,50,100000,Combat Elite,#ffffff,3,4,4,
1002501,Army ATK,Increase Army Attack by {0}%,army_attack,1002500,7;1,1002402,1,0,0,5,5|4324973;7|4324973,83525,,1101024,0,52001,50,0,Combat Elite,#ffffff,3,,1,
1002502,Army ATK,Increase Army Attack by {0}%,army_attack,1002500,7;1,1002501,1,0,1,5,5|6487460;7|6487460,116935,,1101024,300,52001,50,1000,Combat Elite,#ffffff,3,,1,
1002503,Army ATK,Increase Army Attack by {0}%,army_attack,1002500,7;1,1002502,1,0,2,5,5|9731190;7|9731190,163709,,1101024,600,52001,50,2000,Combat Elite,#ffffff,3,,1,
1002504,Army ATK,Increase Army Attack by {0}%,army_attack,1002500,7;1,1002503,1,0,3,5,5|14596785;7|14596785,229193,,1101024,900,52001,50,3000,Combat Elite,#ffffff,3,,1,
1002505,Army ATK,Increase Army Attack by {0}%,army_attack,1002500,7;1,1002504,1,0,4,5,5|21895178;7|21895178,320870,,1101024,1200,52001,50,4000,Combat Elite,#ffffff,3,,1,
1002506,Army ATK,Increase Army Attack by {0}%,army_attack,1002500,7;1,1002505,1,0,5,5,5|0;7|0,0,,1101024,1500,52001,50,5000,Combat Elite,#ffffff,3,,1,
1002601,Navy ATK,Increase Navy Attack by {0}%,naval_attack,1002600,7;3,1002402,1,0,0,5,5|4324973;7|4324973,83525,,1101025,0,52001,50,0,Combat Elite,#ffffff,3,,1,
1002602,Navy ATK,Increase Navy Attack by {0}%,naval_attack,1002600,7;3,1002601,1,0,1,5,5|6487460;7|6487460,116935,,1101025,300,52001,50,1000,Combat Elite,#ffffff,3,,1,
1002603,Navy ATK,Increase Navy Attack by {0}%,naval_attack,1002600,7;3,1002602,1,0,2,5,5|9731190;7|9731190,163709,,1101025,600,52001,50,2000,Combat Elite,#ffffff,3,,1,
1002604,Navy ATK,Increase Navy Attack by {0}%,naval_attack,1002600,7;3,1002603,1,0,3,5,5|14596785;7|14596785,229193,,1101025,900,52001,50,3000,Combat Elite,#ffffff,3,,1,
1002605,Navy ATK,Increase Navy Attack by {0}%,naval_attack,1002600,7;3,1002604,1,0,4,5,5|21895178;7|21895178,320870,,1101025,1200,52001,50,4000,Combat Elite,#ffffff,3,,1,
1002606,Navy ATK,Increase Navy Attack by {0}%,naval_attack,1002600,7;3,1002605,1,0,5,5,5|0;7|0,0,,1101025,1500,52001,50,5000,Combat Elite,#ffffff,3,,1,
1002701,Air Force ATK,Increase Air Force Attack by {0}%,air_attack,1002700,7;5,1002402,1,0,0,5,5|4324973;7|4324973,83525,,1101026,0,52001,50,0,Combat Elite,#ffffff,3,,1,
1002702,Air Force ATK,Increase Air Force Attack by {0}%,air_attack,1002700,7;5,1002701,1,0,1,5,5|6487460;7|6487460,116935,,1101026,300,52001,50,1000,Combat Elite,#ffffff,3,,1,
1002703,Air Force ATK,Increase Air Force Attack by {0}%,air_attack,1002700,7;5,1002702,1,0,2,5,5|9731190;7|9731190,163709,,1101026,600,52001,50,2000,Combat Elite,#ffffff,3,,1,
1002704,Air Force ATK,Increase Air Force Attack by {0}%,air_attack,1002700,7;5,1002703,1,0,3,5,5|14596785;7|14596785,229193,,1101026,900,52001,50,3000,Combat Elite,#ffffff,3,,1,
1002705,Air Force ATK,Increase Air Force Attack by {0}%,air_attack,1002700,7;5,1002704,1,0,4,5,5|21895178;7|21895178,320870,,1101026,1200,52001,50,4000,Combat Elite,#ffffff,3,,1,
1002706,Air Force ATK,Increase Air Force Attack by {0}%,air_attack,1002700,7;5,1002705,1,0,5,5,5|0;7|0,0,,1101026,1500,52001,50,5000,Combat Elite,#ffffff,3,,1,
1002801,Increase Crit,Increase Crit. Rate by {0}% for all units,indomitable,1002800,8;2,1002506|1002606,1,0,0,3,5|14596785;7|14596785,449218,1600025|2,1101027,0,52001,55,0,Combat Elite,#ffffff,4,,4,
1002802,Increase Crit,Increase Crit. Rate by {0}% for all units,indomitable,1002800,8;2,1002801,1,0,1,3,5|21895178;7|21895178,628906,1600025|3,1101027,500,52001,55,1000,Combat Elite,#ffffff,4,,4,
1002803,Increase Crit,Increase Crit. Rate by {0}% for all units,indomitable,1002800,8;2,1002802,1,0,2,3,5|32842767;7|32842767,880468,1600025|5,1101027,1000,52001,55,2000,Combat Elite,#ffffff,4,,4,
1002804,Increase Crit,Increase Crit. Rate by {0}% for all units,indomitable,1002800,8;2,1002803,1,0,3,3,5|0;7|0,0,,1101027,1500,52001,55,3000,Combat Elite,#ffffff,4,,4,
1002901,Enhance Crit Damage,Increase Crit. damage by {0}% for all units,training_skills,1002900,8;4,1002606|1002706,1,0,0,3,5|14596785;7|14596785,449218,1600025|2,1101028,0,52001,55,0,Combat Elite,#ffffff,4,,4,
1002902,Enhance Crit Damage,Increase Crit. damage by {0}% for all units,training_skills,1002900,8;4,1002901,1,0,1,3,5|21895178;7|21895178,628906,1600025|3,1101028,500,52001,55,1000,Combat Elite,#ffffff,4,,4,
1002903,Enhance Crit Damage,Increase Crit. damage by {0}% for all units,training_skills,1002900,8;4,1002902,1,0,2,3,5|32842767;7|32842767,880468,1600025|5,1101028,1000,52001,55,2000,Combat Elite,#ffffff,4,,4,
1002904,Enhance Crit Damage,Increase Crit. damage by {0}% for all units,training_skills,1002900,8;4,1002903,1,0,3,3,5|0;7|0,0,,1101028,1500,52001,55,3000,Combat Elite,#ffffff,4,5,4,
1003001,Open Specialization,Unlock Specialized Perk of this Profession,career_hero_001,1003000,9;3,1002804|1002904,1,0,0,1,5|32842767;7|32842767,100,1600025|50,,0,52001,60,50,Combat Elite,#ffffff,5,,1,
1003002,Open Specialization,Unlock Specialized Perk of this Profession,career_hero_001,1003000,9;3,1003001,1,0,1,1,5|0;7|0,0,,,0,52001,60,50,Combat Elite,#ffffff,5,,1,
1011301,Development Fever,Increase unit load by {0}%,career_strengthen_003,1011300,1;3,0,1,0,0,3,5|50000;7|50000,300,,970002,0,53001,30,0,Mechanical\nMaster,#ffffff,1,,1,
1011302,Development Fever,Increase unit load by {0}%,career_strengthen_003,1011300,1;3,1011301,1,0,1,3,5|75000;7|75000,420,,970002,500,53001,30,1000,Mechanical\nMaster,#ffffff,1,,1,
1011303,Development Fever,Increase unit load by {0}%,career_strengthen_003,1011300,1;3,1011302,1,0,2,3,5|112500;7|112500,588,,970002,1000,53001,30,2000,Mechanical\nMaster,#ffffff,1,,1,
1011304,Development Fever,Increase unit load by {0}%,career_strengthen_003,1011300,1;3,1011303,1,0,3,3,5|0;7|0,0,,970002,1500,53001,30,3000,Mechanical\nMaster,#ffffff,1,,1,
1011401,Army Resistance,Increase Army Resistance by {0}%,career_command_004,1011400,2;1,1011304,1,0,0,5,5|75000;7|75000,1152,,1101015,0,53001,30,0,Mechanical\nMaster,#ffffff,1,,1,
1011402,Army Resistance,Increase Army Resistance by {0}%,career_command_004,1011400,2;1,1011401,1,0,1,5,5|112500;7|112500,1612,,1101015,300,53001,30,1000,Mechanical\nMaster,#ffffff,1,,1,
1011403,Army Resistance,Increase Army Resistance by {0}%,career_command_004,1011400,2;1,1011402,1,0,2,5,5|168750;7|168750,2256,,1101015,600,53001,30,2000,Mechanical\nMaster,#ffffff,1,,1,
1011404,Army Resistance,Increase Army Resistance by {0}%,career_command_004,1011400,2;1,1011403,1,0,3,5,5|253130;7|253130,3158,,1101015,900,53001,30,3000,Mechanical\nMaster,#ffffff,1,,1,
1011405,Army Resistance,Increase Army Resistance by {0}%,career_command_004,1011400,2;1,1011404,1,0,4,5,5|379695;7|379695,4421,,1101015,1200,53001,30,4000,Mechanical\nMaster,#ffffff,1,,1,
1011406,Army Resistance,Increase Army Resistance by {0}%,career_command_004,1011400,2;1,1011405,1,0,5,5,5|0;7|0,0,,1101015,1500,53001,30,5000,Mechanical\nMaster,#ffffff,1,2,1,
1011501,Navy Resistance,Increase Navy Resistance by {0}%,career_command_005,1011500,2;3,1011304,1,0,0,5,5|75000;7|75000,1152,,1101016,0,53001,30,0,Mechanical\nMaster,#ffffff,1,,1,
1011502,Navy Resistance,Increase Navy Resistance by {0}%,career_command_005,1011500,2;3,1011501,1,0,1,5,5|112500;7|112500,1612,,1101016,300,53001,30,1000,Mechanical\nMaster,#ffffff,1,,1,
1011503,Navy Resistance,Increase Navy Resistance by {0}%,career_command_005,1011500,2;3,1011502,1,0,2,5,5|168750;7|168750,2256,,1101016,600,53001,30,2000,Mechanical\nMaster,#ffffff,1,,1,
1011504,Navy Resistance,Increase Navy Resistance by {0}%,career_command_005,1011500,2;3,1011503,1,0,3,5,5|253130;7|253130,3158,,1101016,900,53001,30,3000,Mechanical\nMaster,#ffffff,1,,1,
1011505,Navy Resistance,Increase Navy Resistance by {0}%,career_command_005,1011500,2;3,1011504,1,0,4,5,5|379695;7|379695,4421,,1101016,1200,53001,30,4000,Mechanical\nMaster,#ffffff,1,,1,
1011506,Navy Resistance,Increase Navy Resistance by {0}%,career_command_005,1011500,2;3,1011505,1,0,5,5,5|0;7|0,0,,1101016,1500,53001,30,5000,Mechanical\nMaster,#ffffff,1,,1,
1011601,Air Force Resistance,Increase Air Force Resistance by {0}%,career_command_006,1011600,2;5,1011304,1,0,0,5,5|75000;7|75000,1152,,1101017,0,53001,30,0,Mechanical\nMaster,#ffffff,1,,1,
1011602,Air Force Resistance,Increase Air Force Resistance by {0}%,career_command_006,1011600,2;5,1011601,1,0,1,5,5|112500;7|112500,1612,,1101017,300,53001,30,1000,Mechanical\nMaster,#ffffff,1,,1,
1011603,Air Force Resistance,Increase Air Force Resistance by {0}%,career_command_006,1011600,2;5,1011602,1,0,2,5,5|168750;7|168750,2256,,1101017,600,53001,30,2000,Mechanical\nMaster,#ffffff,1,,1,
1011604,Air Force Resistance,Increase Air Force Resistance by {0}%,career_command_006,1011600,2;5,1011603,1,0,3,5,5|253130;7|253130,3158,,1101017,900,53001,30,3000,Mechanical\nMaster,#ffffff,1,,1,
1011605,Air Force Resistance,Increase Air Force Resistance by {0}%,career_command_006,1011600,2;5,1011604,1,0,4,5,5|379695;7|379695,4421,,1101017,1200,53001,30,4000,Mechanical\nMaster,#ffffff,1,,1,
1011606,Air Force Resistance,Increase Air Force Resistance by {0}%,career_command_006,1011600,2;5,1011605,1,0,5,5,5|0;7|0,0,,1101017,1500,53001,30,5000,Mechanical\nMaster,#ffffff,1,,1,
1011701,March Speed-up,Increase marching speed by {0}% when gathering,career_mechanical_004,1011700,3;2,1011406|1011506,1,0,0,3,5|253130;7|253130,6189,1600026|2,1101039,0,53001,35,0,Mechanical\nMaster,#ffffff,1,,1,
1011702,March Speed-up,Increase marching speed by {0}% when gathering,career_mechanical_004,1011700,3;2,1011701,1,0,1,3,5|379695;7|379695,8664,1600026|3,1101039,500,53001,35,1000,Mechanical\nMaster,#ffffff,1,,1,
1011703,March Speed-up,Increase marching speed by {0}% when gathering,career_mechanical_004,1011700,3;2,1011702,1,0,2,3,5|569543;7|569543,12129,1600026|5,1101039,1000,53001,35,2000,Mechanical\nMaster,#ffffff,1,,1,
1011704,March Speed-up,Increase marching speed by {0}% when gathering,career_mechanical_004,1011700,3;2,1011703,1,0,3,3,5|0;7|0,0,,1101039,1500,53001,35,3000,Mechanical\nMaster,#ffffff,1,,1,
1011801,Resource Protection,Reduce Gold loss by {0}% when getting attacked,career_mechanical_003,1011800,3;4,1011506|1011606,1,0,0,3,5|253130;7|253130,6189,1600026|2,1101050,0,53001,35,0,Mechanical\nMaster,#ffffff,1,,1,
1011802,Resource Protection,Reduce Gold loss by {0}% when getting attacked,career_mechanical_003,1011800,3;4,1011801,1,0,1,3,5|379695;7|379695,8664,1600026|3,1101050,1000,53001,35,1000,Mechanical\nMaster,#ffffff,1,,1,
1011803,Resource Protection,Reduce Gold loss by {0}% when getting attacked,career_mechanical_003,1011800,3;4,1011802,1,0,2,3,5|569543;7|569543,12129,1600026|5,1101050,2000,53001,35,2000,Mechanical\nMaster,#ffffff,1,,1,
1011804,Resource Protection,Reduce Gold loss by {0}% when getting attacked,career_mechanical_003,1011800,3;4,1011803,1,0,3,3,5|0;7|0,0,,1101050,3000,53001,35,3000,Mechanical\nMaster,#ffffff,1,,1,
1011901,Army HP,Increase Army HP by {0}%,army_hp,1011900,4;1,1011704|1011804,1,0,0,5,5|379695;7|379695,16980,,1101020,0,53001,40,0,Mechanical\nMaster,#ffffff,1,,1,
1011902,Army HP,Increase Army HP by {0}%,army_hp,1011900,4;1,1011901,1,0,1,5,5|569543;7|569543,23772,,1101020,300,53001,40,1000,Mechanical\nMaster,#ffffff,1,,1,
1011903,Army HP,Increase Army HP by {0}%,army_hp,1011900,4;1,1011902,1,0,2,5,5|854315;7|854315,33280,,1101020,600,53001,40,2000,Mechanical\nMaster,#ffffff,1,,1,
1011904,Army HP,Increase Army HP by {0}%,army_hp,1011900,4;1,1011903,1,0,3,5,5|1281473;7|1281473,46592,,1101020,900,53001,40,3000,Mechanical\nMaster,#ffffff,1,,1,
1011905,Army HP,Increase Army HP by {0}%,army_hp,1011900,4;1,1011904,1,0,4,5,5|1922210;7|1922210,65228,,1101020,1200,53001,40,4000,Mechanical\nMaster,#ffffff,1,,1,
1011906,Army HP,Increase Army HP by {0}%,army_hp,1011900,4;1,1011905,1,0,5,5,5|0;7|0,0,,1101020,1500,53001,40,5000,Mechanical\nMaster,#ffffff,1,,1,
1012001,Navy HP,Increase Navy HP by {0}%,naval_hp,1012000,4;3,1011704|1011804,1,0,0,5,5|379695;7|379695,16980,,1101021,0,53001,40,0,Mechanical\nMaster,#ffffff,2,,1,
1012002,Navy HP,Increase Navy HP by {0}%,naval_hp,1012000,4;3,1012001,1,0,1,5,5|569543;7|569543,23772,,1101021,300,53001,40,1000,Mechanical\nMaster,#ffffff,2,,1,
1012003,Navy HP,Increase Navy HP by {0}%,naval_hp,1012000,4;3,1012002,1,0,2,5,5|854315;7|854315,33280,,1101021,600,53001,40,2000,Mechanical\nMaster,#ffffff,2,,1,
1012004,Navy HP,Increase Navy HP by {0}%,naval_hp,1012000,4;3,1012003,1,0,3,5,5|1281473;7|1281473,46592,,1101021,900,53001,40,3000,Mechanical\nMaster,#ffffff,2,,1,
1012005,Navy HP,Increase Navy HP by {0}%,naval_hp,1012000,4;3,1012004,1,0,4,5,5|1922210;7|1922210,65228,,1101021,1200,53001,40,4000,Mechanical\nMaster,#ffffff,2,,1,
1012006,Navy HP,Increase Navy HP by {0}%,naval_hp,1012000,4;3,1012005,1,0,5,5,5|0;7|0,0,,1101021,1500,53001,40,5000,Mechanical\nMaster,#ffffff,2,3,1,
1012101,Air Force HP,Increase Air Force HP by {0}%,air_hp,1012100,4;5,1011704|1011804,1,0,0,5,5|379695;7|379695,16980,,1101022,0,53001,40,0,Mechanical\nMaster,#ffffff,2,,1,
1012102,Air Force HP,Increase Air Force HP by {0}%,air_hp,1012100,4;5,1012101,1,0,1,5,5|569543;7|569543,23772,,1101022,300,53001,40,1000,Mechanical\nMaster,#ffffff,2,,1,
1012103,Air Force HP,Increase Air Force HP by {0}%,air_hp,1012100,4;5,1012102,1,0,2,5,5|854315;7|854315,33280,,1101022,600,53001,40,2000,Mechanical\nMaster,#ffffff,2,,1,
1012104,Air Force HP,Increase Air Force HP by {0}%,air_hp,1012100,4;5,1012103,1,0,3,5,5|1281473;7|1281473,46592,,1101022,900,53001,40,3000,Mechanical\nMaster,#ffffff,2,,1,
1012105,Air Force HP,Increase Air Force HP by {0}%,air_hp,1012100,4;5,1012104,1,0,4,5,5|1922210;7|1922210,65228,,1101022,1200,53001,40,4000,Mechanical\nMaster,#ffffff,2,,1,
