id,image,image_to,plat,lan,para1,para2,link_hero,force_close
34,castle_face_activity_1792000,castle_face_activity_1792000_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
35,castle_face_activity_1793000,castle_face_activity_1793000_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
36,castle_face_activity_1794000,castle_face_activity_1794000_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
37,castle_face_activity_1795000,castle_face_activity_1795000_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
38,bg_Activityjpentry,bg_Activityjpentry_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
39,jprichman,jprichman_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
40,activityicon_JP01n,activityicon_JP01n_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2022-11-19-0-0-0,2022-6-1-23-59-59,,
41,level_prefab_1791000,level_prefab_1791000_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2022-11-19-0-0-0,2022-6-1-23-59-59,,
42,level_prefab_1792000,level_prefab_1792000_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2022-11-19-0-0-0,2022-6-1-23-59-59,,
43,level_prefab_1793000,level_prefab_1793000_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2022-11-19-0-0-0,2022-6-1-23-59-59,,
44,level_prefab_1794000,level_prefab_1794000_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2022-11-19-0-0-0,2022-6-1-23-59-59,,
45,hero_icon133_global,hero_icon133_global_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-5-10-0-0-0,2022-6-1-23-59-59,,
46,hero_icon134_global,hero_icon134_global_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-5-10-0-0-0,2022-6-1-23-59-59,,
47,activity_banner_5275.jpg,activity_banner_5275_jp.jpg,appiosglobal|googleplay|chrome,jp,2021-5-10-0-0-0,2022-6-1-23-59-59,,
48,castle_face_1710500,castle_face_17105002,,,2022-1-31-0-0-0,2022-2-16-00-00-00,,
49,castle_face_1710500_anim,castle_face_1710500_2_anim,,,2022-1-31-0-0-0,2022-2-16-00-00-00,,
51,hero_icon136_global,hero_icon136_global_jp,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
52,hero_icon137_global,hero_icon137_global_jp,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
53,hero_icon319_global,hero_icon319_global_jp,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
50,banner_ActivityRichMan,banner_ActivityRichMan_g123,esprit|g123,,2022-1-19-0-0-0,2022-3-31-0-0-0,,
54,tf2_activity_icon_940400,tf2_activity_icon_940400_g123,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
55,tf2_activity_icon_940400_gray,tf2_activity_icon_940400_g123_gray,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
56,activity_banner_941300.jpg,activity_banner_941300_g123.jpg,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
57,activity_icon_108_1,activity_icon_108_1_g123,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
58,activity_icon_108_1_gray,activity_icon_108_1_gray_g123,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
59,activity_icon_108,activity_icon_108_124,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
60,activity_icon_108_gray,activity_icon_108_124_gray,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
61,activity_heroLevel_2,activity_heroLevel_2_136,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
62,activity_heroLevel_2_gray,activity_heroLevel_2_136_gray,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
63,activity_icon_941200,activity_icon_941200_g123,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
64,activity_icon_941200_gray,activity_icon_941200_gray_g123,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
65,exchange/icon_hero_new202203,exchange/icon_hero_new202203_g123,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
66,icon_bee_spider,icon_bee_spider_1,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
67,exchange/icon_hero_new202108,exchange/icon_hero_new202108_es,esprit,,2021-5-10-0-0-0,2029-3-31-0-0-0,,
68,jp3_act_banner971000.jpg,jp3_act_banner971000_jp.jpg,,jp,2021-5-10-0-0-0,2029-3-31-0-0-0,,
69,jp3_act_banner972000.jpg,jp3_act_banner972000_jp.jpg,,jp,2021-5-10-0-0-0,2029-3-31-0-0-0,,
70,jp3_video_icon,jp3_video_icon_jp,,jp,2021-5-10-0-0-0,2029-3-31-0-0-0,,
