id,chapter,type,desc,target,condition1,condition2,resource,consume,step,switch,guide,guide_para,key_para
53,9,19,Create attack party {0} time(s),2.0,,,1|600000,,,1,4001,0,0|2
54,9,20,Donate Alliance Tech {0} time(s),2.0,,,1|600000,,,1,5701,0,0|2
55,9,16,Equip with {0} Lv.{1} Component(s),1.0,3,,1|600000,,,1,2901,0,0|1;0|3
56,9,5,Merge {0} Army into Lv. {1} or above,1.0,101,17,1|600000,,,1,699,10017,0|1;0|17
57,9,4,Merge {0} Barracks into Lv. {1} or above,1.0,1040,13,1|600000,,,1,599,104013,0|1;0|13
58,9,3,Research Lv. {1} {0} Tech.,5.0,327000,,1|600000,,,1,1299,327000,1|Infinite Firepower;0|5
59,9,23,Kill Warhammer {0} time(s),5.0,,,1|600000,,,0,4001,0,0|5
60,9,3,Research Lv. {1} {0} Tech.,15.0,310000,,1|600000,,,1,1299,310000,1|103413;0|15
61,9,1,Regain Territory No. {0},13.0,,,1|600000,,,1,11,0,0|13
62,10,16,Equip with {0} Lv.{1} Component(s),1.0,4,,1|2500000,,15,1,2901,0,0|1;0|4
63,10,4,Merge {0} Barracks into Lv. {1} or above,1.0,1040,15,1|2500000,,12,1,599,104015,0|1;0|15
64,10,5,Merge {0} Army into Lv. {1} or above,1.0,101,18,1|2500000,,13,1,699,10018,0|1;0|18
65,10,3,Research Lv. {1} {0} Tech.,13.0,300000,,1|2500000,,12,1,1299,300000,1|103013;0|13
66,10,11,Train {0} Army Unit(s),30.0,101,,1|2500000,,12,1,1699,101,0|30
67,10,2,Build {0},8.0,1040,,1|2500000,,12,1,599,1040,1|106930
68,10,18,Make request in Alliance for {0} time(s),3.0,,,1|2500000,,12,1,2601,0,0|3
69,10,1,Regain Territory No. {0},15.0,,,1|2500000,,12,1,11,0,0|15
70,10,28,Donate resources to finish the process,2.0,,,1|2500000,1|48000000,10,1,0,0,
71,10,28,Donate resources to finish the process,2.0,,,1|2500000,10|40,10,1,0,0,
72,11,15,Own {0} {1}-star hero(es),1.0,0,2,1|10000000,,,1,5601,0,0|1;0|2
73,11,2,Build {0},12.0,1040,,1|10000000,,,1,799,1040,1|106930
74,11,3,Research Lv. {1} {0} Tech.,10.0,327000,,1|10000000,,,1,1299,327000,1|Infinite Firepower;0|10
75,11,3,Research Lv. {1} {0} Tech.,17.0,310000,,1|10000000,,,1,1299,310000,1|103413;0|17
76,11,4,Merge {0} Barracks into Lv. {1} or above,1.0,1040,17,1|10000000,,,1,599,104017,0|1;0|17
77,11,23,Kill Warhammer {0} time(s),10.0,,,1|10000000,,,0,4001,0,0|10
78,11,5,Merge {0} Army into Lv. {1} or above,1.0,101,20,1|10000000,,,1,699,10020,0|1;0|20
79,11,5,Merge {0} Air Force unit(s) into Lv. {1} or above.,1.0,301,4,1|10000000,,,1,699,30004,0|1;0|4
80,11,11,Train {0} Army Unit(s),40.0,101,,1|10000000,,,1,1699,101,0|40
81,11,2,Build {0},8.0,1700,,1|10000000,,,1,799,1700,1|106935
82,11,1,Regain Territory No. {0},17.0,,,1|10000000,,,1,11,0,0|17
83,12,17,Research {0} Lv. {1} Unit Suppression,1.0,10,,1|25000000,,,1,2801,0,0|1;0|10
84,12,16,Equip with {0} Lv.{1} Component(s),1.0,5,,1|25000000,,,1,2901,0,0|1;0|5
85,12,12,Gather Oil,300000.0,5,,1|25000000,,,1,1601,0,
86,12,12,Gather Food,300000.0,7,,1|25000000,,,1,1601,0,
87,12,4,Merge {0} Gold Mine(s) into Lv. {1} or above.,1.0,1700,19,1|25000000,,,1,599,1719,0|1;0|19
88,12,11,Train {0} Army Unit(s),40.0,101,,1|25000000,,,1,1699,101,0|40
89,12,1,Regain Territory No. {0},19.0,,,1|25000000,,,1,11,0,0|19
90,12,22,Collect Tax {0} time(s),3.0,,,1|25000000,,,1,2001,0,0|3
91,12,5,Merge {0} Army into Lv. {1} or above,1.0,101,21,1|25000000,,,1,699,10021,0|1;0|21
92,13,8,Consume {0} VIT,60.0,,,1|70000000,,,1,1501,0,0|60
93,13,23,Kill Warhammer {0} time(s),10.0,,,1|70000000,,,0,4001,0,0|10
94,13,3,Research Lv. {1} {0} Tech.,19.0,323000,,1|70000000,,,1,1299,323000,1|104087;0|19
95,13,3,Research Lv. {1} {0} Tech.,5.0,329000,,1|70000000,,,1,1299,329000,1|Repair Room;0|5
96,13,17,Research {0} Lv. {1} Unit Suppression,1.0,16,,1|70000000,,,1,2801,0,0|1;0|16
97,13,5,Merge {0} Army into Lv. {1} or above,1.0,101,24,1|70000000,,,1,699,10024,0|1;0|24
98,13,5,Merge {0} Naval unit(s) into Lv. {1} or above.,1.0,201,17,1|70000000,,,1,699,20017,0|1;0|17
99,13,1,Regain Territory No. {0},22.0,,,1|70000000,,,1,11,0,0|22
100,13,2,Build {0},1.0,2700,,1|70000000,,,1,799,2700,1|Garage
101,14,23,Kill Warhammer {0} time(s),40.0,,,1|250000000,,,0,4001,0,0|40
102,14,8,Consume {0} VIT,120.0,,,1|250000000,,,1,1501,0,0|120
103,14,5,Merge {0} Army into Lv. {1} or above,1.0,101,27,1|250000000,,,1,699,10027,0|1;0|27
104,14,1,Regain Territory No. {0},25.0,,,1|250000000,,,1,11,0,0|25
105,14,22,Collect Tax {0} time(s),10.0,,,1|250000000,,,1,2001,0,0|10
106,14,11,Train {0} Army Unit(s),40.0,101,,1|250000000,,,1,1699,101,0|40
107,14,14,Own {0} Lv. {1} hero(es),1.0,0,100,1|250000000,,,0,5501,0,0|1;0|100
108,14,4,Merge {0} Gold Mine(s) into Lv. {1} or above.,1.0,1700,24,1|250000000,,,1,599,1724,0|1;0|24
109,14,3,Research Lv. {1} {0} Tech.,16.0,327000,,1|250000000,,,1,1299,327000,1|Infinite Firepower;0|16
110,14,3,Research Lv. {1} {0} Tech.,24.0,300000,,1|250000000,,,1,1299,300000,1|103013;0|24
111,14,4,Merge {0} Shipyard(s) into Lv. {1} or above.,1.0,1100,15,1|250000000,,,1,599,110015,0|1;0|15
112,15,3,Research Lv. {1} {0} Tech.,24.0,323000,,1|1500000000,,10,1,1299,323000,1|104087;0|24
113,15,3,Research Lv. {1} {0} Tech.,21.0,327000,,1|1500000000,,8,1,1299,327000,1|Infinite Firepower;0|21
114,15,5,Merge {0} Army into Lv. {1} or above,1.0,101,30,1|1500000000,,8,1,699,10030,0|1;0|30
115,15,24,Unlock Class Bldg,1.0,,,1|1500000000,,8,0,5801,0,
116,15,25,Research Class skill {0} or {1} to Lv. {2},2.0,1001300|1011300,,1|1500000000,,8,0,5901,1001300|1011300,1|War Fever;1|Development Fever;0|2
117,15,2,Build {0},20.0,1040,,1|1500000000,,10,1,799,1040,1|106930
118,15,4,Merge {0} Gold Mine(s) into Lv. {1} or above.,1.0,1700,30,1|1500000000,,8,1,599,1730,0|1;0|30
119,15,22,Collect Tax {0} time(s),20.0,,,1|1500000000,,10,1,2001,0,0|20
120,15,23,Kill Warhammer {0} time(s),100.0,,,1|1500000000,,10,0,4001,0,0|100
121,15,12,Gather Oil,300000.0,5,,1|1500000000,,6,1,1601,0,
122,15,12,Gather Food,300000.0,7,,1|1500000000,,6,1,1601,0,
123,15,16,Equip with {0} Lv.{1} Component(s),1.0,6,,1|1500000000,,8,1,2901,0,0|1;0|6
124,15,28,Donate resources to finish the process,1.0,,,1|1500000000,1|3000000000,3,1,0,0,
125,15,28,Donate resources to finish the process,1.0,,,1|1500000000,10|200,5,1,0,0,
126,15,28,Donate resources to finish the process,1.0,,,1|1500000000,5|200000,5,1,0,0,
127,15,28,Donate resources to finish the process,1.0,,,1|1500000000,7|200000,5,1,0,0,
128,7,2,Build {0},1.0,2500,,,,13,1,799,2500,1|107421
129,6,2,Build {0},8.0,1700,,1|100000,,,1,799,1700,1|106935
130,14,14,Own {0} Lv. {1} hero(es),1.0,0,45,1|250000000,,,1,5501,0,0|1;0|45
131,14,24,Unlock Class Bldg,1.0,,,1|250000000,,,0,5801,0,
132,14,25,Research Class skill {0} or {1} to Lv. {2},2.0,1001300|1011300,,1|250000000,,,0,5901,1001300|1011300,1|War Fever;1|Development Fever;0|2
133,15,25,Research Class skill {0} or {1} to Lv. {2},3.0,1001700|1011700,,1|1500000000,,8,0,5901,1001700|1011700,1|Training Acceleration;1|March Speed-up;0|3
134,15,8,Consume {0} VIT,200.0,,,1|1500000000,,8,1,1501,0,0|200
135,14,2,Build {0},1.0,3800,,1|250000000,,,1,799,3800,1|Expedition Base
