id,type,title,content,para,icon,receive_plat,reward_plat,subtitle_key
19024,15,Choose the Time to Open Supply ConTest,My Commander; within 12 hours after the end of the Supply Battle; you can choose the time to start the next Supply Battle. Tap "Supply Time" below to choose.\nIf you don't choose a time within 12 hours after the supply battle ends; it will begin {0} at local time (the "local time" is shown based on the Date & Time settings in your device).,,,,,
9021,2,Returning Reward,Dear Commander;\n\nYou finally came back! We collected these supplies while you were not here.\n\nIn addition; we prepared a returning pack. You can see it at the right of the main interface!\n\nUnder your leadership; we will dominate the world!\n\nYour lieutenant,,,qqmini,,
19003,15,Purchase Notification,Dear Commander; you successfully sold the item "{0}" x {1} this time; you will get {2} crystals; which will be put into the inventory after 72 hours.,,,,,
19004,15,Purchase Notification,Dear commander; you have purchased the item "{0}" x {1}; and it costs {2} Rough Crystals,,,,,
19005,15,Purchase Notification,My Commander; the goods you consigned for sale were not sold within the time limit. {0}x{1} have been sent back to your inventory; please check.,,,,,
4022,9,Alliance Fortress was taken back,Dear Commander;\n\nBecause your alliance didn't donate before the count down reaches 0; {2} of [{0}]{1} Alliance has be removed. Please re-place it and donate.,,,,,
4023,9,Alliance Fortress was taken back,Dear Commander;\n\nBecause your alliance don't meet the requirement;  {2} of [{0}]{1} Alliance has be removed. Please recruit more allies and re-place the alliance fort when you meet the requirement again.,,,,,
4024,9,Alliance Fortress was manually taken back,Dear Commander;\n\n{2} from [{0}]{1} Alliance manually taken back {3},,,,,
19031,15,Silo Scramble Ranking,Dear commander; your Alliance got No. {0} in the Silo Scramble. Please accept your rewards:,,,,,
19032,3,Silo Scramble Report,N/A,1;2;3;20,,,,
130007,15,Expedition plan level ranking rewards,Dear commander; you got No. {0} in Expedition Plan challenge; please accept your reward!,,,,,
113001,2,Return Gift,Dear Commander; welcome back to Top War. We have prepared great returning rewards for you. In addition; a huge number of welfare tasks will be opened in May.,,,,,
113002,2,Icebreaking Gift,Dear Commander; we are about to start the new event: The Eternal Land. We have prepared huge preparation rewards and rewarding tasks for you.,,,,,
15019,15,Individual Defense Ends,Congratulations; you successfully defended against the enemy. Please collect the reward in the event interface.,,,,,
15020,15,Individual Defense Ends,Sorry; you haven't been able to defend against the enemy. Please collect the reward in the event interface.,,,,,
15021,9,Alliance Defense Ends,Your alliance has successfully defended against the enemy and defended the alliance fortress. This great victory belongs to every member,,,,,
15022,9,Alliance Defense Ends,Unfortunately; your alliance failed to defend against the enemy; and your alliance fortress fell.,,,,,
5014,2,Warzone Merge Compensation,Dear Commander; \n\nThe merge has been completed; and you have been given your a 1-hour shield.\n\n Have a good day!\nTop War Game Studio,,,,,
199001,15,Alliance Transport Team Progress Reward,Dear Commander; the following are the rewards that you did not claim in the Alliance Transport Team; which have been distributed to your inventory; please check.,,,,,
199002,15,Component Merge Ranking Rewards,Dear Commander;\n\nThese are your ranking rewards in the Component Merge Ranking event. Don't forget to accept them! \n\nHope you enjoy the game!\nTop War Team,,,,,
199003,15,CP Ranking Rewards,Dear Commander;\n\nThese are your ranking rewards in the CP Ranking. Don't forget to accept them! \n\nHope you enjoy the game!\nTop War Team,,,,,
199004,15,VIT Consumption Ranking Rewards,Dear Commander;\n\nThese are your ranking rewards in the VIT Consumption Ranking. Don't forget to accept them! \n\nHope you enjoy the game!\nTop War Team,,,,,
5015,2,mail_title5015,mail_content5015,,,,,
113003,2,mail_title113003,mail_content113003,,,,,
21001,9,Lost ownership of {0},Lost ownership of {0},,,,,
21002,9,{0} under attack,{2} with coordinates ({0};{1}) was attacked by {3},,,,,
21003,3,{0} attacking report,{2} on ({0};{1}) was attacked,,,,,
21004,9,Alliance Fortress was destroyed,The Alliance Fortress was destroyed ({0};{1}),,,,,
21005,9,Alliance Power Station was destroyed,The power station was destroyed ({0};{1}),,,,,
21006,15,Eternal Land Individual Ranking Rewards,You achieved the {0} place in the Eternal Land event,,,,,
21007,15,Eternal Land Alliance Ranking Rewards,Your Alliance achieved the {0} place in the Eternal Land event,,,,,
21008,15,Eternal Land Warzone Ranking Rewards,Your Warzone got No. {0} in the Eternal Land event.,,,,,
21009,15,Expedition Preparation Rewards for Individual Ranking,You achieved the {0} place in the Expedition preparation stage,,,,,
21010,15,Expedition Preparation Warzone Ranking Rewards,Your Warzone got No. {0} in the Expedition preparation stage.,,,,,
21011,15,The reward for the first conqueror,Your Alliance conquered {0} for the first time and received the following rewards:,,,,,
21012,9,Alliance Fortress was demolished,The Alliance Fortress ({0}; {1}) was demolished by {2},,,,,
21013,9,Alliance Power Station was demolished,The Power Station ({0}; {1}) was demolished by {2},,,,,
5016,2,mail_title5016,mail_content5016,,,,,
21015,2,Announcement of Components Switching Function Issue,Dear commander; \nWe noticed that some commanders are affected by a attribute error issue after enabling the Component Switch feature; which was caused by a system issue. As a result; you may have lost extra units in battles. We have compensated your lost units and prepared an extra compensation for you. Please kindly accept the items below. \n\nThank you for your understanding and support. Hope you enjoy the game and have a nice day. \nTop War Support Team,,,,,
3124,12,Dark Forces Battle Report,N/A,1;2;3;20,,,,
5017,2,mail_title5017,mail_content5017,,,,,
5018,2,mail_title5018,mail_content5018,,,,,
21014,9,{0} attacking report,{2} on ({0};{1}) was attacked,,,,,
19033,15,Warzone Exercise Ranking rewards,Dear Commander; you are the No. {0} in this round of Warzone Exercise and gain the following:,,,,,
16008,7,Successfully attacked the Treasure Guard,Caused {0} DMG,,,,,
16009,15,Summoning Reward for Treasure Guard,Dear Commander;\n\nWith the joint efforts of all; the Treasure Guard you summoned was successfully defeated! Please accept your reward for summoning the Guard!,,,,,
16010,15,Attack Reward for Treasure Guard,Dear Commander;\n\nWith the joint efforts of all; the Treasure Guard you have attacked has been successfully defeated! Please accept your reward for attacking the Guard!,,,,,
16011,15,Treasure Guard damage ranking reward,Dear Commander;\n\nWith the joint efforts of all; the Treasure Guard you have attacked has been successfully defeated! The total damage you caused is {0}; and your damage ranking is {1}. Please accept your damage ranking reward!\n\nYou have defeated {2}/{3} Guard(s) today.,,,,,
16012,15,The Treasure Guard has disappeared,Dear Commander;\n\nThe Treasure Guard you have attacked has not been completely destroyed. Unfortunately; you cannot obtain any rewards. Please make an extra effort next time!,,,,,
5019,2,mail_title5019,mail_content5019,,,,,
5020,2,mail_title5020,mail_content5020,,,,,
19041,2,Strengthening/Weakening Facility disabled,The {2} ({0};{1}) was disabled by {3}; the facility will be recovered after {4} minutes.,,,,,
19042,15,Military Support Reward,Congrats; commander; you got No. {1} in {0} of the Military Support and your rewards are as follows:,,,,,
19043,15,Military Support Ranking Reward,Congrats; commander! You got No. {0} in the Military Support Overall Ranking; your rewards are as follows:,,,,,
19051,15,Arms Ranking (New Servers),Dear commander; you got No. {0} in the Arms Competition (New Servers) yesterday. Please accept the following rewards.,,,,,
19052,15,Arms Competition (New Server) Overall Ranking,Dear commander; you got No. {0} in the Arms Competition (New Servers) Overall Ranking. Please accept the following rewards.,,,,,
37801,2,mail_title37801,mail_content37801,,,,,
19035,15,Cross-warzone Exercise Rewards,Dear Commander; you got the No. {0} in the Cross-warzone Exercise and gained the following rewards:,,,,,
6011,2,mail_title6011,mail_content6011,,,,,
80001,2,Compensation for Ruin Removal,Dear Commander; \nWe have made adjustments to the mission system and the Chapter Missions and Treasure feature will be temporarily closed. We noticed that there are ruins in your base; hence the system has removed the ruin for you. Please kindly accept the compensation attached.\n\n Please note: you can still use the treasures you already unlocked; and we are improving the treasure system to provide a better experience for you.,,,,,
