id,type,group,team,exchange,reward,reward2,value,exhibition,effect
int,int,int,int,int,int,int,string,string,string
69,4,26,1,2150026,2152026,2141026,6000|8000|200,3|3|2,0|3|2
70,4,27,1,2150027,2152027,2141027,6000|3000|200,3|3;1|2,0|3|2
71,4,28,1,2150028,2152028,2141028,6000|8000|200,3|2|2,0|2|2
72,4,29,1,2150029,2152029,2141029,12000|3000|200,3|3;1|2,0|3|2
73,5,1,1,,2141001,,120|200|100,2|1|1,2|1|1
74,5,2,1,2160002,2161002,2162002,320|380|210,2|2|1,0|2|1
75,5,3,1,2160003,2161003,2162003,700|380|210,2|2|1,0|2|1
76,5,4,1,2160004,2161004,2162004,450|380|210,2|2|1,0|2|1
77,5,5,1,2160005,2161005,2162005,950|380|110,2;1|2|1,0|2|1
78,5,6,1,2160006,2161006,2162006,600|380|210,2|2|1,0|2|1
79,5,7,1,2160007,2161007,2162007,1700|380|110,2|2|1,0|2|1
80,5,8,1,2160008,2161008,2162008,3200|380|610,3;1|2|2,0|2|2
81,5,9,1,2160009,2161009,2162009,1700|380|210,2|2|1,0|2|1
82,5,10,1,2160010,2161010,2162010,1200|380|210,2|2|1,0|2|1
83,5,11,1,2160011,2161011,2162011,3000|380|610,3;1|2|2,0|2|2
84,5,12,1,2160012,2161012,2162012,1700|380|210,2|2|1,0|2|1
85,5,13,1,2160013,2161013,2162013,3200|380|1210,3|2|2,0|2|2
86,5,14,1,2160014,2161014,2162014,2600|380|2010,3|2|2,0|2|2
87,5,15,1,2160015,2161015,2162015,2700|380|610,3|2|2,0|2|2
88,5,16,1,2160016,2161016,2162016,2600|380|1010,3|2|2;1,0|2|2
89,5,17,1,2160017,2161017,2162017,18200|380|2010,3|2|3;1,0|2|3
90,5,18,1,2160018,2161018,2162018,3000|380|610,3;1|2|2,0|2|2
91,5,19,1,2160019,2161019,2162019,1200|380|110,2|2|1,0|2|1
92,5,20,1,2160020,2161020,2162020,3200|380|610,3;1|2|2,0|2|2
93,5,21,1,2160021,2161021,2162021,5400|380|810,3|2|2,0|2|2
94,5,22,1,2160022,2161022,2162022,3200|380|1210,3|2|2,0|2|2
95,5,23,1,2160023,2161023,2162023,3000|380|610,3;1|2|2,0|2|2
96,5,24,1,2160024,2161024,2162024,6200|380|2010,3|2|3;1,0|2|3
97,5,25,1,2160025,2161025,2162025,3200|380|610,3;1|2|2,0|2|2
98,5,26,1,2160026,2161026,2162026,2600|380|2010,3|2|2,0|2|2
99,5,27,1,2160027,2161027,2162027,6200|380|2010,3|2|3;1,0|2|3
100,5,28,1,2160028,2161028,2162028,2600|380|2010,3|2|2,0|2|2
101,5,29,1,2160029,2161029,2162029,12200|380|2010,3|2|3;1,0|2|3
102,6,1,1,,2151001,,120|200|100,2|1|1,2|1|1
103,6,2,1,2170002,2161002,2172002,320|380|210,2|2|1,0|2|1
104,6,3,1,2170003,2161003,2172003,800|380|210,2|2|1,0|2|1
105,6,4,1,2170004,2161004,2172004,950|380|160,2;1|2|1,0|2|1
106,6,5,1,2170005,2161005,2172005,2200|380|610,3|2|2,0|2|2
107,6,6,1,2170006,2161006,2172006,3200|380|1210,3|2|2,0|2|2
108,6,7,1,2170007,2161007,2172007,15200|380|2010,3|2|3;1,0|2|3
109,6,8,1,2170008,2161008,2172008,3000|380|610,3;1|2|2,0|2|2
110,6,9,1,2170009,2161009,2172009,6200|380|2010,3|2|3;1,0|2|3
111,6,10,1,2170010,2161010,2172010,2700|380|610,3|2|2,0|2|2
112,6,11,1,2170011,2161011,2172011,5200|380|610,3;1|2|2,0|2|2
113,6,12,1,2170012,2161012,2172012,6800|380|610,3;1|2|3,0|2|3
114,6,13,1,2170013,2161013,2172013,1400|380|610,3|2|2,0|2|2
115,6,14,1,2170014,2161014,2172014,2600|380|1010,3|2|2;1,0|2|2
116,6,15,1,2170015,2161015,2172015,4200|380|8410,3|2|3,0|2|3
117,6,16,1,2170016,2161016,2172016,12200|380|3610,3|2|3,0|2|3
118,6,17,1,2170017,2161017,2172017,6200|380|2010,3|2|3;1,0|2|3
119,6,18,1,2170018,2161018,2172018,13000|380|2010,3|2|3;1,0|2|3
120,6,19,1,2170019,2161019,2172019,3200|380|210,3|2|2,0|2|2
121,6,20,1,2170020,2161020,2172020,18200|380|2010,3|2|3;1,0|2|3
122,6,21,1,2170021,2161021,2172021,13700|380|2010,3|2|3;1,0|2|3
123,6,22,1,2170022,2161022,2172022,2600|380|610,3|2|2,0|2|2
124,6,23,1,2170023,2161023,2172023,6200|380|2010,3|2|3;1,0|2|3
125,6,24,1,2170024,2161024,2172024,13000|380|2010,3|2|3;1,0|2|3
126,6,25,1,2170025,2161025,2172025,6200|380|610,3|2|2,0|2|2
127,6,26,1,2170026,2161026,2172026,6200|380|8010,3|2|3,0|2|3
128,6,27,1,2170027,2161027,2172027,6200|380|2010,3|2|3;1,0|2|3
129,6,28,1,2170028,2161028,2172028,6200|380|8010,3|2|3,0|2|3
130,6,29,1,2170029,2161029,2172029,13700|380|2010,3|2|3;1,0|2|3
131,6,30,1,2170030,2161018,2172030,21200|380|2010,3|2|3;1,0|2|3
132,6,31,1,2170031,2161019,2172031,6800|380|610,3;1|2|3,0|2|3
133,6,32,1,2170032,2161020,2172032,6200|380|2010,3|2|3;1,0|2|3
134,6,33,1,2170033,2161021,2172033,6200|380|8010,3|2|3,0|2|3
135,6,34,1,2170034,2161022,2172034,13700|380|2010,3|2|3;1,0|2|3
136,6,35,1,2170035,2161023,2172035,21200|380|2010,3|2|3;1,0|2|3
137,6,36,1,2170036,2161024,2172036,6800|380|610,3;1|2|3,0|2|3
138,6,37,1,2170037,2161025,2172037,6200|380|2010,3|2|3;1,0|2|3
139,6,38,1,2170038,2161026,2172038,6200|380|8010,3|2|3,0|2|3
140,6,39,1,2170039,2161027,2172039,13700|380|2010,3|2|3;1,0|2|3
141,6,40,1,2170040,2161028,2172040,21200|380|2010,3|2|3;1,0|2|3
142,6,41,1,2170041,2161029,2172041,13400|380|2010,3;1|2|3;1,0|2|3
143,7,1,1,,2141001,,120|200|100,2|1|1,2|1|1
144,7,2,1,2180002,2181002,2182002,320|320|210,2|2|1,0|2|1
145,7,3,1,2180003,2181002,2182003,950|320|210,2|2|1,0|2|1
146,7,4,1,2180004,2181002,2182004,450|320|210,2|2|1,0|2|1
147,7,5,1,2180005,2181002,2182005,950|320|110,2;1|2|1,0|2|1
148,7,6,1,2180006,2181002,2182006,600|320|210,2|2|1,0|2|1
149,7,7,1,2180007,2181002,2182007,1700|320|110,2|2|1,0|2|1
150,7,8,1,2180008,2181002,2182008,2200|320|610,3;1|2|2,0|2|2
151,7,9,1,2180009,2181002,2182009,1700|320|210,2|2|1,0|2|1
152,7,10,1,2180010,2181002,2182010,1200|320|210,2|2|1,0|2|1
153,7,11,1,2180011,2181002,2182011,3200|320|610,3|2|2,0|2|2
154,7,12,1,2180012,2181002,2182012,1700|320|210,2|2|1,0|2|1
155,7,13,1,2180013,2181002,2182013,3200|320|1210,3|2|2,0|2|2
156,7,14,1,2180014,2181002,2182014,2600|320|2010,3|2|2,0|2|2
157,7,15,1,2180015,2181002,2182015,2700|320|610,3|2|2,0|2|2
158,7,16,1,2180016,2181002,2182016,6700|320|1010,3|2|2;1,0|2|2
159,7,17,1,2180017,2181002,2182017,18200|320|2010,3;1|2|3;1,0|2|3
160,7,18,1,2180018,2181002,2182018,3000|320|610,3;1|2|2,0|2|2
161,7,19,1,2180019,2181002,2182019,1200|320|110,2|2|1,0|2|1
162,7,20,1,2180020,2181002,2182020,2200|320|610,3;1|2|2,0|2|2
163,7,21,1,2180021,2181002,2182021,6700|320|810,3|2|2,0|2|2
164,7,22,1,2180022,2181002,2182022,3200|320|1210,3|2|2,0|2|2
165,7,23,1,2180023,2181002,2182023,3000|320|610,3;1|2|2,0|2|2
166,7,24,1,2180024,2181002,2182024,6200|320|2010,3|2|3;1,0|2|3
167,7,25,1,2180025,2181002,2182025,2200|320|610,3;1|2|2,0|2|2
168,7,26,1,2180026,2181002,2182026,2600|320|2010,3|2|2,0|2|2
169,7,27,1,2180027,2181002,2182027,6200|320|2010,3|2|3;1,0|2|3
170,7,28,1,2180028,2181002,2182028,2600|320|2010,3|2|2,0|2|2
171,7,29,1,2180029,2181002,2182029,12200|320|2010,3|2|3;1,0|2|3
172,8,1,1,,2151001,,120|200|100,2|1|1,2|1|1
173,8,2,1,2190002,2191002,2192002,320|420|210,2|2|1,0|2|1
174,8,3,1,2190003,2191002,2192003,800|420|210,2|2|1,0|2|1
175,8,4,1,2190004,2191002,2192004,950|420|160,2;1|2|1,0|2|1
176,8,5,1,2190005,2191002,2192005,2200|420|610,3|2|2,0|2|2
177,8,6,1,2190006,2191002,2192006,3200|420|1210,3|2|2,0|2|2
178,8,7,1,2190007,2191002,2192007,6800|420|2010,3;1|2|3;1,0|2|3
179,8,8,1,2190008,2191002,2192008,3000|420|610,3;1|2|2,0|2|2
180,8,9,1,2190009,2191002,2192009,7700|420|2010,3|2|3;1,0|2|3
181,8,10,1,2190010,2191002,2192010,2700|420|610,3|2|2,0|2|2
182,8,11,1,2190011,2191002,2192011,5200|420|610,3;1|2|2,0|2|2
183,8,12,1,2190012,2191002,2192012,6800|420|610,3;1|2|3,0|2|3
184,8,13,1,2190013,2191002,2192013,1400|420|610,3|2|2,0|2|2
185,8,14,1,2190014,2191002,2192014,2600|420|1010,3|2|2;1,0|2|2
186,8,15,1,2190015,2191002,2192015,4200|420|10510,3|2|3,0|2|3
187,8,16,1,2190016,2191002,2192016,12200|420|3610,3|2|3,0|2|3
188,8,17,1,2190017,2191002,2192017,6200|420|2010,3|2|3;1,0|2|3
189,8,18,1,2190018,2191002,2192018,13000|420|2010,3|2|3;1,0|2|3
190,8,19,1,2190019,2191002,2192019,3200|420|1210,3|2|2,0|2|2
191,8,20,1,2190020,2191002,2192020,18200|420|2010,3|2|3;1,0|2|3
192,8,21,1,2190021,2191002,2192021,18200|420|2010,3|2|3;1,0|2|3
193,8,22,1,2190022,2191002,2192022,2600|420|610,3|2|2,0|2|2
194,8,23,1,2190023,2191002,2192023,6200|420|2010,3|2|3;1,0|2|3
195,8,24,1,2190024,2191002,2192024,13000|420|2010,3|2|3;1,0|2|3
196,8,25,1,2190025,2191002,2192025,6200|420|610,3|2|2,0|2|2
197,8,26,1,2190026,2191002,2192026,6200|420|8010,3|2|3,0|2|3
198,8,27,1,2190027,2191002,2192027,6200|420|2010,3|2|3;1,0|2|3
199,8,28,1,2190028,2191002,2192028,6200|420|8010,3|2|3,0|2|3
200,8,29,1,2190029,2191002,2192029,13700|420|2010,3|2|3;1,0|2|3
201,8,30,1,2190030,2191002,2192030,21200|420|2010,3|2|3;1,0|2|3
202,8,31,1,2190031,2191002,2192031,6800|420|610,3;1|2|3,0|2|3
203,8,32,1,2190032,2191002,2192032,7700|420|2010,3|2|3;1,0|2|3
204,8,33,1,2190033,2191002,2192033,6200|420|8010,3|2|3,0|2|3
205,8,34,1,2190034,2191002,2192034,15200|420|2010,3|2|3;1,0|2|3
206,8,35,1,2190035,2191002,2192035,21200|420|2010,3|2|3;1,0|2|3
207,8,36,1,2190036,2191002,2192036,6800|420|610,3;1|2|3,0|2|3
208,8,37,1,2190037,2191002,2192037,7700|420|2010,3|2|3;1,0|2|3
209,8,38,1,2190038,2191002,2192038,6200|420|8010,3|2|3,0|2|3
210,8,39,1,2190039,2191002,2192039,15200|420|2010,3|2|3;1,0|2|3
211,8,40,1,2190040,2191002,2192040,21200|420|2010,3|2|3;1,0|2|3
212,8,41,1,2190041,2191002,2192041,13400|420|2010,3;1|2|3;1,0|2|3
213,9,1,1,,2141001,,120|200|100,2|1|1,2|1|1
214,9,2,1,12180002,2181002,2182002,320|320|210,2|2|1,0|2|1
215,9,3,1,12180003,2181002,2182003,950|320|210,2|2|1,0|2|1
216,9,4,1,12180004,2181002,2182004,450|320|210,2|2|1,0|2|1
217,9,5,1,12180005,2181002,2182005,950|320|110,2;1|2|1,0|2|1
218,9,6,1,12180006,2181002,2182006,600|320|210,2|2|1,0|2|1
219,9,7,1,12180007,2181002,2182007,1700|320|110,2|2|1,0|2|1
220,9,8,1,12180008,2181002,2182008,2200|320|610,3;1|2|2,0|2|2
221,9,9,1,12180009,2181002,2182009,1700|320|210,2|2|1,0|2|1
222,9,10,1,12180010,2181002,2182010,1200|320|210,2|2|1,0|2|1
223,9,11,1,12180011,2181002,2182011,3200|320|610,3|2|2,0|2|2
224,9,12,1,12180012,2181002,2182012,1700|320|210,2|2|1,0|2|1
225,9,13,1,12180013,2181002,2182013,3200|320|1210,3|2|2,0|2|2
226,9,14,1,12180014,2181002,2182014,2600|320|2010,3|2|2,0|2|2
227,9,15,1,12180015,2181002,2182015,2700|320|610,3|2|2,0|2|2
228,9,16,1,12180016,2181002,2182016,6700|320|1010,3|2|2;1,0|2|2
229,9,17,1,12180017,2181002,2182017,18200|320|2010,3;1|2|3;1,0|2|3
230,9,18,1,12180018,2181002,2182018,3000|320|610,3;1|2|2,0|2|2
231,9,19,1,12180019,2181002,2182019,1200|320|110,2|2|1,0|2|1
232,9,20,1,12180020,2181002,2182020,2200|320|610,3;1|2|2,0|2|2
233,9,21,1,12180021,2181002,2182021,6700|320|810,3|2|2,0|2|2
234,9,22,1,12180022,2181002,2182022,3200|320|1210,3|2|2,0|2|2
235,9,23,1,12180023,2181002,2182023,3000|320|610,3;1|2|2,0|2|2
236,9,24,1,12180024,2181002,2182024,6200|320|2010,3|2|3;1,0|2|3
237,9,25,1,12180025,2181002,2182025,2200|320|610,3;1|2|2,0|2|2
238,9,26,1,12180026,2181002,2182026,2600|320|2010,3|2|2,0|2|2
239,9,27,1,12180027,2181002,2182027,6200|320|2010,3|2|3;1,0|2|3
240,9,28,1,12180028,2181002,2182028,2600|320|2010,3|2|2,0|2|2
241,9,29,1,12180029,2181002,2182029,12200|320|2010,3|2|3;1,0|2|3
242,10,1,1,,2151001,,120|200|100,2|1|1,2|1|1
243,10,2,1,12190002,2191002,2192002,320|420|210,2|2|1,0|2|1
244,10,3,1,12190003,2191002,2192003,800|420|210,2|2|1,0|2|1
245,10,4,1,12190004,2191002,2192004,950|420|160,2;1|2|1,0|2|1
246,10,5,1,12190005,2191002,2192005,2200|420|610,3|2|2,0|2|2
247,10,6,1,12190006,2191002,2192006,3200|420|1210,3|2|2,0|2|2
248,10,7,1,12190007,2191002,2192007,6800|420|2010,3;1|2|3;1,0|2|3
249,10,8,1,12190008,2191002,2192008,3000|420|610,3;1|2|2,0|2|2
250,10,9,1,12190009,2191002,2192009,7700|420|2010,3|2|3;1,0|2|3
251,10,10,1,12190010,2191002,2192010,2700|420|610,3|2|2,0|2|2
252,10,11,1,12190011,2191002,2192011,5200|420|610,3;1|2|2,0|2|2
253,10,12,1,12190012,2191002,2192012,6800|420|610,3;1|2|3,0|2|3
254,10,13,1,12190013,2191002,2192013,1400|420|610,3|2|2,0|2|2
255,10,14,1,12190014,2191002,2192014,2600|420|1010,3|2|2;1,0|2|2
256,10,15,1,12190015,2191002,2192015,4200|420|10510,3|2|3,0|2|3
257,10,16,1,12190016,2191002,2192016,12200|420|3610,3|2|3,0|2|3
258,10,17,1,12190017,2191002,2192017,6200|420|2010,3|2|3;1,0|2|3
259,10,18,1,12190018,2191002,2192018,13000|420|2010,3|2|3;1,0|2|3
260,10,19,1,12190019,2191002,2192019,3200|420|1210,3|2|2,0|2|2
261,10,20,1,12190020,2191002,2192020,18200|420|2010,3|2|3;1,0|2|3
262,10,21,1,12190021,2191002,2192021,18200|420|2010,3|2|3;1,0|2|3
263,10,22,1,12190022,2191002,2192022,2600|420|610,3|2|2,0|2|2
264,10,23,1,12190023,2191002,2192023,6200|420|2010,3|2|3;1,0|2|3
265,10,24,1,12190024,2191002,2192024,13000|420|2010,3|2|3;1,0|2|3
266,10,25,1,12190025,2191002,2192025,6200|420|610,3|2|2,0|2|2
267,10,26,1,12190026,2191002,2192026,6200|420|8010,3|2|3,0|2|3
268,10,27,1,12190027,2191002,2192027,6200|420|2010,3|2|3;1,0|2|3
269,10,28,1,12190028,2191002,2192028,6200|420|8010,3|2|3,0|2|3
270,10,29,1,12190029,2191002,2192029,13700|420|2010,3|2|3;1,0|2|3
271,10,30,1,12190030,2191002,2192030,21200|420|2010,3|2|3;1,0|2|3
272,10,31,1,12190031,2191002,2192031,6800|420|610,3;1|2|3,0|2|3
273,10,32,1,12190032,2191002,2192032,7700|420|2010,3|2|3;1,0|2|3
274,10,33,1,12190033,2191002,2192033,6200|420|8010,3|2|3,0|2|3
275,10,34,1,12190034,2191002,2192034,15200|420|2010,3|2|3;1,0|2|3
276,10,35,1,12190035,2191002,2192035,21200|420|2010,3|2|3;1,0|2|3
277,10,36,1,12190036,2191002,2192036,6800|420|610,3;1|2|3,0|2|3
278,10,37,1,12190037,2191002,2192037,7700|420|2010,3|2|3;1,0|2|3
279,10,38,1,12190038,2191002,2192038,6200|420|8010,3|2|3,0|2|3
280,10,39,1,12190039,2191002,2192039,15200|420|2010,3|2|3;1,0|2|3
281,10,40,1,12190040,2191002,2192040,21200|420|2010,3|2|3;1,0|2|3
282,10,41,1,12190041,2191002,2192041,13400|420|2010,3;1|2|3;1,0|2|3
283,11,1,1,,2141001,,120|200|100,2|1|1,2|1|1
284,11,2,1,2200002,2201002,2202002,320|320|210,2|2|1,0|2|1
285,11,3,1,2200003,2201002,2202003,1200|320|210,2|2|1,0|2|1
286,11,4,1,2200004,2201002,2202004,700|320|210,2|2|1,0|2|1
287,11,5,1,2200005,2201002,2202005,950|320|110,2;1|2|1,0|2|1
288,11,6,1,2200006,2201002,2202006,800|320|210,2|2|1,0|2|1
289,11,7,1,2200007,2201002,2202007,1700|320|110,2|2|1,0|2|1
290,11,8,1,2200008,2201002,2202008,2200|320|610,3;1|2|2,0|2|2
291,11,9,1,2200009,2201002,2202009,950|320|210,2;1|2|1,0|2|1
292,11,10,1,2200010,2201002,2202010,1200|320|210,2|2|1,0|2|1
293,11,11,1,2200011,2201002,2202011,3200|320|610,3|2|2,0|2|2
294,11,12,1,2200012,2201002,2202012,1700|320|210,2|2|1,0|2|1
295,11,13,1,2200013,2201002,2202013,6200|320|210,3|2|2,0|2|2
296,11,14,1,2200014,2201002,2202014,2600|320|2010,3|2|2,0|2|2
297,11,15,1,2200015,2201002,2202015,2700|320|610,3|2|2,0|2|2
298,11,16,1,2200016,2201002,2202016,6700|320|1010,3|2|2;1,0|2|2
299,11,17,1,2200017,2201002,2202017,18200|320|2010,3;1|2|3;1,0|2|3
300,11,18,1,2200018,2201002,2202018,3000|320|610,3;1|2|2,0|2|2
301,11,19,1,2200019,2201002,2202019,950|320|110,2;1|2|1,0|2|1
302,11,20,1,2200020,2201002,2202020,2200|320|610,3;1|2|2,0|2|2
303,11,21,1,2200021,2201002,2202021,6700|320|810,3|2|2,0|2|2
304,11,22,1,2200022,2201002,2202022,6200|320|210,3|2|2,0|2|2
305,11,23,1,2200023,2201002,2202023,3000|320|610,3;1|2|2,0|2|2
306,11,24,1,2200024,2201002,2202024,6200|320|2010,3|2|3;1,0|2|3
307,11,25,1,2200025,2201002,2202025,2200|320|610,3;1|2|2,0|2|2
308,11,26,1,2200026,2201002,2202026,2600|320|2010,3|2|2,0|2|2
309,11,27,1,2200027,2201002,2202027,6200|320|2010,3|2|3;1,0|2|3
310,11,28,1,2200028,2201002,2202028,2600|320|2010,3|2|2,0|2|2
311,11,29,1,2200029,2201002,2202029,12200|320|2010,3|2|3;1,0|2|3
312,12,1,1,,2151001,,120|200|100,2|1|1,2|1|1
313,12,2,1,2210002,2211002,2212002,320|420|210,2|2|1,0|2|1
314,12,3,1,2210003,2211002,2212003,800|420|210,2|2|1,0|2|1
315,12,4,1,2210004,2211002,2212004,950|420|160,2;1|2|1,0|2|1
316,12,5,1,2210005,2211002,2212005,2200|420|610,3|2|2,0|2|2
317,12,6,1,2210006,2211002,2212006,3200|420|1210,3|2|2,0|2|2
318,12,7,1,2210007,2211002,2212007,6800|420|2010,3;1|2|3;1,0|2|3
319,12,8,1,2210008,2211002,2212008,3000|420|610,3;1|2|2,0|2|2
320,12,9,1,2210009,2211002,2212009,7700|420|2010,3|2|3;1,0|2|3
321,12,10,1,2210010,2211002,2212010,3200|420|610,3;1|2|2,0|2|2
322,12,11,1,2210011,2211002,2212011,5200|420|610,3;1|2|2,0|2|2
323,12,12,1,2210012,2211002,2212012,6800|420|610,3;1|2|3,0|2|3
324,12,13,1,2210013,2211002,2212013,1400|420|610,3|2|2,0|2|2
325,12,14,1,2210014,2211002,2212014,2600|420|1010,3|2|2;1,0|2|2
326,12,15,1,2210015,2211002,2212015,4200|420|10510,3|2|3,0|2|3
327,12,16,1,2210016,2211002,2212016,12200|420|3610,3|2|3,0|2|3
328,12,17,1,2210017,2211002,2212017,6200|420|2010,3|2|3;1,0|2|3
329,12,18,1,2210018,2211002,2212018,13000|420|2010,3|2|3;1,0|2|3
330,12,19,1,2210019,2211002,2212019,3200|420|610,3;1|2|2,0|2|2
331,12,20,1,2210020,2211002,2212020,18200|420|2010,3|2|3;1,0|2|3
332,12,21,1,2210021,2211002,2212021,18200|420|2010,3|2|3;1,0|2|3
333,12,22,1,2210022,2211002,2212022,2600|420|610,3|2|2,0|2|2
334,12,23,1,2210023,2211002,2212023,6200|420|2010,3|2|3;1,0|2|3
335,12,24,1,2210024,2211002,2212024,13000|420|2010,3|2|3;1,0|2|3
336,12,25,1,2210025,2211002,2212025,6200|420|610,3|2|2,0|2|2
337,12,26,1,2210026,2211002,2212026,6200|420|8010,3|2|3,0|2|3
338,12,27,1,2210027,2211002,2212027,6200|420|2010,3|2|3;1,0|2|3
339,12,28,1,2210028,2211002,2212028,6200|420|8010,3|2|3,0|2|3
340,12,29,1,2210029,2211002,2212029,13700|420|2010,3|2|3;1,0|2|3
341,12,30,1,2210030,2211002,2212030,21200|420|2010,3|2|3;1,0|2|3
342,12,31,1,2210031,2211002,2212031,6800|420|610,3;1|2|3,0|2|3
343,12,32,1,2210032,2211002,2212032,7700|420|2010,3|2|3;1,0|2|3
344,12,33,1,2210033,2211002,2212033,7400|420|2010,3;1|2|3;1,0|2|3
345,12,34,1,2210034,2211002,2212034,15200|420|2010,3|2|3;1,0|2|3
