id,area,level,boss,coin,experience,expedition_coin,packid,packidnew,pack_limitlevel,hero,hero_level,hero_star,hero_skil,hero_talent,unit,access,battle_buff,hero_skill,reward,bigreward,item_obtain,fullitem_obtain,item_obtain_new,fullitem_obtain_new,item_obtain_level,item_obtain_show,fullitem_obtain_show,monster_hp,monster_power,background_image,unit_model,hero_full,enemyattack_correction,selfattack_correction,enemyhp_correction
10,1,10,1,0.0,0.0,1.0,,,,201,15,1,0|0|0,,20018|1;20018|1;20018|1;20018|1;20018|1,201|0|0;201|1|0,930100|1000;930000|1000;1001001|500;1101040|500,0|0|0,9092003,9092101,9091012,9091011,9091101|9091121,9091101|9091121|9091141,1,1800001;1|323001;1|3500009;1,2300002;1|1000005;1,83.75,75.375,1|4|6;2|5;3|6|0,130089|130090|130091,65,1.0,1.0,1.0
11,2,1,,0.0,0.0,2.0,,,,301,17,1,0|0|0,,30018|1;30018|1;30018|1;30018|1;30018|1,301|0|0;301|1|0,930100|1000;930000|1000;1001001|500;1101040|500,0|0|0,9092004,,9091012,9091011,9091101|9091122,9091101|9091122|9091141,2,1800001;1|323001;1|3500010;1,2300002;1|1000005;1,83.75,75.375,1|4|6;2|5;3|6|0,130068|130069|130070,65,1.0,1.0,1.0
12,2,2,,0.0,0.0,2.0,,,,101,20,1,0|0|0,,10019|1;10019|1;10019|1;10019|1;10019|1,101|0|0;101|1|0,930100|1000;930000|1000;1001001|500;1101040|500,0|0|0,9092004,,9091012,9091011,9091101|9091122,9091101|9091122|9091141,2,1800001;1|323001;1|3500010;1,2300002;1|1000005;1,83.75,75.375,1|4|6;2|5;3|6|0,130096|130097|130098,70,1.0,1.0,1.0
13,2,3,,0.0,0.0,2.0,,,,202|201,20|20,1|1,0|0|0;0|0|0,,20019|2;20019|2;20019|2;20019|1;20019|1,201|0|0;201|1|0,930100|1000;930000|1000;1001001|500;1101040|500,0|0|0;0|0|0,9092004,,9091012,9091011,9091101|9091122,9091101|9091122|9091141,2,1800001;1|323001;1|3500010;1,2300002;1|1000005;1,117.5,105.75,1|4|6;2|5;3|6|0,130068|130069|130070,70,1.0,1.0,1.0
14,2,4,,0.0,0.0,2.0,,,,302|301,20|22,1|1,0|0|0;0|0|0,,30020|2;30020|2;30020|2;30020|1;30020|1,301|0|0;301|1|0;301|2|400101,930100|1000;1001001|500;1101040|500,0|0|0;0|0|0,9092004,,9091012,9091011,9091101|9091122,9091101|9091122|9091141,2,1800001;1|323001;1|3500010;1,2300002;1|1000005;1,117.5,105.75,1|4|6;2|5;3|6|0,130096|130097|130098,70,1.0,1.0,1.0
15,2,5,,0.0,0.0,2.0,,,,107|101,20|24,1|1,0|0|0;0|0|0,,10020|2;10020|2;10020|2;10020|1;10020|1,101|0|0;101|1|0;101|2|400101,930100|1000;1001001|500;1101040|500,0|0|0;0|0|0,9092004,,9091012,9091011,9091101|9091122,9091101|9091122|9091141,2,1800001;1|323001;1|3500010;1,2300002;1|1000005;1,165.0,148.5,1|4|6;2|5;3|6|0,130096|130097|130098,70,1.0,1.0,1.0
16,2,6,,0.0,0.0,2.0,,,,203|201,20|26,1|1,0|0|0;0|0|0,,20021|2;20021|2;20021|2;20021|2;20021|1,201|0|0;201|1|0;201|2|400101,930100|1000;1001001|500;1101040|500,0|0|0;0|0|0,9092004,,9091012,9091011,9091101|9091122,9091101|9091122|9091141,2,1800001;1|323001;1|3500010;1,2300002;1|1000005;1,225.0,202.5,1|4|6;2|5;3|6|0,130068|130069|130070,70,1.0,1.0,1.0
17,2,7,,0.0,0.0,2.0,,,,303|301,20|27,1|1,0|0|0;0|0|0,,30021|2;30021|2;30021|2;30021|2;30021|1,301|0|0;301|1|0;301|2|400101,930100|1000;1001001|500;1101040|500,0|0|0;0|0|0,9092004,,9091012,9091011,9091101|9091122,9091101|9091122|9091141,2,1800001;1|323001;1|3500010;1,2300002;1|1000005;1,225.0,202.5,1|4|6;2|5;3|6|0,130096|130097|130098,70,1.0,1.0,1.0
18,2,8,,0.0,0.0,2.0,,,,103|101,20|28,1|1,0|0|0;0|0|0,,10022|2;10022|2;10022|2;10022|2;10022|1,101|0|0;101|1|0;101|2|400101,930100|1000;1001001|500;1101040|500,0|0|0;0|0|0,9092004,,9091012,9091011,9091101|9091122,9091101|9091122|9091141,2,1800001;1|323001;1|3500010;1,2300002;1|1000005;1,312.5,281.25,1|4|6;2|5;3|6|0,130089|130090|130091,70,1.0,1.0,1.0
19,2,9,,0.0,0.0,2.0,,,,203|201,20|29,1|1,0|0|0;0|0|0,,20022|2;20022|2;20022|2;20022|2;20022|1,201|0|0;201|1|0;201|2|400101,930100|1000;1001001|500;1101040|500,0|0|0;0|0|0,9092004,,9091012,9091011,9091101|9091122,9091101|9091122|9091141,2,1800001;1|323001;1|3500010;1,2300002;1|1000005;1,312.5,281.25,1|4|6;2|5;3|6|0,130068|130069|130070,70,1.0,1.0,1.0
20,2,10,1,0.0,0.0,2.0,9110015,9111001,,302|301,20|30,1|1,0|0|0;0|0|0,,30023|2;30023|2;30023|2;30023|2;30023|1,301|0|0;301|1|0;301|2|400102,930100|3000;1001001|1000;1101040|1000,0|0|0;0|0|0,9092004,9092102,9091012,9091011,9091101|9091122,9091101|9091122|9091141,2,1800001;1|323001;1|3500010;1,2300002;1|1000005;1,312.5,281.25,1|4|6;2|5;3|6|0,130096|130097|130098,70,1.0,1.0,1.0
21,3,1,,0.0,0.0,3.0,,,,103|101,22|31,1|1,0|0|0;0|0|0,,10024|2;10024|2;10024|2;10024|2;10024|2,101|0|0;101|1|0;101|2|400102,930100|3000;1001001|1000;1101040|1000,0|0|0;0|0|0,9092005,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,437.5,393.75,1|4|6;2|5;3|6|0,130089|130090|130091,70,1.0,1.0,1.0
22,3,2,,0.0,0.0,3.0,,,,203|202,24|32,1|1,0|0|0;0|0|0,,20025|3;20025|2;20025|2;20025|2;20025|2,201|0|0;201|1|0;201|2|400102;201|3|400202,930100|1000;1001001|1000;1101040|1000,0|0|0;0|0|0,9092005,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,437.5,393.75,1|4|6;2|5;3|6|0,130068|130069|130070,70,1.0,1.0,1.0
23,3,3,,0.0,0.0,3.0,,,,302|303,26|33,1|1,0|0|0;0|0|0,,30026|3;30026|2;30026|2;30026|2;30026|2,301|0|0;301|1|0;301|2|400102;301|3|400202,930100|1000;1001001|1000;1101040|1000,0|0|0;0|0|0,9092005,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,437.5,393.75,1|4|6;2|5;3|6|0,130096|130097|130098,70,1.0,1.0,1.0
24,3,4,,0.0,0.0,3.0,,,,102|107,28|34,1|1,0|0|0;0|0|0,,10026|3;10026|2;10026|2;10026|2;10026|2,101|0|0;101|1|0;101|2|400102;101|3|400202,930100|1000;1001001|1000;1101040|1000,0|0|0;0|0|0,9092005,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,437.5,393.75,1|4|6;2|5;3|6|0,130089|130090|130091,70,1.0,1.0,1.0
25,3,5,,0.0,0.0,3.0,,,,202|107,30|35,1|1,0|0|0;0|0|0,,20027|3;20027|2;20027|2;20027|2;20027|2,201|0|0;201|1|0;201|2|400102;201|3|400202,930100|1000;1001001|1000;1101040|1000,0|0|0;0|0|0,9092005,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,612.5,551.25,1|4|6;2|5;3|6|0,130068|130069|130070,70,1.0,1.0,1.0
26,3,6,,0.0,0.0,3.0,,,,303|301,32|36,1|1,0|0|0;0|0|0,,30027|3;30027|2;30027|2;30027|2;30027|2,301|0|0;301|1|0;301|2|400102;301|3|400202,930100|1000;1001001|1000;1101040|1000,0|0|0;0|0|0,9092005,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,612.5,551.25,1|4|6;2|5;3|6|0,130096|130097|130098,70,1.0,1.0,1.0
27,3,7,,0.0,0.0,3.0,,,,103|102,34|37,1|1,0|0|0;0|0|0,,10028|3;10028|2;10028|2;10028|2;10028|2,101|0|0;101|1|0;101|2|400102;101|3|400202,930100|1000;1001001|1000;1101040|1000,0|0|0;0|0|0,9092005,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,612.5,551.25,1|4|6;2|5;3|6|0,130089|130090|130091,70,1.0,1.0,1.0
28,3,8,,0.0,0.0,3.0,,,,107|203,36|38,1|1,0|0|0;0|0|0,,20028|3;20028|2;20028|2;20028|2;20028|2,201|0|0;201|1|0;201|2|400102;201|3|400202,930100|1000;1001001|1000;1101040|1000,0|0|0;0|0|0,9092005,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,862.5,776.25,1|4|6;2|5;3|6|0,130068|130069|130070,75,1.0,1.0,1.0
29,3,9,,0.0,0.0,3.0,,,,302|301,38|39,1|1,0|0|0;0|0|0,,30029|3;30029|2;30029|2;30029|2;30029|2,301|0|0;301|1|0;301|2|400102;301|3|400202,930100|1000;1001001|1000;1101040|1000,0|0|0;0|0|0,9092005,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,862.5,776.25,1|4|6;2|5;3|6|0,130096|130097|130098,75,1.0,1.0,1.0
30,3,10,,0.0,0.0,3.0,,,,107|101,40|40,1|1,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,,10029|3;10029|2;10029|2;10029|2;10029|2,101|0|0;101|1|0;101|2|400103;101|3|400203,930100|1000;1001001|1800;1101040|1800,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,9092005,9092103,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,862.5,776.25,1|4|6;2|5;3|6|0,130089|130090|130091,75,1.0,1.0,1.0
31,3,11,,0.0,0.0,3.0,,,,203|201,60|60,2|2,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,,20030|3;20030|3;20030|3;20030|3;20030|3,201|0|0;201|1|0;201|2|400103;201|3|400203;201|4|400503,930100|1000;1001001|1800;1101040|1800,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,9092006,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,1212.5,1091.25,1|4|6;2|5;3|6|0,130068|130069|130070,75,1.0,1.0,1.0
32,3,12,,0.0,0.0,3.0,,,,303|301,60|60,2|2,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,,30030|3;30030|3;30030|3;30030|3;30030|3,301|0|0;301|1|0;301|2|400103;301|3|400203;301|4|400503,930100|1000;1001001|1800;1101040|1800,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,9092006,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,1212.5,1091.25,1|4|6;2|5;3|6|0,130096|130097|130098,75,1.0,1.0,1.0
33,3,13,,0.0,0.0,3.0,,,,103|101,60|60,2|2,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,,10031|3;10031|3;10031|3;10031|3;10031|3,101|0|0;101|1|0;101|2|400103;101|3|400203;101|4|400503,930100|1000;1001001|1800;1101040|1800,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,9092006,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,1212.5,1091.25,1|4|6;2|5;3|6|0,130089|130090|130091,75,1.0,1.0,1.0
34,3,14,,0.0,0.0,3.0,,,,203|201,60|60,2|2,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,,20031|3;20031|3;20031|3;20031|3;20031|3,201|0|0;201|1|0;201|2|400103;201|3|400203;201|4|400503,930100|1000;1001001|1800;1101040|1800,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,9092006,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,1212.5,1091.25,1|4|6;2|5;3|6|0,130068|130069|130070,75,1.0,1.0,1.0
35,3,15,,0.0,0.0,3.0,,,,302|301,60|60,2|2,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,,30032|3;30032|3;30032|3;30032|3;30032|3,301|0|0;301|1|0;301|2|400103;301|3|400203;301|4|400503,930100|1000;1001001|1800;1101040|1800,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,9092006,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,1700.0,1530.0,1|4|6;2|5;3|6|0,130096|130097|130098,75,1.0,1.0,1.0
36,3,16,,0.0,0.0,3.0,,,,103|101,60|60,2|2,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,,10032|3;10032|3;10032|3;10032|3;10032|3,101|0|0;101|1|0;101|2|400103;101|3|400203;101|4|400503,930100|1000;1001001|1800;1101040|1800,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,9092006,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,1700.0,1530.0,1|4|6;2|5;3|6|0,130089|130090|130091,75,1.0,1.0,1.0
37,3,17,,0.0,0.0,3.0,,,,203|202,60|60,2|2,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,,20033|3;20033|3;20033|3;20033|3;20033|3,201|0|0;201|1|0;201|2|400103;201|3|400203;201|4|400503,930100|1000;1001001|1800;1101040|1800,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,9092006,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,1700.0,1530.0,1|4|6;2|5;3|6|0,130068|130069|130070,75,1.0,1.0,1.0
38,3,18,,0.0,0.0,3.0,,,,302|303,60|60,2|2,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,,30033|3;30033|3;30033|3;30033|3;30033|3,301|0|0;301|1|0;301|2|400103;301|3|400203;301|4|400503,930100|1000;1001001|1800;1101040|1800,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,9092006,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,2375.0,2137.5,1|4|6;2|5;3|6|0,130096|130097|130098,75,1.0,1.0,1.0
39,3,19,,0.0,0.0,3.0,,,,102|107,60|60,2|2,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,,10034|3;10034|3;10034|3;10034|3;10034|3,101|0|0;101|1|0;101|2|400103;101|3|400203;101|4|400503,930100|1000;1001001|1800;1101040|1800,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,9092006,,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,2375.0,2137.5,1|4|6;2|5;3|6|0,130089|130090|130091,75,1.0,1.0,1.0
40,3,20,1,0.0,0.0,3.0,9110016,9111002,,202|107,60|60,2|2,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,,20034|3;20034|3;20034|3;20034|3;20034|3,201|0|0;201|1|0;201|2|400104;201|3|400204;201|4|400504,930100|1000;1001001|2300;1101040|2300,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,9092006,9092104,9091012,9091011,9091102|9091122,9091102|9091122|9091142,3,1800001;1|323001;2|3500010;1,2300002;1|1000005;1|500001;1,2375.0,2137.5,1|4|6;2|5;3|6|0,130068|130069|130070,75,1.0,1.0,1.0
41,4,1,,0.0,0.0,4.0,,,,303|301,60|60,2|2,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,,30035|3;30035|3;30035|3;30035|3;30035|3;30035|2,301|0|0;301|1|0;301|2|400104;301|3|400204;301|4|400504;301|5|403504,930100|1000;1001001|300;1101040|2300,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,9092007,,9091012,9091011,9091103|9091123,9091103|9091123|9091142,4,1800001;2|323001;2|3500010;1|3500005;1,2300002;1|1000005;1|500001;1,2375.0,2137.5,1|4|6;2|5;3|6|0,130096|130097|130098,75,1.0,1.0,1.0
42,4,2,,0.0,0.0,4.0,,,,103|102,60|60,2|2,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,,10035|3;10035|3;10035|3;10035|3;10035|3;10035|2,101|0|0;101|1|0;101|2|400104;101|3|400204;101|4|400504;101|5|403504,930100|1000;1001001|300;1101040|2300,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,9092007,,9091012,9091011,9091103|9091123,9091103|9091123|9091142,4,1800001;2|323001;2|3500010;1|3500005;1,2300002;1|1000005;1|500001;1,3375.0,3037.5,1|4|6;2|5;3|6|0,130089|130090|130091,75,1.0,1.0,1.0
43,4,3,,0.0,0.0,4.0,,,,107|203,60|63,2|2,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,,20036|4;20036|3;20036|3;20036|3;20036|3;20036|3,201|0|0;201|1|0;201|2|400104;201|3|400204;201|4|400504;201|5|403504,930100|1000;1001001|300;1101040|2300,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,9092007,,9091012,9091011,9091103|9091123,9091103|9091123|9091142,4,1800001;2|323001;2|3500010;1|3500005;1,2300002;1|1000005;1|500001;1,3375.0,3037.5,1|4|6;2|5;3|6|0,130068|130069|130070,75,1.0,1.0,1.0
44,4,4,,0.0,0.0,4.0,,,,302|301,60|66,2|2,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,,30036|4;30036|3;30036|3;30036|3;30036|3;30036|3,301|0|0;301|1|0;301|2|400104;301|3|400204;301|4|400504;301|5|403504,930100|1000;1001001|300;1101040|2300,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,9092007,,9091012,9091011,9091103|9091123,9091103|9091123|9091142,4,1800001;2|323001;2|3500010;1|3500005;1,2300002;1|1000005;1|500001;1,3375.0,3037.5,1|4|6;2|5;3|6|0,130096|130097|130098,75,1.0,1.0,1.0
45,4,5,,0.0,0.0,4.0,,,,107|101,60|69,2|2,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,,10037|4;10037|3;10037|3;10037|3;10037|3;10037|3,101|0|0;101|1|0;101|2|400104;101|3|400204;101|4|400504;101|5|403504,930100|1000;1001001|300;1101040|2300,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,9092007,,9091012,9091011,9091103|9091123,9091103|9091123|9091142,4,1800001;2|323001;2|3500010;1|3500005;1,2300002;1|1000005;1|500001;1,4750.0,4275.0,1|4|6;2|5;3|6|0,130089|130090|130091,75,1.0,1.0,1.0
46,4,6,,0.0,0.0,4.0,,,,203|201,60|72,2|2,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,,20037|4;20037|3;20037|3;20037|3;20037|3;20037|3,201|0|0;201|1|0;201|2|400104;201|3|400204;201|4|400504;201|5|403504,930100|1000;1001001|300;1101040|2300,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,9092007,,9091012,9091011,9091103|9091123,9091103|9091123|9091142,4,1800001;2|323001;2|3500010;1|3500005;1,2300002;1|1000005;1|500001;1,4750.0,4275.0,1|4|6;2|5;3|6|0,130068|130069|130070,75,1.0,1.0,1.0
47,4,7,,0.0,0.0,4.0,,,,303|301,60|75,2|2,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,,30038|4;30038|3;30038|3;30038|3;30038|3;30038|3,301|0|0;301|1|0;301|2|400104;301|3|400204;301|4|400504;301|5|403504,930100|1000;1001001|300;1101040|2300,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,9092007,,9091012,9091011,9091103|9091123,9091103|9091123|9091142,4,1800001;2|323001;2|3500010;1|3500005;1,2300002;1|1000005;1|500001;1,4750.0,4275.0,1|4|6;2|5;3|6|0,130096|130097|130098,75,1.0,1.0,1.0
48,4,8,,0.0,0.0,4.0,,,,103|101,60|78,2|2,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,,10038|4;10038|3;10038|3;10038|3;10038|3;10038|3,101|0|0;101|1|0;101|2|400104;101|3|400204;101|4|400504;101|5|403504,930100|1000;1001001|300;1101040|2300,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,9092007,,9091012,9091011,9091103|9091123,9091103|9091123|9091142,4,1800001;2|323001;2|3500010;1|3500005;1,2300002;1|1000005;1|500001;1,4750.0,4275.0,1|4|6;2|5;3|6|0,130089|130090|130091,80,1.0,1.0,1.0
49,4,9,,0.0,0.0,4.0,,,,203|201,60|79,2|2,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,,20039|4;20039|3;20039|3;20039|3;20039|3;20039|3,201|0|0;201|1|0;201|2|400104;201|3|400204;201|4|400504;201|5|403504,930100|2000;1001001|300;1101040|2300,0|0|0;1|20118|1;2|20121|1;0|0|0;1|20118|1;2|20121|1,9092007,,9091012,9091011,9091103|9091123,9091103|9091123|9091142,4,1800001;2|323001;2|3500010;1|3500005;1,2300002;1|1000005;1|500001;1,6625.0,5962.5,1|4|6;2|5;3|6|0,130068|130069|130070,80,1.0,1.0,1.0
50,4,10,,0.0,0.0,4.0,,,,302|301,60|80,2|3,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,,30039|4;30039|3;30039|3;30039|3;30039|3;30039|3,301|0|0;301|1|0;301|2|400104;301|3|400204;301|4|400504;301|5|403504,930100|2000;1001001|300;1101040|2300,0|0|0;1|20119|1;2|20122|1;0|0|0;1|20119|1;2|20122|1,9092007,9092105,9091012,9091011,9091103|9091123,9091103|9091123|9091142,4,1800001;2|323001;2|3500010;1|3500005;1,2300002;1|1000005;1|500001;1,6625.0,5962.5,1|4|6;2|5;3|6|0,130096|130097|130098,80,1.0,1.0,1.0
51,4,11,,0.0,0.0,4.0,,,,107|101,60|80,2|3,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,,10040|3;10040|3;10040|3;10040|3;10040|3;10040|3;10040|3,101|0|0;101|1|0;101|2|400104;101|3|400204;101|4|400504;101|5|403504;101|6|403604,930100|2000;1001001|300;1101040|300,0|0|0;1|20117|1;2|20120|1;0|0|0;1|20117|1;2|20120|1,9092007,,9091012,9091011,9091103|9091123,9091103|9091123|9091142,4,1800001;2|323001;2|3500010;1|3500005;1,2300002;1|1000005;1|500001;1,6625.0,5962.5,1|4|6;2|5;3|6|0,130089|130090|130091,80,1.0,1.0,1.0
