id,name,desc,model_id,new_model_id,new_model_key,type,level,max_level,quality,power,boss_power,power_new,score,width,height,defense_width,defense_height,point_type,upgrade_coin,building_id,load,speed,load_coin,attack_interval,interval_random,attack_speed,boss,key_name,model_id_app,revise,attack_skill,transfer_type,special_attribute,special_para_1,special_para_2,new_name,new_model,new_app_model,monster_type,orign_model,pro_model,kvk_score,army_skill,hero_fixed_hp_para,cab_score,repair_cost,repair_time,csb_score,siege_value,army_type_hospital
10051,Adv. Light Tank,105176,1100021,,,101,51,100,1,30000000.0,3.882194490463499e+16,7.56122829201251e+16,844424930131968.0,1,1,3,3,1,0.0,104051,81000,10000,3.25632e+17,1000,50,1000,0,51,110051,1.0,1,,,,,,120051,120051,0,1100021,,2.0,,55670000.0,1.0,,,6,51,1
10052,Adv. Infantry Tank,105176,1100022,,,101,52,100,1,35000000.0,4.658633388556199e+16,1.58785794132263e+17,1688849860263940.0,1,1,3,3,1,0.0,104052,82000,10000,5.5296e+17,1000,50,1000,0,52,110052,1.0,1,,,,,,120052,120052,0,1100022,,2.0,,61040000.0,1.0,,,6,52,1
10053,Adv. Elite Tank,105176,1100023,,,101,53,100,1,41000000.0,5.590360066267438e+16,3.33450167677752e+17,3377699720527870.0,1,1,3,3,1,0.0,104053,83000,10000,1.1264e+18,1000,50,1000,0,53,110053,1.0,1,,,,,,120053,120053,0,1100023,,2.0,,67100000.0,1.0,,,6,53,1
10054,Adv. Camo Tank,105176,1100024,,,101,54,100,1,48000000.0,6.7084320795209256e+16,7.00245352123279e+17,6755399441055740.0,1,1,3,3,1,0.0,104054,84000,10000,2.29376e+18,1000,50,1000,0,54,110054,1.0,1,,,,,,120054,120054,0,1100024,,2.0,,73590000.0,1.0,,,6,54,1
10055,Adv. Armored Tank,105176,1100025,,,101,55,100,1,56000000.0,8.05011849542511e+16,1.47051523945889e+18,1.35107988821115e+16,1,1,3,3,1,0.0,104055,85000,10000,4.66944e+18,1000,50,1000,0,55,110055,1.0,1,,,,,,120055,120055,0,1100025,,2.0,,80300000.0,1.0,,,6,55,1
10056,Adv. Grizzly Tank,105176,1100026,,,101,56,100,1,66000000.0,9.660142194510131e+16,3.08808200286367e+18,2.7021597764223e+16,1,1,3,3,1,0.0,104056,86000,10000,8.9088e+18,1000,50,1000,0,56,110056,1.0,1,,,,,,120056,120056,0,1100026,,2.0,,88360000.0,1.0,,,6,56,1
10057,Adv. Mobile Cannon,105176,1100027,,,101,57,100,1,77000000.0,1.1592170633412158e+17,6.48497220601371e+18,5.4043195528446e+16,1,1,3,3,1,0.0,104057,87000,10000,1.81248e+19,1000,50,1000,0,57,110057,1.0,1,,,,,,120057,120057,0,1100027,,2.0,,96090000.0,1.0,,,6,57,1
10058,Adv. Beast Tank,105176,1100028,,,101,58,100,1,90000000.0,1.3910604760094589e+17,1.36184416326288e+19,1.08086391056892e+17,1,1,3,3,1,0.0,104058,88000,10000,3.6864e+19,1000,50,1000,0,58,110058,1.0,1,,,,,,120058,120058,0,1100028,,2.0,,104500000.0,1.0,,,6,58,1
10059,Adv. T80 Tank,105176,1100029,,,101,59,100,1,105000000.0,1.6692725712113507e+17,2.85987274285205e+19,2.16172782113784e+17,1,1,3,3,1,0.0,104059,89000,10000,6.2464e+19,1000,50,1000,0,59,110059,1.0,1,,,,,,120059,120059,0,110047,,2.0,,113240000.0,1.0,,,6,59,1
10060,Adv. Tiger Tank,105176,1100030,,,101,60,100,1,120000000.0,2.003127085453621e+17,6.00573275998931e+19,4.32345564227568e+17,1,1,3,3,1,0.0,104060,90000,10000,1.26976e+20,1000,50,1000,0,60,110060,1.0,1,,,,,,120060,120060,0,1100030,,3.0,,120000000.0,1.0,,,10,60,1
10061,Adv. Light Tank,105176,1100021,,,101,61,100,1,140000000.0,2.403752502544345e+17,1.26120387959776e+20,8.64691128455135e+17,1,1,3,3,1,0.0,104061,91000,10000,2.58048e+20,1000,50,1000,0,61,110061,1.0,1,,,,,,120061,120061,0,1100021,,3.0,,129590000.0,1.0,,,10,61,1
10062,Adv. Infantry Tank,105176,1100022,,,101,62,100,1,160000000.0,2.8845030030532134e+17,2.6485281471553e+20,1.72938225691027e+18,1,1,3,3,1,0.0,104062,92000,10000,5.24288e+20,1000,50,1000,0,62,110062,1.0,1,,,,,,120062,120062,0,1100022,,3.0,,136870000.0,1.0,,,10,62,1
10063,Adv. Elite Tank,105176,1100023,,,101,63,100,1,190000000.0,3.4614036036638566e+17,5.56190910902613e+20,3.45876451382054e+18,1,1,3,3,1,0.0,104063,93000,10000,9.984e+20,1000,50,1000,0,63,110063,1.0,1,,,,,,120063,120063,0,1100023,,3.0,,149980000.0,1.0,,,10,63,1
10064,Adv. Camo Tank,105176,1100024,,,101,64,100,1,220000000.0,4.153684324396627e+17,1.16800091289549e+21,6.91752902764108e+18,1,1,3,3,1,0.0,104064,94000,10000,2.02752e+21,1000,50,1000,0,64,110064,1.0,1,,,,,,120064,120064,0,1100024,,3.0,,160030000.0,1.0,,,10,64,1
10065,Adv. Armored Tank,105176,1100025,,,101,65,100,1,260000000.0,4.9844211892759526e+17,2.45280191708053e+21,1.38350580552822e+19,1,1,3,3,1,0.0,104065,95000,10000,4.11648e+21,1000,50,1000,0,65,110065,1.0,1,,,,,,120065,120065,0,1100025,,3.0,,174110000.0,1.0,,,10,65,1
10066,Adv. Grizzly Tank,105176,1100026,,,101,66,100,1,300000000.0,5.981305427131144e+17,5.15088402586911e+21,2.76701161105643e+19,1,1,3,3,1,0.0,104066,96000,10000,6.9632e+21,1000,50,1000,0,66,110066,1.0,1,,,,,,120066,120066,0,1100026,,3.0,,184800000.0,2.0,,,10,66,1
10067,Adv. Mobile Cannon,105176,1100027,,,101,67,100,1,350000000.0,7.177566512557372e+17,1.08168564543251e+22,5.53402322211287e+19,1,1,3,3,1,0.0,104067,97000,10000,1.41312e+22,1000,50,1000,0,67,110067,1.0,1,,,,,,120067,120067,0,1100027,,3.0,,198280000.0,2.0,,,10,67,1
10068,Adv. Beast Tank,105176,1100028,,,101,68,100,1,410000000.0,8.613079815068846e+17,2.27153985540827e+22,1.10680464442257e+20,1,1,3,3,1,0.0,104068,98000,10000,2.8672e+22,1000,50,1000,0,68,110068,1.0,1,,,,,,120068,120068,0,1100028,,3.0,,213670000.0,2.0,,,10,68,1
10069,Adv. T80 Tank,105176,1100029,,,101,69,100,1,480000000.0,1.0335695778082616e+18,4.77023369635737e+22,2.21360928884515e+20,1,1,3,3,1,0.0,104069,99000,10000,5.81632e+22,1000,50,1000,0,69,110069,1.0,1,,,,,,120069,120069,0,110047,,3.0,,230370000.0,2.0,,,10,69,1
10070,Adv. Tiger Tank,105176,1100030,,,101,70,100,1,560000000.0,1.2402834933699139e+18,1.00174907623505e+23,4.42721857769029e+20,1,1,3,3,1,0.0,104070,100000,10000,1.10592e+23,1000,50,1000,0,70,110070,1.0,1,,,,,,120070,120070,0,1100030,,3.0,,248000000.0,3.0,,,15,70,1
10071,Adv. Light Tank,105176,1100021,,,101,71,100,1,660000000.0,1.4883401920438963e+18,2.10367306009361e+23,8.85443715538058e+20,1,1,3,3,1,0.0,104071,101000,10000,2.24256e+23,1000,50,1000,0,71,110071,1.0,1,,,,,,120071,120071,0,1100021,,4.0,,270550000.0,3.0,,,15,71,1
10072,Adv. Infantry Tank,105176,1100022,,,101,72,100,1,770000000.0,1.7860082304526756e+18,4.41771342619658e+23,1.77088743107612e+21,1,1,3,3,1,0.0,104072,102000,10000,4.54656e+23,1000,50,1000,0,72,110072,1.0,1,,,,,,120072,120072,0,1100022,,5.0,,293480000.0,3.0,,,15,72,1
10073,Adv. Elite Tank,105176,1100023,,,101,73,100,1,900000000.0,2.1432098765432105e+18,9.27719819501282e+23,3.54177486215223e+21,1,1,3,3,1,0.0,104073,103000,10000,7.68e+23,1000,50,1000,0,73,110073,1.0,1,,,,,,120073,120073,0,1100023,,6.0,,320850000.0,3.0,,,15,73,1
10074,Adv. Camo Tank,105176,1100024,,,101,74,100,1,1050000000.0,2.571851851851853e+18,1.94821162095269e+24,7.08354972430447e+21,1,1,3,3,1,0.0,104074,104000,10000,1.55648e+24,1000,50,1000,0,74,110074,1.0,1,,,,,,120074,120074,0,1100024,,7.0,,352800000.0,3.0,,,15,74,1
10075,Adv. Armored Tank,105176,1100025,,,101,75,100,1,1200000000.0,3.086222222222223e+18,4.09124440400065e+24,1.41670994486089e+22,1,1,3,3,1,0.0,104075,105000,10000,3.15392e+24,1000,50,1000,0,75,110075,1.0,1,,,,,,120075,120075,0,1100025,,9.0,,383570000.0,4.0,,,18,75,1
10076,Adv. Grizzly Tank,105176,1100026,,,101,76,100,1,1400000000.0,3.703466666666667e+18,8.59161324840137e+24,2.83341988972179e+22,1,1,3,3,1,0.0,104076,106000,10000,6.38976e+24,1000,50,1000,0,76,110076,1.0,1,,,,,,120076,120076,0,1100026,,11.0,,430400000.0,4.0,,,18,76,1
10077,Adv. Mobile Cannon,105176,1100027,,,101,77,100,1,1600000000.0,4.44416e+18,1.80423878216429e+25,5.66683977944357e+22,1,1,3,3,1,0.0,104077,107000,10000,1.21344e+25,1000,50,1000,0,77,110077,1.0,1,,,,,,120077,120077,0,1100027,,13.0,,478970000.0,4.0,,,18,77,1
10078,Adv. Beast Tank,105176,1100028,,,101,78,100,1,1900000000.0,5.332992e+18,3.78890144254501e+25,1.13336795588871e+23,1,1,3,3,1,0.0,104078,108000,10000,2.4576e+25,1000,50,1000,0,78,110078,1.0,1,,,,,,120078,120078,0,1100028,,15.0,,561310000.0,4.0,,,18,78,1
10079,Adv. T80 Tank,105176,1100029,,,101,79,100,1,2200000000.0,6.3995904e+18,7.95669302934452e+25,2.26673591177743e+23,1,1,3,3,1,0.0,104079,109000,10000,4.97664e+25,1000,50,1000,0,79,110079,1.0,1,,,,,,120079,120079,0,110047,,18.0,,650410000.0,4.0,,,18,79,1
10080,Adv. Tiger Tank,105176,1100030,,,101,80,100,1,2600000000.0,7.67950848e+18,1.67090553616235e+26,4.53347182355486e+23,1,1,3,3,1,0.0,104080,110000,10000,1.007616e+26,1000,50,1000,0,80,110080,1.0,1,,,,,,120080,120080,0,1100030,,20.0,,780000000.0,4.0,,,20,80,1
10081,Adv. Light Tank,105176,1100021,,,101,81,100,1,3000000000.0,1.535901696e+19,3.50890162594094e+26,9.06694364710972e+23,1,1,3,3,1,0.0,104081,111000,10000,2.039808e+26,1000,50,1000,0,81,110081,1.0,1,,,,,,120081,120081,0,1100021,,30.0,,900000000.0,4.0,,,20,81,1
10082,Adv. Infantry Tank,105176,1100022,,,101,82,100,1,3500000000.0,3.071803392e+19,7.36869341447597e+26,1.81338872942194e+24,1,1,3,3,1,0.0,104082,112000,10000,4.128768e+26,1000,50,1000,0,82,110082,1.0,1,,,,,,120082,120082,0,1100022,,50.0,,1050000000.0,5.0,,,22,82,1
10083,Adv. Elite Tank,105176,1100023,,,101,83,100,1,4100000000.0,6.143606784e+19,1.54742561703995e+27,3.62677745884389e+24,1,1,3,3,1,0.0,104083,113000,10000,8.35584e+26,1000,50,1000,0,83,110083,1.0,1,,,,,,120083,120083,0,1100023,,50.0,,1230000000.0,5.0,,,22,83,1
10084,Adv. Camo Tank,105176,1100024,,,101,84,100,1,4800000000.0,1.2287213568e+20,3.2495937957839e+27,7.25355491768778e+24,1,1,3,3,1,0.0,104084,114000,10000,1.671168e+27,1000,50,1000,0,84,110084,1.0,1,,,,,,120084,120084,0,1100024,,50.0,,1440000000.0,5.0,,,22,84,1
10085,Adv. Armored Tank,105176,1100025,,,101,85,100,1,5600000000.0,2.4574427136e+20,6.82414697114619e+27,1.45071098353756e+25,1,1,3,3,1,0.0,104085,115000,10000,3.342336e+27,1000,50,1000,0,85,110085,1.0,1,,,,,,120085,120085,0,1100025,,50.0,,1680000000.0,5.0,,,22,85,1
