id,server,platform,fun,to,level
46,312,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,303,10
47,315,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,303,10
48,319,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,303,10
49,323,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,652,10
50,341,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,652,10
51,372,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,652,10
52,374,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,652,10
53,386,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,652,10
54,412,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,652,10
55,456,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|webgame|qqmini|qqwanba|qqgame,1,652,10
