id,tab,group_id,level,name,desc,type,parm1,parm2,parm3,unlock_condition,lvup_exp,lvup_cost,lvup_time,donation_exp,alliance_point,crit,crit_add_exp,crit_add_point,icon,alliance_coin
10406,1,10400,6,105156,104994,3,950002,1100,-1,10100;1,8760000,1;100000000,43200,1420,50,0,200,200,image/alliance_science/alliance_science_4,320
10407,1,10400,7,105156,104994,3,950002,1300,-1,10100;1,18760000,1;200000000,43200,2500,50,0,200,200,image/alliance_science/alliance_science_4,320
10408,1,10400,8,105156,104994,3,950002,1500,-1,10100;1,33760000,1;300000000,43200,3330,50,0,200,200,image/alliance_science/alliance_science_4,320
10409,1,10400,9,105156,104994,3,950002,1700,-1,10100;1,53760000,1;400000000,43200,4000,50,0,200,200,image/alliance_science/alliance_science_4,320
10410,1,10400,10,105156,104994,3,950002,1900,-1,10100;1,0,1;0,0,0,50,0,200,200,image/alliance_science/alliance_science_4,320
10500,1,10500,0,Alliance Welfare,The Alliance Welfare is sent everyday from {hour:8}:00 (there could be a delay). Only Alliance members will be able to collect it.,5,0,0,-1,10100;1,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_504,320
10501,1,10500,1,Alliance Welfare,The Alliance Welfare is sent everyday from {hour:8}:00 (there could be a delay). Only Alliance members will be able to collect it.,5,201,0,-1,10100;1,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_504,320
10502,1,10500,2,Alliance Welfare,The Alliance Welfare is sent everyday from {hour:8}:00 (there could be a delay). Only Alliance members will be able to collect it.,5,202,0,-1,10100;1,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_504,320
10503,1,10500,3,Alliance Welfare,The Alliance Welfare is sent everyday from {hour:8}:00 (there could be a delay). Only Alliance members will be able to collect it.,5,203,0,-1,10100;1,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_504,320
10504,1,10500,4,Alliance Welfare,The Alliance Welfare is sent everyday from {hour:8}:00 (there could be a delay). Only Alliance members will be able to collect it.,5,204,0,-1,10100;1,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_504,320
10505,1,10500,5,Alliance Welfare,The Alliance Welfare is sent everyday from {hour:8}:00 (there could be a delay). Only Alliance members will be able to collect it.,5,205,0,-1,10100;1,0,1;40000000,0,0,0,0,200,200,image/alliance_science/alliance_science_504,320
10600,1,10600,0,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,0,-1,10200;3,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_501,320
10601,1,10600,1,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,100,-1,10200;3,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_501,320
10602,1,10600,2,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,250,-1,10200;3,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_501,320
10603,1,10600,3,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,400,-1,10200;3,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_501,320
10604,1,10600,4,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,550,-1,10200;3,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_501,320
10605,1,10600,5,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,700,-1,10200;3,3760000,1;40000000,43200,660,50,0,200,200,image/alliance_science/alliance_science_501,320
10606,1,10600,6,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,850,-1,10200;3,8760000,1;100000000,43200,1420,50,0,200,200,image/alliance_science/alliance_science_501,320
10607,1,10600,7,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,1000,-1,10200;3,18760000,1;200000000,43200,2500,50,0,200,200,image/alliance_science/alliance_science_501,320
10608,1,10600,8,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,1150,-1,10200;3,33760000,1;300000000,43200,3330,50,0,200,200,image/alliance_science/alliance_science_501,320
10609,1,10600,9,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,1300,-1,10200;3,53760000,1;400000000,43200,4000,50,0,200,200,image/alliance_science/alliance_science_501,320
10610,1,10600,10,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,1450,-1,10200;3,83060000,1;500000000,43200,4800,50,0,200,200,image/alliance_science/alliance_science_501,320
10611,1,10600,11,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,1600,-1,10200;3,108660000,1;600000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_501,320
10612,1,10600,12,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,1750,-1,10200;3,133600000,1;700000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_501,320
10613,1,10600,13,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,1900,-1,10200;3,161360000,1;800000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_501,320
10614,1,10600,14,Firepower,Increase Attack for Alliance members within the Fortress Territory,3,1002001,2050,-1,10200;3,0,1;0,43200,0,50,0,200,200,image/alliance_science/alliance_science_501,320
10700,1,10700,0,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,0,-1,10300;3,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_502,320
10701,1,10700,1,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,100,-1,10300;3,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_502,320
10702,1,10700,2,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,250,-1,10300;3,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_502,320
10703,1,10700,3,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,400,-1,10300;3,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_502,320
10704,1,10700,4,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,550,-1,10300;3,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_502,320
10705,1,10700,5,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,700,-1,10300;3,3760000,1;40000000,43200,660,50,0,200,200,image/alliance_science/alliance_science_502,320
10706,1,10700,6,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,850,-1,10300;3,8760000,1;100000000,43200,1420,50,0,200,200,image/alliance_science/alliance_science_502,320
10707,1,10700,7,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,1000,-1,10300;3,18760000,1;200000000,43200,2500,50,0,200,200,image/alliance_science/alliance_science_502,320
10708,1,10700,8,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,1150,-1,10300;3,33760000,1;300000000,43200,3330,50,0,200,200,image/alliance_science/alliance_science_502,320
10709,1,10700,9,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,1300,-1,10300;3,53760000,1;400000000,43200,4000,50,0,200,200,image/alliance_science/alliance_science_502,320
10710,1,10700,10,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,1450,-1,10300;3,83060000,1;500000000,43200,4800,50,0,200,200,image/alliance_science/alliance_science_502,320
10711,1,10700,11,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,1600,-1,10300;3,108660000,1;600000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_502,320
10712,1,10700,12,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,1750,-1,10300;3,133600000,1;700000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_502,320
10713,1,10700,13,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,1900,-1,10300;3,161360000,1;800000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_502,320
10714,1,10700,14,State Security,Increase HP for Alliance members within the Fortress Territory,3,1002002,2050,-1,10300;3,0,1;0,43200,0,50,0,200,200,image/alliance_science/alliance_science_502,320
10800,1,10800,0,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,0,-1,10500;3,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_503,320
10801,1,10800,1,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,100,-1,10500;3,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_503,320
10802,1,10800,2,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,250,-1,10500;3,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_503,320
10803,1,10800,3,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,400,-1,10500;3,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_503,320
10804,1,10800,4,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,550,-1,10500;3,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_503,320
10805,1,10800,5,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,700,-1,10500;3,3760000,1;40000000,43200,660,50,0,200,200,image/alliance_science/alliance_science_503,320
10806,1,10800,6,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,850,-1,10500;3,8760000,1;100000000,43200,1420,50,0,200,200,image/alliance_science/alliance_science_503,320
10807,1,10800,7,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,1000,-1,10500;3,18760000,1;200000000,43200,2500,50,0,200,200,image/alliance_science/alliance_science_503,320
10808,1,10800,8,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,1150,-1,10500;3,33760000,1;300000000,43200,3330,50,0,200,200,image/alliance_science/alliance_science_503,320
10809,1,10800,9,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,1300,-1,10500;3,53760000,1;400000000,43200,4000,50,0,200,200,image/alliance_science/alliance_science_503,320
10810,1,10800,10,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,1450,-1,10500;3,83060000,1;500000000,43200,4800,50,0,200,200,image/alliance_science/alliance_science_503,320
10811,1,10800,11,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,1600,-1,10500;3,108660000,1;600000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_503,320
10812,1,10800,12,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,1750,-1,10500;3,133600000,1;700000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_503,320
10813,1,10800,13,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,1900,-1,10500;3,161360000,1;800000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_503,320
10814,1,10800,14,Load More,Increase troop load of gathering for the Alliance members within the Fort,3,1002003,2050,-1,10500;3,0,1;0,43200,0,50,0,200,200,image/alliance_science/alliance_science_503,320
10900,1,10900,0,Fast Combat,Increase marching speed to attack Dark Forces,3,960021,0,-1,10200;5,10000,1;200000,1800,20,0,0,200,200,image/alliance_science/alliance_science_601,0
10901,1,10900,1,Fast Combat,Increase marching speed to attack Dark Forces,3,960021,300,-1,10200;5,60000,1;1000000,7200,20,0,0,200,200,image/alliance_science/alliance_science_601,0
10902,1,10900,2,Fast Combat,Increase marching speed to attack Dark Forces,3,960021,500,-1,10200;5,260000,1;4000000,18000,20,0,0,200,200,image/alliance_science/alliance_science_601,0
10903,1,10900,3,Fast Combat,Increase marching speed to attack Dark Forces,3,960021,700,-1,10200;5,760000,1;10000000,28800,20,0,0,200,200,image/alliance_science/alliance_science_601,0
10904,1,10900,4,Fast Combat,Increase marching speed to attack Dark Forces,3,960021,900,-1,10200;5,1760000,1;20000000,36000,20,0,0,200,200,image/alliance_science/alliance_science_601,0
10905,1,10900,5,Fast Combat,Increase marching speed to attack Dark Forces,3,960021,1100,-1,10200;5,3760000,1;40000000,43200,20,0,0,200,200,image/alliance_science/alliance_science_601,0
10906,1,10900,6,Fast Combat,Increase marching speed to attack Dark Forces,3,960021,1300,-1,10200;5,8760000,1;100000000,43200,20,0,0,200,200,image/alliance_science/alliance_science_601,0
10907,1,10900,7,Fast Combat,Increase marching speed to attack Dark Forces,3,960021,1500,-1,10200;5,18760000,1;200000000,43200,20,0,0,200,200,image/alliance_science/alliance_science_601,0
10908,1,10900,8,Fast Combat,Increase marching speed to attack Dark Forces,3,960021,1700,-1,10200;5,33760000,1;300000000,43200,20,0,0,200,200,image/alliance_science/alliance_science_601,0
10909,1,10900,9,Fast Combat,Increase marching speed to attack Dark Forces,3,960021,1900,-1,10200;5,53760000,1;400000000,43200,20,0,0,200,200,image/alliance_science/alliance_science_601,0
10910,1,10900,10,Fast Combat,Increase marching speed to attack Dark Forces,3,960021,2100,-1,10200;5,0,1;0,0,0,0,0,200,200,image/alliance_science/alliance_science_601,0
20100,2,20100,0,105157,105158,3,920800,0,-1,-1,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_5,320
20101,2,20100,1,105157,105158,3,920800,300,-1,-1,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_5,320
20102,2,20100,2,105157,105158,3,920800,500,-1,-1,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_5,320
20103,2,20100,3,105157,105158,3,920800,700,-1,-1,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_5,320
20104,2,20100,4,105157,105158,3,920800,900,-1,-1,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_5,320
20105,2,20100,5,105157,105158,3,920800,1100,-1,-1,3760000,1;40000000,43200,660,50,0,200,200,image/alliance_science/alliance_science_5,320
20106,2,20100,6,105157,105158,3,920800,1300,-1,-1,8760000,1;100000000,43200,1420,50,0,200,200,image/alliance_science/alliance_science_5,320
20107,2,20100,7,105157,105158,3,920800,1500,-1,-1,18760000,1;200000000,43200,2500,50,0,200,200,image/alliance_science/alliance_science_5,320
20108,2,20100,8,105157,105158,3,920800,1700,-1,-1,33760000,1;300000000,43200,3330,50,0,200,200,image/alliance_science/alliance_science_5,320
20109,2,20100,9,105157,105158,3,920800,1900,-1,-1,53760000,1;400000000,43200,4000,50,0,200,200,image/alliance_science/alliance_science_5,320
20110,2,20100,10,105157,105158,3,920800,2100,-1,-1,0,1;0,0,0,50,0,200,200,image/alliance_science/alliance_science_5,320
20200,2,20200,0,105159,105160,3,921002,0,-1,20100;3,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_6,320
20201,2,20200,1,105159,105160,3,921002,300,-1,20100;3,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_6,320
20202,2,20200,2,105159,105160,3,921002,500,-1,20100;3,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_6,320
20203,2,20200,3,105159,105160,3,921002,700,-1,20100;3,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_6,320
20204,2,20200,4,105159,105160,3,921002,900,-1,20100;3,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_6,320
20205,2,20200,5,105159,105160,3,921002,1100,-1,20100;3,3760000,1;40000000,43200,660,50,0,200,200,image/alliance_science/alliance_science_6,320
20206,2,20200,6,105159,105160,3,921002,1300,-1,20100;3,8760000,1;100000000,43200,1420,50,0,200,200,image/alliance_science/alliance_science_6,320
20207,2,20200,7,105159,105160,3,921002,1500,-1,20100;3,18760000,1;200000000,43200,2500,50,0,200,200,image/alliance_science/alliance_science_6,320
20208,2,20200,8,105159,105160,3,921002,1700,-1,20100;3,33760000,1;300000000,43200,3330,50,0,200,200,image/alliance_science/alliance_science_6,320
20209,2,20200,9,105159,105160,3,921002,1900,-1,20100;3,53760000,1;400000000,43200,4000,50,0,200,200,image/alliance_science/alliance_science_6,320
20210,2,20200,10,105159,105160,3,921002,2100,-1,20100;3,0,1;0,0,0,50,0,200,200,image/alliance_science/alliance_science_6,320
20300,2,20300,0,105161,105162,3,950004,0,-1,20200;3,2000000,1;40000000,1800,4000,50,0,200,200,image/alliance_science/alliance_science_7,320
20301,2,20300,1,105161,105162,3,950004,20,-1,20200;3,5000000,1;100000000,7200,5000,50,0,200,200,image/alliance_science/alliance_science_7,320
20302,2,20300,2,105161,105162,3,950004,40,-1,20200;3,10000000,1;200000000,18000,6660,50,0,200,200,image/alliance_science/alliance_science_7,320
20303,2,20300,3,105161,105162,3,950004,60,-1,20200;3,15000000,1;300000000,28800,7500,50,0,200,200,image/alliance_science/alliance_science_7,320
20304,2,20300,4,105161,105162,3,950004,80,-1,20200;3,20000000,1;400000000,36000,8000,50,0,200,200,image/alliance_science/alliance_science_7,320
20305,2,20300,5,105161,105162,3,950004,100,-1,20200;3,0,1;0,0,0,50,0,200,200,image/alliance_science/alliance_science_7,320
20400,2,20400,0,105163,105164,3,950005,0,-1,-1,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_8,320
20401,2,20400,1,105163,105164,3,950005,100,-1,-1,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_8,320
20402,2,20400,2,105163,105164,3,950005,250,-1,-1,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_8,320
20403,2,20400,3,105163,105164,3,950005,400,-1,-1,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_8,320
20404,2,20400,4,105163,105164,3,950005,550,-1,-1,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_8,320
20405,2,20400,5,105163,105164,3,950005,700,-1,-1,3760000,1;40000000,43200,660,50,0,200,200,image/alliance_science/alliance_science_8,320
20406,2,20400,6,105163,105164,3,950005,850,-1,-1,8760000,1;100000000,43200,1420,50,0,200,200,image/alliance_science/alliance_science_8,320
20407,2,20400,7,105163,105164,3,950005,1000,-1,-1,18760000,1;200000000,43200,2500,50,0,200,200,image/alliance_science/alliance_science_8,320
20408,2,20400,8,105163,105164,3,950005,1150,-1,-1,33760000,1;300000000,43200,3330,50,0,200,200,image/alliance_science/alliance_science_8,320
20409,2,20400,9,105163,105164,3,950005,1300,-1,-1,53760000,1;400000000,43200,4000,50,0,200,200,image/alliance_science/alliance_science_8,320
20410,2,20400,10,105163,105164,3,950005,1450,-1,-1,83060000,1;500000000,43200,4800,50,0,200,200,image/alliance_science/alliance_science_8,320
20411,2,20400,11,105163,105164,3,950005,1600,-1,-1,108660000,1;600000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_8,320
20412,2,20400,12,105163,105164,3,950005,1750,-1,-1,133600000,1;700000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_8,320
20413,2,20400,13,105163,105164,3,950005,1900,-1,-1,161360000,1;800000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_8,320
20414,2,20400,14,105163,105164,3,950005,2050,-1,-1,0,1;0,43200,0,50,0,200,200,image/alliance_science/alliance_science_8,320
20500,2,20500,0,105165,105166,3,950006,0,-1,20400;3,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_9,320
20501,2,20500,1,105165,105166,3,950006,100,-1,20400;3,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_9,320
20502,2,20500,2,105165,105166,3,950006,250,-1,20400;3,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_9,320
20503,2,20500,3,105165,105166,3,950006,400,-1,20400;3,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_9,320
20504,2,20500,4,105165,105166,3,950006,550,-1,20400;3,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_9,320
20505,2,20500,5,105165,105166,3,950006,700,-1,20400;3,3760000,1;40000000,43200,660,50,0,200,200,image/alliance_science/alliance_science_9,320
20506,2,20500,6,105165,105166,3,950006,850,-1,20400;3,8760000,1;100000000,43200,1420,50,0,200,200,image/alliance_science/alliance_science_9,320
20507,2,20500,7,105165,105166,3,950006,1000,-1,20400;3,18760000,1;200000000,43200,2500,50,0,200,200,image/alliance_science/alliance_science_9,320
20508,2,20500,8,105165,105166,3,950006,1150,-1,20400;3,33760000,1;300000000,43200,3330,50,0,200,200,image/alliance_science/alliance_science_9,320
20509,2,20500,9,105165,105166,3,950006,1300,-1,20400;3,53760000,1;400000000,43200,4000,50,0,200,200,image/alliance_science/alliance_science_9,320
20510,2,20500,10,105165,105166,3,950006,1450,-1,20400;3,83060000,1;500000000,43200,4800,50,0,200,200,image/alliance_science/alliance_science_9,320
20511,2,20500,11,105165,105166,3,950006,1600,-1,20400;3,108660000,1;600000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_9,320
20512,2,20500,12,105165,105166,3,950006,1750,-1,20400;3,133600000,1;700000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_9,320
20513,2,20500,13,105165,105166,3,950006,1900,-1,20400;3,161360000,1;800000000,43200,5000,50,0,200,200,image/alliance_science/alliance_science_9,320
20514,2,20500,14,105165,105166,3,950006,2050,-1,20400;3,0,1;0,43200,0,50,0,200,200,image/alliance_science/alliance_science_9,320
20600,2,20600,0,105167,105168,3,950007,0,-1,20500;3,10000,1;200000,1800,20,50,0,200,200,image/alliance_science/alliance_science_10,320
20601,2,20600,1,105167,105168,3,950007,100,-1,20500;3,60000,1;1000000,7200,50,50,0,200,200,image/alliance_science/alliance_science_10,320
20602,2,20600,2,105167,105168,3,950007,250,-1,20500;3,260000,1;4000000,18000,130,50,0,200,200,image/alliance_science/alliance_science_10,320
20603,2,20600,3,105167,105168,3,950007,400,-1,20500;3,760000,1;10000000,28800,250,50,0,200,200,image/alliance_science/alliance_science_10,320
20604,2,20600,4,105167,105168,3,950007,550,-1,20500;3,1760000,1;20000000,36000,400,50,0,200,200,image/alliance_science/alliance_science_10,320
20605,2,20600,5,105167,105168,3,950007,700,-1,20500;3,3760000,1;40000000,43200,660,50,0,200,200,image/alliance_science/alliance_science_10,320
