id,name,desc,build_type,build_level,height,width,prefab,building_image,ligeance_height,ligeance_width,force_capacity,coordinate,effect,value,effect_icon,enemy,first_reward,honor,first_condition,open_cycle,defense_cycle,build_prefab,offset,build_resource,build_time,army_speed,durable,jurisdiction,build_count,unlock_arena,base_area,little_map,thumbnail_image,thumbnail_pos,door_area,map_zoom_icon,season_id
6001304,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,643;111,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,917;-83,,,0
6001305,Expedition Base,Conquer the Expedition Base in the Perimeter of the Eternal Land stage; you can start to rebuild the Expedition Base. Achieve the reconstruction goal may change the territory color and get rewards,4,1,2,2,,military_base,10,10,1200,521;135,,,,70102,7300131,200|200,172800,43200,43200,,,,,,,,,,3,1,military_base,788;-91,,,0
6001306,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,415;255,,,,70102,7300138,,259200,,,,,,,,,,,11|3,,0,door_heng,616;-167,3,image/world_simple/world_simple_kvk_level,0
6001307,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,473;255,,,,70102,7300139,,259200,,,,,,,,,,,11|3,,0,door_heng,696;-174,3,image/world_simple/world_simple_kvk_level,0
6001308,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,519;257,,,,70102,7300140,,259200,,,,,,,,,,,11|3,,0,door_heng,774;-181,3,image/world_simple/world_simple_kvk_level,0
6001309,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,553;255,,,,70102,7300141,,259200,,,,,,,,,,,11|3,,0,door_heng,844;-184,3,image/world_simple/world_simple_kvk_level,0
6001401,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,713;323,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,1017;-185,,,0
6001402,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,679;425,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,944;-234,,,0
6001403,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,723;615,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,1017;-359,,,0
6001404,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,684;706,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,995;-422,,,0
6001405,Expedition Base,Conquer the Expedition Base in the Perimeter of the Eternal Land stage; you can start to rebuild the Expedition Base. Achieve the reconstruction goal may change the territory color and get rewards,4,1,2,2,,military_base,10,10,1200,706;506,,,,70102,7300131,200|200,172800,43200,43200,,,,,,,,,,4,1,military_base,988;-284,,,0
6001406,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,right_level,10,10,1200,640;436,,,,70102,7300138,,259200,,,,,,,,,,,12|4,,0,door_shu,889;-282,4,image/world_simple/world_simple_kvk_level_vertical,0
6001407,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,right_level,10,10,1200,641;525,,,,70102,7300139,,259200,,,,,,,,,,,12|4,,0,door_shu,908;-328,4,image/world_simple/world_simple_kvk_level_vertical,0
6001408,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,right_level,10,10,1200,640;610,,,,70102,7300140,,259200,,,,,,,,,,,12|4,,0,door_shu,930;-383,4,image/world_simple/world_simple_kvk_level_vertical,0
6001409,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,right_level,10,10,1200,640;696,,,,70102,7300141,,259200,,,,,,,,,,,12|4,,0,door_shu,943;-445,4,image/world_simple/world_simple_kvk_level_vertical,0
6001501,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,721;845,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,1027;-521,,,0
6001502,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,683;955,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,992;-578,,,0
6001503,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,684;1098,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,989;-716,,,0
6001504,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,713;1245,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,1039;-766,,,0
6001505,Expedition Base,Conquer the Expedition Base in the Perimeter of the Eternal Land stage; you can start to rebuild the Expedition Base. Achieve the reconstruction goal may change the territory color and get rewards,4,1,2,2,,military_base,10,10,1200,715;1023,,,,70102,7300131,200|200,172800,43200,43200,,,,,,,,,,5,1,military_base,1013;-644,,,0
6001506,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,right_level,10,10,1200,641;847,,,,70102,7300138,,259200,,,,,,,,,,,12|5,,0,door_shu,925;-521,5,image/world_simple/world_simple_kvk_level_vertical,0
6001507,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,right_level,10,10,1200,641;905,,,,70102,7300139,,259200,,,,,,,,,,,12|5,,0,door_shu,908;-573,5,image/world_simple/world_simple_kvk_level_vertical,0
6001508,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,right_level,10,10,1200,640;992,,,,70102,7300140,,259200,,,,,,,,,,,12|5,,0,door_shu,928;-629,5,image/world_simple/world_simple_kvk_level_vertical,0
6001509,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,right_level,10,10,1200,640;1080,,,,70102,7300141,,259200,,,,,,,,,,,12|5,,0,door_shu,924;-708,5,image/world_simple/world_simple_kvk_level_vertical,0
6001601,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,427;1467,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,626;-982,,,0
6001602,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,463;1359,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,696;-942,,,0
6001603,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,610;1350,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,846;-903,,,0
6001604,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,632;1456,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,919;-907,,,0
6001605,Expedition Base,Conquer the Expedition Base in the Perimeter of the Eternal Land stage; you can start to rebuild the Expedition Base. Achieve the reconstruction goal may change the territory color and get rewards,4,1,2,2,,military_base,10,10,1200,530;1404,,,,70102,7300131,200|200,172800,43200,43200,,,,,,,,,,6,1,military_base,790;-964,,,0
6001606,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,417;1279,,,,70102,7300138,,259200,,,,,,,,,,,13|6,,0,door_heng,596;-881,6,image/world_simple/world_simple_kvk_level,0
6001607,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,463;1281,,,,70102,7300139,,259200,,,,,,,,,,,13|6,,0,door_heng,655;-880,6,image/world_simple/world_simple_kvk_level,0
6001608,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,501;1281,,,,70102,7300140,,259200,,,,,,,,,,,13|6,,0,door_heng,732;-873,6,image/world_simple/world_simple_kvk_level,0
6001609,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,551;1279,,,,70102,7300141,,259200,,,,,,,,,,,13|6,,0,door_heng,794;-857,6,image/world_simple/world_simple_kvk_level,0
6001701,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,106;1440,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,148;-935,,,0
6001702,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,173;1359,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,223;-936,,,0
6001703,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,315;1349,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,382;-925,,,0
6001704,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,305;1465,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,443;-973,,,0
6001705,Expedition Base,Conquer the Expedition Base in the Perimeter of the Eternal Land stage; you can start to rebuild the Expedition Base. Achieve the reconstruction goal may change the territory color and get rewards,4,1,2,2,,military_base,10,10,1200,241;1411,,,,70102,7300131,200|200,172800,43200,43200,,,,,,,,,,7,1,military_base,308;-911,,,0
6001706,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,221;1279,,,,70102,7300138,,259200,,,,,,,,,,,13|7,,0,door_heng,300;-839,7,image/world_simple/world_simple_kvk_level,0
6001707,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,289;1279,,,,70102,7300139,,259200,,,,,,,,,,,13|7,,0,door_heng,365;-847,7,image/world_simple/world_simple_kvk_level,0
6001708,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,329;1279,,,,70102,7300140,,259200,,,,,,,,,,,13|7,,0,door_heng,437;-862,7,image/world_simple/world_simple_kvk_level,0
6001709,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,361;1279,,,,70102,7300141,,259200,,,,,,,,,,,13|7,,0,door_heng,490;-880,7,image/world_simple/world_simple_kvk_level,0
6001801,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,42;822,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,87;-553,,,0
6001802,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,85;889,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,111;-617,,,0
6001803,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,93;1149,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,115;-765,,,0
6001804,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,39;1215,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,77;-822,,,0
6001805,Expedition Base,Conquer the Expedition Base in the Perimeter of the Eternal Land stage; you can start to rebuild the Expedition Base. Achieve the reconstruction goal may change the territory color and get rewards,4,1,2,2,,military_base,10,10,1200,49;1023,,,,70102,7300131,200|200,172800,43200,43200,,,,,,,,,,8,1,military_base,92;-698,,,0
6001806,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,left_level,10,10,1200,128;834,,,,70102,7300138,,259200,,,,,,,,,,,14|8,,0,door_shu,194;-540,8,image/world_simple/world_simple_kvk_level_vertical,0
6001807,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,left_level,10,10,1200,128;902,,,,70102,7300139,,259200,,,,,,,,,,,14|8,,0,door_shu,194;-623,8,image/world_simple/world_simple_kvk_level_vertical,0
6001808,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,left_level,10,10,1200,128;986,,,,70102,7300140,,259200,,,,,,,,,,,14|8,,0,door_shu,177;-706,8,image/world_simple/world_simple_kvk_level_vertical,0
6001809,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,left_level,10,10,1200,128;1092,,,,70102,7300141,,259200,,,,,,,,,,,14|8,,0,door_shu,183;-781,8,image/world_simple/world_simple_kvk_level_vertical,0
6002101,Arsenal,The Arsenal comes with rich bonuses. Conquering the Arsenal will increase the Alliance and Warzone honor faster.,5,1,2,2,,xiaowangchengbao,10,10,1200,239;291,1101042,400,effect_icon007,70103,7300132,100|100,432000,43200,43200,,,,,,,,,,,0,xiaowangchengbao,452;-239,,,0
6002102,Arsenal,The Arsenal comes with rich bonuses. Conquering the Arsenal will increase the Alliance and Warzone honor faster.,5,1,2,2,,xiaowangchengbao,10,10,1200,527;291,1101042,400,effect_icon007,70103,7300132,100|100,432000,43200,43200,,,,,,,,,,,0,xiaowangchengbao,699;-226,,,0
6002103,Military Base,The Military Base comes with rich bonuses. Conquering the Military Base will increase the Alliance and Warzone honor faster.,5,1,2,2,,xiaowangchengbao,10,10,1200,293;339,1101042,400,effect_icon007,70103,7300132,100|100,432000,43200,43200,,,,,,,,,,,0,xiaowangchengbao,522;-259,,,0
6002104,Military Base,The Military Base comes with rich bonuses. Conquering the Military Base will increase the Alliance and Warzone honor faster.,5,1,2,2,,xiaowangchengbao,10,10,1200,481;339,1101042,400,effect_icon007,70103,7300132,100|100,432000,43200,43200,,,,,,,,,,,0,xiaowangchengbao,645;-263,,,0
6002105,Military Fortress,The Military Fortress comes with rich bonuses. Conquering the Military Fortress will increase the Alliance and Warzone honor faster.,6,1,2,2,,jianzhu1,10,10,1200,383;325,930000,1000,effect_icon008,70103,7300133,600|600,518400,43200,43200,,,,,,,,,,,3,jianzhu1,588;-245,,,0
6002106,Lv.2 Gate,The gate connects two areas; only by conquering the gate can allies interact between two areas.,9,2,2,2,,positive_level,10,10,1200,287;383,,,,70103,7300138,,604800,,,,,,,,,,,21|11,,0,door_heng,482;-321,11,image/world_simple/world_simple_kvk_level,0
6002107,Lv.2 Gate,The gate connects two areas; only by conquering the gate can allies interact between two areas.,9,2,2,2,,positive_level,10,10,1200,383;383,,,,70103,7300139,,604800,,,,,,,,,,,21|11,,0,door_heng,566;-328,11,image/world_simple/world_simple_kvk_level,0
6002108,Lv.2 Gate,The gate connects two areas; only by conquering the gate can allies interact between two areas.,9,2,2,2,,positive_level,10,10,1200,483;383,,,,70103,7300140,,604800,,,,,,,,,,,21|11,,0,door_heng,641;-331,11,image/world_simple/world_simple_kvk_level,0
6003101,Arsenal,The Arsenal comes with rich bonuses. Conquering the Arsenal will increase the Alliance and Warzone honor faster.,5,1,2,2,,xiaowangchengbao,10,10,1200,609;483,1101042,400,effect_icon007,70103,7300132,100|100,432000,43200,43200,,,,,,,,,,,0,xiaowangchengbao,851;-360,,,0
6003102,Arsenal,The Arsenal comes with rich bonuses. Conquering the Arsenal will increase the Alliance and Warzone honor faster.,5,1,2,2,,xiaowangchengbao,10,10,1200,612;1058,1101042,400,effect_icon007,70103,7300132,100|100,432000,43200,43200,,,,,,,,,,,0,xiaowangchengbao,845;-638,,,0
6003103,Military Base,The Military Base comes with rich bonuses. Conquering the Military Base will increase the Alliance and Warzone honor faster.,5,1,2,2,,xiaowangchengbao,10,10,1200,613;627,1101042,400,effect_icon007,70103,7300132,100|100,432000,43200,43200,,,,,,,,,,,0,xiaowangchengbao,846;-422,,,0
6003104,Military Base,The Military Base comes with rich bonuses. Conquering the Military Base will increase the Alliance and Warzone honor faster.,5,1,2,2,,xiaowangchengbao,10,10,1200,610;884,1101042,400,effect_icon007,70103,7300132,100|100,432000,43200,43200,,,,,,,,,,,0,xiaowangchengbao,851;-575,,,0
6003105,Military Fortress,The Military Fortress comes with rich bonuses. Conquering the Military Fortress will increase the Alliance and Warzone honor faster.,6,1,2,2,,jianzhu1,10,10,1200,613;769,930000,1000,effect_icon008,70103,7300133,600|600,518400,43200,43200,,,,,,,,,,,3,jianzhu1,864;-495,,,0
6003106,Lv.2 Gate,The gate connects two areas; only by conquering the gate can allies interact between two areas.,9,2,2,2,,right_level,10,10,1200,575;619,,,,70103,7300138,,604800,,,,,,,,,,,21|12,,0,door_shu,761;-398,12,image/world_simple/world_simple_kvk_level_vertical,0
