id,condition,condition_id,condition_num,reward,reward_dis,reward_help,monster_id,monster_level,times,cost_energy,name,icon,des,guide_id
4024,0,0,0,257029,322001|303001|313001,,0,0,,10,Individual Commission,,Tap to view mission details,
4025,0,0,0,257030,322001|303001|313001,,0,0,,10,Individual Commission,,Tap to view mission details,
4026,0,0,0,257031,322001|303001|313001,,0,0,,10,Individual Commission,,Tap to view mission details,
4027,0,0,0,257032,322001|303001|313001,,0,0,,10,Individual Commission,,Tap to view mission details,
4028,0,0,0,251001,1700011;323001,251006,,0,600,10,Dark Legion Treasure,,,
4029,0,0,0,251002,1700011;323001,251007,,0,1200,10,Dark Legion Treasure,,,
4030,0,0,0,251003,1700011;323001,251008,,0,2700,10,Dark Legion Treasure,,,
4031,0,0,0,251004,1700011;323001,251009,,0,3600,10,Dark Legion Treasure,,,
4032,0,0,0,251005,1700011;323001,251010,,0,5400,10,Dark Legion Treasure,,,
4033,0,0,0,251011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4034,0,0,0,251012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4035,0,0,0,251013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4036,0,0,0,251014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4037,0,0,0,251015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4038,0,0,0,251011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4039,0,0,0,251012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4040,0,0,0,251013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4041,0,0,0,251014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4042,0,0,0,251015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4043,0,0,0,251011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4044,0,0,0,251012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4045,0,0,0,251013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4046,0,0,0,251014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4047,0,0,0,251015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4048,0,0,0,251011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4049,0,0,0,251012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4050,0,0,0,251013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4051,0,0,0,251014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4052,0,0,0,251015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4053,0,0,0,252001,1700011;323001,252006,,0,600,10,Dark Legion Treasure,,,
4054,0,0,0,252002,1700011;323001,252007,,0,1200,10,Dark Legion Treasure,,,
4055,0,0,0,252003,1700011;323001,252008,,0,2700,10,Dark Legion Treasure,,,
4056,0,0,0,252004,1700011;323001,252009,,0,3600,10,Dark Legion Treasure,,,
4057,0,0,0,252005,1700011;323001,252010,,0,5400,10,Dark Legion Treasure,,,
4058,0,0,0,252011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4059,0,0,0,252012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4060,0,0,0,252013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4061,0,0,0,252014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4062,0,0,0,252015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4063,0,0,0,252011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4064,0,0,0,252012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4065,0,0,0,252013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4066,0,0,0,252014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4067,0,0,0,252015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4068,0,0,0,252011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4069,0,0,0,252012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4070,0,0,0,252013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4071,0,0,0,252014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4072,0,0,0,252015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4073,0,0,0,252011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4074,0,0,0,252012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4075,0,0,0,252013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4076,0,0,0,252014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4077,0,0,0,252015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4078,0,0,0,253001,1700011;323001,253006,,0,600,10,Dark Legion Treasure,,,
4079,0,0,0,253002,1700011;323001,253007,,0,1200,10,Dark Legion Treasure,,,
4080,0,0,0,253003,1700011;323001,253008,,0,2700,10,Dark Legion Treasure,,,
4081,0,0,0,253004,1700011;323001,253009,,0,3600,10,Dark Legion Treasure,,,
4082,0,0,0,253005,1700011;323001,253010,,0,5400,10,Dark Legion Treasure,,,
4083,0,0,0,253011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4084,0,0,0,253012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4085,0,0,0,253013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4086,0,0,0,253014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4087,0,0,0,253015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4088,0,0,0,253011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4089,0,0,0,253012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4090,0,0,0,253013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4091,0,0,0,253014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4092,0,0,0,253015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4093,0,0,0,253011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4094,0,0,0,253012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4095,0,0,0,253013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4096,0,0,0,253014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4097,0,0,0,253015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4098,0,0,0,253011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4099,0,0,0,253012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4100,0,0,0,253013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4101,0,0,0,253014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4102,0,0,0,253015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4103,0,0,0,254001,1700011;323001,254006,,0,600,10,Dark Legion Treasure,,,
4104,0,0,0,254002,1700011;323001,254007,,0,1200,10,Dark Legion Treasure,,,
4105,0,0,0,254003,1700011;323001,254008,,0,2700,10,Dark Legion Treasure,,,
4106,0,0,0,254004,1700011;323001,254009,,0,3600,10,Dark Legion Treasure,,,
4107,0,0,0,254005,1700011;323001,254010,,0,5400,10,Dark Legion Treasure,,,
4108,0,0,0,254011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4109,0,0,0,254012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4110,0,0,0,254013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4111,0,0,0,254014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4112,0,0,0,254015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4113,0,0,0,254011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4114,0,0,0,254012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4115,0,0,0,254013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4116,0,0,0,254014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4117,0,0,0,254015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4118,0,0,0,254011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4119,0,0,0,254012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4120,0,0,0,254013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4121,0,0,0,254014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4122,0,0,0,254015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4123,0,0,0,254011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4124,0,0,0,254012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4125,0,0,0,254013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4126,0,0,0,254014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4127,0,0,0,254015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4128,0,0,0,255001,1700011;323001,255006,,0,600,10,Dark Legion Treasure,,,
4129,0,0,0,255002,1700011;323001,255007,,0,1200,10,Dark Legion Treasure,,,
4130,0,0,0,255003,1700011;323001,255008,,0,2700,10,Dark Legion Treasure,,,
4131,0,0,0,255004,1700011;323001,255009,,0,3600,10,Dark Legion Treasure,,,
4132,0,0,0,255005,1700011;323001,255010,,0,5400,10,Dark Legion Treasure,,,
4133,0,0,0,255011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4134,0,0,0,255012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4135,0,0,0,255013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4136,0,0,0,255014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4137,0,0,0,255015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4138,0,0,0,255011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4139,0,0,0,255012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4140,0,0,0,255013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4141,0,0,0,255014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4142,0,0,0,255015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4143,0,0,0,255011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4144,0,0,0,255012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4145,0,0,0,255013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4146,0,0,0,255014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4147,0,0,0,255015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4148,0,0,0,255011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4149,0,0,0,255012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4150,0,0,0,255013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4151,0,0,0,255014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4152,0,0,0,255015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4153,0,0,0,255001,1700011;323001,255006,,0,600,10,Dark Legion Treasure,,,
4154,0,0,0,255002,1700011;323001,255007,,0,1200,10,Dark Legion Treasure,,,
4155,0,0,0,255003,1700011;323001,255008,,0,2700,10,Dark Legion Treasure,,,
4156,0,0,0,255004,1700011;323001,255009,,0,3600,10,Dark Legion Treasure,,,
4157,0,0,0,255005,1700011;323001,255010,,0,5400,10,Dark Legion Treasure,,,
4158,0,0,0,255011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4159,0,0,0,255012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4160,0,0,0,255013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4161,0,0,0,255014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4162,0,0,0,255015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4163,0,0,0,255011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4164,0,0,0,255012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4165,0,0,0,255013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4166,0,0,0,255014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4167,0,0,0,255015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4168,0,0,0,255011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4169,0,0,0,255012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4170,0,0,0,255013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4171,0,0,0,255014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4172,0,0,0,255015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4173,0,0,0,255011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4174,0,0,0,255012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4175,0,0,0,255013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4176,0,0,0,255014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4177,0,0,0,255015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4178,0,0,0,256001,1700011;323001,256006,,0,600,10,Dark Legion Treasure,,,
4179,0,0,0,256002,1700011;323001,256007,,0,1200,10,Dark Legion Treasure,,,
4180,0,0,0,256003,1700011;323001,256008,,0,2700,10,Dark Legion Treasure,,,
4181,0,0,0,256004,1700011;323001,256009,,0,3600,10,Dark Legion Treasure,,,
4182,0,0,0,256005,1700011;323001,256010,,0,5400,10,Dark Legion Treasure,,,
4183,0,0,0,256011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4184,0,0,0,256012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4185,0,0,0,256013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4186,0,0,0,256014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4187,0,0,0,256015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4188,0,0,0,256011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4189,0,0,0,256012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4190,0,0,0,256013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4191,0,0,0,256014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4192,0,0,0,256015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4193,0,0,0,256011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4194,0,0,0,256012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4195,0,0,0,256013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4196,0,0,0,256014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4197,0,0,0,256015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4198,0,0,0,256011,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4199,0,0,0,256012,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4200,0,0,0,256013,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4201,0,0,0,256014,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4202,0,0,0,256015,1700040;1800001,,0,0,,10,Individual Commission,,Tap to view mission details,
4301,201,51;52;53;41;42;43;21;22;23;24;25;26;27;28;29;1;2;3;1215001;1215101;1215201,1,,,,0,0,,10,Dark Legion Remnant,,Attack the Dark Legion {0},
4302,201,51;52;53;41;42;43;21;22;23;24;25;26;27;28;29;1;2;3;1215001;1215101;1215201,2,,,,0,0,,10,Dark Legion Remnant,,Attack the Dark Legion {0},
4303,201,51;52;53;41;42;43;21;22;23;24;25;26;27;28;29;1;2;3;1215001;1215101;1215201,3,,,,0,0,,10,Dark Legion Remnant,,Attack the Dark Legion {0},
4304,201,51;52;53;41;42;43;21;22;23;24;25;26;27;28;29;1;2;3;1215001;1215101;1215201,4,,,,0,0,,10,Dark Legion Remnant,,Attack the Dark Legion {0},
4305,201,51;52;53;41;42;43;21;22;23;24;25;26;27;28;29;1;2;3;1215001;1215101;1215201,5,,,,0,0,,10,Dark Legion Remnant,,Attack the Dark Legion {0},
10000,201,,1,,,,91;92;93,5,,,Dark Legion Remnant,,,
10001,202,94,1,,,,94,2,,,Dark Legion Fort,,,
10011,0,0,0,250001,1700011;323001,250006,,0,600,10,Dark Legion Treasure,,,
10012,0,0,0,250002,1700011;323001,250007,,0,1200,10,Dark Legion Treasure,,,
10013,0,0,0,250003,1700011;323001,250008,,0,2700,10,Dark Legion Treasure,,,
10014,0,0,0,250004,1700011;323001,250009,,0,3600,10,Dark Legion Treasure,,,
10015,0,0,0,250005,1700011;323001,250010,,0,5400,10,Dark Legion Treasure,,,
10021,0,0,0,257014,300001|310001|323001,,0,0,,10,Rescue Mission,,Tap to view mission details,
10022,0,0,0,257015,300001|310001|323001,,0,0,,10,Rescue Mission,,Tap to view mission details,
10023,0,0,0,257016,300001|310001|323001,,0,0,,10,Rescue Mission,,Tap to view mission details,
10024,0,0,0,257016,300001|310001|323001,,0,0,,10,Rescue Mission,,Tap to view mission details,
10025,0,0,0,257017,300001|310001|323001,,0,0,,10,Rescue Mission,,Tap to view mission details,
10031,201,51;52;53;41;42;43;21;22;23;24;25;26;27;28;29;1;2;3;1215001;1215101;1215201,1,,,,0,0,,0,Dark Legion Remnant,,Attack the Dark Legion {0},
10032,201,51;52;53;41;42;43;21;22;23;24;25;26;27;28;29;1;2;3;1215001;1215101;1215201,2,,,,0,0,,0,Dark Legion Remnant,,Attack the Dark Legion {0},
10033,201,51;52;53;41;42;43;21;22;23;24;25;26;27;28;29;1;2;3;1215001;1215101;1215201,3,,,,0,0,,0,Dark Legion Remnant,,Attack the Dark Legion {0},
10034,201,51;52;53;41;42;43;21;22;23;24;25;26;27;28;29;1;2;3;1215001;1215101;1215201,4,,,,0,0,,0,Dark Legion Remnant,,Attack the Dark Legion {0},
10035,201,51;52;53;41;42;43;21;22;23;24;25;26;27;28;29;1;2;3;1215001;1215101;1215201,5,,,,0,0,,0,Dark Legion Remnant,,Attack the Dark Legion {0},
10036,0,0,0,257014,300001|310001|323001,,0,0,,10,Rescue Mission,,Tap to view mission details,
10206,0,0,0,,,,0,0,,10,Individual Commission,,You discovered one of the Dark Legion's secret bases. Cut off the power supply to see what happens.,
10207,0,0,0,,,,0,0,,10,Individual Commission,,The Dark Legion is onto something... Enter the correct code to disarm the bomb.,
100000,501,,1,257014,300001|310001|323001,,0,0,,,,,Team work is better than fighting alone!\nJoin an alliance and develop the server with your friends!,3601
100001,502,,1,257014,300001|310001|323001,,0,0,,,,,Commander; each member is responsible for contributing to the Alliance!\nPlease make a donation to the alliance!,61000
100002,0,,1,257014,300001|310001|323001,,0,0,,,,,A "mysterious signal" from an unidentified source. We should check what's going on there...,
