medal_sci_id,medal_sci_group,medal_sci_icon,medal_sci_lv_icon,medal_sci_name_key,medal_sci_Lv,medal_sci_max_Lv,medal_group,medal_sci_map,medal_sci_forward,medal_sci_forward_lv1,medal_sci_forward_lv1_num1,medal_sci_forward_key1,medal_sci_forward_key_num1,medal_sci_forward_key2,medal_sci_forward_key_num2,medal_sci_buff,medal_sci_num,medal_sci_key,medal_sci_key_num,medal_sci_key_num_2,medal_sci_item1,medal_sci_item_num1,medal_sci_item2,medal_sci_item_num2,medal_sci_resource,medal_sci_resource_num,medal_sci_time,medal_sci_lv_num,power
100100401,1001004,medal_sci_1_4,medal_sci_lv_icon_1,Navy Armor Improv.,1,5,1001,2;5,100100105,1,55,Increase DEF of Army,55,,,990204,60,Increase DEF of Navy,0.6,1600,9992001,45,302001,12,0,0.0,360,1,100
100100402,1001004,medal_sci_1_4,medal_sci_lv_icon_2,Navy Armor Improv.,2,5,1001,2;5,100100105,1,55,Increase DEF of Army,55,,,990204,120,Increase DEF of Navy,1.2,1700,9992001,50,302001,20,0,0.0,400,1,200
100100403,1001004,medal_sci_1_4,medal_sci_lv_icon_3,Navy Armor Improv.,3,5,1001,2;5,100100105,1,55,Increase DEF of Army,55,,,990204,180,Increase DEF of Navy,1.8,1800,9992001,58,302001,28,0,0.0,450,1,300
100100404,1001004,medal_sci_1_4,medal_sci_lv_icon_4,Navy Armor Improv.,4,5,1001,2;5,100100105,1,56,Increase DEF of Army,56,,,990204,240,Increase DEF of Navy,2.4,1900,9992001,68,302001,36,0,0.0,500,1,400
100100405,1001004,medal_sci_1_4,medal_sci_lv_icon_5,Navy Armor Improv.,5,5,1001,2;5,100100105,1,56,Increase DEF of Army,56,,,990204,300,Increase DEF of Navy,3,2000,9992001,77,302001,44,0,0.0,530,1,500
100100500,1001005,medal_sci_1_5,medal_sci_lv_icon_1,Tier-2 Highest Alert,0,5,1001,3;3,100100205|100100305|100100405,1,,,,,,990202,0,Increase DEF of all units,0,0,9992001,0,323001,0,0,0.0,0,0,0
100100501,1001005,medal_sci_1_5,medal_sci_lv_icon_1,Tier-2 Highest Alert,1,5,1001,3;3,100100205|100100305|100100405,1,56,Increase DEF when attacking Dark Forces,56,,,990202,60,Increase DEF of all units,0.6,2100,9992001,115,323001,12,0,0.0,790,1,100
100100502,1001005,medal_sci_1_5,medal_sci_lv_icon_2,Tier-2 Highest Alert,2,5,1001,3;3,100100205|100100305|100100405,1,56,Increase DEF when attacking Dark Forces,56,,,990202,120,Increase DEF of all units,1.2,2200,9992001,150,323001,20,0,0.0,1050,1,200
100100503,1001005,medal_sci_1_5,medal_sci_lv_icon_3,Tier-2 Highest Alert,3,5,1001,3;3,100100205|100100305|100100405,1,56,Increase DEF when attacking Dark Forces,56,,,990202,180,Increase DEF of all units,1.8,2300,9992001,190,323001,28,0,0.0,1305,1,300
100100504,1001005,medal_sci_1_5,medal_sci_lv_icon_4,Tier-2 Highest Alert,4,5,1001,3;3,100100205|100100305|100100405,1,57,Increase DEF when attacking Dark Forces,57,,,990202,240,Increase DEF of all units,2.4,2400,9992001,225,323001,36,0,0.0,1565,1,400
100100505,1001005,medal_sci_1_5,medal_sci_lv_icon_5,Tier-2 Highest Alert,5,5,1001,3;3,100100205|100100305|100100405,1,57,Increase DEF when attacking Dark Forces,57,,,990202,300,Increase DEF of all units,3,2500,9992001,265,323001,44,0,0.0,1825,1,500
100100600,1001006,medal_sci_1_6,medal_sci_lv_icon_1,Justice Reps,0,5,1001,4;2,100100505,1,,,,,,990206,0,Increase DEF when attacking Dark Forces,0,0,9992001,0,300001,0,0,0.0,0,0,0
100100601,1001006,medal_sci_1_6,medal_sci_lv_icon_1,Justice Reps,1,5,1001,4;2,100100505,1,57,When gathering; increase DEF when getting attacked,57,,,990206,80,Increase DEF when attacking Dark Forces,0.8,2600,9992001,320,300001,12,0,0.0,2215,1,100
100100602,1001006,medal_sci_1_6,medal_sci_lv_icon_2,Justice Reps,2,5,1001,4;2,100100505,1,57,When gathering; increase DEF when getting attacked,57,,,990206,160,Increase DEF when attacking Dark Forces,1.6,2700,9992001,375,300001,20,0,0.0,2605,1,200
100100603,1001006,medal_sci_1_6,medal_sci_lv_icon_3,Justice Reps,3,5,1001,4;2,100100505,1,57,When gathering; increase DEF when getting attacked,57,,,990206,240,Increase DEF when attacking Dark Forces,2.4,2800,9992001,435,300001,28,0,0.0,2995,1,300
100100604,1001006,medal_sci_1_6,medal_sci_lv_icon_4,Justice Reps,4,5,1001,4;2,100100505,1,58,When gathering; increase DEF when getting attacked,58,,,990206,320,Increase DEF when attacking Dark Forces,3.2,2900,9992001,490,300001,36,0,0.0,3380,1,400
100100605,1001006,medal_sci_1_6,medal_sci_lv_icon_5,Justice Reps,5,5,1001,4;2,100100505,1,58,When gathering; increase DEF when getting attacked,58,,,990206,400,Increase DEF when attacking Dark Forces,4,3000,9992001,545,300001,44,0,0.0,3770,1,500
100100700,1001007,medal_sci_1_7,medal_sci_lv_icon_1,Safe Gathering,0,5,1001,4;4,100100505,1,,,,,,990207,0,When gathering; increase DEF when getting attacked,0,0,9992001,0,310001,0,0,0.0,0,0,0
100100701,1001007,medal_sci_1_7,medal_sci_lv_icon_1,Safe Gathering,1,5,1001,4;4,100100505,1,57,Increase DEF when attacking buildings,57,,,990207,80,When gathering; increase DEF when getting attacked,0.8,3100,9992001,320,310001,12,0,0.0,2215,1,100
100100702,1001007,medal_sci_1_7,medal_sci_lv_icon_2,Safe Gathering,2,5,1001,4;4,100100505,1,57,Increase DEF when attacking buildings,57,,,990207,160,When gathering; increase DEF when getting attacked,1.6,3200,9992001,375,310001,20,0,0.0,2605,1,200
100100703,1001007,medal_sci_1_7,medal_sci_lv_icon_3,Safe Gathering,3,5,1001,4;4,100100505,1,57,Increase DEF when attacking buildings,57,,,990207,240,When gathering; increase DEF when getting attacked,2.4,3300,9992001,435,310001,28,0,0.0,2995,1,300
100100704,1001007,medal_sci_1_7,medal_sci_lv_icon_4,Safe Gathering,4,5,1001,4;4,100100505,1,58,Increase DEF when attacking buildings,58,,,990207,320,When gathering; increase DEF when getting attacked,3.2,3400,9992001,490,310001,36,0,0.0,3380,1,400
100100705,1001007,medal_sci_1_7,medal_sci_lv_icon_5,Safe Gathering,5,5,1001,4;4,100100505,1,58,Increase DEF when attacking buildings,58,,,990207,400,When gathering; increase DEF when getting attacked,4,3500,9992001,545,310001,44,0,0.0,3770,1,500
100100800,1001008,medal_sci_1_8,medal_sci_lv_icon_1,Defend Mode,0,5,1001,5;2,100100605,1,,,,,,990208,0,Increase DEF when attacking buildings,0,0,9992001,0,300001,0,0,0.0,0,0,0
100100801,1001008,medal_sci_1_8,medal_sci_lv_icon_1,Defend Mode,1,5,1001,5;2,100100605,1,57,Increase DEF when defending buildings,57,,,990208,80,Increase DEF when attacking buildings,0.8,3600,9992001,625,300001,12,0,0.0,4290,1,100
100100802,1001008,medal_sci_1_8,medal_sci_lv_icon_2,Defend Mode,2,5,1001,5;2,100100605,1,57,Increase DEF when defending buildings,57,,,990208,160,Increase DEF when attacking buildings,1.6,3700,9992001,700,300001,20,0,0.0,4810,1,200
100100803,1001008,medal_sci_1_8,medal_sci_lv_icon_3,Defend Mode,3,5,1001,5;2,100100605,1,57,Increase DEF when defending buildings,57,,,990208,240,Increase DEF when attacking buildings,2.4,3800,9992001,775,300001,28,0,0.0,5325,1,300
100100804,1001008,medal_sci_1_8,medal_sci_lv_icon_4,Defend Mode,4,5,1001,5;2,100100605,1,58,Increase DEF when defending buildings,58,,,990208,320,Increase DEF when attacking buildings,3.2,3900,9992001,850,300001,36,0,0.0,5845,1,400
100100805,1001008,medal_sci_1_8,medal_sci_lv_icon_5,Defend Mode,5,5,1001,5;2,100100605,1,58,Increase DEF when defending buildings,58,,,990208,400,Increase DEF when attacking buildings,4,4000,9992001,925,300001,44,0,0.0,6365,1,500
100100900,1001009,medal_sci_1_9,medal_sci_lv_icon_1,Strategic Defense,0,5,1001,5;4,100100705,1,,,,,,990209,0,Increase DEF when defending buildings,0,0,9992001,0,310001,0,0,0.0,0,0,0
100100901,1001009,medal_sci_1_9,medal_sci_lv_icon_1,Strategic Defense,1,5,1001,5;4,100100705,1,57,All units ATK bonus,57,,,990209,80,Increase DEF when defending buildings,0.8,4100,9992001,625,310001,12,0,0.0,4290,1,100
100100902,1001009,medal_sci_1_9,medal_sci_lv_icon_2,Strategic Defense,2,5,1001,5;4,100100705,1,57,All units ATK bonus,57,,,990209,160,Increase DEF when defending buildings,1.6,4200,9992001,700,310001,20,0,0.0,4810,1,200
100100903,1001009,medal_sci_1_9,medal_sci_lv_icon_3,Strategic Defense,3,5,1001,5;4,100100705,1,57,All units ATK bonus,57,,,990209,240,Increase DEF when defending buildings,2.4,4300,9992001,775,310001,28,0,0.0,5325,1,300
100100904,1001009,medal_sci_1_9,medal_sci_lv_icon_4,Strategic Defense,4,5,1001,5;4,100100705,1,58,All units ATK bonus,58,,,990209,320,Increase DEF when defending buildings,3.2,4400,9992001,850,310001,36,0,0.0,5845,1,400
100100905,1001009,medal_sci_1_9,medal_sci_lv_icon_5,Strategic Defense,5,5,1001,5;4,100100705,1,58,All units ATK bonus,58,,,990209,400,Increase DEF when defending buildings,4,4500,9992001,925,310001,44,0,0.0,6365,1,500
100101000,1001010,medal_sci_1_10,medal_sci_lv_icon_1,Tier-3 Highest Alert,0,5,1001,6;3,100100805|100100905,1,,,,,,990202,0,Increase DEF of all units,0,0,9992001,0,323001,0,0,0.0,0,0,0
100101001,1001010,medal_sci_1_10,medal_sci_lv_icon_1,Tier-3 Highest Alert,1,5,1001,6;3,100100805|100100905,1,58,Air Force ATK bonus,58,,,990202,60,Increase DEF of all units,0.6,4600,9992001,1040,323001,12,0,0.0,7145,1,100
100101002,1001010,medal_sci_1_10,medal_sci_lv_icon_2,Tier-3 Highest Alert,2,5,1001,6;3,100100805|100100905,1,58,Air Force ATK bonus,58,,,990202,120,Increase DEF of all units,1.2,4700,9992001,1150,323001,20,0,0.0,7920,1,200
100101003,1001010,medal_sci_1_10,medal_sci_lv_icon_3,Tier-3 Highest Alert,3,5,1001,6;3,100100805|100100905,1,58,Air Force ATK bonus,58,,,990202,180,Increase DEF of all units,1.8,4800,9992001,1265,323001,28,0,0.0,8700,1,300
100101004,1001010,medal_sci_1_10,medal_sci_lv_icon_4,Tier-3 Highest Alert,4,5,1001,6;3,100100805|100100905,1,59,Air Force ATK bonus,59,,,990202,240,Increase DEF of all units,2.4,4900,9992001,1380,323001,36,0,0.0,9475,1,400
100101005,1001010,medal_sci_1_10,medal_sci_lv_icon_5,Tier-3 Highest Alert,5,5,1001,6;3,100100805|100100905,1,59,Air Force ATK bonus,59,,,990202,300,Increase DEF of all units,3,5000,9992001,1490,323001,44,0,0.0,10255,1,500
