id,icon,group_id,model,model_down,model_up,iconSrc,iconType,scale_home,scale_battle,click_sound,die_sound,skill,die_effect,afterdie_effect,move_effect,hit_ratio,is_screen_shake,gunfire_type,worker_offset,atlas_path,image_path,scale_para,x_para,y_para,color,new_model,new_model_down,new_model_up,new_icon,new_image_path,new_fight_up,new_fight_down,model_path,name
int,string,int,string,string,string,string,int,double,double,string,string,string,string,string,string,int,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
1024,army_tanke_lv4,1,army_tanke_lv4,army_tanke_lv4_down,army_tanke_lv4_up,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1.4,-1,0,,,,,,,,,army,
1025,army_tanke_lv5,1,army_tanke_lv5,army_tanke_lv5_down,army_tanke_lv5_up,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1.25,0,15,,,,,,,,,army,
1026,army_tanke_lv6,1,army_tanke_lv6,army_tanke_lv6_down,army_tanke_lv6_up,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1.23,0,15,,,,,,,,,army,
1027,army_tanke_lv7,1,army_tanke_lv7,army_tanke_lv7_down,army_tanke_lv7_up,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1.17,0,10,,,,,,,,,army,
1028,army_tanke_lv8,1,army_tanke_lv8,army_tanke_lv8_down,army_tanke_lv8_up,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1.2,0,5,,,,,,,,,army,
1029,army_tanke_lv9,1,army_tanke_lv9,army_tanke_lv9_down,army_tanke_lv9_up,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,0.88,0,15,,,,,,,,,army,
10210,army_tanke_lv10,1,army_tanke_lv10,army_tanke_lv10_down,army_tanke_lv10_up,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1.5,0,0,,,,,,,,,army,
10211,army_tanke_lv11,1,army_tanke_lv11,army_tanke_lv11_down,army_tanke_lv11_up,,,0.8,0.8,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,UI/ea_icon_production,0.46,0,0,,,,,,,,,army,
10212,army_tanke_lv12,1,army_tanke_lv12,army_tanke_lv12_down,army_tanke_lv12_up,,,0.8,0.8,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1.5,0,0,,,,,,,,,army,
10213,army_tanke_lv13,1,army_tanke_lv13,army_tanke_lv13_down,army_tanke_lv13_up,,,0.8,0.8,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1.35,0,0,,,,,,,,,army,
10214,army_tanke_lv14,1,army_tanke_lv14,army_tanke_lv14_down,army_tanke_lv14_up,,,0.8,0.8,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1.4,0,0,,,,,,,,,army,
10215,army_tanke_lv15,1,army_tanke_lv15,army_tanke_lv15_down,army_tanke_lv15_up,,,0.8,0.8,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1.35,0,0,,,,,,,,,army,
10216,army_tanke_lv16,1,army_tanke_lv16,army_tanke_lv16_down,army_tanke_lv16_up,,,0.8,0.8,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1.4,0,0,,,,,,,,,army,
1032,army_zhanche_lv2,1,army_zhanche_lv2,army_zhanche_lv2_down,army_zhanche_lv2_up,,,1.0,1.0,sound/army_zhanche_2,,301,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,army,
1033,army_zhanche_lv3,1,army_zhanche_lv3,army_zhanche_lv3_down,army_zhanche_lv3_up,,,1.0,1.0,sound/army_zhanche_3,,303,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,0.95,0,0,,,,,,,,,army,
2011,army_zhanjian_lv1,2,army_zhanjian_lv1,army_zhanjian_lv1_down,army_zhanjian_lv1_up,,,1.0,0.6,sound/army_zhanjian,,201,Effect_zhanjian_die,Effect_ranshao,Effect_zhanjian_run,36,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/navy,0.74,0,0,,,,,,,,,army,
2012,army_zhanjian_lv2,2,army_zhanjian_lv2,army_zhanjian_lv2_down,army_zhanjian_lv2_up,,,1.0,0.6,sound/army_zhanjian,,201,Effect_zhanjian_die,Effect_ranshao,Effect_zhanjian_run,36,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/navy,0.74,14,0,,,,,,,,,army,
2021,army_paoting_lv1,2,army_paoting_lv1,army_paoting_lv1_down,army_paoting_lv1_up,,,1.0,0.6,sound/army_paoting,,201,Effect_zhanjian_die,Effect_ranshao,Effect_zhanjian_run,36,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/navy,0.72,0,0,,,,,,,,,army,
2022,army_paoting_lv2,2,army_paoting_lv2,army_paoting_lv2_down,army_paoting_lv2_up,,,1.0,0.6,sound/army_paoting,,201,Effect_zhanjian_die,Effect_ranshao,Effect_zhanjian_run,36,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/navy,0.76,18,0,,,,,,,,,army,
2023,army_paoting_lv3,2,army_paoting_lv3,army_paoting_lv3_down,army_paoting_lv3_up,,,1.0,0.6,sound/army_paoting,,201,Effect_zhanjian_die,Effect_ranshao,Effect_zhanjian_run,36,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/navy,0.78,0,0,,,,,,,,,army,
2024,army_paoting_lv4,2,army_paoting_lv4,army_paoting_lv4_down,army_paoting_lv4_up,,,1.0,0.6,sound/army_paoting,,201,Effect_zhanjian_die,Effect_ranshao,Effect_zhanjian_run,36,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/navy,0.8,0,0,,,,,,,,,army,
2031,army_hangmu_lv1,2,army_hangmu_lv1,army_hangmu_lv1_down,army_hangmu_lv1_up,,,1.0,0.6,sound/army_hangmu,,201,Effect_zhanjian_die,Effect_ranshao,Effect_zhanjian_run,36,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/navy,0.58,0,0,,,,,,,,,army,
2032,army_hangmu_lv2,2,army_hangmu_lv2,army_hangmu_lv2_down,army_hangmu_lv2_up,,,1.0,0.6,sound/army_hangmu,,201,Effect_zhanjian_die,Effect_ranshao,Effect_zhanjian_run,36,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/navy,0.66,14,0,,,,,,,,,army,
3011,army_zhanji_lv1,3,army_zhanji_lv1,army_zhanji_lv1_down,army_zhanji_lv1_up,,,1.0,0.7,sound/army_zhanji,,102,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,0.9,0,0,,,,,,,,,army,
3012,army_zhanji_lv2,3,army_zhanji_lv2,army_zhanji_lv2_down,army_zhanji_lv2_up,,,1.0,0.7,sound/army_zhanji,,102,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,1.1,0,0,,,,,,,,,army,
3013,army_zhanji_lv3,3,army_zhanji_lv3,army_zhanji_lv3_down,army_zhanji_lv3_up,,,1.0,0.7,sound/army_zhanji,,302,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,1,0,4,,,,,,,,,army,
3014,army_zhanji_lv4,3,army_zhanji_lv4,army_zhanji_lv4_down,army_zhanji_lv4_up,,,1.0,0.7,sound/army_zhanji,,102,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,0.93,0,0,,,,,,,,,army,
3015,army_zhanji_lv5,3,army_zhanji_lv5,army_zhanji_lv5_down,army_zhanji_lv5_up,,,1.0,0.7,sound/army_zhanji,,101,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,0.85,0,0,,,,,,,,,army,
3016,army_zhanji_lv6,3,army_zhanji_lv6,army_zhanji_lv6_down,army_zhanji_lv6_up,,,1.0,0.7,sound/army_zhanji,,101,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,0.89,0,0,,,,,,,,,army,
3017,army_zhanji_lv7,3,army_zhanji_lv7,army_zhanji_lv7_down,army_zhanji_lv7_up,,,1.0,0.7,sound/army_zhanji,,302,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,0.95,0,0,,,,,,,,,army,
3018,army_zhanji_lv8,3,army_zhanji_lv8,army_zhanji_lv8_down,army_zhanji_lv8_up,,,1.0,0.7,sound/army_zhanji,,102,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,0.94,0,5,,,,,,,,,army,
3021,army_hongzhaji_lv1,3,army_hongzhaji_lv1,army_hongzhaji_lv1_down,army_hongzhaji_lv1_up,,,1.0,0.7,sound/army_hongzhaji,,301,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,0.97,0,0,,,,,,,,,army,
3022,army_hongzhaji_lv2,3,army_hongzhaji_lv2,army_hongzhaji_lv2_down,army_hongzhaji_lv2_up,,,1.0,0.7,sound/army_hongzhaji,,301,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,1,0,0,,,,,,,,,army,
3023,army_hongzhaji_lv3,3,army_hongzhaji_lv3,army_hongzhaji_lv3_down,army_hongzhaji_lv3_up,,,1.0,0.7,sound/army_hongzhaji,,301,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,0.86,0,0,,,,,,,,,army,
3024,army_hongzhaji_lv4,3,army_hongzhaji_lv4,army_hongzhaji_lv4_down,army_hongzhaji_lv4_up,,,1.0,0.7,sound/army_hongzhaji,,301,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,1.13,0,0,,,,,,,,,army,
3031,army_feiting_lv1,3,army_feiting_lv1,army_feiting_lv1_down,army_feiting_lv1_up,,,1.0,0.7,sound/army_airship,,302,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,1.08,0,0,,,,,,,,,army,
3032,army_feiting_lv2,3,army_feiting_lv2,army_feiting_lv2_down,army_feiting_lv2_up,,,1.0,0.7,sound/army_airship,,302,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,0.93,0,0,,,,,,,,,army,
3033,army_feiting_lv3,3,army_feiting_lv3,army_feiting_lv3_down,army_feiting_lv3_up,,,1.0,0.7,sound/army_airship,,302,Effect_feiji_die,,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/airforce,0.8,0,0,,,,,,,,,army,
9999,army_gou,1,army_gou,army_gou_down,army_gou_up,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1.2,0,10,,,,,,,,,army,
9998,zsw_xiaojinzhu,1,zsw_xiaojinzhu,zsw_xiaojinzhu_down,zsw_xiaojinzhu_up,,,1.0,1.2,sound/army_tank_3,,301,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/building,1.15,0,0,,,,,,,,,army,
9997,shijieboss,1,boss_zhizhu_tutorial,boss_zhizhu_tutorial,boss_zhizhu_tutorial,,,1.0,1.2,sound/army_tank_3,,1013;1012,Effect_tank_die,Effect_ranshao,,36,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/icon_army,1.42,0,0,,,,,,,,,army,
5001,lianmengboss,1,alliance_boss,alliance_boss,alliance_boss,,,1.0,1.2,sound/army_tank_3,,101,Effect_tank_die,Effect_ranshao,,36,1,90003,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/icon_army,1,0,0,,,,,,,,,army,
5010,lianmengboss7,1,alliance_boss7,alliance_boss7,alliance_boss7,,,1.0,1.2,sound/army_tank_3,,101,Effect_tank_die,Effect_ranshao,,36,1,90003,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/icon_army,1,0,0,,,,,,,,,army,
5020,lianmengboss8,1,alliance_boss8,alliance_boss8,alliance_boss8,,,1.0,1.2,sound/army_tank_3,,101,Effect_tank_die,Effect_ranshao,,36,1,90003,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/icon_army,1,0,0,,,,,,,,,army,
5030,lianmengboss9,1,alliance_boss9,alliance_boss9,alliance_boss9,,,1.0,1.2,sound/army_tank_3,,101,Effect_tank_die,Effect_ranshao,,36,1,90003,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/icon_army,1,0,0,,,,,,,,,army,
5040,lianmengboss10,1,alliance_boss10,alliance_boss10,alliance_boss10,,,1.0,1.2,sound/army_tank_3,,101,Effect_tank_die,Effect_ranshao,,36,1,90003,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/icon_army,1,0,0,,,,,,,,,army,
6010,lianmengboss7,1,alliance_boss17,alliance_boss17,alliance_boss17,,,1.0,1.2,sound/army_tank_3,,101,Effect_tank_die,Effect_ranshao,,36,1,90003,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/icon_army,1,0,0,,,,,,,,,army,
6020,lianmengboss8,1,alliance_boss18,alliance_boss18,alliance_boss18,,,1.0,1.2,sound/army_tank_3,,101,Effect_tank_die,Effect_ranshao,,36,1,90003,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/icon_army,1,0,0,,,,,,,,,army,
6030,lianmengboss9,1,alliance_boss19,alliance_boss19,alliance_boss19,,,1.0,1.2,sound/army_tank_3,,101,Effect_tank_die,Effect_ranshao,,36,1,90003,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/icon_army,1,0,0,,,,,,,,,army,
6040,lianmengboss10,1,alliance_boss20,alliance_boss20,alliance_boss20,,,1.0,1.2,sound/army_tank_3,,101,Effect_tank_die,Effect_ranshao,,36,1,90003,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/icon_army,1,0,0,,,,,,,,,army,
10005,army_bubing_new_lv5,1,army_bubing_new_lv5,army_bubing_new_lv5_down,army_bubing_new_lv5_up,,,1.0,1.0,sound/army_soldier_3,,101,Effect_die,,Effect_jiaoyin;Effect_jiaoyin,36,1,90002,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,army,
10006,army_bubing_new_lv6,1,army_bubing_new_lv6,army_bubing_new_lv6_down,army_bubing_new_lv6_up,,,1.0,1.0,sound/army_soldier_3,,101,Effect_die,,Effect_jiaoyin;Effect_jiaoyin,36,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,army,
10007,army_car_lv1,1,army_car_lv1,army_car_lv1_down,army_car_lv1,,,1.0,1.0,sound/army_tank_2,,101,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,army,
10008,army_car_lv2,1,army_car_lv2,army_car_lv2_down,army_car_lv2,,,1.0,1.0,sound/army_tank_2,,101,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,army,
10009,army_car_lv3,1,army_car_lv3,army_car_lv3_down,army_car_lv3,,,1.0,1.0,sound/army_tank_2,,101,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,army,
10010,army_car_lv4,1,army_car_lv4,army_car_lv4_down,army_car_lv4,,,1.0,1.0,sound/army_tank_2,,101,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,army,
10011,army_car_lv5,1,army_car_lv5,army_car_lv5_down,army_car_lv5,,,1.0,1.0,sound/army_tank_2,,102,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,professionArmy,
10012,army_car_lv6,1,army_car_lv6,army_car_lv6_down,army_car_lv6,,,1.0,1.0,sound/army_tank_2,,101,Effect_tank_die,Effect_ranshao,,75,1,90002,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,army,
10013,army_tank_lv1,1,army_tank_lv1,army_tank_lv1_down,army_tank_lv1,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,army,
10014,army_tank_lv2,1,army_tank_lv2,army_tank_lv2_down,army_tank_lv2,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,army,
10015,army_tank_lv3,1,army_tank_lv3,army_tank_lv3_down,army_tank_lv3,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,army,
10016,army_tank_lv4,1,army_tank_lv4,army_tank_lv4_down,army_tank_lv4,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,ffffff,,,,,,,,army,
10017,army_tank_lv4,1,army_tank_lv4,army_tank_lv4_down,army_tank_lv4,,,1.0,1.0,sound/army_tank_2,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,27e519,,,,,,,,army,
10018,army_tank_lv4,1,army_tank_lv4,army_tank_lv4_down,army_tank_lv4,,,1.0,1.0,sound/army_tank_2,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,19cfe5,,,,,,,,army,
10019,army_tank_lv4,1,army_tank_lv4,army_tank_lv4_down,army_tank_lv4,,,1.0,1.0,sound/army_tank_2,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,d0be2d,,,,,,,,army,
10020,army_tank_lv4,1,army_tank_lv4,army_tank_lv4_down,army_tank_lv4,,,1.0,1.0,sound/army_tank_2,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,e5192e,,,,,,,,army,
10021,army_tank_lv5,1,army_tank_lv5,army_tank_lv5_down,army_tank_lv5,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,ffffff,,,,,,,,professionArmy,
10022,army_tank_lv5,1,army_tank_lv5,army_tank_lv5_down,army_tank_lv5,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,90001,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,27e519,,,,,,,,army,
10023,army_tank_lv5,1,army_tank_lv5,army_tank_lv5_down,army_tank_lv5,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,19cfe5,,,,,,,,army,
10024,army_tank_lv5,1,army_tank_lv5,army_tank_lv5_down,army_tank_lv5,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,d0be2d,,,,,,,,army,
10025,army_tank_lv5,1,army_tank_lv5,army_tank_lv5_down,army_tank_lv5,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,e5192e,,,,,,,,army,
10026,army_tank_lv6,1,army_tank_lv6,army_tank_lv6_down,army_tank_lv6,,,1.0,1.0,sound/army_tank_2,,202,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,ffffff,,,,,,,,army,
10027,army_tank_lv6,1,army_tank_lv6,army_tank_lv6_down,army_tank_lv6,,,1.0,1.0,sound/army_tank_2,,202,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,27e519,,,,,,,,army,
10028,army_tank_lv6,1,army_tank_lv6,army_tank_lv6_down,army_tank_lv6,,,1.0,1.0,sound/army_tank_2,,202,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,19cfe5,,,,,,,,army,
