id,attack_effect_point,new_attack_effect,attack_effect,attack_before,attack_before_time,after_attack_effect,bullet_group,fire_sound,crater_size,hit_type,per_type,per_time,colour
2222013,,,B_20210127_lu_gongji,,,,2013,army_l_thor1_atk,1.0,10,1,400,#77D9A1
2222014,,B_20210218_L_gongji,,,,,2014,army_l_thor2_atk,,11,2,400,#77D9A1
2222015,,B_20210220_L_gongji,,B_20210220_X,350,,2015,army_l_thor3_atk,,,,,#77D9A1
2222021,,E_LS_chuan1_attack,,,,,2021,shipnavigate,1.0,1,,,#77D9A1
2222022,,E_LS_chuan2_attack,,,,,2022,shiphit,1.0,1,,,#77D9A1
2222023,,,B_20210127_H_gongji,,,,2023,army_h_thor1_atk,1.0,10,1,200,#77D9A1
2222024,,,B_20210218_H_gongji,,,,2024,army_h_thor2_atk,1.0,0,,,#77D9A1
2222025,,,B_20210220_H_gongji,,,,2025,army_h_thor3_atk,1.0,0,2,100,#77D9A1
2222031,,E_LS_feiji1_attack,,,,,2031,attack,1.0,1,,,#77D9A1
2222032,,E_LS_feiji2_attack,,,,,2032,machine_gun_fire_heavy,1.0,1,,,#77D9A1
2222033,,,B_20210126_k_gongji,,,,2033,army_k_thor1_atk,1.0,3,1,50,#77D9A1
2222034,,,B_20210218_k_gongji,,,,2034,army_k_thor2_atk,1.0,3,,,#77D9A1
2222035,,,B_20210220_K_gongji,,,,2035,army_k_thor3_atk,1.0,0,3,150,#77D9A1
3332011,,B_20201215_tanke1_attack,,,,,2011,tank_bullet_20,1.0,1,,,#5C47F8
3332012,,B_20201215_tanke2_attack,,,,,2012,shipfire02,1.0,1,,,#5C47F8
3332013,,,B_20210127_lu_gongji,,,,2013,army_l_thor1_atk,1.0,10,1,400,#5C47F8
3332014,,B_20210218_L_gongji,,,,,2014,army_l_thor2_atk,,11,2,400,#5C47F8
3332015,,B_20210220_L_gongji,,B_20210220_X,350,,2015,army_l_thor3_atk,,,,,#5C47F8
3332021,,E_LS_chuan1_attack,,,,,2021,shipnavigate,1.0,1,,,#5C47F8
3332022,,E_LS_chuan2_attack,,,,,2022,shiphit,1.0,1,,,#5C47F8
3332023,,,B_20210127_H_gongji,,,,2023,army_h_thor1_atk,1.0,10,1,200,#5C47F8
3332024,,,B_20210218_H_gongji,,,,2024,army_h_thor2_atk,1.0,0,,,#5C47F8
3332025,,,B_20210220_H_gongji,,,,2025,army_h_thor3_atk,1.0,0,2,100,#5C47F8
3332031,,E_LS_feiji1_attack,,,,,2031,attack,1.0,1,,,#5C47F8
3332032,,E_LS_feiji2_attack,,,,,2032,machine_gun_fire_heavy,1.0,1,,,#5C47F8
3332033,,,B_20210126_k_gongji,,,,2033,army_k_thor1_atk,1.0,3,1,50,#5C47F8
3332034,,,B_20210218_k_gongji,,,,2034,army_k_thor2_atk,1.0,3,,,#5C47F8
3332035,,,B_20210220_K_gongji,,,,2035,army_k_thor3_atk,1.0,0,3,150,#5C47F8
1019,,,,,,,2036,attack,1.0,10,2,400,
1020,,,,,,,2037,attack,1.0,10,2,400,
4001,,,B_20210323_H_gongji,,,,2038,tank_fire,1.0,0,,,
4002,,,B_20210323_K_gongji,,,,2039,tank_fire,1.0,0,,,
1021,,,,,,,2041,attack,1.0,0,,,
1022,,,B_20210715_Q_gongji,,,,2042,attack,1.0,0,,,
1024,,,B_20210715_D_gongji,,,,2044,attack,1.0,0,,,
4003,,,B_20210707_weizhentian_gongji,,,,2040,,,,,,
4010,,,B_20210726_juneng_dapao,,,,4010,attack,,,,,
4011,,,,,,,4011,attack,1.0,10,2,400,
