id,level,name,buff,need_exp,special_item_group,special_item_exp_times,notice_threshold,place_id
int,int,string,string,int,string,int,int,int
11303,113,Peripheral Mastery,930001|200,13300,400500|403900,20000,1400,3
11401,114,Weapon Mastery,930101|200,16800,400200|400500,20000,1300,1
11402,114,Defense Mastery,930001|200,16800,403800|403600,20000,1300,2
11403,114,Peripheral Mastery,930001|200,16800,400300|403500,20000,1300,3
11501,115,Weapon Mastery,930101|200,20600,403700|403500,20000,1200,1
11502,115,Defense Mastery,930001|200,20600,400400|403600,20000,1200,2
11503,115,Peripheral Mastery,930001|200,20600,403900|403800,20000,1200,3
11601,116,Weapon Mastery,930101|200,25500,400200|400300,20000,1100,1
11602,116,Defense Mastery,930001|200,25500,400100|403800,20000,1100,2
11603,116,Peripheral Mastery,930001|200,25500,400400|403900,20000,1100,3
11701,117,Weapon Mastery,930101|200,29400,400500|403500,20000,1000,1
11702,117,Defense Mastery,930001|200,29400,400100|403600,20000,1000,2
11703,117,Peripheral Mastery,930001|200,29400,400300|403700,20000,1000,3
11801,118,Weapon Mastery,930101|200,33900,400200|403700,20000,1000,1
11802,118,Defense Mastery,930001|200,33900,400100|400400,20000,1000,2
11803,118,Peripheral Mastery,930001|200,33900,400500|403900,20000,1000,3
11901,119,Weapon Mastery,930101|200,39100,400200|400500,20000,1000,1
11902,119,Defense Mastery,930001|200,39100,403800|403600,20000,1000,2
11903,119,Peripheral Mastery,930001|200,39100,400300|403500,20000,1000,3
12001,120,Weapon Mastery,930101|200,44800,403700|403500,20000,1000,1
12002,120,Defense Mastery,930001|200,44800,400400|403600,20000,1000,2
12003,120,Peripheral Mastery,930001|200,44800,403900|403800,20000,1000,3
12101,121,Weapon Mastery,930101|200,99999,400200|400300,20000,1700,1
12102,121,Defense Mastery,930001|200,99999,400100|403800,20000,1700,2
12103,121,Peripheral Mastery,930001|200,99999,400400|403900,20000,1700,3
20101,201,Weapon Mastery,930102|200,200,400200|400300,20000,3500,1
20102,201,Defense Mastery,930002|200,200,400100|403800,20000,3500,2
20103,201,Peripheral Mastery,930002|200,200,400400|403900,20000,3500,3
20201,202,Weapon Mastery,930102|200,280,400500|403500,20000,3000,1
20202,202,Defense Mastery,930002|200,280,400100|403600,20000,3000,2
20203,202,Peripheral Mastery,930002|200,280,400300|403700,20000,3000,3
20301,203,Weapon Mastery,930102|200,400,400200|403700,20000,2800,1
20302,203,Defense Mastery,930002|200,400,400100|400400,20000,2800,2
20303,203,Peripheral Mastery,930002|200,400,400500|403900,20000,2800,3
20401,204,Weapon Mastery,930102|200,650,400200|400500,20000,2600,1
20402,204,Defense Mastery,930002|200,650,403800|403600,20000,2600,2
20403,204,Peripheral Mastery,930002|200,650,400300|403500,20000,2600,3
20501,205,Weapon Mastery,930102|200,1000,403700|403500,20000,2400,1
20502,205,Defense Mastery,930002|200,1000,400400|403600,20000,2400,2
20503,205,Peripheral Mastery,930002|200,1000,403900|403800,20000,2400,3
20601,206,Weapon Mastery,930102|200,1500,400200|400300,20000,2200,1
20602,206,Defense Mastery,930002|200,1500,400100|403800,20000,2200,2
20603,206,Peripheral Mastery,930002|200,1500,400400|403900,20000,2200,3
20701,207,Weapon Mastery,930102|200,2200,400500|403500,20000,2000,1
20702,207,Defense Mastery,930002|200,2200,400100|403600,20000,2000,2
20703,207,Peripheral Mastery,930002|200,2200,400300|403700,20000,2000,3
20801,208,Weapon Mastery,930102|200,3000,400200|403700,20000,1900,1
20802,208,Defense Mastery,930002|200,3000,400100|400400,20000,1900,2
20803,208,Peripheral Mastery,930002|200,3000,400500|403900,20000,1900,3
20901,209,Weapon Mastery,930102|200,4200,400200|400500,20000,1800,1
20902,209,Defense Mastery,930002|200,4200,403800|403600,20000,1800,2
20903,209,Peripheral Mastery,930002|200,4200,400300|403500,20000,1800,3
21001,210,Weapon Mastery,930102|200,5700,403700|403500,20000,1700,1
21002,210,Defense Mastery,930002|200,5700,400400|403600,20000,1700,2
21003,210,Peripheral Mastery,930002|200,5700,403900|403800,20000,1700,3
21101,211,Weapon Mastery,930102|200,7800,400200|400300,20000,1600,1
21102,211,Defense Mastery,930002|200,7800,400100|403800,20000,1600,2
21103,211,Peripheral Mastery,930002|200,7800,400400|403900,20000,1600,3
21201,212,Weapon Mastery,930102|200,10600,400500|403500,20000,1500,1
21202,212,Defense Mastery,930002|200,10600,400100|403600,20000,1500,2
21203,212,Peripheral Mastery,930002|200,10600,400300|403700,20000,1500,3
21301,213,Weapon Mastery,930102|200,13300,400200|403700,20000,1400,1
21302,213,Defense Mastery,930002|200,13300,400100|400400,20000,1400,2
21303,213,Peripheral Mastery,930002|200,13300,400500|403900,20000,1400,3
21401,214,Weapon Mastery,930102|200,16800,400200|400500,20000,1300,1
21402,214,Defense Mastery,930002|200,16800,403800|403600,20000,1300,2
21403,214,Peripheral Mastery,930002|200,16800,400300|403500,20000,1300,3
21501,215,Weapon Mastery,930102|200,20600,403700|403500,20000,1200,1
21502,215,Defense Mastery,930002|200,20600,400400|403600,20000,1200,2
21503,215,Peripheral Mastery,930002|200,20600,403900|403800,20000,1200,3
21601,216,Weapon Mastery,930102|200,25500,400200|400300,20000,1100,1
21602,216,Defense Mastery,930002|200,25500,400100|403800,20000,1100,2
21603,216,Peripheral Mastery,930002|200,25500,400400|403900,20000,1100,3
21701,217,Weapon Mastery,930102|200,29400,400500|403500,20000,1000,1
21702,217,Defense Mastery,930002|200,29400,400100|403600,20000,1000,2
21703,217,Peripheral Mastery,930002|200,29400,400300|403700,20000,1000,3
21801,218,Weapon Mastery,930102|200,33900,400200|403700,20000,1000,1
21802,218,Defense Mastery,930002|200,33900,400100|400400,20000,1000,2
21803,218,Peripheral Mastery,930002|200,33900,400500|403900,20000,1000,3
21901,219,Weapon Mastery,930102|200,39100,400200|400500,20000,1000,1
21902,219,Defense Mastery,930002|200,39100,403800|403600,20000,1000,2
21903,219,Peripheral Mastery,930002|200,39100,400300|403500,20000,1000,3
22001,220,Weapon Mastery,930102|200,44800,403700|403500,20000,1000,1
22002,220,Defense Mastery,930002|200,44800,400400|403600,20000,1000,2
22003,220,Peripheral Mastery,930002|200,44800,403900|403800,20000,1000,3
22101,221,Weapon Mastery,930102|200,99999,400200|400300,20000,1700,1
22102,221,Defense Mastery,930002|200,99999,400100|403800,20000,1700,2
22103,221,Peripheral Mastery,930002|200,99999,400400|403900,20000,1700,3
30101,301,Weapon Mastery,930103|200,200,400200|400300,20000,3500,1
30102,301,Defense Mastery,930003|200,200,400100|403800,20000,3500,2
30103,301,Peripheral Mastery,930003|200,200,400400|403900,20000,3500,3
30201,302,Weapon Mastery,930103|200,280,400500|403500,20000,3000,1
30202,302,Defense Mastery,930003|200,280,400100|403600,20000,3000,2
30203,302,Peripheral Mastery,930003|200,280,400300|403700,20000,3000,3
30301,303,Weapon Mastery,930103|200,400,400200|403700,20000,2800,1
30302,303,Defense Mastery,930003|200,400,400100|400400,20000,2800,2
30303,303,Peripheral Mastery,930003|200,400,400500|403900,20000,2800,3
30401,304,Weapon Mastery,930103|200,650,400200|400500,20000,2600,1
30402,304,Defense Mastery,930003|200,650,403800|403600,20000,2600,2
30403,304,Peripheral Mastery,930003|200,650,400300|403500,20000,2600,3
30501,305,Weapon Mastery,930103|200,1000,403700|403500,20000,2400,1
30502,305,Defense Mastery,930003|200,1000,400400|403600,20000,2400,2
30503,305,Peripheral Mastery,930003|200,1000,403900|403800,20000,2400,3
30601,306,Weapon Mastery,930103|200,1500,400200|400300,20000,2200,1
30602,306,Defense Mastery,930003|200,1500,400100|403800,20000,2200,2
30603,306,Peripheral Mastery,930003|200,1500,400400|403900,20000,2200,3
30701,307,Weapon Mastery,930103|200,2200,400500|403500,20000,2000,1
30702,307,Defense Mastery,930003|200,2200,400100|403600,20000,2000,2
30703,307,Peripheral Mastery,930003|200,2200,400300|403700,20000,2000,3
30801,308,Weapon Mastery,930103|200,3000,400200|403700,20000,1900,1
30802,308,Defense Mastery,930003|200,3000,400100|400400,20000,1900,2
30803,308,Peripheral Mastery,930003|200,3000,400500|403900,20000,1900,3
30901,309,Weapon Mastery,930103|200,4200,400200|400500,20000,1800,1
30902,309,Defense Mastery,930003|200,4200,403800|403600,20000,1800,2
30903,309,Peripheral Mastery,930003|200,4200,400300|403500,20000,1800,3
31001,310,Weapon Mastery,930103|200,5700,403700|403500,20000,1700,1
31002,310,Defense Mastery,930003|200,5700,400400|403600,20000,1700,2
31003,310,Peripheral Mastery,930003|200,5700,403900|403800,20000,1700,3
31101,311,Weapon Mastery,930103|200,7800,400200|400300,20000,1600,1
31102,311,Defense Mastery,930003|200,7800,400100|403800,20000,1600,2
31103,311,Peripheral Mastery,930003|200,7800,400400|403900,20000,1600,3
31201,312,Weapon Mastery,930103|200,10600,400500|403500,20000,1500,1
31202,312,Defense Mastery,930003|200,10600,400100|403600,20000,1500,2
31203,312,Peripheral Mastery,930003|200,10600,400300|403700,20000,1500,3
31301,313,Weapon Mastery,930103|200,13300,400200|403700,20000,1400,1
31302,313,Defense Mastery,930003|200,13300,400100|400400,20000,1400,2
31303,313,Peripheral Mastery,930003|200,13300,400500|403900,20000,1400,3
31401,314,Weapon Mastery,930103|200,16800,400200|400500,20000,1300,1
31402,314,Defense Mastery,930003|200,16800,403800|403600,20000,1300,2
31403,314,Peripheral Mastery,930003|200,16800,400300|403500,20000,1300,3
31501,315,Weapon Mastery,930103|200,20600,403700|403500,20000,1200,1
31502,315,Defense Mastery,930003|200,20600,400400|403600,20000,1200,2
31503,315,Peripheral Mastery,930003|200,20600,403900|403800,20000,1200,3
31601,316,Weapon Mastery,930103|200,25500,400200|400300,20000,1100,1
31602,316,Defense Mastery,930003|200,25500,400100|403800,20000,1100,2
31603,316,Peripheral Mastery,930003|200,25500,400400|403900,20000,1100,3
31701,317,Weapon Mastery,930103|200,29400,400500|403500,20000,1000,1
31702,317,Defense Mastery,930003|200,29400,400100|403600,20000,1000,2
31703,317,Peripheral Mastery,930003|200,29400,400300|403700,20000,1000,3
31801,318,Weapon Mastery,930103|200,33900,400200|403700,20000,1000,1
31802,318,Defense Mastery,930003|200,33900,400100|400400,20000,1000,2
31803,318,Peripheral Mastery,930003|200,33900,400500|403900,20000,1000,3
31901,319,Weapon Mastery,930103|200,39100,400200|400500,20000,1000,1
31902,319,Defense Mastery,930003|200,39100,403800|403600,20000,1000,2
31903,319,Peripheral Mastery,930003|200,39100,400300|403500,20000,1000,3
32001,320,Weapon Mastery,930103|200,44800,403700|403500,20000,1000,1
32002,320,Defense Mastery,930003|200,44800,400400|403600,20000,1000,2
32003,320,Peripheral Mastery,930003|200,44800,403900|403800,20000,1000,3
32101,321,Weapon Mastery,930103|200,99999,400200|400300,20000,1700,1
32102,321,Defense Mastery,930003|200,99999,400100|403800,20000,1700,2
32103,321,Peripheral Mastery,930003|200,99999,400400|403900,20000,1700,3
