id,type,army_type,quality,name,desc,need_material,need_drawing,need_resource,equip_skill_buff,equip_buff,buff_value,equip_buff_show,buff_value_show,tear_consume,set_combination,icon,sort,power
int,int,int,int,string,string,string,int,string,string,string,string,string,string,string,int,string,int,int
910026,3,101,4,Alloy Track,equip_desc_910026,730004|10,760004|20,780004|40,701026,1|568382993231472000000000000000,,930101|930001|930301,3000|8000|2800,930101|930001|930301,3000|8000|2800,1|113676598646294000000000000000,0,image/equip/equip_910026.png,403,280000
910027,4,101,4,Magnetic Sensor,equip_desc_910027,750004|20,760004|30,770004|20,701027,1|568382993231472000000000000000,,930101|930001|980501,5200|4800|2800,930101|930001|980501,5200|4800|2800,1|113676598646294000000000000000,0,image/equip/equip_910027.png,403,280000
910028,1,201,4,Cruise Missile,equip_desc_910028,730004|20,740004|20,770004|30,701028,1|568382993231472000000000000000,,930102|930002|930202,9500|1500|2800,930102|930002|930202,9500|1500|2800,1|113676598646294000000000000000,0,image/equip/equip_910028.png,402,280000
910029,2,201,4,Composite Armor,equip_desc_910029,730004|20,740004|30,790004|20,701029,1|568382993231472000000000000000,,930002|1010002,11000|1800,930002|1010002,11000|1800,1|113676598646294000000000000000,0,image/equip/equip_910029.png,402,280000
910030,3,201,4,Heavy Fuel Oil Generator,equip_desc_910030,730004|10,760004|20,780004|40,701030,1|568382993231472000000000000000,,930102|930002|930302,3000|8000|2800,930102|930002|930302,3000|8000|2800,1|113676598646294000000000000000,0,image/equip/equip_910030.png,402,280000
910031,4,201,4,Pulse-compression Radar,equip_desc_910031,750004|20,760004|30,770004|20,701031,1|568382993231472000000000000000,,930102|930002|980502,5200|4800|2800,930102|930002|980502,5200|4800|2800,1|113676598646294000000000000000,0,image/equip/equip_910031.png,402,280000
910032,1,301,4,Satellite-guided Missile,equip_desc_910032,730004|20,740004|20,770004|30,701032,1|568382993231472000000000000000,,930103|930003|930203,9500|1500|2800,930103|930003|930203,9500|1500|2800,1|113676598646294000000000000000,0,image/equip/equip_910032.png,401,280000
910033,2,301,4,Titanium Alloy Body,equip_desc_910033,730004|20,740004|30,790004|20,701033,1|568382993231472000000000000000,,930003|1010003,11000|1800,930003|1010003,11000|1800,1|113676598646294000000000000000,0,image/equip/equip_910033.png,401,280000
910034,4,301,4,Phased Array Radar,equip_desc_910034,750004|20,760004|30,770004|20,701034,1|568382993231472000000000000000,,930103|930003|980503,5200|4800|2800,930103|930003|980503,5200|4800|2800,1|113676598646294000000000000000,0,image/equip/equip_910034.png,401,280000
910035,5,0,5,Pulse Jammer,equip_desc_910035,750005|30,780005|10,790005|30,701035,1|2273531972925890000000000000000,11315,930101|930102|930103|930001|930002|930003,4000|4000|4000|10000|10000|10000,1010501|1010502,4000|10000,1|454706394585178000000000000000,0,image/equip/equip_910035.png,501,530000
910037,1,101,5,Electromagnetic Gun,equip_desc_910037,730005|20,740005|20,770005|30,701037,1|2273531972925890000000000000000,,930101|930001|930201,18000|3000|5000,930101|930001|930201,18000|3000|5000,1|454706394585178000000000000000,0,image/equip/equip_910037.png,503,530000
910038,1,201,5,ICBM,equip_desc_910038,730005|20,740005|20,770005|30,701038,1|2273531972925890000000000000000,,930102|930002|930202,18000|3000|5000,930102|930002|930202,18000|3000|5000,1|454706394585178000000000000000,0,image/equip/equip_910038.png,502,530000
910039,1,301,5,Laser Cannon,equip_desc_910039,730005|20,740005|20,770005|30,701039,1|2273531972925890000000000000000,,930103|930003|930203,18000|3000|5000,930103|930003|930203,18000|3000|5000,1|454706394585178000000000000000,0,image/equip/equip_910039.png,501,530000
910040,2,101,5,Rounded Armor,equip_desc_910040,730005|20,740005|30,790005|20,701040,1|2273531972925890000000000000000,,930001|1010001,21000|2800,930001|1010001,21000|2800,1|454706394585178000000000000000,0,image/equip/equip_910040.png,503,530000
910041,2,201,5,SHORAD,equip_desc_910041,730005|20,740005|30,790005|20,701041,1|2273531972925890000000000000000,,930002|1010002,21000|2800,930002|1010002,21000|2800,1|454706394585178000000000000000,0,image/equip/equip_910041.png,502,530000
910042,2,301,5,Al Alloy Powder,equip_desc_910042,730005|20,740005|30,790005|20,701042,1|2273531972925890000000000000000,,930003|1010003,21000|2800,930003|1010003,21000|2800,1|454706394585178000000000000000,0,image/equip/equip_910042.png,501,530000
910043,3,101,5,Shock Absorbing Casters,equip_desc_910043,730005|10,760005|20,780005|40,701043,1|2273531972925890000000000000000,,930101|930001|930301,6000|15000|5000,930101|930001|930301,6000|15000|5000,1|454706394585178000000000000000,0,image/equip/equip_910043.png,503,530000
910044,3,201,5,Gas Turbine,equip_desc_910044,730005|10,760005|20,780005|40,701044,1|2273531972925890000000000000000,,930102|930002|930302,6000|15000|5000,930102|930002|930302,6000|15000|5000,1|454706394585178000000000000000,0,image/equip/equip_910044.png,502,530000
910045,3,301,5,Afterburner,equip_desc_910045,730005|10,760005|20,780005|40,701045,1|2273531972925890000000000000000,,930103|930003|930303,6000|15000|5000,930103|930003|930303,6000|15000|5000,1|454706394585178000000000000000,0,image/equip/equip_910045.png,501,530000
910046,4,101,5,Slot Antenna,equip_desc_910046,750005|20,760005|30,770005|20,701046,1|2273531972925890000000000000000,,930101|930001|980501,10000|9000|5000,930101|930001|980501,10000|9000|5000,1|454706394585178000000000000000,0,image/equip/equip_910046.png,503,530000
910047,4,201,5,Airborne Radar,equip_desc_910047,750005|20,760005|30,770005|20,701047,1|2273531972925890000000000000000,,930102|930002|980502,10000|9000|5000,930102|930002|980502,10000|9000|5000,1|454706394585178000000000000000,0,image/equip/equip_910047.png,502,530000
910048,4,301,5,Dual Cockpit,equip_desc_910048,750005|20,760005|30,770005|20,701048,1|2273531972925890000000000000000,,930103|930003|980503,10000|9000|5000,930103|930003|980503,10000|9000|5000,1|454706394585178000000000000000,0,image/equip/equip_910048.png,501,530000
