id,coin,wood,oil,energy,exp,gold,military,cab_res,csb_res,army_id,army_num,honor,kvk_tec_res,kvk_task_coin,kvk_tec_coin,type,item,num,quality,rate,is_removal,building,building_num,building_rate,resource,resource_num,resource_rate,hero,hero_num,hero_rate,newReward,union_box,must_items,exhibition,item_minimum_type,item_minimum
856,110000.0,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,125000.0,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,140000.0,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,155000.0,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,170000.0,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,,,,,,,,,,,,,,,,0,,,,,,41200,1,1,,,,,,,,,,,,
1009,,,,,,,,,,,,,,,,0,1800002,1,,1,,,,1,,,,,,,,,,,,
1010,,,,,,,,,,,,,,,,0,,,,,,41300|41400,1|1,1|1,,,,,,,,,,,,
1011,,,,,,,,,,,,,,,,0,,,,,,41400,1,1,,,,,,,,,,,,
1012,,,,,,,,,,,,,,,,0,,,,,,41500,1,1,,,,,,,,,,,,
19001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100101,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100102,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100103,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100201,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100202,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100203,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100204,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100301,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100302,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100303,20480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100304,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100305,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100401,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100402,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100403,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100404,20400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100405,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100406,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100501,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100502,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100503,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100504,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100505,50690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100506,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100507,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100601,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100602,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100603,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100604,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100605,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100606,2400.0,,,,,,,,,,,,,,,0,301001,16,,1,,,,,,,,,,,,,,,,
100607,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100608,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100701,2130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100702,2130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100703,2130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100704,2130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100705,2130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100706,2130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100707,2130.0,,,,,,,,,,,,,,,0,301001,22,,1,,,,,,,,,,,,,,,,
100708,2130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100709,2130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100801,3840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100802,3840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100803,3840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100804,3840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100805,3840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100806,3840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100807,3840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100808,3840.0,,,,,,,,,,,,,,,0,301001,28,,1,,,,,,,,,,,,,,,,
100809,3840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100810,3840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100901,6980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100902,6980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100903,6980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100904,6980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100905,6980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100906,6980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100907,6980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100908,6980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100909,6980.0,,,,,,,,,,,,,,,0,301001,34,,1,,,,,,,,,,,,,,,,
100910,6980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100911,6980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101002,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101003,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101004,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101005,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101006,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101007,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101008,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101009,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101010,12800.0,,,,,,,,,,,,,,,0,301001,42,,1,,,,,,,,,,,,,,,,
101011,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101101,23630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101102,23630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101103,23630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101104,23630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101105,23630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101106,23630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101107,23630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101108,23630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101109,23630.0,,,,,,,,,,,,,,,0,301001,50,,1,,,,,,,,,,,,,,,,
101110,23630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101111,23630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101112,23630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101113,23630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101201,47260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101202,47260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101203,47260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101204,47260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101205,47260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101206,47260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101207,47260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101208,47260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101209,47260.0,,,,,,,,,,,,,,,0,301001,60,,1,,,,,,,,,,,,,,,,
101210,47260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101211,47260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101212,47260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101213,47260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101301,94520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101302,94520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101303,94520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101304,94520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101305,94520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101306,94520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101307,94520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101308,94520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101309,94520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101310,94520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101311,94520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101312,94520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101313,94520.0,,,,,,,,,,,,,,,0,301001,70,,1,,,,,,,,,,,,,,,,
101401,189050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101402,189050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101403,189050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101404,189050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101405,189050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101406,189050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101407,189050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101408,189050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101409,189050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101410,189050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101411,189050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101412,189050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101413,189050.0,,,,,,,,,,,,,,,0,301001,80,,1,,,,,,,,,,,,,,,,
101501,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101502,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101503,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101504,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101505,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101506,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101507,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101508,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101509,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101510,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101511,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101512,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101513,378090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101601,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101602,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101603,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101604,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101605,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101606,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101607,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101608,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101609,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101610,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101611,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101612,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101613,756180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101701,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101702,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101703,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101704,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101705,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101706,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101707,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101708,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101709,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101710,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101711,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101712,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101713,1512370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101801,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101802,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101803,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101804,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101805,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101806,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101807,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101808,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101809,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101810,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101811,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101812,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101813,3024740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101901,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101902,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101903,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101904,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101905,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101906,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101907,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101908,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101909,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101910,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101911,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101912,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101913,6049480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102001,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102002,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102003,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102004,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102005,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102006,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102007,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102008,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102009,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102010,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102011,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102012,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102013,12098950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102101,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102102,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102103,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102104,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102105,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102106,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102107,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102108,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102109,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102110,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102111,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102112,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102113,24197910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102201,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102202,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102203,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102204,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102205,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102206,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102207,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102208,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102209,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102210,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102211,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102212,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102213,48395820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102301,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102302,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102303,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102304,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102305,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102306,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102307,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102308,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102309,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102310,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102311,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102312,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102313,96791630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102401,193583260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102402,193583260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102403,193583260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102404,193583260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102405,193583260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102406,193583260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102407,193583260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102408,193583260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102409,193583260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102410,193583260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102411,193583260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102412,193583260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
