id,group,name,icon,animation,height,plat,default_show
97,4,emotion_Kochikame03,emotion_Kochikame03,,130,g123,56
98,4,emotion_Kochikame04,emotion_Kochikame04,,130,g123,9
99,5,emotion_Christmas_01,emotion_Christmas_01,,130,g123,22
100,5,emotion_Christmas_02,emotion_Christmas_02,,130,g123,1
101,5,emotion_Christmas_03,emotion_Christmas_03,,130,g123,7
102,5,emotion_Christmas_04,emotion_Christmas_04,,130,g123,12
103,5,emotion_Christmas_05,emotion_Christmas_05,,130,g123,13
104,6,emotion_Linkage_01,emotion_Linkage_01,,130,g123,1
105,6,emotion_Linkage_02,emotion_Linkage_02,,130,g123,7
106,7,emotion_Newyear_01,emotion_Newyear_01,,130,g123,1
107,7,emotion_Newyear_02,emotion_Newyear_02,,130,g123,7
108,7,emotion_Newyear_03,emotion_Newyear_03,,130,g123,12
109,7,emotion_Newyear_04,emotion_Newyear_04,,130,g123,13
110,7,emotion_Newyear_05,emotion_Newyear_05,,130,g123,22
111,8,emotion_Altman_01,emotion_Altman_01,,130,g123,1
112,8,emotion_Altman_02,emotion_Altman_02,,130,g123,7
113,8,emotion_Altman_03,emotion_Altman_03,,130,g123,12
114,8,emotion_Altman_04,emotion_Altman_04,,130,g123,13
115,9,emotion_Grappler_01,emotion_Grappler_01,,130,g123,1
116,9,emotion_Grappler_02,emotion_Grappler_02,,130,g123,7
117,9,emotion_Grappler_03,emotion_Grappler_03,,130,g123,12
118,9,emotion_Grappler_04,emotion_Grappler_04,,130,g123,13
119,10,emotion_Hokuto_01,emotion_Hokuto_01,,130,g123,1
120,10,emotion_Hokuto_02,emotion_Hokuto_02,,130,g123,7
121,10,emotion_Hokuto_03,emotion_Hokuto_03,,130,g123,12
122,10,emotion_Hokuto_04,emotion_Hokuto_04,,130,g123,13
123,11,emotion_anniversary2_01,emotion_anniversary2_01,,130,g123,1
124,11,emotion_anniversary2_02,emotion_anniversary2_02,,130,g123,7
125,11,emotion_anniversary2_03,emotion_anniversary2_03,,130,g123,12
126,11,emotion_anniversary2_04,emotion_anniversary2_04,,130,g123,13
127,12,emotion_GIRLSundPANZER_01,emotion_GIRLSundPANZER_01,,130,g123,1
128,12,emotion_GIRLSundPANZER_02,emotion_GIRLSundPANZER_02,,130,g123,7
129,12,emotion_GIRLSundPANZER_03,emotion_GIRLSundPANZER_03,,130,g123,12
130,12,emotion_GIRLSundPANZER_04,emotion_GIRLSundPANZER_04,,130,g123,13
131,13,emotion_Macross_01,emotion_Macross_01,,130,g123,1
132,13,emotion_Macross_02,emotion_Macross_02,,130,g123,7
133,13,emotion_Macross_03,emotion_Macross_03,,130,g123,12
134,13,emotion_Macross_04,emotion_Macross_04,,130,g123,13
135,13,emotion_Macross_05,emotion_Macross_05,,130,g123,22
136,14,emotion_Fairy_01,emotion_Fairy_01,,130,g123,1
137,14,emotion_Fairy_02,emotion_Fairy_02,,130,g123,7
138,14,emotion_Fairy_03,emotion_Fairy_03,,130,g123,12
139,14,emotion_Fairy_04,emotion_Fairy_04,,130,g123,13
140,14,emotion_Fairy_05,emotion_Fairy_05,,130,g123,22
141,14,emotion_Fairy_06,emotion_Fairy_06,,130,g123,1
142,15,emotion_SSSS_01,emotion_SSSS_01,,130,g123,1
143,15,emotion_SSSS_02,emotion_SSSS_02,,130,g123,7
144,15,emotion_SSSS_03,emotion_SSSS_03,,130,g123,12
145,16,emotion_Hinatazaka46_01,emotion_Hinatazaka46_01,,130,g123,1
146,16,emotion_Hinatazaka46_02,emotion_Hinatazaka46_02,,130,g123,12
147,16,emotion_Hinatazaka46_03,emotion_Hinatazaka46_03,,130,g123,13
148,16,emotion_Hinatazaka46_04,emotion_Hinatazaka46_04,,130,g123,7
149,16,emotion_Hinatazaka46_05,emotion_Hinatazaka46_05,,130,g123,22
150,17,emotion_Fairy2_01,emotion_Fairy2_01,,130,g123,1
151,17,emotion_Fairy2_02,emotion_Fairy2_02,,130,g123,7
152,17,emotion_Fairy2_03,emotion_Fairy2_03,,130,g123,12
153,17,emotion_Fairy2_04,emotion_Fairy2_04,,130,g123,13
154,17,emotion_Fairy2_05,emotion_Fairy2_05,,130,g123,22
155,17,emotion_Fairy2_06,emotion_Fairy2_06,,130,g123,1
