id,level_id,type,elite,monster_level,para1,para2,weight,add_reward,integral,icon,name,desc,icon1,times
1040301,10403,1,1,-2,101,15,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
1040302,10403,1,1,-2,201,15,1,9220002,100,icon_island1,105719,100337,icon_island1,1.2
1040303,10403,1,1,-2,301,15,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
1040501,10405,3,,,1003006,1000,1,,,icon_island7,Island Banner,,enhance_400100,
1040502,10405,3,,,1003007,1000,1,,,icon_island7,Island Banner,,enhance_400100,
1040503,10405,3,,,1003031,500,1,,,icon_island7,Island Banner,,enhance_403900,
1050201,10502,1,,-2,101,18,1,9220001,80,icon_island2,105721,100337,icon_island2,1
1050202,10502,1,,-2,201,18,1,9220001,80,icon_island1,105719,100337,icon_island1,1
1050203,10502,1,,-2,301,18,1,9220001,80,icon_island3,105717,100337,icon_island3,1
1050401,10504,1,,-2,101,18,1,9220001,80,icon_island2,105721,100337,icon_island2,1
1050402,10504,1,,-2,201,18,1,9220001,80,icon_island1,105719,100337,icon_island1,1
1050403,10504,1,,-2,301,18,1,9220001,80,icon_island3,105717,100337,icon_island3,1
1060101,10601,2,,,9220013,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,ro_chip_4,
1060102,10601,2,,,9220012,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_chouka1,
1060103,10601,2,,,9220016,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1700030,
1060301,10603,2,,,9220015,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1700030,
1060302,10603,3,,,1003007,1000,1,,,icon_island7,Island Banner,,enhance_400100,
1060303,10603,3,,,1003002,1000,1,,,icon_island7,Island Banner,,enhance_400200,
1060501,10605,3,,,1003001,1000,1,,,icon_island7,Island Banner,,enhance_400100,
1060502,10605,3,,,1003010,1000,1,,,icon_island7,Island Banner,,enhance_400200,
1060503,10605,3,,,1003026,500,1,,,icon_island7,Island Banner,,enhance_403800,
1070201,10702,1,1,0,101,21,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
1070202,10702,1,1,0,301,21,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
1070203,10702,3,,,1003021,500,1,,,icon_island7,Island Banner,,enhance_403600,
1070401,10704,1,,-1,101,21,1,9220001,80,icon_island2,105721,100337,icon_island2,1
1070402,10704,1,,-1,301,21,1,9220001,80,icon_island3,105717,100337,icon_island3,1
1070403,10704,3,,,1003013,500,1,,,icon_island7,Island Banner,,enhance_400300,
1080101,10801,1,1,0,101,25,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
1080102,10801,1,1,0,201,25,1,9220002,100,icon_island1,105719,100337,icon_island1,1.2
1080103,10801,1,1,0,301,25,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
1080301,10803,1,1,0,101,25,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
1080302,10803,1,1,0,201,25,1,9220002,100,icon_island1,105719,100337,icon_island1,1.2
1080303,10803,1,1,0,301,25,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
1080501,10805,1,,-1,101,25,1,9220001,80,icon_island2,105721,100337,icon_island2,1
1080502,10805,1,,-1,201,25,1,9220001,80,icon_island1,105719,100337,icon_island1,1
1080503,10805,1,,-1,301,25,1,9220001,80,icon_island3,105717,100337,icon_island3,1
1090201,10902,2,,,9220018,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_2520001,
1090202,10902,2,,,9220017,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1700039,
1090203,10902,2,,,9220006,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1900001,
1090401,10904,3,,,1003026,500,1,,,icon_island7,Island Banner,,enhance_403800,
1090402,10904,3,,,1003030,500,1,,,icon_island7,Island Banner,,enhance_403900,
1090403,10904,3,,,1003006,1000,1,,,icon_island7,Island Banner,,enhance_400100,
1100301,11003,1,,2,101,30,1,9220003,200,icon_island2,105721,100337,icon_island2,2
1100302,11003,1,,2,201,30,1,9220003,200,icon_island1,105719,100337,icon_island1,2
1100303,11003,1,,2,301,30,1,9220003,200,icon_island3,105717,100337,icon_island3,2
2010101,20102,1,1,1,201,30,1,9220002,100,icon_island1,105719,100337,icon_island1,1.2
2010102,20102,1,,0,301,30,1,9220001,80,icon_island3,105717,100337,icon_island3,1
2010103,20102,1,,0,101,30,1,9220001,80,icon_island2,105721,100337,icon_island2,1
2010301,20104,1,1,1,201,30,1,9220002,100,icon_island1,105719,100337,icon_island1,1.2
2010302,20104,1,,0,301,30,1,9220001,80,icon_island3,105717,100337,icon_island3,1
2010303,20104,1,,0,101,30,1,9220001,80,icon_island2,105721,100337,icon_island2,1
2020101,20201,2,,,9220013,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,ro_chip_4,
2020102,20201,2,,,9220007,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_1900002,
2020103,20201,2,,,9220007,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_1900002,
2020301,20203,2,,,9220006,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_1900001,
2020302,20203,1,1,2,301,33,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
2020303,20203,1,1,2,101,33,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
2020501,20205,2,,,9220015,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_1700030,
2020502,20205,1,,1,301,33,1,9220001,80,icon_island3,105717,100337,icon_island3,1
2020503,20205,1,,1,101,33,1,9220001,80,icon_island2,105721,100337,icon_island2,1
2030201,20302,3,,,1003012,500,1,,,icon_island7,Island Banner,,enhance_400300,
2030202,20302,3,,,1003030,500,1,,,icon_island7,Island Banner,,enhance_403900,
2030203,20302,3,,,1003012,500,1,,,icon_island7,Island Banner,,enhance_400300,
2030401,20304,3,,,1003003,500,1,,,icon_island7,Island Banner,,enhance_400300,
2030402,20304,3,,,1003023,500,1,,,icon_island7,Island Banner,,enhance_403700,
2030403,20304,3,,,1003030,500,1,,,icon_island7,Island Banner,,enhance_403900,
2040101,20401,3,,,1003008,1000,1,,,icon_island7,Island Banner,,enhance_400200,
2040102,20401,1,,2,201,36,1,9220001,80,icon_island1,105719,100337,icon_island1,1
2040103,20401,1,,2,301,36,1,9220001,80,icon_island3,105717,100337,icon_island3,1
2040301,20403,1,1,3,201,36,1,9220002,100,icon_island1,105719,100337,icon_island1,1.2
2040302,20403,1,1,3,301,36,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
2040303,20403,1,1,3,101,36,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
2040501,20405,3,,,1003025,500,1,,,icon_island7,Island Banner,,enhance_403700,
2040502,20405,3,,,1003018,500,1,,,icon_island7,Island Banner,,enhance_403500,
2040503,20405,3,,,1003012,500,1,,,icon_island7,Island Banner,,enhance_400300,
2050201,20502,1,,3,201,39,1,9220001,80,icon_island1,105719,100337,icon_island1,1
2050202,20502,1,,3,301,39,1,9220001,80,icon_island3,105717,100337,icon_island3,1
2050203,20502,1,,3,101,39,1,9220001,80,icon_island2,105721,100337,icon_island2,1
2050401,20504,1,,3,201,39,1,9220001,80,icon_island1,105719,100337,icon_island1,1
2050402,20504,1,,3,301,39,1,9220001,80,icon_island3,105717,100337,icon_island3,1
2050403,20504,1,,3,101,39,1,9220001,80,icon_island2,105721,100337,icon_island2,1
2060101,20601,2,,,9220010,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_500000,
2060102,20601,2,,,9220011,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_510000,
2060103,20601,2,,,9220013,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,ro_chip_4,
2060301,20603,2,,,9220014,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_3200001,
2060302,20603,3,,,1003028,500,1,,,icon_island7,Island Banner,,enhance_403800,
2060303,20603,3,,,1003005,1000,1,,,icon_island7,Island Banner,,enhance_400100,
2060501,20605,3,,,1003025,500,1,,,icon_island7,Island Banner,,enhance_403700,
2060502,20605,3,,,1003013,500,1,,,icon_island7,Island Banner,,enhance_400300,
2060503,20605,3,,,1003019,500,1,,,icon_island7,Island Banner,,enhance_403500,
2070201,20702,1,1,5,201,42,1,9220002,100,icon_island1,105719,100337,icon_island1,1.2
2070202,20702,1,1,5,101,42,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
2070203,20702,3,,,1003011,500,1,,,icon_island7,Island Banner,,enhance_400300,
2070401,20704,1,,4,201,42,1,9220001,80,icon_island1,105719,100337,icon_island1,1
2070402,20704,1,,4,101,42,1,9220001,80,icon_island2,105721,100337,icon_island2,1
2070403,20704,3,,,1003009,1000,1,,,icon_island7,Island Banner,,enhance_400200,
2080101,20801,1,1,5,201,45,1,9220002,100,icon_island1,105719,100337,icon_island1,1.2
2080102,20801,1,1,5,301,45,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
2080103,20801,1,1,5,101,45,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
2080301,20803,1,1,5,201,45,1,9220002,100,icon_island1,105719,100337,icon_island1,1.2
2080302,20803,1,1,5,301,45,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
2080303,20803,1,1,5,101,45,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
2080501,20805,1,,4,201,45,1,9220001,80,icon_island1,105719,100337,icon_island1,1
2080502,20805,1,,4,301,45,1,9220001,80,icon_island3,105717,100337,icon_island3,1
2080503,20805,1,,4,101,45,1,9220001,80,icon_island2,105721,100337,icon_island2,1
2090201,20902,2,,,9220010,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_500000,
2090202,20902,2,,,9220016,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_1700030,
2090203,20902,2,,,9220006,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_1900001,
2090401,20904,3,,,1003013,500,1,,,icon_island7,Island Banner,,enhance_400300,
2090402,20904,3,,,1003010,1000,1,,,icon_island7,Island Banner,,enhance_400200,
2090403,20904,3,,,1003003,500,1,,,icon_island7,Island Banner,,enhance_400300,
2100301,21003,1,,7,201,48,1,9220004,200,icon_island1,105719,100337,icon_island1,2
2100302,21003,1,,7,301,48,1,9220004,200,icon_island3,105717,100337,icon_island3,2
2100303,21003,1,,7,101,48,1,9220004,200,icon_island2,105721,100337,icon_island2,2
3010101,30102,1,1,7,301,48,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
3010102,30102,1,,6,101,48,1,9220001,80,icon_island2,105721,100337,icon_island2,1
3010103,30102,1,,6,201,48,1,9220001,80,icon_island1,105719,100337,icon_island5,1
3010301,30104,1,1,7,301,48,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
3010302,30104,1,,6,101,48,1,9220001,80,icon_island2,105721,100337,icon_island2,1
3010303,30104,1,,6,201,48,1,9220001,80,icon_island1,105719,100337,icon_island5,1
3020101,30201,2,,,9220007,,1,,,icon_island6,Island Treasure,Dig to get mysterious treasure,item_1900002,
3020102,30201,2,,,9220016,,1,,,icon_island6,Island Treasure,Dig to get mysterious treasure,item_1700030,
3020103,30201,2,,,9220015,,1,,,icon_island6,Island Treasure,Dig to get mysterious treasure,item_1700030,
3020301,30203,2,,,9220017,,1,,,icon_island6,Island Treasure,Dig to get mysterious treasure,item_1700039,
3020302,30203,1,1,8,101,51,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
3020303,30203,1,1,8,201,51,1,9220002,100,icon_island1,105719,100337,icon_island5,1.2
3020501,30205,2,,,9220019,,1,,,icon_island6,Island Treasure,Dig to get mysterious treasure,item_2560001,
3020502,30205,1,,7,101,51,1,9220001,80,icon_island2,105721,100337,icon_island2,1
3020503,30205,1,,7,201,51,1,9220001,80,icon_island1,105719,100337,icon_island5,1
3030201,30302,3,,,1003002,1000,1,,,icon_island7,Island Banner,,enhance_400200,
3030202,30302,3,,,1003009,1000,1,,,icon_island7,Island Banner,,enhance_400200,
3030203,30302,3,,,1003019,500,1,,,icon_island7,Island Banner,,enhance_403500,
3030401,30304,3,,,1003018,500,1,,,icon_island7,Island Banner,,enhance_403500,
3030402,30304,3,,,1003016,500,1,,,icon_island7,Island Banner,,enhance_400400,
3030403,30304,3,,,1003023,500,1,,,icon_island7,Island Banner,,enhance_403700,
3040101,30401,3,,,1003011,500,1,,,icon_island7,Island Banner,,enhance_400300,
3040102,30401,1,,8,301,54,1,9220001,80,icon_island3,105717,100337,icon_island3,1
3040103,30401,1,,8,101,54,1,9220001,80,icon_island2,105721,100337,icon_island2,1
3040301,30403,1,1,9,301,54,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
3040302,30403,1,1,9,101,54,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
3040303,30403,1,1,9,201,54,1,9220002,100,icon_island1,105719,100337,icon_island5,1.2
3040501,30405,3,,,1003020,500,1,,,icon_island7,Island Banner,,enhance_403600,
3040502,30405,3,,,1003021,500,1,,,icon_island7,Island Banner,,enhance_403600,
3040503,30405,3,,,1003022,500,1,,,icon_island7,Island Banner,,enhance_403600,
3050201,30502,1,,9,301,57,1,9220001,80,icon_island3,105717,100337,icon_island3,1
3050202,30502,1,,9,101,57,1,9220001,80,icon_island2,105721,100337,icon_island2,1
3050203,30502,1,,9,201,57,1,9220001,80,icon_island1,105719,100337,icon_island5,1
3050401,30504,1,,9,301,57,1,9220001,80,icon_island3,105717,100337,icon_island3,1
3050402,30504,1,,9,101,57,1,9220001,80,icon_island2,105721,100337,icon_island2,1
3050403,30504,1,,9,201,57,1,9220001,80,icon_island1,105719,100337,icon_island5,1
3060101,30601,2,,,9220017,,1,,,icon_island6,Island Treasure,Dig to get mysterious treasure,item_1700039,
3060102,30601,2,,,9220009,,1,,,icon_island6,Island Treasure,Dig to get mysterious treasure,item_1700011,
3060103,30601,2,,,9220009,,1,,,icon_island6,Island Treasure,Dig to get mysterious treasure,item_1700011,
3060301,30603,2,,,9220015,,1,,,icon_island6,Island Treasure,Dig to get mysterious treasure,item_1700030,
3060302,30603,3,,,1003029,500,1,,,icon_island7,Island Banner,,enhance_403900,
3060303,30603,3,,,1003029,500,1,,,icon_island7,Island Banner,,enhance_403900,
3060501,30605,3,,,1003015,500,1,,,icon_island7,Island Banner,,enhance_400400,
3060502,30605,3,,,1003009,1000,1,,,icon_island7,Island Banner,,enhance_400200,
3060503,30605,3,,,1003008,,1,,,icon_island7,Island Banner,,enhance_400200,
3070201,30702,1,1,11,301,60,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
3070202,30702,1,1,11,201,60,1,9220002,100,icon_island1,105719,100337,icon_island5,1.2
3070203,30702,3,,,1003015,500,1,,,icon_island7,Island Banner,,enhance_400400,
3070401,30704,1,,10,301,60,1,9220001,80,icon_island3,105717,100337,icon_island3,1
3070402,30704,1,,10,201,60,1,9220001,80,icon_island1,105719,100337,icon_island5,1
3070403,30704,3,,,1003015,500,1,,,icon_island7,Island Banner,,enhance_400400,
3080101,30801,1,1,12,301,63,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
3080102,30801,1,1,12,101,63,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
3080103,30801,1,1,12,201,63,1,9220002,100,icon_island1,105719,100337,icon_island5,1.2
3080301,30803,1,1,12,301,63,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
3080302,30803,1,1,12,101,63,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
3080303,30803,1,1,12,201,63,1,9220002,100,icon_island1,105719,100337,icon_island5,1.2
3080501,30805,1,,11,301,63,1,9220001,80,icon_island3,105717,100337,icon_island3,1
3080502,30805,1,,11,101,63,1,9220001,80,icon_island2,105721,100337,icon_island2,1
3080503,30805,1,,11,201,63,1,9220001,80,icon_island1,105719,100337,icon_island5,1
3090201,30902,2,,,9220006,,1,,,icon_island6,Island Treasure,Dig to get mysterious treasure,item_1900001,
3090202,30902,2,,,9220007,,1,,,icon_island6,Island Treasure,Dig to get mysterious treasure,item_1900002,
3090203,30902,2,,,9220010,,1,,,icon_island6,Island Treasure,Dig to get mysterious treasure,item_500000,
3090401,30904,3,,,1003020,500,1,,,icon_island7,Island Banner,,enhance_403600,
3090402,30904,3,,,1003021,500,1,,,icon_island7,Island Banner,,enhance_403600,
3090403,30904,3,,,1003009,1000,1,,,icon_island7,Island Banner,,enhance_400200,
3100301,31003,1,,15,301,70,1,9220005,200,icon_island3,105717,100337,icon_island3,2
3100302,31003,1,,15,101,70,1,9220005,200,icon_island2,105721,100337,icon_island2,2
3100303,31003,1,,15,201,70,1,9220005,200,icon_island1,105719,100337,icon_island5,2
11010101,110102,1,1,-6,101,8,1,9220002,80,icon_island2,105721,100337,icon_island2,0.96
11010102,110102,1,,-7,201,8,1,9220001,64,icon_island1,105719,100337,icon_island1,0.8
11010103,110102,1,,-7,301,8,1,9220001,64,icon_island3,105717,100337,icon_island3,0.8
11010301,110104,1,1,-6,101,8,1,9220002,80,icon_island2,105721,100337,icon_island2,0.96
11010302,110104,1,,-7,201,8,1,9220001,64,icon_island1,105719,100337,icon_island1,0.8
11010303,110104,1,,-7,301,8,1,9220001,64,icon_island3,105717,100337,icon_island3,0.8
11020101,110201,2,,,9220017,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1700039,
11020102,110201,2,,,9220010,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_500000,
11020103,110201,2,,,9220006,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1900001,
11020301,110203,2,,,9220015,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1700030,
11020302,110203,1,1,-5,201,10,1,9220002,80,icon_island1,105719,100337,icon_island1,0.96
11020303,110203,1,1,-5,301,10,1,9220002,80,icon_island3,105717,100337,icon_island3,0.96
11020501,110205,2,,,9220012,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_chouka1,
11020502,110205,1,,-6,201,10,1,9220001,64,icon_island1,105719,100337,icon_island1,0.8
11020503,110205,1,,-6,301,10,1,9220001,64,icon_island3,105717,100337,icon_island3,0.8
11030201,110302,3,,,1003031,500,1,,,icon_island7,Island Banner,,enhance_403900,
11030202,110302,3,,,1003011,500,1,,,icon_island7,Island Banner,,enhance_400300,
11030203,110302,3,,,1003012,500,1,,,icon_island7,Island Banner,,enhance_400300,
11030401,110304,3,,,1003023,500,1,,,icon_island7,Island Banner,,enhance_403700,
11030402,110304,3,,,1003021,500,1,,,icon_island7,Island Banner,,enhance_403600,
11030403,110304,3,,,1003029,500,1,,,icon_island7,Island Banner,,enhance_403900,
11040101,110401,3,,,1003020,500,1,,,icon_island7,Island Banner,,enhance_403600,
11040102,110401,1,,-5,101,12,1,9220001,64,icon_island2,105721,100337,icon_island2,0.8
11040103,110401,1,,-5,201,12,1,9220001,64,icon_island1,105719,100337,icon_island1,0.8
11040301,110403,1,1,-4,101,12,1,9220002,80,icon_island2,105721,100337,icon_island2,0.96
11040302,110403,1,1,-4,201,12,1,9220002,80,icon_island1,105719,100337,icon_island1,0.96
11040303,110403,1,1,-4,301,12,1,9220002,80,icon_island3,105717,100337,icon_island3,0.96
11040501,110405,3,,,1003006,1000,1,,,icon_island7,Island Banner,,enhance_400100,
11040502,110405,3,,,1003007,1000,1,,,icon_island7,Island Banner,,enhance_400100,
11040503,110405,3,,,1003031,500,1,,,icon_island7,Island Banner,,enhance_403900,
11050201,110502,1,,-4,101,15,1,9220001,64,icon_island2,105721,100337,icon_island2,0.8
11050202,110502,1,,-4,201,15,1,9220001,64,icon_island1,105719,100337,icon_island1,0.8
11050203,110502,1,,-4,301,15,1,9220001,64,icon_island3,105717,100337,icon_island3,0.8
11050401,110504,1,,-4,101,15,1,9220001,64,icon_island2,105721,100337,icon_island2,0.8
11050402,110504,1,,-4,201,15,1,9220001,64,icon_island1,105719,100337,icon_island1,0.8
11050403,110504,1,,-4,301,15,1,9220001,64,icon_island3,105717,100337,icon_island3,0.8
11060101,110601,2,,,9220013,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,ro_chip_4,
11060102,110601,2,,,9220012,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_chouka1,
11060103,110601,2,,,9220016,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1700030,
11060301,110603,2,,,9220015,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1700030,
11060302,110603,3,,,1003007,1000,1,,,icon_island7,Island Banner,,enhance_400100,
11060303,110603,3,,,1003002,1000,1,,,icon_island7,Island Banner,,enhance_400200,
11060501,110605,3,,,1003001,1000,1,,,icon_island7,Island Banner,,enhance_400100,
11060502,110605,3,,,1003010,1000,1,,,icon_island7,Island Banner,,enhance_400200,
11060503,110605,3,,,1003026,500,1,,,icon_island7,Island Banner,,enhance_403800,
11070201,110702,1,1,-2,101,17,1,9220002,80,icon_island2,105721,100337,icon_island2,0.96
11070202,110702,1,1,-2,301,17,1,9220002,80,icon_island3,105717,100337,icon_island3,0.96
11070203,110702,3,,,1003021,500,1,,,icon_island7,Island Banner,,enhance_403600,
11070401,110704,1,,-3,101,17,1,9220001,64,icon_island2,105721,100337,icon_island2,0.8
11070402,110704,1,,-3,301,17,1,9220001,64,icon_island3,105717,100337,icon_island3,0.8
11070403,110704,3,,,1003013,500,1,,,icon_island7,Island Banner,,enhance_400300,
11080101,110801,1,1,-2,101,20,1,9220002,80,icon_island2,105721,100337,icon_island2,0.96
11080102,110801,1,1,-2,201,20,1,9220002,80,icon_island1,105719,100337,icon_island1,0.96
11080103,110801,1,1,-2,301,20,1,9220002,80,icon_island3,105717,100337,icon_island3,0.96
11080301,110803,1,1,-2,101,20,1,9220002,80,icon_island2,105721,100337,icon_island2,0.96
11080302,110803,1,1,-2,201,20,1,9220002,80,icon_island1,105719,100337,icon_island1,0.96
11080303,110803,1,1,-2,301,20,1,9220002,80,icon_island3,105717,100337,icon_island3,0.96
11080501,110805,1,,-3,101,20,1,9220001,64,icon_island2,105721,100337,icon_island2,0.8
11080502,110805,1,,-3,201,20,1,9220001,64,icon_island1,105719,100337,icon_island1,0.8
11080503,110805,1,,-3,301,20,1,9220001,64,icon_island3,105717,100337,icon_island3,0.8
11090201,110902,2,,,9220018,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_2520001,
11090202,110902,2,,,9220017,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1700039,
11090203,110902,2,,,9220006,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1900001,
11090401,110904,3,,,1003026,500,1,,,icon_island7,Island Banner,,enhance_403800,
11090402,110904,3,,,1003030,500,1,,,icon_island7,Island Banner,,enhance_403900,
11090403,110904,3,,,1003006,1000,1,,,icon_island7,Island Banner,,enhance_400100,
11100301,111003,1,,0,101,24,1,9220003,160,icon_island2,105721,100337,icon_island2,1.6
11100302,111003,1,,0,201,24,1,9220003,160,icon_island1,105719,100337,icon_island1,1.6
11100303,111003,1,,0,301,24,1,9220003,160,icon_island3,105717,100337,icon_island3,1.6
12010101,120102,1,1,-1,201,24,1,9220002,80,icon_island1,105719,100337,icon_island1,0.96
12010102,120102,1,,-2,301,24,1,9220001,64,icon_island3,105717,100337,icon_island3,0.8
12010103,120102,1,,-2,101,24,1,9220001,64,icon_island2,105721,100337,icon_island2,0.8
12010301,120104,1,1,-1,201,24,1,9220002,80,icon_island1,105719,100337,icon_island1,0.96
12010302,120104,1,,-2,301,24,1,9220001,64,icon_island3,105717,100337,icon_island3,0.8
12010303,120104,1,,-2,101,24,1,9220001,64,icon_island2,105721,100337,icon_island2,0.8
12020101,120201,2,,,9220013,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,ro_chip_4,
12020102,120201,2,,,9220007,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_1900002,
12020103,120201,2,,,9220007,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_1900002,
12020301,120203,2,,,9220006,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_1900001,
12020302,120203,1,1,0,301,27,1,9220002,80,icon_island3,105717,100337,icon_island3,0.96
12020303,120203,1,1,0,101,27,1,9220002,80,icon_island2,105721,100337,icon_island2,0.96
12020501,120205,2,,,9220015,,1,,,icon_island5,Island Treasure,Dig to get mysterious treasure,item_1700030,
12020502,120205,1,,-1,301,27,1,9220001,64,icon_island3,105717,100337,icon_island3,0.8
12020503,120205,1,,-1,101,27,1,9220001,64,icon_island2,105721,100337,icon_island2,0.8
12030201,120302,3,,,1003012,500,1,,,icon_island7,Island Banner,,enhance_400300,
12030202,120302,3,,,1003030,500,1,,,icon_island7,Island Banner,,enhance_403900,
12030203,120302,3,,,1003012,500,1,,,icon_island7,Island Banner,,enhance_400300,
12030401,120304,3,,,1003003,500,1,,,icon_island7,Island Banner,,enhance_400300,
12030402,120304,3,,,1003023,500,1,,,icon_island7,Island Banner,,enhance_403700,
12030403,120304,3,,,1003030,500,1,,,icon_island7,Island Banner,,enhance_403900,
12040101,120401,3,,,1003008,1000,1,,,icon_island7,Island Banner,,enhance_400200,
12040102,120401,1,,0,201,29,1,9220001,64,icon_island1,105719,100337,icon_island1,0.8
12040103,120401,1,,0,301,29,1,9220001,64,icon_island3,105717,100337,icon_island3,0.8
