id,arean,stronghold_level,pos_x,pos_y,name_default,model,model_red,height,width,icon,buff,function,sp_task_id,first_open,fight_time,occupy_time,protection_time,resource_level,fortree_small_icon,model_new,function_desc,map_area_name,first_reward,csb_open_time,csb_occupy_time,csb_server_point,csb_server_point_cd,csb_personal_point,csb_personal_point_cd,buff_id,buff_value,monster_arean_h,monster_arean_w,monter_group,monster_arean_army,monster_arean_n,city_defense,monster_group_boss,relic_upgrade,league_points,add_exp,upper_level_limit,csb_kill_army_ratio,csb_protection_time,map_zoom_icon
110,11;12,1,256,960,Ruins - All units HP,T_yijiyaosai_01,T_yijiyaosai_01,2,2,yaosai_icon,1003001;600,,2,39600,3600,3600,172800,acc06f|153,icon_small_fortress1,Effect_baguoyaosai_lv1,,Ruin (#5),8301801,0,60,0,60,0,60,1003001,600;700;800;900;1000,4,4,901,25,30,65000|90000|150000|250000|450000|0|0,601,40000|100000|250000|500000|0|0,20|20|20|20|20|20,10|10|10|10|10|10,5,1.0,0,image/world_simple/world_simple_fortress_1
111,13,,,,,,,,,,,,,,,,,858d5e|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
112,14,1,416,960,Ruins - Crossfire,T_yijiyaosai_01,T_yijiyaosai_01,2,2,yaosai_icon,970003;500,,2,39600,3600,3600,172800,858d5e|153,icon_small_fortress1,Effect_baguoyaosai_lv1,,Ruin (#6),8301801,0,60,0,60,0,60,970003,500;600;700;800;900,4,4,901,25,30,65000|90000|150000|250000|450000|0|0,601,40000|100000|250000|500000|0|0,20|20|20|20|20|20,10|10|10|10|10|10,5,1.0,0,image/world_simple/world_simple_fortress_1
113,15,,,,,,,,,,,,,,,,,858d5e|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
114,16,1,480,832,Ruins - Crossfire,T_yijiyaosai_01,T_yijiyaosai_01,2,2,yaosai_icon,970003;500,,2,39600,3600,3600,172800,858d5e|153,icon_small_fortress1,Effect_baguoyaosai_lv1,,Ruin (#7),8301801,0,60,0,60,0,60,970003,500;600;700;800;900,4,4,901,25,30,65000|90000|150000|250000|450000|0|0,601,40000|100000|250000|500000|0|0,20|20|20|20|20|20,10|10|10|10|10|10,5,1.0,0,image/world_simple/world_simple_fortress_1
115,17,,,,,,,,,,,,,,,,,858d5e|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
116,18;19,1,480,514,Ruins - All units ATK,T_yijiyaosai_01,T_yijiyaosai_01,2,2,yaosai_icon,1003002;600,,2,39600,3600,3600,172800,acc06f|153,icon_small_fortress1,Effect_baguoyaosai_lv1,,Ruin (#8),8301801,0,60,0,60,0,60,1003002,600;700;800;900;1000,4,4,901,25,30,65000|90000|150000|250000|450000|0|0,601,40000|100000|250000|500000|0|0,20|20|20|20|20|20,10|10|10|10|10|10,5,1.0,0,image/world_simple/world_simple_fortress_1
117,20,,,,,,,,,,,,,,,,,858d5e|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
118,21,1,480,192,Ruins - Pursuit,T_yijiyaosai_01,T_yijiyaosai_01,2,2,yaosai_icon,910301;500,,2,39600,3600,3600,172800,858d5e|153,icon_small_fortress1,Effect_baguoyaosai_lv1,,Ruin (#9),8301801,0,60,0,60,0,60,910301,500;600;700;800;900,4,4,901,25,30,65000|90000|150000|250000|450000|0|0,601,40000|100000|250000|500000|0|0,20|20|20|20|20|20,10|10|10|10|10|10,5,1.0,0,image/world_simple/world_simple_fortress_1
119,22,,,,,,,,,,,,,,,,,858d5e|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
120,23,1,416,64,Ruins - Gathering,T_yijiyaosai_01,T_yijiyaosai_01,2,2,yaosai_icon,960002;500,,2,39600,3600,3600,172800,858d5e|153,icon_small_fortress1,Effect_baguoyaosai_lv1,,Ruin (#10),8301801,0,60,0,60,0,60,960002,500;600;700;800;900,4,4,901,25,30,65000|90000|150000|250000|450000|0|0,601,40000|100000|250000|500000|0|0,20|20|20|20|20|20,10|10|10|10|10|10,5,1.0,0,image/world_simple/world_simple_fortress_1
121,24,,,,,,,,,,,,,,,,,858d5e|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
122,25;26,1,256,64,Ruins - All units HP,T_yijiyaosai_01,T_yijiyaosai_01,2,2,yaosai_icon,1003001;600,,2,39600,3600,3600,172800,acc06f|153,icon_small_fortress1,Effect_baguoyaosai_lv1,,Ruin (#11),8301801,0,60,0,60,0,60,1003001,600;700;800;900;1000,4,4,901,25,30,65000|90000|150000|250000|450000|0|0,601,40000|100000|250000|500000|0|0,20|20|20|20|20|20,10|10|10|10|10|10,5,1.0,0,image/world_simple/world_simple_fortress_1
123,27,,,,,,,,,,,,,,,,,858d5e|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
124,28,1,96,64,Ruins - Gold,T_yijiyaosai_01,T_yijiyaosai_01,2,2,yaosai_icon,920900;500,,2,39600,3600,3600,172800,858d5e|153,icon_small_fortress1,Effect_baguoyaosai_lv1,,Ruin (#12),8301801,0,60,0,60,0,60,920900,500;600;700;800;900,4,4,901,25,30,65000|90000|150000|250000|450000|0|0,601,40000|100000|250000|500000|0|0,20|20|20|20|20|20,10|10|10|10|10|10,5,1.0,0,image/world_simple/world_simple_fortress_1
125,29,,,,,,,,,,,,,,,,,acc06f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
126,30,2,96,320,Ancient Ruins - Quest,T_yijiyaosai_02,T_yijiyaosai_02,3,3,yaosai_icon,,1,3,39600,3600,3600,172800,71b53f|153,icon_small_fortress2,Effect_baguoyaosai_lv2,Claim rewards by completing Ruin Quests,Ruin (#13),8301802,0,60,20,60,40,60,,,4,4,902,35,30,0|200000|300000|400000|550000|650000|0,602,0|60000|150000|375000|750000|0,20|20|20|20|20|20|20,10|10|10|10|10|10|10,6,2.0,180,image/world_simple/world_simple_fortress_2
127,31,,,,,,,,,,,,,,,,,acc06f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
128,32,,,,,,,,,,,,,,,,,acc06f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
129,33,2,96,704,Ancient Ruins - Relics,T_yijiyaosai_02,T_yijiyaosai_02,3,3,yaosai_icon,,2,3,39600,3600,3600,172800,71b53f|153,icon_small_fortress2,Effect_baguoyaosai_lv2,Alliance members can draw Relics,Ruin (#14),8301802,0,60,20,60,40,60,,,4,4,902,35,30,0|200000|300000|400000|550000|650000|0,602,0|60000|150000|375000|750000|0,20|20|20|20|20|20|20,10|10|10|10|10|10|10,6,2.0,180,image/world_simple/world_simple_fortress_2
130,34,,,,,,,,,,,,,,,,,acc06f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
131,35,2,160,832,Ancient Ruins - Unit,T_yijiyaosai_02,T_yijiyaosai_02,3,3,yaosai_icon,,3,3,39600,3600,3600,172800,71b53f|153,icon_small_fortress2,Effect_baguoyaosai_lv2,Members can claim units,Ruin (#15),8301802,0,60,20,60,40,60,,,4,4,902,35,30,0|200000|300000|400000|550000|650000|0,602,0|60000|150000|375000|750000|0,20|20|20|20|20|20|20,10|10|10|10|10|10|10,6,2.0,180,image/world_simple/world_simple_fortress_2
132,36,,,,,,,,,,,,,,,,,acc06f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
133,37,,,,,,,,,,,,,,,,,acc06f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
134,38,2,352,832,Ancient Ruins - Item,T_yijiyaosai_02,T_yijiyaosai_02,3,3,yaosai_icon,,4,3,39600,3600,3600,172800,71b53f|153,icon_small_fortress2,Effect_baguoyaosai_lv2,Members can claim items,Ruin (#16),8301802,0,60,20,60,40,60,,,4,4,902,35,30,0|200000|300000|400000|550000|650000|0,602,0|60000|150000|375000|750000|0,20|20|20|20|20|20|20,10|10|10|10|10|10|10,6,2.0,180,image/world_simple/world_simple_fortress_2
135,39,,,,,,,,,,,,,,,,,acc06f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
136,40,2,416,704,Ancient Ruins - Quest,T_yijiyaosai_02,T_yijiyaosai_02,3,3,yaosai_icon,,1,3,39600,3600,3600,172800,71b53f|153,icon_small_fortress2,Effect_baguoyaosai_lv2,Claim rewards by completing Ruin Quests,Ruin (#17),8301802,0,60,20,60,40,60,,,4,4,902,35,30,0|200000|300000|400000|550000|650000|0,602,0|60000|150000|375000|750000|0,20|20|20|20|20|20|20,10|10|10|10|10|10|10,6,2.0,180,image/world_simple/world_simple_fortress_2
137,41,,,,,,,,,,,,,,,,,acc06f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
138,42,,,,,,,,,,,,,,,,,acc06f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
139,43,2,416,320,Ancient Ruins - Relics,T_yijiyaosai_02,T_yijiyaosai_02,3,3,yaosai_icon,,2,3,39600,3600,3600,172800,71b53f|153,icon_small_fortress2,Effect_baguoyaosai_lv2,Alliance members can draw Relics,Ruin (#18),8301802,0,60,20,60,40,60,,,4,4,902,35,30,0|200000|300000|400000|550000|650000|0,602,0|60000|150000|375000|750000|0,20|20|20|20|20|20|20,10|10|10|10|10|10|10,6,2.0,180,image/world_simple/world_simple_fortress_2
140,44,,,,,,,,,,,,,,,,,acc06f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
141,45,2,352,192,Ancient Ruins - Unit,T_yijiyaosai_02,T_yijiyaosai_02,3,3,yaosai_icon,,3,3,39600,3600,3600,172800,71b53f|153,icon_small_fortress2,Effect_baguoyaosai_lv2,Members can claim units,Ruin (#19),8301802,0,60,20,60,40,60,,,4,4,902,35,30,0|200000|300000|400000|550000|650000|0,602,0|60000|150000|375000|750000|0,20|20|20|20|20|20|20,10|10|10|10|10|10|10,6,2.0,180,image/world_simple/world_simple_fortress_2
142,46,,,,,,,,,,,,,,,,,acc06f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
143,47,,,,,,,,,,,,,,,,,acc06f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
144,48,2,160,192,Ancient Ruins - Item,T_yijiyaosai_02,T_yijiyaosai_02,3,3,yaosai_icon,,4,3,39600,3600,3600,172800,71b53f|153,icon_small_fortress2,Effect_baguoyaosai_lv2,Members can claim items,Ruin (#20),8301802,0,60,20,60,40,60,,,4,4,902,35,30,0|200000|300000|400000|550000|650000|0,602,0|60000|150000|375000|750000|0,20|20|20|20|20|20|20,10|10|10|10|10|10|10,6,2.0,180,image/world_simple/world_simple_fortress_2
145,49,,,,,,,,,,,,,,,,,71b53f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
146,50;51,3,156,512,The Emperor's Ruins - Guard,T_yijiyaosai_03,T_yijiyaosai_03,4,4,yaosai_icon,,5,4,39600,3600,3600,172800,449900|153,icon_small_fortress3,Effect_baguoyaosai_lv3,Guards are spawned in this area,Ruin (#21),8301803,900,60,40,60,80,60,,,4,4,903,40,30,0|0|300000|600000|1000000|1150000|1300000,603,0|0|90000|225000|563000|1125000,20|20|20|20|20|20|20,10|10|10|10|10|10|10,7,2.0,180,image/world_simple/world_simple_fortress_3
147,52,,,,,,,,,,,,,,,,,71b53f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
148,53;54,3,256,700,The Emperor's Ruins - Resource,T_yijiyaosai_03,T_yijiyaosai_03,4,4,yaosai_icon,,6,4,39600,3600,3600,172800,449900|153,icon_small_fortress3,Effect_baguoyaosai_lv3,Resources are spawned in this area,Ruin (#22),8301803,900,60,40,60,80,60,,,4,4,903,40,30,0|0|300000|600000|1000000|1150000|1300000,603,0|0|90000|225000|563000|1125000,20|20|20|20|20|20|20,10|10|10|10|10|10|10,7,2.0,180,image/world_simple/world_simple_fortress_3
149,55,,,,,,,,,,,,,,,,,71b53f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
150,56;57,3,350,512,The Emperor's Ruins - Guard,T_yijiyaosai_03,T_yijiyaosai_03,4,4,yaosai_icon,,5,4,39600,3600,3600,172800,449900|153,icon_small_fortress3,Effect_baguoyaosai_lv3,Guards are spawned in this area,Ruin (#23),8301803,900,60,40,60,80,60,,,4,4,903,40,30,0|0|300000|600000|1000000|1150000|1300000,603,0|0|90000|225000|563000|1125000,20|20|20|20|20|20|20,10|10|10|10|10|10|10,7,2.0,180,image/world_simple/world_simple_fortress_3
151,58,,,,,,,,,,,,,,,,,71b53f|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
152,59;60,3,256,312,The Emperor's Ruins - Resource,T_yijiyaosai_03,T_yijiyaosai_03,4,4,yaosai_icon,,6,4,39600,3600,3600,172800,449900|153,icon_small_fortress3,Effect_baguoyaosai_lv3,Resources are spawned in this area,Ruin (#24),8301803,900,60,40,60,80,60,,,4,4,903,40,30,0|0|300000|600000|1000000|1150000|1300000,603,0|0|90000|225000|563000|1125000,20|20|20|20|20|20|20,10|10|10|10|10|10|10,7,2.0,180,image/world_simple/world_simple_fortress_3
153,61,,,,,,,,,,,,,,,,,037a00|153,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,62,,,,,,,,,,,,,,,,,037a00|153,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,63,,,,,,,,,,,,,,,,,037a00|153,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,64,,,,,,,,,,,,,,,,,037a00|153,,,,,,,,,,,,,,,,,,,,,,,,,,,
