task_id,server_open_days,name,describe,type,contion_id,num,count_type,time_limit,time_forecast,revice_level,reward_id,auto_accomplished,switch,function_time_limit,guide_id,task_icon,describe2,progress_bar,reward_occupied,text_claim,complete_unshow,more,button_type,client_unshow,dynamic_word,priority_condition,complete_lasts
10,9,Merge More,,1003,5,20000.0,2,24,2880,25,7302010,0,,0,,ServerTask/ServerTask_banner_40,Commanders in this warzone merged units into Lv. {0} (or above) {1} times within the quest's time limit.,1,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
11,10,Intercepted!,,1006,0,1000000.0,2,24,2880,25,7302011,0,,0,,ServerTask/ServerTask_banner_39,Commanders in this warzone completed radar missions {0} times within the quest's time limit,1,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
12,11,Hostilities Broke Out,,1001,30,1000.0,1,24,2880,25,7302012,0,,0,,ServerTask/ServerTask_banner_47,Have {1} or more commanders reach Lv. {0} or above in total (your server),1,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
13,12,Into the Ruins II,,2001,1,2.0,,24,2880,25,7302013,0,,0,3|15001,ServerTask/ServerTask_banner_41,You Alliance is holding more than 1 Lv. {0} Ruins after the first ConTest,0,7301502,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,1
14,13,Small Warhammer; Big Fun,,1002,0,100.0,2,24,1440,25,7302014,0,,0,,ServerTask/ServerTask_banner_51,Alliance killed Warhammers {0} times within the quest's time limit.,1,,,,,2,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,1
15,14,Top Alliance,,1009,0,15.0,,48,1440,25,7302015,0,,0,,ServerTask/ServerTask_banner_43,Your Alliance's combat power rating has climbed to the top {0} by the end of the countdown.,0,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,1
16,16,Command & Control,,1010,0,25.0,1,48,2880,25,7302016,0,,0,,ServerTask/ServerTask_banner_49,Unlocked areas in your base {0} times,1,,,,65,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,1
17,18,Ruins Holder III,,2001,1,3.0,,24,2880,30,7302017,0,,0,3|16001,ServerTask/ServerTask_banner_05,You Alliance is holding more than 1 Lv. {0} Ruins after the first ConTest,0,7301503,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,1
18,19,My Vote,,1013,0,1.0,,120,2880,30,7302018,0,,0,1|2019042818,ServerTask/ServerTask_banner_35,Vote on the time to hold the "Capital ConTest" within the quest's time limit.,1,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,1
19,19,The Warlords,,2001,4,,,,2880,35,7302019,0,,5,1|2019042818,ServerTask/ServerTask_banner_02,You Alliance is holding the Capital after the first ConTest,0,7301504,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,1
20,21,Battle Tested,,1001,40,1000.0,1,24,1440,35,7302020,0,,0,,ServerTask/ServerTask_banner_46,Have {1} or more commanders reach Lv. {0} or above in total (your server),1,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
21,22,To the Top,,1012,0,15.0,,72,1440,35,7302021,0,,0,,ServerTask/ServerTask_banner_24,When the countdown ends; enter the Top {0} in individual CP ranking,0,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,1
22,31,Eternal Land,,1011,0,1.0,2,1440,1440,40,7302022,0,,0,,ServerTask/ServerTask_banner_45,Check out the "Eternal Land" event preview within the quest's time limit.,0,,,,,1,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,1,1
23,1,Spread Like Wildfire,,2001,7,,,,0,,,0,,0,,ServerTask/ServerTask_banner_40,,0,,,1,,,1,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
24,6,The Looter,,2001,10,,,,0,,,0,,0,,ServerTask/ServerTask_banner_41,,0,,,1,,,1,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
25,7,The Rookie,,2001,5,,,,0,,,0,,0,,ServerTask/ServerTask_banner_42,,0,,,1,,,1,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
26,28,A Worthy Opponent,,2001,8,,,,0,,,0,,0,,ServerTask/ServerTask_banner_43,,0,,,1,,,1,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
27,30,Game-changer,,2001,6,,,,0,,,0,,0,,ServerTask/ServerTask_banner_44,,0,,,1,,,1,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
28,14,The GREAT project,,2001,12,,,,0,,,0,,0,,ServerTask/ServerTask_banner_45,,0,,,1,,,1,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
