id,name,detail,icon,group,position,relation,talent_lv,max_lv,research_need,time_research,para1,para2,unlock,reward,color,priority,quality,switch,original_server_effective
10503,Bullets Sweep,Eternal Land - Wonder Stone drop increases by killing Dark Forces,image/professionTalent/career_strengthen_004,10500,3;3,10502,2,5,26;1440,51840,900301,1200,45,5008523,,,4,,0
10504,Bullets Sweep,Eternal Land - Wonder Stone drop increases by killing Dark Forces,image/professionTalent/career_strengthen_004,10500,3;3,10503,3,5,26;2160,77760,900301,1800,45,5008524,,,4,,0
10505,Bullets Sweep,Eternal Land - Wonder Stone drop increases by killing Dark Forces,image/professionTalent/career_strengthen_004,10500,3;3,10504,4,5,26;2880,103680,900301,2400,45,5008525,,,4,,0
10506,Bullets Sweep,Eternal Land - Wonder Stone drop increases by killing Dark Forces,image/professionTalent/career_strengthen_004,10500,3;3,10505,5,5,,,900301,3000,45,,,,4,,0
10601,I Hate Darkness,Eternal Land - DMG increase (against Dark Forces),image/professionTalent/kvk_tec_001,10600,4;1,10504,0,5,26;360,8640,970003,0,45,5008526,,,1,,0
10602,I Hate Darkness,Eternal Land - DMG increase (against Dark Forces),image/professionTalent/kvk_tec_001,10600,4;1,10601,1,5,26;600,17280,970003,1000,45,5008527,,,1,,0
10603,I Hate Darkness,Eternal Land - DMG increase (against Dark Forces),image/professionTalent/kvk_tec_001,10600,4;1,10602,2,5,26;960,34560,970003,2000,45,5008528,,,1,,0
10604,I Hate Darkness,Eternal Land - DMG increase (against Dark Forces),image/professionTalent/kvk_tec_001,10600,4;1,10603,3,5,26;1440,69120,970003,3000,45,5008529,,,1,,0
10605,I Hate Darkness,Eternal Land - DMG increase (against Dark Forces),image/professionTalent/kvk_tec_001,10600,4;1,10604,4,5,26;2700,103680,970003,4000,45,5008530,,,1,,0
10606,I Hate Darkness,Eternal Land - DMG increase (against Dark Forces),image/professionTalent/kvk_tec_001,10600,4;1,10605,5,5,,,970003,5000,45,,,,1,,0
10701,Be Safe,Eternal Land - DMG taken reduced (taken from Dark Forces),image/professionTalent/kvk_tec_002,10700,4;5,10504,0,5,26;360,8640,900307,0,45,5008531,,,1,,0
10702,Be Safe,Eternal Land - DMG taken reduced (taken from Dark Forces),image/professionTalent/kvk_tec_002,10700,4;5,10701,1,5,26;600,17280,900307,1000,45,5008532,,,1,,0
10703,Be Safe,Eternal Land - DMG taken reduced (taken from Dark Forces),image/professionTalent/kvk_tec_002,10700,4;5,10702,2,5,26;960,34560,900307,2000,45,5008533,,,1,,0
10704,Be Safe,Eternal Land - DMG taken reduced (taken from Dark Forces),image/professionTalent/kvk_tec_002,10700,4;5,10703,3,5,26;1440,69120,900307,3000,45,5008534,,,1,,0
10705,Be Safe,Eternal Land - DMG taken reduced (taken from Dark Forces),image/professionTalent/kvk_tec_002,10700,4;5,10704,4,5,26;2700,103680,900307,4000,45,5008535,,,1,,0
10706,Be Safe,Eternal Land - DMG taken reduced (taken from Dark Forces),image/professionTalent/kvk_tec_002,10700,4;5,10705,5,5,,,900307,5000,45,,,,1,,0
10801,Nextgen Tech,Eternal Land Tech research cost reduce,image/alliance_science/alliance_science_2,10800,5;3,10604|10704,0,5,26;420,12960,900302,0,45,5008536,,,4,,1
10802,Nextgen Tech,Eternal Land Tech research cost reduce,image/alliance_science/alliance_science_2,10800,5;3,10801,1,5,26;720,21600,900302,200,45,5008537,,,4,,1
10803,Nextgen Tech,Eternal Land Tech research cost reduce,image/alliance_science/alliance_science_2,10800,5;3,10802,2,5,26;1200,38880,900302,400,45,5008538,,,4,,1
10804,Nextgen Tech,Eternal Land Tech research cost reduce,image/alliance_science/alliance_science_2,10800,5;3,10803,3,5,26;1800,60000,900302,600,45,5008539,,,4,,1
10805,Nextgen Tech,Eternal Land Tech research cost reduce,image/alliance_science/alliance_science_2,10800,5;3,10804,4,5,26;3000,72000,900302,800,45,5008540,,,4,,1
10806,Nextgen Tech,Eternal Land Tech research cost reduce,image/alliance_science/alliance_science_2,10800,5;3,10805,5,5,,,900302,1000,45,,,,4,,1
10901,Extra Gain,Eternal Land - Individual points increases by killing Dark Forces,image/professionTalent/kvk_tec_004,10900,6;1,10804,0,5,26;360,8640,900303,0,45,5008541,,,1,,0
10902,Extra Gain,Eternal Land - Individual points increases by killing Dark Forces,image/professionTalent/kvk_tec_004,10900,6;1,10901,1,5,26;600,17280,900303,400,45,5008542,,,1,,0
10903,Extra Gain,Eternal Land - Individual points increases by killing Dark Forces,image/professionTalent/kvk_tec_004,10900,6;1,10902,2,5,26;960,34560,900303,800,45,5008543,,,1,,0
10904,Extra Gain,Eternal Land - Individual points increases by killing Dark Forces,image/professionTalent/kvk_tec_004,10900,6;1,10903,3,5,26;1440,69120,900303,1200,45,5008544,,,1,,0
10905,Extra Gain,Eternal Land - Individual points increases by killing Dark Forces,image/professionTalent/kvk_tec_004,10900,6;1,10904,4,5,26;2700,103680,900303,1600,45,5008545,,,1,,0
10906,Extra Gain,Eternal Land - Individual points increases by killing Dark Forces,image/professionTalent/kvk_tec_004,10900,6;1,10905,5,5,,,900303,2000,45,,,,1,,0
11001,No Pain No Gain,Eternal Land - Individual points increases by gathering resources,image/professionTalent/career_mechanical_002,11000,6;5,10804,0,5,26;360,8640,900304,0,45,5008546,,,1,,0
11002,No Pain No Gain,Eternal Land - Individual points increases by gathering resources,image/professionTalent/career_mechanical_002,11000,6;5,11001,1,5,26;600,17280,900304,400,45,5008547,,,1,,0
11003,No Pain No Gain,Eternal Land - Individual points increases by gathering resources,image/professionTalent/career_mechanical_002,11000,6;5,11002,2,5,26;960,34560,900304,800,45,5008548,,,1,,0
11004,No Pain No Gain,Eternal Land - Individual points increases by gathering resources,image/professionTalent/career_mechanical_002,11000,6;5,11003,3,5,26;1440,69120,900304,1200,45,5008549,,,1,,0
11005,No Pain No Gain,Eternal Land - Individual points increases by gathering resources,image/professionTalent/career_mechanical_002,11000,6;5,11004,4,5,26;2700,103680,900304,1600,45,5008550,,,1,,0
11006,No Pain No Gain,Eternal Land - Individual points increases by gathering resources,image/professionTalent/career_mechanical_002,11000,6;5,11005,5,5,,,900304,2000,45,,,,1,,0
11101,Tri-Service Collab,Eternal Land - All units ATK increase,image/professionTalent/career_battlemaster_001,11100,7;3,10904|11004,0,5,26;600,21600,930100,0,45,5008551,,,4,,0
11102,Tri-Service Collab,Eternal Land - All units ATK increase,image/professionTalent/career_battlemaster_001,11100,7;3,11101,1,5,26;960,38880,930100,1000,45,5008552,,,4,,0
11103,Tri-Service Collab,Eternal Land - All units ATK increase,image/professionTalent/career_battlemaster_001,11100,7;3,11102,2,5,26;1440,73440,930100,2000,45,5008553,,,4,,0
11104,Tri-Service Collab,Eternal Land - All units ATK increase,image/professionTalent/career_battlemaster_001,11100,7;3,11103,3,5,26;2400,108000,930100,3000,45,5008554,,,4,,0
11105,Tri-Service Collab,Eternal Land - All units ATK increase,image/professionTalent/career_battlemaster_001,11100,7;3,11104,4,5,26;3600,141840,930100,4000,45,5008555,,,4,,0
11106,Tri-Service Collab,Eternal Land - All units ATK increase,image/professionTalent/career_battlemaster_001,11100,7;3,11105,5,5,,,930100,5000,45,,,,4,,0
11201,Astonishing Power,Eternal Land - March Queue add,image/professionTalent/career_strengthen_001,11200,8;3,11104,0,1,26;6000,103680,910200,0,45,5008556,,,4,,0
11202,Astonishing Power,Eternal Land - March Queue add,image/professionTalent/career_strengthen_001,11200,8;3,11201,1,1,,,910200,1,45,,,,4,,0
11301,Defend Your Land,Eternal Land - ATK increase for battles in Alliance buildings,image/alliance_science/alliance_science_501,11300,9;1,11202,0,5,26;360,8640,900305,0,45,5008557,,,1,,0
11302,Defend Your Land,Eternal Land - ATK increase for battles in Alliance buildings,image/alliance_science/alliance_science_501,11300,9;1,11301,1,5,26;600,17280,900305,2000,45,5008558,,,1,,0
11303,Defend Your Land,Eternal Land - ATK increase for battles in Alliance buildings,image/alliance_science/alliance_science_501,11300,9;1,11302,2,5,26;960,34560,900305,4000,45,5008559,,,1,,0
11304,Defend Your Land,Eternal Land - ATK increase for battles in Alliance buildings,image/alliance_science/alliance_science_501,11300,9;1,11303,3,5,26;1440,69120,900305,6000,45,5008560,,,1,,0
11305,Defend Your Land,Eternal Land - ATK increase for battles in Alliance buildings,image/alliance_science/alliance_science_501,11300,9;1,11304,4,5,26;2700,103680,900305,8000,45,5008561,,,1,,0
11306,Defend Your Land,Eternal Land - ATK increase for battles in Alliance buildings,image/alliance_science/alliance_science_501,11300,9;1,11305,5,5,,,900305,10000,45,,,,1,,0
11401,Field Op,Eternal Land - ATK increase for battles in Mutual buildings,image/AllianceAchevement/alliance_level_task_1101,11400,9;5,11202,0,5,26;360,8640,900306,0,45,5008562,,,1,,0
11402,Field Op,Eternal Land - ATK increase for battles in Mutual buildings,image/AllianceAchevement/alliance_level_task_1101,11400,9;5,11401,1,5,26;600,17280,900306,2000,45,5008563,,,1,,0
11403,Field Op,Eternal Land - ATK increase for battles in Mutual buildings,image/AllianceAchevement/alliance_level_task_1101,11400,9;5,11402,2,5,26;960,34560,900306,4000,45,5008564,,,1,,0
11404,Field Op,Eternal Land - ATK increase for battles in Mutual buildings,image/AllianceAchevement/alliance_level_task_1101,11400,9;5,11403,3,5,26;1440,69120,900306,6000,45,5008565,,,1,,0
11405,Field Op,Eternal Land - ATK increase for battles in Mutual buildings,image/AllianceAchevement/alliance_level_task_1101,11400,9;5,11404,4,5,26;2700,103680,900306,8000,45,5008566,,,1,,0
11406,Field Op,Eternal Land - ATK increase for battles in Mutual buildings,image/AllianceAchevement/alliance_level_task_1101,11400,9;5,11405,5,5,,,900306,10000,45,,,,1,,0
11601,Arms Prep & Expansion,Eternal Land - March Size Increase,image/alliance_science/alliance_science_5,11600,10;3,11304|11404,0,5,26;960,34560,960012,0,45,5008567,,,4,,0
11602,Arms Prep & Expansion,Eternal Land - March Size Increase,image/alliance_science/alliance_science_5,11600,10;3,11601,1,5,26;1680,69120,960012,5,45,5008568,,,4,,0
11603,Arms Prep & Expansion,Eternal Land - March Size Increase,image/alliance_science/alliance_science_5,11600,10;3,11602,2,5,26;2640,103680,960012,10,45,5008569,,,4,,0
11604,Arms Prep & Expansion,Eternal Land - March Size Increase,image/alliance_science/alliance_science_5,11600,10;3,11603,3,5,26;4200,138240,960012,15,45,5008570,,,4,,0
11605,Arms Prep & Expansion,Eternal Land - March Size Increase,image/alliance_science/alliance_science_5,11600,10;3,11604,4,5,26;6000,172800,960012,20,45,5008571,,,4,,0
11606,Arms Prep & Expansion,Eternal Land - March Size Increase,image/alliance_science/alliance_science_5,11600,10;3,11605,5,5,,,960012,25,45,,,,4,,0
11501,Indestructible,Eternal Land - All units DEF increase,image/EightCountry/buff/rankBuff_04,11500,11;3,11604,0,5,26;960,34560,990202,0,45,5008572,,,4,,0
11502,Indestructible,Eternal Land - All units DEF increase,image/EightCountry/buff/rankBuff_04,11500,11;3,11501,1,5,26;1680,69120,990202,500,45,5008573,,,4,,0
11503,Indestructible,Eternal Land - All units DEF increase,image/EightCountry/buff/rankBuff_04,11500,11;3,11502,2,5,26;2640,103680,990202,1000,45,5008574,,,4,,0
11504,Indestructible,Eternal Land - All units DEF increase,image/EightCountry/buff/rankBuff_04,11500,11;3,11503,3,5,26;4200,138240,990202,1500,45,5008575,,,4,,0
11505,Indestructible,Eternal Land - All units DEF increase,image/EightCountry/buff/rankBuff_04,11500,11;3,11504,4,5,26;6000,172800,990202,2000,45,5008576,,,4,,0
11506,Indestructible,Eternal Land - All units DEF increase,image/EightCountry/buff/rankBuff_04,11500,11;3,11505,5,5,,,990202,2500,45,,,,4,,0
