id,anim,prefab,sale_btn,get_pram,fragments_number,name,desc,equip_buff,own_buff,ui_cell_offset,ui_main_offset,is_show,is_temporarily,plat,exclude,plat_show,time,endtime,timeType,order,display_text,icon
16,ea_prefab/world/march/prefabWorldMarch_valentines,ea_prefab/__subpack/armyLineSkin/valentines,4,40023,10,Cupid,Transporter6,910300;1000,,0;-25;0.7,0;-25;1.2,1,0,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|quickhuaweinj|webgame|qqmini|qqwanba|qqgame|appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|appiosviet|googleplayviet,,,,,,38,,image/armyLineSkin/valentines
17,ea_prefab/world/march/prefabWorldMarch_GODZILLA1,ea_prefab/__subpack/armyLineSkin/skinGODZILLA1,2,2002001,10,Transport Vehicle7,Transporter7,910300;1000,,0;-12;0.5,20;-40;0.8,1,0,g123,,,2020-2-13-0-0-0,2020-2-26-23-59-59,1,39,,image/armyLineSkin/skinGODZILLA1
18,ea_prefab/world/march/prefabWorldMarch_GODZILLA2,ea_prefab/__subpack/armyLineSkin/skinGODZILLA2,2,2002002,10,Mobile Gus,Transporter8,910300;1000,,0;-12;0.5,20;-40;0.8,1,0,g123,,,2020-2-13-0-0-0,2020-2-26-23-59-59,1,25,,image/armyLineSkin/skinGODZILLA2
20,ea_prefab/world/march/prefabWorldMarch_biggun,ea_prefab/__subpack/armyLineSkin/biggun,4,40027,10,Mobile Gus,Cute Rabbit0,910300;1000,,0;20;0.75,0;0;1.2,1,0,,,,,,2,45,,image/armyLineSkin/biggun
19,ea_prefab/world/march/prefabWorldMarch_SINS,ea_prefab/__subpack/armyLineSkin/skinSINS,2,2003001,10,Transport Vehicle9,Transporter9,910300;1000,,0;-12;0.5,20;-40;0.8,1,0,g123,,,2020-3-12-0-0-0,2020-3-25-23-59-59,1,41,,image/armyLineSkin/skinSINS
21,ea_prefab/world/march/prefabWorldMarch_fighter,ea_prefab/__subpack/armyLineSkin/fighter,4,40028,10,Raptor,Cute Rabbit1,910300;1000,,-20;20;0.5,0;0;1.2,1,0,,,,,,2,46,,image/armyLineSkin/fighter
23,ea_prefab/world/march/prefabWorldMarch_MisakaMikoto,ea_prefab/__subpack/armyLineSkin/MisakaMikoto,2,2004004,10,Bunny3,Cute Rabbit3,910300;1000,,0;20;0.75,0;0;1.2,1,0,g123,,,2020-4-30-0-0-0,2020-5-13-23-59-59,2,44,,image/armyLineSkin/MisakaMikoto
24,ea_prefab/world/march/prefabWorldMarch_paraboy,ea_prefab/__subpack/armyLineSkin/paraboy,4,40030,10,Hercules Squadron,Cute Rabbit4,910300;1000,,-20;20;0.5,0;0;1.2,1,0,,,,,,2,44,,image/armyLineSkin/paraboy
25,ea_prefab/world/march/prefabWorldMarch_sportscar,ea_prefab/__subpack/armyLineSkin/sportscar,4,40029,10,Supercar Queue,Cute Rabbit5,910300;1000,,-6;11;0.75,4;-19;1.5,1,0,,,,,,2,42,,image/armyLineSkin/sportscar
101,ea_prefab/world/march/prefabWorldMarch_alliancedefend1,,0,,10,,,,,-20;20;0.5,0;0;1.2,0,0,,,,,,2,19,,
102,ea_prefab/world/march/prefabWorldMarch_alliancedefend2,,0,,10,,,,,-20;20;0.5,0;0;1.2,0,0,,,,,,2,20,,
103,ea_prefab/world/march/prefabWorldMarch_alliancedefend3,,0,,10,,,,,-20;20;0.5,0;0;1.2,0,0,,,,,,2,21,,
104,ea_prefab/world/march/prefabWorldMarch_alliancedefend4,,0,,10,,,,,-20;20;0.5,0;0;1.2,0,0,,,,,,2,22,,
26,ea_prefab/world/march/prefabWorldMarch_TerraFormars,ea_prefab/__subpack/armyLineSkin/TerraFormars,2,2006114,10,Bunny6,Cute Rabbit6,910300;1000,,0;20;0.75,0;0;1.2,1,0,g123,,,2020-6-11-0-0-0,2020-6-24-23-59-59,1,32,,image/armyLineSkin/TerraFormars
27,ea_prefab/world/march/prefabWorldMarch_truck,ea_prefab/__subpack/armyLineSkin/truck,4,40031,10,The Devourer,Cute Rabbit7,910300;1000,,-5;20;0.5,0;0;1.2,1,0,,,,2020-06-11-0-0-0,2029-10-30-23-59-59,3,49,,image/armyLineSkin/truck
28,ea_prefab/world/march/prefabWorldMarch_Ultraman,ea_prefab/__subpack/armyLineSkin/Ultraman,2,2007094,10,Bunny8,Cute Rabbit8,910300;1000,,0;20;0.75,0;0;1.2,1,0,g123,,,2020-7-9-0-0-0,2020-7-22-23-59-59,1,32,,image/armyLineSkin/Ultraman
29,ea_prefab/world/march/prefabWorldMarch_hyperion,ea_prefab/__subpack/armyLineSkin/hyperion,2,370,10,Hyperion Scout,Cute Rabbit9,910300;1000,,-5;-20;0.5,0;-80;1.2,1,0,,,,2020-07-13-10-0-0,2029-10-30-23-59-59,3,50,,image/armyLineSkin/hyperion
30,ea_prefab/world/march/prefabWorldMarch_whale,ea_prefab/__subpack/armyLineSkin/whale,4,40032,10,Jaws,march_skin_desc30,910300;1000,,0;0;0.7,0;0;1.2,1,0,,,,2020-07-09-0-0-0,2029-10-30-23-59-59,3,51,,image/armyLineSkin/whale
31,ea_prefab/world/march/prefabWorldMarch_Yamato,ea_prefab/__subpack/armyLineSkin/Yamato,2,2008066,10,Frost Kylin1,march_skin_desc31,910300;1000,,0;20;0.75,0;0;1.2,1,0,g123,,,2021-08-12-0-0-0,2021-08-25-23-59-59,1,50,,image/armyLineSkin/Yamato
32,ea_prefab/world/march/prefabWorldMarch_EidAdha,ea_prefab/__subpack/armyLineSkin/EidAdha,2,500016,10,Desert Boat,march_skin_desc32,910300;1000,,0;20;0.75,0;0;1.2,1,0,,,,2020-7-31-0-0-0,2029-10-30-23-59-59,1,52,,image/armyLineSkin/EidAdha
33,ea_prefab/world/march/prefabWorldMarch_Patrol,ea_prefab/__subpack/armyLineSkin/Patrol,4,40034,10,Night City Patrol,march_skin_desc33,910300;1000,,0;-45;0.6,0;-40;1,1,0,,,,2020-08-06-0-0-0,2029-10-30-23-59-59,3,53,,image/armyLineSkin/Patrol
36,ea_prefab/world/march/prefabWorldMarch_MCV,ea_prefab/__subpack/armyLineSkin/MCV,4,40035,10,VN-1 Rover,march_skin_desc36,910300;1000,,0;20;0.6,0;0;1,1,0,,,,2020-09-10-0-0-0,2029-10-30-23-59-59,3,54,,image/armyLineSkin/MCV
34,ea_prefab/world/march/prefabWorldMarch_Gineiden,ea_prefab/__subpack/armyLineSkin/Gineiden,2,500057,10,Frost Kylin4,march_skin_desc34,910300;1000,,0;20;0.75,0;0;1.2,1,0,g123,,,2020-9-17-0-0-0,2020-9-30-23-59-59,1,39,,image/armyLineSkin/Gineiden
35,ea_prefab/world/march/prefabWorldMarch_GineidenB,ea_prefab/__subpack/armyLineSkin/GineidenB,2,2009173,10,Frost Kylin5,march_skin_desc35,910300;1000,,0;20;0.75,0;0;1.2,1,0,g123,,,2020-9-17-0-0-0,2020-9-30-23-59-59,1,39,,image/armyLineSkin/GineidenB
38,ea_prefab/world/march/prefabWorldMarch_ZH,ea_prefab/__subpack/armyLineSkin/ZH,4,40036,10,ZH-2 Perceiver,march_skin_desc37,910300;1000,,0;-60;0.6,0;-80;1,1,0,,,,2020-10-08-0-0-0,2029-10-30-23-59-59,3,55,,image/armyLineSkin/ZH
37,ea_prefab/world/march/prefabWorldMarch_Madoka,ea_prefab/__subpack/armyLineSkin/Madoka,2,2009182,10,Frost Kylin8,march_skin_desc38,910300;1000,,0;20;0.75,0;0;1.2,1,0,g123,,,2020-10-15-0-0-0,2020-10-28-23-59-59,1,41,,image/armyLineSkin/Madoka
39,ea_prefab/world/march/prefabWorldMarch_ghost,ea_prefab/__subpack/armyLineSkin/ghost,2,505,10,Haunting Ghost,GHOSTS ASSEMBLE!!,910300;1000,,3;10;0.6,0;-30;1,1,0,,,,2020-10-29-0-0-0,2029-10-30-23-59-59,3,56,,image/armyLineSkin/ghost
40,ea_prefab/world/march/prefabWorldMarch_Kochikame,ea_prefab/__subpack/armyLineSkin/Kochikame,2,2009192,10,Zadkiel0,march_skin_desc40,910300;1000,,0;0;0.75,0;0;1.2,1,0,g123,,,2020-11-12-0-0-0,2020-11-25-23-59-59,1,57,,image/armyLineSkin/Kochikame
41,ea_prefab/world/march/prefabWorldMarch_WB,ea_prefab/__subpack/armyLineSkin/WB,4,40037,10,WB-3 Omega,march_skin_desc41,910300;1000,,0;-60;0.6,0;-80;1,1,0,,,,2020-11-11-0-0-0,2029-10-30-23-59-59,3,57,,image/armyLineSkin/WB
42,ea_prefab/world/march/prefabWorldMarch_Kochikame_1,ea_prefab/__subpack/armyLineSkin/Kochikame_1,2,2009202,10,Zadkiel2,march_skin_desc42,910300;1000,,0;20;0.45,0;-20;1.1,1,0,g123,,,2020-12-10-0-0-0,2020-12-23-23-59-59,1,58,,image/armyLineSkin/Kochikame_1
43,ea_prefab/world/march/prefabWorldMarch_Kochikame_2,ea_prefab/__subpack/armyLineSkin/Kochikame_2,2,,10,Zadkiel3,march_skin_desc43,,,0;0;0.75,0;0;1.2,0,0,g123,,,,,,58,,image/armyLineSkin/Kochikame_2
44,ea_prefab/world/march/prefabWorldMarch_blackDragon,ea_prefab/__subpack/armyLineSkin/blackDragon,2,548,10,Dragon Impact,march_skin_desc44,910300;1000,,-8;26.2;0.45,25;10;1,1,0,,,,2020-12-10-0-0-0,2029-10-30-23-59-59,3,58,,image/armyLineSkin/blackDragon
45,ea_prefab/world/march/prefabWorldMarch_SnowMan,ea_prefab/__subpack/armyLineSkin/skinSnowMan,0,,10,Snowbaby,march_skin_desc45,910300;1000,,0;20;0.6,0;0;1,1,0,,,,2020-12-19-0-0-0,2029-10-30-23-59-59,3,59,,image/armyLineSkin/skinSnowMan
46,ea_prefab/world/march/prefabWorldMarch_Altman,ea_prefab/__subpack/armyLineSkin/Altman,2,2009207,10,Zadkiel6,march_skin_desc46,910300;1000,,0;20;0.45,0;-20;1.1,1,0,g123,,,2021-1-7-0-0-0,2021-1-20-23-59-59,1,60,,image/armyLineSkin/Altman
48,ea_prefab/world/march/prefabWorldMarch_zhangyu,ea_prefab/__subpack/armyLineSkin/zhangyu,2,580,10,Bomb-bomb,march_skin_desc48,910300;1000,,-8;26.2;0.45,25;10;1,1,0,,,,2020-12-29-0-0-0,2029-10-30-23-59-59,3,61,,image/armyLineSkin/zhangyu
50,ea_prefab/world/march/prefabWorldMarch_daishu,ea_prefab/__subpack/armyLineSkin/daishu,0,,10,Kangaroo,march_skin_desc50,910300;1000,,0;0;0.75,-15;-50;1,1,0,,,,2021-01-21-0-0-0,2029-10-30-23-59-59,3,62,,image/armyLineSkin/daishu
47,ea_prefab/world/march/prefabWorldMarch_baguo,ea_prefab/__subpack/armyLineSkin/baguo,0,,10,Roaring Chariot,march_skin_desc47,910300;1000,,-8;26.2;0.45,25;10;1,1,0,,,,2021-01-30-0-0-0,2029-10-30-23-59-59,3,60,,image/armyLineSkin/baguo
51,ea_prefab/world/march/prefabWorldMarch_shizi,ea_prefab/__subpack/armyLineSkin/shizi,2,604,10,Winged Lion,march_skin_desc51,910300;1000,,0;0;0.6,25;-50;1,1,0,,,,2021-2-11-0-0-0,2029-10-30-23-59-59,3,63,,image/armyLineSkin/shizi
52,ea_prefab/world/march/prefabWorldMarch_Grappler,ea_prefab/__subpack/armyLineSkin/Grappler,2,2009219,10,Happy pig2,march_skin_desc52,910300;1000,,0;0;0.75,25;10;1,1,0,g123,,,2021-2-11-0-0-0,2021-2-24-23-59-59,1,63,,image/armyLineSkin/Grappler
53,ea_prefab/world/march/prefabWorldMarch_Hokuto,ea_prefab/__subpack/armyLineSkin/Hokuto,2,2009222,10,Happy pig3,march_skin_desc53,910300;1000,,0;30;0.75,25;10;1,1,0,g123,,,2021-3-11-0-0-0,2021-3-24-23-59-59,1,63,,image/armyLineSkin/Hokuto
54,ea_prefab/world/march/prefabWorldMarch_fenghuang,ea_prefab/__subpack/armyLineSkin/fenghuang,2,631,10,From the Ashes,march_skin_desc54,910300;1000,,0;0;0.75,25;10;1,1,0,,,,2021-3-11-0-0-0,2029-10-30-23-59-59,3,64,,image/armyLineSkin/fenghuang
56,ea_prefab/world/march/prefabWorldMarch_G123_2years,ea_prefab/__subpack/armyLineSkin/G123_2years,0,,10,Happy pig6,march_skin_desc56,,,15;20;0.45,25;10;1,1,0,g123,,0,2021-3-25-0-0-0,2029-10-30-23-59-59,1,65,,image/armyLineSkin/G123_2years
57,ea_prefab/world/march/prefabWorldMarch_GIRLSundPANZER,ea_prefab/__subpack/armyLineSkin/GIRLSundPANZER,2,2009228,10,Happy pig7,march_skin_desc57,910300;1000,,0;30;0.75,25;10;1,1,0,g123,,,2021-4-8-0-0-0,2021-4-21-23-59-59,1,66,,image/armyLineSkin/GIRLSundPANZER
55,ea_prefab/world/march/prefabWorldMarch_Arabic,ea_prefab/__subpack/armyLineSkin/Arabic,2,655,10,Magic Ride,march_skin_desc55,910300;1000,,0;0;0.75,25;10;1,1,0,,,,2021-4-8-0-0-0,2029-10-30-23-59-59,,65,,image/armyLineSkin/Arabic
58,ea_prefab/world/march/prefabWorldMarch_haishen,ea_prefab/__subpack/armyLineSkin/haishen,2,668,10,Aquatic Elf,march_skin_desc58,910300;1000,,0;0;0.7,25;10;1,1,0,,,,2021-5-6-0-0-0,2029-4-21-23-59-59,1,66,,image/armyLineSkin/haishen
59,ea_prefab/world/march/prefabWorldMarch_Macross,ea_prefab/__subpack/armyLineSkin/Macross,2,2009234,10,Happy pig9,march_skin_desc59,910300;1000,,0;30;0.75,25;10;1,1,0,g123,,,2021-5-6-0-0-0,2021-5-19-23-59-59,1,67,,image/armyLineSkin/Macross
61,ea_prefab/world/march/prefabWorldMarch_june,ea_prefab/__subpack/armyLineSkin/june,2,692,10,Aeolus,march_skin_desc61,910300;1000,,-10;0;0.7,25;10;1,1,0,,,,2021-6-10-0-0-0,2029-4-21-23-59-59,1,69,,image/armyLineSkin/june
60,ea_prefab/world/march/prefabWorldMarch_baguo03,ea_prefab/__subpack/armyLineSkin/baguo03,0,,10,Power Fist,march_skin_desc60,910300;1000,,-30;-50;0.7,25;-80;1,1,0,,,,2021-4-8-0-0-0,2029-4-21-23-59-59,1,66,,image/armyLineSkin/baguo03
62,ea_prefab/world/march/prefabWorldMarch_SSSS,ea_prefab/__subpack/armyLineSkin/SSSS,2,2009249,10,Jade Rabbit2,march_skin_desc62,910300;1000,,0;30;0.75,25;-10;1,1,0,g123,,,2021-7-8-0-0-0,2021-7-21-23-59-59,1,70,,image/armyLineSkin/SSSS
63,ea_prefab/world/march/prefabWorldMarch_July,ea_prefab/__subpack/armyLineSkin/July,2,722,10,Wind & Waves,march_skin_desc63,910300;1000,,-10;-10;0.7,25;-30;1,1,0,,,,2021-7-8-0-0-0,2029-4-21-23-59-59,1,70,,image/armyLineSkin/July
64,ea_prefab/world/march/prefabWorldMarch_bianxing,ea_prefab/__subpack/armyLineSkin/bianxing,2,941000,10,Roll Out,march_skin_desc64,910300;1000,,-10;10;0.7,25;-30;1,1,0,,,,2021-8-10-0-0-0,2029-4-21-23-59-59,1,71,,image/armyLineSkin/bianxing
66,ea_prefab/world/march/prefabWorldMarch_leiyun,ea_prefab/__subpack/armyLineSkin/leiyun,2,809,10,Power of Origin,Industrialised Air Travel,910300;1000,,-10;-20;0.7,25;-30;1,1,0,,,,2021-9-9-0-0-0,2029-4-21-23-59-59,1,72,,image/armyLineSkin/leiyun
65,ea_prefab/world/march/prefabWarchMotor_ru,ea_prefab/__subpack/armyLineSkin/motor_ru,2,900001,10,Green Lightning,march_skin_desc64,910300;1000,,0;15;0.6,15;-20;1,1,0,,,,2021-9-17-0-0-0,2029-4-21-23-59-59,1,67,,image/armyLineSkin/motor_ru
67,ea_prefab/world/march/prefabWorldMarch_huoshan,ea_prefab/__subpack/armyLineSkin/huoshan,2,825,10,Scorching Truck,march_skin_desc67,910300;1000,,0;20;0.75,25;-30;1,1,0,,,,2021-9-7-0-0-0,2029-4-21-23-59-59,1,73,,image/armyLineSkin/huoshan
68,ea_prefab/world/march/prefabWorldMarch_wansheng,ea_prefab/__subpack/armyLineSkin/wansheng,2,2110112,10,PKN-2021 Race Car,march_skin_desc68,910300;1000,,0;20;0.75,25;-30;1.5,1,0,,,,2021-10-28-0-0-0,2029-4-21-23-59-59,1,74,,image/armyLineSkin/wansheng
69,ea_prefab/world/march/prefabWorldMarch_kennikuman,ea_prefab/__subpack/armyLineSkin/kennikum,0,2009273,10,Jade Rabbit9,march_skin_desc69,910300;1000,,20;-20;0.5,25;-10;1,1,0,g123,,,2021-11-11-0-0-0,2021-11-19-23-59-59,1,63,,image/armyLineSkin/kennikum
70,ea_prefab/world/march/prefabWorldMarch_lueboting,ea_prefab/__subpack/armyLineSkin/lueboting,2,854,10,Turbine Powerboat,march_skin_desc70,910300;1000,,0;30;0.75,25;-10;1,1,0,,,,2021-11-11-0-0-0,2029-4-24-23-59-59,1,64,,image/armyLineSkin/lueboting
71,ea_prefab/world/march/prefabWorldMarch_shengdanxunlu,ea_prefab/__subpack/armyLineSkin/shengdanxunlu,2,907,10,Gifts On The Way,march_skin_desc71,910300;1000,981063;3,10;20;1,25;-10;1.5,1,0,,,,2021-12-16-0-0-0,2029-4-21-23-59-59,1,75,,image/armyLineSkin/shengdanxunlu
72,ea_prefab/world/march/prefabWorldMarch_32qiangduilie,ea_prefab/__subpack/armyLineSkin/32qiangduilie,0,854,10,Unstoppable,march_skin_desc72,910300;1000,,0;0;1,0;0;1,1,0,,,,2021-12-31-18-0-0,2029-4-21-23-59-59,1,76,Top-star Championship Exclusive,image/armyLineSkin/32qiangduilie
73,ea_prefab/world/march/prefabWorldMarch_bingche,ea_prefab/__subpack/armyLineSkin/bingche,2,939,10,Snow Kart,march_skin_desc73,910300;1000,,0;20;0.75,25;-30;1,1,0,,,,2021-4-8-0-0-0,2029-4-21-23-59-59,1,77,,image/armyLineSkin/bingche
74,ea_prefab/world/march/prefabWorldMarch_xiongmao,ea_prefab/__subpack/armyLineSkin/xiongmao,2,944,10,Panda Rush,march_skin_desc74,910300;1000,,20;20;0.75,60;20;1.3,1,0,,,,2021-4-8-0-0-0,2029-4-21-23-59-59,1,78,,image/armyLineSkin/xiongmao
75,ea_prefab/world/march/prefabWorldMarch_YuYuHakusho,ea_prefab/__subpack/armyLineSkin/YuYuHakusho,2,2009279,10,Marching Cat5,march_skin_desc75,910300;1000,,20;-20;0.5,25;-10;1,1,0,g123,,,2022-02-17-0-0-0,2022-02-24-23-59-59,1,-1,,image/armyLineSkin/YuYuHakusho
76,ea_prefab/world/march/prefabWorldMarch_zhanjian,ea_prefab/__subpack/armyLineSkin/zhanjian,2,960,10,Ironclad,march_skin_desc76,910300;1000,,0;20;1,25;-10;1.5,1,0,,,,2022-2-17-0-0-0,2029-4-21-23-59-59,1,79,,image/armyLineSkin/zhanjian
77,ea_prefab/world/march/prefabWorldMarch_weizhentian,ea_prefab/__subpack/armyLineSkin/weizhentian,2,941000,10,Emperor of Destruction,march_skin_desc77,910300;1000,,0;-10;0.7,25;-10;1,1,0,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|quickhuaweinj|webgame|qqmini|qqwanba|qqgame|appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|appiosviet|googleplayviet,79,79,2022-3-10-0-0-0,2029-02-24-23-59-59,1,80,,image/armyLineSkin/weizhentian
78,ea_prefab/world/march/prefabWorldMarch_shayuguai,ea_prefab/__subpack/armyLineSkin/shayuguai,2,940400,10,Disaster Falls,march_skin_desc78,910300;1000,,0;20;1,25;-10;1,1,0,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|quickhuaweinj|webgame|qqmini|qqwanba|qqgame|appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|appiosviet|googleplayviet,,,2022-3-10-0-0-0,2029-02-24-23-59-59,1,81,,image/armyLineSkin/shayuguai
79,ea_prefab/world/march/prefabWorldMarch_weizhentian_g123,ea_prefab/__subpack/armyLineSkin/weizhentian_g123,2,2009280,10,Marching Cat9,march_skin_desc79,910300;1000,,0;20;1,25;-10;1,1,0,g123|esprit,77,77,2022-3-10-0-0-0,2029-02-24-23-59-59,1,82,,image/armyLineSkin/weizhentian_g123
80,ea_prefab/world/march/prefabWorldMarch_haibao,ea_prefab/__subpack/armyLineSkin/haibao,0,9620013,10,Bouncing Seal,march_skin_desc80,910300;1000,,0;20;1,25;-10;1,1,0,,,,2022-4-1-0-0-0,2029-02-24-23-59-59,1,83,Chubby Seal Pack,image/armyLineSkin/haibao
81,ea_prefab/world/march/prefabWorldMarch_flytank,ea_prefab/__subpack/armyLineSkin/flytank,2,987,10,Winged Chariot,march_skin_desc82,910300;1000,,0;20;1,25;-10;1,1,0,,,,2022-4-14-0-0-0,2029-02-24-23-59-59,1,-1,,image/armyLineSkin/flytank
