id,cost_coin,min_level,cost_gold,item_id,item_amount,require_pve_chapter,cond_type,cond_amount,cond_target,cost_type,cost_amount,cost_target,cond_desc,power
51,7.9164837199872e+18,51,0,100,1,51,1,51.0,0,1,7.9164837199872e+18,0,,150630
52,1.58329674399744e+19,52,0,100,1,52,1,52.0,0,1,1.58329674399744e+19,0,,155780
53,3.16659348799488e+19,53,0,100,1,53,1,53.0,0,1,3.16659348799488e+19,0,,161010
54,6.33318697598976e+19,54,0,100,1,54,1,54.0,0,1,6.33318697598976e+19,0,,166330
55,1.266637395197952e+20,55,0,100,1,55,1,55.0,0,1,1.266637395197952e+20,0,,171730
56,2.533274790395904e+20,56,0,100,1,56,1,56.0,0,1,2.533274790395904e+20,0,,177220
57,5.066549580791808e+20,57,0,100,1,57,1,57.0,0,1,5.066549580791808e+20,0,,182790
58,1.013309916158362e+21,58,0,100,1,58,1,58.0,0,1,1.013309916158362e+21,0,,188440
59,2.026619832316723e+21,59,0,100,1,59,1,59.0,0,1,2.026619832316723e+21,0,,194180
60,8.106479329266893e+21,60,0,100,1,60,1,60.0,0,1,8.106479329266893e+21,0,,200000
61,6.485183463413514e+22,63,0,100,1,63,0,0.0,0,0,0.0,0,,200000
62,1.297036692682703e+23,64,0,100,1,64,1,62.0,0,0,0.0,0,Unlocks when you reach Lv.{0},200000
63,2.594073385365406e+23,65,0,100,1,65,1,63.0,0,0,0.0,0,Unlocks when you reach Lv.{0},200000
64,5.188146770730811e+23,66,0,100,1,66,1,64.0,0,0,0.0,0,Unlocks when you reach Lv.{0},200000
65,1.037629354146162e+24,67,0,100,1,67,1,65.0,0,1,1.037629354146162e+24,0,Unlocks when you reach Lv.{0},200000
66,2.075258708292325e+24,68,0,100,1,67,1,65.0,0,1,1.037629354146162e+24,0,Unlocks when you reach Lv.{0},200000
67,4.150517416584649e+24,69,0,100,1,67,1,65.0,0,1,1.037629354146162e+24,0,Unlocks when you reach Lv.{0},200000
68,8.301034833169298e+24,70,0,100,1,67,1,65.0,0,1,1.037629354146162e+24,0,Unlocks when you reach Lv.{0},200000
69,1.66020696663386e+25,71,0,100,1,67,1,65.0,0,1,1.037629354146162e+24,0,Unlocks when you reach Lv.{0},200000
70,3.320413933267719e+25,72,0,100,1,67,1,65.0,0,1,1.037629354146162e+24,0,Unlocks when you reach Lv.{0},200000
71,6.640827866535439e+25,73,0,100,1,67,1,65.0,0,1,1.037629354146162e+24,0,Unlocks when you reach Lv.{0},200000
72,1.328165573307088e+26,74,0,100,1,67,1,65.0,0,1,1.037629354146162e+24,0,Unlocks when you reach Lv.{0},200000
73,2.656331146614175e+26,75,0,100,1,67,1,65.0,0,1,1.037629354146162e+24,0,Unlocks when you reach Lv.{0},200000
74,5.312662293228351e+26,76,0,100,1,67,1,65.0,0,1,1.037629354146162e+24,0,Unlocks when you reach Lv.{0},200000
75,1.06253245864567e+27,77,0,100,1,67,1,66.0,0,4,500.0,0,Unlocks when you reach Lv.{0},200000
76,2.12506491729134e+27,78,0,100,1,68,2,43.0,329000,1,2.0752587082923246e+24,0,Technology {0} reaches level{1},200000
77,4.250129834582681e+27,79,0,100,1,68,1,67.0,0,1,4.150517416584649e+24,0,Unlocks when you reach Lv.{0},200000
78,8.500259669165361e+27,80,0,100,1,69,1,68.0,0,1,8.301034833169298e+24,0,Unlocks when you reach Lv.{0},200000
79,8.50025966916536e+27,80,0,100,1,69,1,69.0,0,1,1.66020696663386e+25,0,Unlocks when you reach Lv.{0},200000
80,8.50025966916536e+27,80,0,100,1,70,1,70.0,0,1,3.320413933267719e+25,0,Unlocks when you reach Lv.{0},200000
81,8.50025966916536e+27,80,0,100,1,71,3,190.0,0,1,6.640827866535439e+25,0,Can be unlocked when Expedition reaches level {0},200000
82,8.50025966916536e+27,80,0,100,1,71,1,71.0,0,1,6.640827866535439e+25,0,Unlocks when you reach Lv.{0},200000
83,8.50025966916536e+27,80,0,100,1,72,1,72.0,0,1,1.328165573307088e+26,0,Unlocks when you reach Lv.{0},200000
84,8.50025966916536e+27,80,0,100,1,73,1,73.0,0,1,2.656331146614175e+26,0,Unlocks when you reach Lv.{0},200000
85,8.50025966916536e+27,80,0,100,1,74,1,74.0,0,1,5.312662293228351e+26,0,Unlocks when you reach Lv.{0},200000
86,8.50025966916536e+27,80,0,100,1,75,1,75.0,0,1,1.06253245864567e+27,0,Unlocks when you reach Lv.{0},200000
87,8.50025966916536e+27,80,0,100,1,76,1,76.0,0,1,2.12506491729134e+27,0,Unlocks when you reach Lv.{0},200000
88,8.50025966916536e+27,80,0,100,1,77,1,77.0,0,1,4.250129834582681e+27,0,Unlocks when you reach Lv.{0},200000
89,8.50025966916536e+27,80,0,100,1,78,1,78.0,0,1,8.500259669165361e+27,0,Unlocks when you reach Lv.{0},200000
90,8.50025966916536e+27,80,0,100,1,79,1,79.0,0,1,8.50025966916536e+27,0,Unlocks when you reach Lv.{0},200000
91,8.50025966916536e+27,80,0,100,1,80,1,80.0,0,1,8.50025966916536e+27,0,Unlocks when you reach Lv.{0},200000
92,8.50025966916536e+27,80,0,100,1,80,2,75.0,321000,1,8.50025966916536e+27,0,Technology {0} reaches level{1},200000
93,8.50025966916536e+27,80,0,100,1,80,2,75.0,322000,1,8.50025966916536e+27,0,Technology {0} reaches level{1},200000
94,8.50025966916536e+27,80,0,100,1,80,2,75.0,312000,1,8.50025966916536e+27,0,Technology {0} reaches level{1},200000
95,8.50025966916536e+27,80,0,100,1,80,2,75.0,313000,1,8.50025966916536e+27,0,Technology {0} reaches level{1},200000
96,8.50025966916536e+27,80,0,100,1,80,2,72.0,302000,1,8.50025966916536e+27,0,Technology {0} reaches level{1},200000
97,8.50025966916536e+27,80,0,100,1,80,2,72.0,303000,1,8.50025966916536e+27,0,Technology {0} reaches level{1},200000
98,8.50025966916536e+27,80,0,100,1,80,1,80.0,0,4,2000.0,0,Unlocks when you reach Lv.{0},200000
99,8.50025966916536e+27,80,0,100,1,80,1,80.0,0,4,2000.0,0,Unlocks when you reach Lv.{0},200000
100,8.50025966916536e+27,80,0,100,1,80,1,80.0,0,4,2000.0,0,Unlocks when you reach Lv.{0},200000
101,8.50025966916536e+27,80,0,100,1,80,1,80.0,0,4,2000.0,0,Unlocks when you reach Lv.{0},200000
102,8.50025966916536e+27,80,0,100,1,80,1,80.0,0,4,2000.0,0,Unlocks when you reach Lv.{0},200000
103,8.50025966916536e+27,80,0,100,1,80,1,80.0,0,4,2000.0,0,Unlocks when you reach Lv.{0},200000
104,8.50025966916536e+27,80,0,100,1,80,1,80.0,0,4,2000.0,0,Unlocks when you reach Lv.{0},200000
105,8.50025966916536e+27,80,0,100,1,80,1,80.0,0,4,2000.0,0,Unlocks when you reach Lv.{0},200000
106,8.50025966916536e+27,80,0,100,1,80,1,80.0,0,4,2000.0,0,Unlocks when you reach Lv.{0},200000
