id,name,desc,label,labelDesc,hero_type,skillDesc,fragmentsNumber,quality,type,war,warAdd,def,defAdd,command,upStar1,upStar2,upStar3,upStar4,skill,source,hero_icon,icon_harmony,hero_tachie,black_hero_icon,black_hero_name,backGround,recommendedSkill,is_show,show_hero_id,exclude,plat,jp_des,get_show,time,endtime,timeType,skin,active_skill,skin_use,exclude_item,bg_img,is_link_hero,cn_idle_name,idle_name,skintime,skinendtime,skinitemid,idle_action_control,new_active_skill,hero_ui_effect,land_fight_scale,exclusive,upgrade,hero_cap_skill_group_id,hero_cap_skill_des,can_show,hero_cap_sp_type,hero_cap_sp_parma
201,Bob,Bob joined the army because he watched a public service advertisement. He merely qualified physical Tests; so that's why now he is here in the logistics support team. He is also a people pleaser; which made him popular among officers; and also gained him praise and trust.,Mechanic,,1,An experienced hero that is helpful when attacking Dark Forces.,10,3,1,77,15,73,14,200,60|56|0;60|56|0;60|56|0;60|56|0;180|168|100,120|112|0;120|112|0;120|112|0;120|112|0;360|336|200,180|168|0;180|168|0;180|168|0;180|168|0;540|504|200,240|224|0;240|224|0;240|224|0;240|224|0;720|672|300,10201,1,image/hero_icon/hero_icon007,,hero_tachie007,image/hero_icon/black_hero_icon007,No. 201,2,,1,,,,,,,,2,201|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,,,,,,,,,,,,201,An experienced hero that is helpful when attacking Dark Forces.,1,,
202,Hammer,The warship is losing its position in the war; but this silent man never gave up on his beloved ship. Hammer was born on a warship; and warship means the world to him. He is good at using the armor of ships to effectively reduce the damage. He's the strongest shield in "The Three Admirals".,Shield of the Sea,,1,When using this hero in battle; your Naval Units' survivability will be greatly increased.,10,4,2,106,21,194,38,300,84|152|0;84|152|0;84|152|0;84|152|0;252|456|200,168|304|0;168|304|0;168|304|0;168|304|0;504|912|300,252|456|0;252|456|0;252|456|0;252|456|0;756|1368|300,336|608|0;336|608|0;336|608|0;336|608|0;1008|1824|400,10202,1,image/hero_icon/hero_icon008,,hero_tachie008,image/hero_icon/black_hero_icon008,No. 202,2,,1,,,,,,,,2,202|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,,,,,,1|1;4|1,,,,,,202,When using this hero in battle; your Naval Units' survivability will be greatly increased.,1,,
203,Simon,Simon enjoys spending time with Naval fleet; and he is the best gunnery officer. And to keep fit; he never skips daily exercise (even leg day exercises). He wrote a book about "NO-EQUIPMENT WORKOUT"; which became a best seller in the Freedom League. He is the best attacker in "The Three Admirals".,The Pursuer,,1,When using this hero in battle; your Naval Units' survivability will be greatly increased.,10,4,1,163,32,137,27,300,128|108|0;128|108|0;128|108|0;128|108|0;384|324|200,256|216|0;256|216|0;256|216|0;256|216|0;768|648|300,384|324|0;384|324|0;384|324|0;384|324|0;1152|972|300,512|432|0;512|432|0;512|432|0;512|432|0;1536|1296|400,10203,1,image/hero_icon/hero_icon009,1,hero_tachie009,image/hero_icon/black_hero_icon009,No. 203,2,,1,,,,,,,,2,203|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,Idle2,Idle1,,,,,,,,,,203,When using this hero in battle; your Naval Units' survivability will be greatly increased.,1,,
204,Sid,Sid is Alex’s twin brother. He is full of hostility towards Alex as he always wants to prove that he's better than Alex. But when Alex was captured during the war; Sid begun to regret what he had done to him. To rescue his brother; he managed to be the rear admiral of the elite marines; but soon got demoted to captain because he sent troops to participate in rescuing Alex without getting the permission. He's pretty good at conducting infiltration operations.,Shadow of the Ocean,,1,When using this hero in battle; your Naval Units can cause damage to a large number of targets; and also increases the Navy's AoE attack capabilities.,10,5,1,470,94,130,26,400,376|104|0;376|104|0;376|104|0;376|104|0;1128|312|300,752|208|0;752|208|0;752|208|0;752|208|0;2256|624|400,1128|312|0;1128|312|0;1128|312|0;1128|312|0;3384|936|400,1504|416|0;1504|416|0;1504|416|0;1504|416|0;4512|1248|500,10204,1,image/hero_icon/hero_icon010,,hero_tachie010,image/hero_icon/black_hero_icon010,No. 204,2,,1,,1204,,jp_activityhero204,,,,2,204|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|20401|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,2211204,,,,,,,,,,,,,,204,When using this hero in battle; your Naval Units can cause damage to a large number of targets; and also increases the Navy's AoE attack capabilities.,1,,
205,Ganso,Ganso stationed in the uninhabited island surrounded by the blue sea; and he was baptized by artillery shells of the Dark Legion for 20 days. He survived. His face was hit by shrapnel and was almost killed. Later; he and Alex received prosthetic transformation. Now he is working for the Naval Operations Department; a well-known Senior Naval Staff who is pretty good at commanding island-defense battles.,Blue Fortress,,1,When defending the Base; its defensive capabilities are greatly improved; and has improved resistance against attackers.,10,5,1,442,88,158,31,400,352|124|0;352|124|0;352|124|0;352|124|0;1056|372|300,704|248|0;704|248|0;704|248|0;704|248|0;2112|744|400,1056|372|0;1056|372|0;1056|372|0;1056|372|0;3168|1116|400,1408|496|0;1408|496|0;1408|496|0;1408|496|0;4224|1488|500,10205,1,image/hero_icon/hero_icon011,,hero_tachie011,image/hero_icon/black_hero_icon011,No. 205,2,,1,,1205,,jp_activityhero205,,,,2,205|2002|2003|2004|2005|2006|2008|2009|2010|20501|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,2211205,,,,,,,,,,,,,,205,When defending the Base; its defensive capabilities are greatly improved; and has improved resistance against attackers.,1,,
206,Merida,Merida is a hot girl; she's passionate and charming; and more importantly; she is hopeful and confident. Not only that; she is pretty - pretty good at stealing confidential information; and using this information to find the enemy's weaknesses to mess with her enemies' minds. As a former ace agent; she successfully performed many difficult and secret tasks.,Fatal Pepper,,1,When using this hero in battle; your Naval Unit can interfere with the enemy's offensive strategy when fighting with their Army; and there is a chance that the enemy will kill each other.,10,5,2,225,45,375,75,400,180|300|0;180|300|0;180|300|0;180|300|0;540|900|300,360|600|0;360|600|0;360|600|0;360|600|0;1080|1800|400,540|900|0;540|900|0;540|900|0;540|900|0;1620|2700|400,720|1200|0;720|1200|0;720|1200|0;720|1200|0;2160|3600|500,10206,1,image/hero_icon/hero_icon012,,hero_tachie012,image/hero_icon/black_hero_icon012,No. 206,2,,1,,1206,,jp_activityhero206,,,,2,206|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|20601|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,2211206,,,,,,,,,,,,,,206,When using this hero in battle; your Naval Unit can interfere with the enemy's offensive strategy when fighting with their Army; and there is a chance that the enemy will kill each other.,1,,
207,Chloe,Chloe is the youngest navy colonel in the Freedom League; outstanding as many famous generals. It's a pity that because of a friendly fire incident; she spent six months recovering from injuries. With the help of Dr. Gero; she had a superoptic lens implanted in her right eye. Since then; she has super-vision that can predict the situation. However; she found that her eye would get sore when staring at the screen for a long time.,Crimson Phantom,绯红魅影,1,Chloe can see through walls or enemy armor to discover their fatal weaknesses and strike them where it hurts.,10,5,1,425,85,175,35,400,340|140|0;340|140|0;340|140|0;340|140|0;1020|420|300,680|280|0;680|280|0;680|280|0;680|280|0;2040|840|400,1020|420|0;1020|420|0;1020|420|0;1020|420|0;3060|1260|400,1360|560|0;1360|560|0;1360|560|0;1360|560|0;4080|1680|500,10207,1,image/hero_icon/hero_icon021,,hero_tachie021,image/hero_icon/black_hero_icon021,No. 207,2,,1,,,,,,,,2,207|2002|2003|2004|2005|2006|2207|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,,,,,,,,,,,,207,Chloe can see through walls or enemy armor to discover their fatal weaknesses and strike them where it hurts.,1,,
208,Teresa,When Reichstein was giving a lecture at Teresa's university; he was attracted by this young lady's theory. Later; he invited Teresa to join his research. Teresa began to develop her talent and became an expert in naval weapons; leading the research and development of the "Siren" torpedo - an excellent weapon that delivers an incredible amount of explosive power.,Halberd of the Waves,银锤大将,1,Teresa's attack can interfere with the enemy's weapon and reduce attack.,10,5,2,190,38,410,82,400,152|328|0;152|328|0;152|328|0;152|328|0;456|984|300,304|656|0;304|656|0;304|656|0;304|656|0;912|1968|400,456|984|0;456|984|0;456|984|0;456|984|0;1368|3952|400,608|1312|0;608|1312|0;608|1312|0;608|1312|0;1824|3936|500,10208,1,image/hero_icon/hero_icon208,,hero_tachie208,image/hero_icon/black_hero_icon208,No. 208,2,,1,,,,,,,,2,208|2002|2003|2004|2005|2006|2008|2009|2010|20801|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,,,,,,,,,,,,208,Teresa's attack can interfere with the enemy's weapon and reduce attack.,1,,
301,O'Neill,O'Neill is a member of the Union Air Force Special Forces; and is the first female special force member in the Freedom League. In the all-men troop; she always has to work harder to prove herself. However; it didn't take very long for O'Neill to change their attitude: she aced all her physical Tests and defeated all opponents in close combat.,Special Force,,2,When using this hero in battle; your Air Force's attack capabilities will greatly increase.,10,3,1,75,15,75,15,200,60|60|0;60|60|0;60|60|0;60|60|0;180|180|100,120|120|0;120|120|0;120|120|0;120|120|0;360|360|200,180|180|0;180|180|0;180|180|0;180|180|0;540|540|200,240|240|0;240|240|0;240|240|0;240|240|0;720|720|300,10301,1,image/hero_icon/hero_icon013,1,hero_tachie013,image/hero_icon/black_hero_icon013,No. 301,3,,1,,,,,,,,2,301|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,Idle2,Idle1,,,,,,,,,,301,When using this hero in battle; your Air Force's attack capabilities will greatly increase.,1,,
302,Ricardo,Ricardo wouldn't take off the mask even after landing; and his neurotic and crazy personality made him disconnected from other people. Perhaps it was just a coincidence; Ricardo invented an emote-controlled bomb: using a monitor to adjust the location of the bomb and kill units more accurately. Somehow Ricardo regards Tianmu as his role model.,Gunpowder Keg,,2,When using this hero in battle; there is a bigger chance of your Air Force landing a fatal blow.,10,4,1,227,45,73,14,300,180|56|0;180|56|0;180|56|0;180|56|0;540|168|200,360|112|0;360|112|0;360|112|0;360|112|0;1080|336|300,540|168|0;540|168|0;540|168|0;540|168|0;1620|504|300,720|224|0;720|224|0;720|224|0;720|224|0;2160|672|400,10302,1,image/hero_icon/hero_icon014,,hero_tachie014,image/hero_icon/black_hero_icon014,No. 302,3,,1,,,,,,,,2,302|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,,,,,,1|1;4|1,,,,,,302,When using this hero in battle; there is a bigger chance of your Air Force landing a fatal blow.,1,,
303,Dr. Gero,Dr. Gero is passionate about the human body. In order to prove his theory; he designed many incredible artificial organs. The craziest thing is that he had his brain transplanted. He is insane. There's a fine line between genius and insanity; and Dr. Gero has erased it. Well; to be fair; his technique has really saved many officers.,Biochemical Madman,,2,When using this hero in battle; your Air Force will land a powerful attack and have a greater hope of winning when low on HP.,10,4,1,174,34,126,25,300,136|100|0;136|100|0;136|100|0;136|100|0;408|300|200,272|200|0;272|200|0;272|200|0;272|200|0;816|600|300,408|300|0;408|300|0;408|300|0;408|300|0;1224|900|300,544|400|0;544|400|0;544|400|0;544|400|0;1632|1200|400,10303,1,image/hero_icon/hero_icon015,,hero_tachie015,image/hero_icon/black_hero_icon015,No. 303,3,,1,,,,,,,,2,303|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,,,,,,1|1;4|1,,,,,,303,When using this hero in battle; your Air Force will land a powerful attack and have a greater hope of winning when low on HP.,1,,
304,Nadia,Nadia is the first female ace pilot in the Freedom League; and she is keeping the record of shooting down 467 aircrafts. She managed to ride the supersonic fighter made by Zizak Industries; with no record of injuries so far. She is at one with her fighter.,The Skylark,,2,When using this hero in battle; your Air Force's vertical attack capabilities will be greatly improved; and will deal more DMG to follow-up targets.,10,5,1,311,62,289,57,400,248|228|0;248|228|0;248|228|0;248|228|0;744|684|300,496|456|0;496|456|0;496|456|0;496|456|0;1488|1368|400,744|684|0;744|684|0;744|684|0;744|684|0;2232|2052|400,992|912|0;992|912|0;992|912|0;992|912|0;2976|2736|500,10304,1,image/hero_icon/hero_icon016,,hero_tachie016,image/hero_icon/black_hero_icon016,No. 304,3,,1,,1304,,jp_activityhero304,,,,2,304|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,2211304,,,,,,,,,,,,,,304,When using this hero in battle; your Air Force's vertical attack capabilities will be greatly improved; and will deal more DMG to follow-up targets.,1,,
305,Edward,Lieutenant Edward; the senior general of the Freedom League Air Force; was known as the "wing of freedom" for his outstanding performance in battles. Since the Alliance’s port got attacked; his focus has shifted to studying the strategy against ships. As he grew older; he focused more on teaching newcomers. He discovered many outstanding officers when teaching at the Air Force Academy;,Wings of Liberty,,2,When using this hero in battle; your Air Force will have a chance to cause a fatal blow. Fatal blows can be stacked on top of Crits.,10,5,1,372,74,228,45,400,296|180|0;296|180|0;296|180|0;296|180|0;888|540|300,592|360|0;592|360|0;592|360|0;592|360|0;1776|1080|400,888|540|0;888|540|0;888|540|0;888|540|0;2664|1620|400,1184|720|0;1184|720|0;1184|720|0;1184|720|0;3552|2160|500,10305,1,image/hero_icon/hero_icon017,,hero_tachie017,image/hero_icon/black_hero_icon017,No. 305,3,,1,,1305,,jp_activityhero305,,,,2,305|2002|2003|2004|2005|2006|2008|2009|2010|30501|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,2211305,,,,,,,,1|1;4|1,,,,,,305,When using this hero in battle; your Air Force will have a chance to cause a fatal blow. Fatal blows can be stacked on top of Crits.,1,,
