id,type,type_name,group,group_name,level,buff_group,upgrade,describe,icon_show,group_order,level_show,power
14,0,General Formation,1,Assault,14,1=1000022;22000|1000023;1000;2=1000022;22000|1000023;1000;3=1000022;22000|1000023;1000;11=1000022;22000|1000023;1000;12=1000022;22000|1000023;1000;13=1000022;22000|1000023;1000,2800000|3500;2800001|350,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1;1;1;1,1,15,437900
15,0,General Formation,1,Assault,15,1=1000022;24000|1000023;1500;2=1000022;24000|1000023;1500;3=1000022;24000|1000023;1500;11=1000022;24000|1000023;1500;12=1000022;24000|1000023;1500;13=1000022;24000|1000023;1500,2800000|5000;2800001|600,Increases the ATK of the front row; causes more damage\nA commonly used formation with no obvious flaws,1;1;1;1;1;1,1,15,500100
16,0,General Formation,2,Fortified Formation,1,1=1000021;4000;2=1000021;4000;3=1000021;4000,2800000|1,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2,2,15,2600
17,0,General Formation,2,Fortified Formation,2,1=1000021;6000;2=1000021;6000;3=1000021;6000,2800000|3,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2,2,15,9900
18,0,General Formation,2,Fortified Formation,3,1=1000021;8000;2=1000021;8000;3=1000021;8000,2800000|5,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2,2,15,21800
19,0,General Formation,2,Fortified Formation,4,1=1000021;10000;2=1000021;10000;3=1000021;10000,2800000|10,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2,2,15,38200
20,0,General Formation,2,Fortified Formation,5,1=1000021;10000;2=1000021;10000|1000023;-1000|1000024;1000;3=1000021;10000;22=1000022;10000,2800000|20;2800002|2,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2;1,2,15,59100
21,0,General Formation,2,Fortified Formation,6,1=1000021;12000;2=1000021;12000|1000023;-1000|1000024;1000;3=1000021;12000;22=1000022;12000,2800000|50,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2;1,2,15,84400
22,0,General Formation,2,Fortified Formation,7,1=1000021;14000;2=1000021;14000|1000023;-1000|1000024;1000;3=1000021;14000;22=1000022;14000,2800000|100,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2;1,2,15,114000
23,0,General Formation,2,Fortified Formation,8,1=1000021;16000;2=1000021;16000|1000023;-1000|1000024;1000;3=1000021;16000;22=1000022;16000,2800000|200;2800002|10,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2;1,2,15,147900
24,0,General Formation,2,Fortified Formation,9,1=1000021;18000;2=1000021;18000|1000023;-1000|1000024;1000;3=1000021;18000;22=1000022;18000,2800000|400,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2;1,2,15,186000
25,0,General Formation,2,Fortified Formation,10,1=1000021;18000|1000023;-1000|1000024;1000;2=1000021;18000|1000023;-1000|1000024;1000;3=1000021;18000|1000023;-1000|1000024;1000;21=1000022;9000;22=1000022;18000|1000023;1000|1000024;-1000;23=1000022;9000,2800000|700;2800002|25,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2;1;1;1,2,15,228300
26,0,General Formation,2,Fortified Formation,11,1=1000021;18000|1000023;-1000|1000024;1000;2=1000021;18000|1000023;-1000|1000024;1000;3=1000021;18000|1000023;-1000|1000024;1000;21=1000022;18000;22=1000022;18000|1000023;1000|1000024;-1000;23=1000022;18000,2800000|1200;2800002|50,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2;1;1;1,2,15,274700
27,0,General Formation,2,Fortified Formation,12,1=1000021;18000|1000023;-1000|1000024;2000;2=1000021;18000|1000023;-1000|1000024;2000;3=1000021;18000|1000023;-1000|1000024;2000;21=1000022;18000|1000023;1000|1000024;-1000;22=1000022;18000|1000023;2000|1000024;-1000;23=1000022;18000|1000023;1000|1000024;-1000,2800000|1800;2800002|100,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2;1;1;1,2,15,325100
28,0,General Formation,2,Fortified Formation,13,1=1000021;20000|1000023;-2000|1000024;3000;2=1000021;20000|1000023;-2000|1000024;3000;3=1000021;20000|1000023;-2000|1000024;3000;21=1000022;20000|1000023;2000|1000024;-1000;22=1000022;20000|1000023;3000|1000024;-2000;23=1000022;20000|1000023;2000|1000024;-1000,2800000|2500;2800002|200,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2;1;1;1,2,15,379500
29,0,General Formation,2,Fortified Formation,14,1=1000021;22000|1000023;-3000|1000024;4000;2=1000021;22000|1000023;-3000|1000024;4000;3=1000021;22000|1000023;-3000|1000024;4000;21=1000022;22000|1000023;3000|1000024;-2000;22=1000022;22000|1000023;4000|1000024;-3000;23=1000022;22000|1000023;3000|1000024;-2000,2800000|3500;2800002|350,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2;1;1;1,2,15,437900
30,0,General Formation,2,Fortified Formation,15,1=1000021;24000|1000023;-3000|1000024;5000;2=1000021;24000|1000023;-3000|1000024;5000;3=1000021;24000|1000023;-3000|1000024;5000;21=1000022;24000|1000023;5000|1000024;-3000;22=1000022;24000|1000023;5000|1000024;-3000;23=1000022;24000|1000023;5000|1000024;-3000,2800000|5000;2800002|600,Compromise the damage of front row for higher survivability; while compromising the survivability of the back row for more damage.\nIdeally for tough battles. In some circumstances this formation works better than the offense formation.,2;2;2;1;1;1,2,15,500100
