id,name,detail,icon,group,position,relation,type,formula,talent_lv,max_lv,research_need,time_research,item_condition,para1,para2,occupation,unlock,power,career_name,color,priority,star,quality,switch,change_id,is_show,formula_occupation
6004001,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,6004000,3;3,6002008|6003008,1,0,0,10,5|300000;7|300000,15000,,1101019,0,72000,40,0,Trainee Officer,#ffffff,3,2,2,,,,
6004002,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,6004000,3;3,6004001,1,0,1,10,5|400000;7|400000,20000,,1101019,100,72000,40,5000,Trainee Officer,#ffffff,3,,2,,,,
6004003,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,6004000,3;3,6004002,1,0,2,10,5|500000;7|500000,25000,,1101019,200,72000,40,10000,Trainee Officer,#ffffff,3,,2,,,,
6004004,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,6004000,3;3,6004003,1,0,3,10,5|600000;7|600000,30000,,1101019,300,72000,40,15000,Trainee Officer,#ffffff,3,,2,,,,
6004005,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,6004000,3;3,6004004,1,0,4,10,5|700000;7|700000,35000,,1101019,400,72000,40,20000,Trainee Officer,#ffffff,3,,2,,,,
6004006,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,6004000,3;3,6004005,1,0,5,10,5|800000;7|800000,40000,,1101019,500,72000,40,25000,Trainee Officer,#ffffff,3,,2,,,,
6004007,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,6004000,3;3,6004006,1,0,6,10,5|900000;7|900000,45000,,1101019,600,72000,40,30000,Trainee Officer,#ffffff,3,,2,,,,
6004008,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,6004000,3;3,6004007,1,0,7,10,5|1000000;7|1000000,50000,,1101019,700,72000,40,35000,Trainee Officer,#ffffff,3,,2,,,,
6004009,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,6004000,3;3,6004008,1,0,8,10,5|1100000;7|1100000,55000,,1101019,800,72000,40,40000,Trainee Officer,#ffffff,3,,2,,,,
6004010,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,6004000,3;3,6004009,1,0,9,10,5|1200000;7|1200000,60000,,1101019,900,72000,40,45000,Trainee Officer,#ffffff,3,,2,,,,
6004011,Repair Speed Up,Greatly increase your speed of repairing all forces for each level increased,career_command_002,6004000,3;3,6004010,1,0,10,10,5|0;7|0,0,,1101019,1000,72000,40,50000,Trainee Officer,#ffffff,3,,2,,,,
6005001,Brave & Fierce,Study the skill for March Queue +1,Trainee Officer,6005000,4;3,6004011,1,0,0,1,5|5000000;7|5000000,86400,,910200,0,72000,45,0,Trainee Officer,#ffffff,4,3,4,,,,
6005002,Brave & Fierce,Study the skill for March Queue +1,Trainee Officer,6005000,4;3,6005001,1,0,1,1,5|0;7|0,0,,910200,1,72000,45,5000,Trainee Officer,#ffffff,4,,4,,,1,
6006001,Mass Rally,Unlock Mass Rally to launch a stronger attack against your target!,career_strengthen_001,6006000,5;3,6005002,1,0,0,1,5|5000000;7|5000000,86400,,1,,72000,50,0,Trainee Officer,#ffffff,5,,1,,,,
6006002,Mass Rally,Unlock Mass Rally to launch a stronger attack against your target!,career_strengthen_001,6006000,5;3,6006001,1,0,1,1,5|0;7|0,0,,1101010,1,72000,50,15000,Trainee Officer,#ffffff,5,,1,,,,
6007001,Enhance Gathering,Increases gathering speed by {0}%,career_mechanical_002,6007000,5;1,6005002,1,0,0,6,5|1000000;7|1000000,86400,,960002,0,72000,45,0,Trainee Officer,#ffffff,5,,2,,,,
6007002,Enhance Gathering,Increases gathering speed by {0}%,career_mechanical_002,6007000,5;1,6007001,1,0,1,6,5|2000000;7|2000000,86400,,960002,300,72000,45,25000,Trainee Officer,#ffffff,5,,2,,,,
6007003,Enhance Gathering,Increases gathering speed by {0}%,career_mechanical_002,6007000,5;1,6007002,1,0,2,6,5|3000000;7|3000000,86400,,960002,500,72000,45,30000,Trainee Officer,#ffffff,5,,2,,,,
6007004,Enhance Gathering,Increases gathering speed by {0}%,career_mechanical_002,6007000,5;1,6007003,1,0,3,6,5|4000000;7|4000000,86400,,960002,700,72000,45,35000,Trainee Officer,#ffffff,5,,2,,,,
6007005,Enhance Gathering,Increases gathering speed by {0}%,career_mechanical_002,6007000,5;1,6007004,1,0,4,6,5|5000000;7|5000000,86400,,960002,900,72000,45,40000,Trainee Officer,#ffffff,5,,2,,,,
6007006,Enhance Gathering,Increases gathering speed by {0}%,career_mechanical_002,6007000,5;1,6007005,1,0,5,6,5|6000000;7|6000000,86400,,960002,1200,72000,45,45000,Trainee Officer,#ffffff,5,,2,,,,
6007007,Enhance Gathering,Increases gathering speed by {0}%,career_mechanical_002,6007000,5;1,6007006,1,0,6,6,5|0;7|0,0,,960002,1500,72000,45,50000,Trainee Officer,#ffffff,5,,2,,,,
6008001,March Speed-up,Marching speed increased by {0}%,career_battlemaster_004,6008000,5;5,6005002,1,0,0,6,5|1000000;7|1000000,86400,,910300,0,72000,45,0,Trainee Officer,#ffffff,5,,2,,,,
6008002,March Speed-up,Marching speed increased by {0}%,career_battlemaster_004,6008000,5;5,6008001,1,0,1,6,5|2000000;7|2000000,86400,,910300,300,72000,45,25000,Trainee Officer,#ffffff,5,,2,,,,
6008003,March Speed-up,Marching speed increased by {0}%,career_battlemaster_004,6008000,5;5,6008002,1,0,2,6,5|3000000;7|3000000,86400,,910300,500,72000,45,30000,Trainee Officer,#ffffff,5,,2,,,,
6008004,March Speed-up,Marching speed increased by {0}%,career_battlemaster_004,6008000,5;5,6008003,1,0,3,6,5|4000000;7|4000000,86400,,910300,700,72000,45,35000,Trainee Officer,#ffffff,5,,2,,,,
6008005,March Speed-up,Marching speed increased by {0}%,career_battlemaster_004,6008000,5;5,6008004,1,0,4,6,5|5000000;7|5000000,86400,,910300,900,72000,45,40000,Trainee Officer,#ffffff,5,,2,,,,
6008006,March Speed-up,Marching speed increased by {0}%,career_battlemaster_004,6008000,5;5,6008005,1,0,5,6,5|6000000;7|6000000,86400,,910300,1200,72000,45,45000,Trainee Officer,#ffffff,5,,2,,,,
6008007,March Speed-up,Marching speed increased by {0}%,career_battlemaster_004,6008000,5;5,6008006,1,0,6,6,5|0;7|0,0,,910300,1500,72000,45,50000,Trainee Officer,#ffffff,5,,2,,,,
6009001,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6009000,6;3,6007007|6006002|6008007,1,0,0,10,5|3000000;7|3000000,15000,,1101018,0,72000,50,0,Trainee Officer,#ffffff,6,4,3,,,,
6009002,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6009000,6;3,6009001,1,0,1,10,5|4000000;7|4000000,20000,,1101018,100,72000,50,15000,Trainee Officer,#ffffff,6,,3,,,,
6009003,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6009000,6;3,6009002,1,0,2,10,5|5000000;7|5000000,25000,,1101018,200,72000,50,20000,Trainee Officer,#ffffff,6,,3,,,,
6009004,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6009000,6;3,6009003,1,0,3,10,5|6000000;7|6000000,30000,,1101018,300,72000,50,25000,Trainee Officer,#ffffff,6,,3,,,,
6009005,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6009000,6;3,6009004,1,0,4,10,5|7000000;7|7000000,35000,,1101018,400,72000,50,30000,Trainee Officer,#ffffff,6,,3,,,,
6009006,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6009000,6;3,6009005,1,0,5,10,5|8000000;7|8000000,40000,,1101018,500,72000,50,35000,Trainee Officer,#ffffff,6,,3,,,,
6009007,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6009000,6;3,6009006,1,0,6,10,5|9000000;7|9000000,45000,,1101018,600,72000,50,40000,Trainee Officer,#ffffff,6,,3,,,,
6009008,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6009000,6;3,6009007,1,0,7,10,5|10000000;7|10000000,50000,,1101018,700,72000,50,45000,Trainee Officer,#ffffff,6,,3,,,,
6009009,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6009000,6;3,6009008,1,0,8,10,5|11000000;7|11000000,55000,,1101018,800,72000,50,50000,Trainee Officer,#ffffff,6,,3,,,,
6009010,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6009000,6;3,6009009,1,0,9,10,5|12000000;7|12000000,60000,,1101018,900,72000,50,55000,Trainee Officer,#ffffff,6,,3,,,,
6009011,Training Acceleration,Greatly increase your speed of training all forces for each level increased,career_builder_005,6009000,6;3,6009010,1,0,10,10,5|0;7|0,0,,1101018,1000,72000,50,60000,Trainee Officer,#ffffff,6,,3,,,,
6010001,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6010000,7;2,6009011,1,0,0,5,5|2000000;7|2000000,3600,,930000,0,72000,50,0,Trainee Officer,#ffffff,2,,1,,,,
6010002,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6010000,7;2,6010001,1,0,1,5,5|4000000;7|4000000,4800,,930000,300,72000,50,5000,Trainee Officer,#ffffff,2,,1,,,,
6010003,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6010000,7;2,6010002,1,0,2,5,5|6000000;7|6000000,6000,,930000,600,72000,50,10000,Trainee Officer,#ffffff,2,,1,,,,
6010004,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6010000,7;2,6010003,1,0,3,5,5|8000000;7|8000000,7200,,930000,900,72000,50,15000,Trainee Officer,#ffffff,2,,1,,,,
6010005,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6010000,7;2,6010004,1,0,4,5,5|10000000;7|10000000,8400,,930000,1200,72000,50,20000,Trainee Officer,#ffffff,2,,1,,,,
6010006,Upgraded Weapon,All units attack +{0}%,career_battlemaster_001,6010000,7;2,6010005,1,0,5,5,5|0;7|0,9600,,930000,1500,72000,50,25000,Trainee Officer,#ffffff,2,,1,,,,
6011001,Upgraded Armor,All units HP +{0}%,army_hp,6011000,7;4,6009011,1,0,0,5,5|2000000;7|2000000,3600,,1101042,0,72000,50,0,Trainee Officer,#ffffff,2,,1,,,,
6011002,Upgraded Armor,All units HP +{0}%,army_hp,6011000,7;4,6011001,1,0,1,5,5|4000000;7|4000000,4800,,1101042,300,72000,50,5000,Trainee Officer,#ffffff,2,,1,,,,
6011003,Upgraded Armor,All units HP +{0}%,army_hp,6011000,7;4,6011002,1,0,2,5,5|6000000;7|6000000,6000,,1101042,600,72000,50,10000,Trainee Officer,#ffffff,2,,1,,,,
6011004,Upgraded Armor,All units HP +{0}%,army_hp,6011000,7;4,6011003,1,0,3,5,5|8000000;7|8000000,7200,,1101042,900,72000,50,15000,Trainee Officer,#ffffff,2,,1,,,,
6011005,Upgraded Armor,All units HP +{0}%,army_hp,6011000,7;4,6011004,1,0,4,5,5|10000000;7|10000000,8400,,1101042,1200,72000,50,20000,Trainee Officer,#ffffff,2,,1,,,,
6011006,Upgraded Armor,All units HP +{0}%,army_hp,6011000,7;4,6011005,1,0,5,5,5|0;7|0,9600,,1101042,1500,72000,50,25000,Trainee Officer,#ffffff,2,,1,,,,
6012001,Open Specialization,Unlock Specialized Perk of this Profession,Combat Elite & Mechanical Master,6012000,8;3,6010006|6011006,1,0,0,1,5|20000000;7|20000000,10,,,0,72000,50,0,Trainee Officer,#ffffff,7,5,2,,,,
6012002,Open Specialization,Unlock Specialized Perk of this Profession,Combat Elite & Mechanical Master,6012000,8;3,6012001,1,0,1,1,5|0;7|0,0,,,0,72000,50,10000,Trainee Officer,#ffffff,7,,2,,,,
7001001,War Fever,When attacking a city; increase troop Attack by {0}%,Mechanical Master,7001000,1;3,0,2,0,0,3,5|10000000;7|10000000,313457,1600025|3,1101013,0,72001,55,0,Combat Elite,#ffffff,8,,3,,8001001,,
7001002,War Fever,When attacking a city; increase troop Attack by {0}%,Mechanical Master,7001000,1;3,7001001,2,0,1,3,5|20000000;7|20000000,376149,1600025|4,1101013,300,72001,55,150000,Combat Elite,#ffffff,8,,3,,8001002,,
7001003,War Fever,When attacking a city; increase troop Attack by {0}%,Mechanical Master,7001000,1;3,7001002,2,0,2,3,5|30000000;7|30000000,451378,1600025|5,1101013,600,72001,55,180000,Combat Elite,#ffffff,8,,3,,8001003,,
7001004,War Fever,When attacking a city; increase troop Attack by {0}%,Mechanical Master,7001000,1;3,7001003,2,0,3,3,5|0;7|0,0,,1101013,1000,72001,55,210000,Combat Elite,#ffffff,8,,3,,8001004,,
7002001,Brain and Brawn - Offensive,Increase hero's combat attributes by {0}%,career_command_003,7002000,2;1,7001004,2,0,0,5,5|20000000;7|20000000,313457,1600025|5,1101037,0,72001,55,0,Combat Elite,#ffffff,8,,3,,8002001,,
7002002,Brain and Brawn - Offensive,Increase hero's combat attributes by {0}%,career_command_003,7002000,2;1,7002001,2,0,1,5,5|25000000;7|25000000,376149,1600025|8,1101037,200,72001,55,100000,Combat Elite,#ffffff,8,,3,,8002002,,
7002003,Brain and Brawn - Offensive,Increase hero's combat attributes by {0}%,career_command_003,7002000,2;1,7002002,2,0,2,5,5|30000000;7|30000000,451378,1600025|10,1101037,400,72001,55,120000,Combat Elite,#ffffff,8,,3,,8002003,,
7002004,Brain and Brawn - Offensive,Increase hero's combat attributes by {0}%,career_command_003,7002000,2;1,7002003,2,0,3,5,5|35000000;7|35000000,541654,1600025|15,1101037,600,72001,55,140000,Combat Elite,#ffffff,8,,3,,8002004,,
7002005,Brain and Brawn - Offensive,Increase hero's combat attributes by {0}%,career_command_003,7002000,2;1,7002004,2,0,4,5,5|40000000;7|40000000,649985,1600025|20,1101037,800,72001,55,160000,Combat Elite,#ffffff,8,,3,,8002005,,
7002006,Brain and Brawn - Offensive,Increase hero's combat attributes by {0}%,career_command_003,7002000,2;1,7002005,2,0,5,5,5|0;7|0,0,,1101037,1000,72001,55,180000,Combat Elite,#ffffff,8,,3,,8002006,,
7003001,Brain and Brawn - Defensive,Increase hero's defensive attributes by {0}%,career_mechanical_003,7003000,2;5,7001004,2,0,0,5,5|20000000;7|20000000,313457,1600025|5,1101038,0,72001,55,0,Combat Elite,#ffffff,8,,3,,8003001,,
7003002,Brain and Brawn - Defensive,Increase hero's defensive attributes by {0}%,career_mechanical_003,7003000,2;5,7003001,2,0,1,5,5|25000000;7|25000000,376149,1600025|8,1101038,200,72001,55,100000,Combat Elite,#ffffff,8,,3,,8003002,,
7003003,Brain and Brawn - Defensive,Increase hero's defensive attributes by {0}%,career_mechanical_003,7003000,2;5,7003002,2,0,2,5,5|30000000;7|30000000,451378,1600025|10,1101038,400,72001,55,120000,Combat Elite,#ffffff,8,,3,,8003003,,
7003004,Brain and Brawn - Defensive,Increase hero's defensive attributes by {0}%,career_mechanical_003,7003000,2;5,7003003,2,0,3,5,5|35000000;7|35000000,541654,1600025|15,1101038,600,72001,55,140000,Combat Elite,#ffffff,8,,3,,8003004,,
7003005,Brain and Brawn - Defensive,Increase hero's defensive attributes by {0}%,career_mechanical_003,7003000,2;5,7003004,2,0,4,5,5|40000000;7|40000000,649985,1600025|20,1101038,800,72001,55,160000,Combat Elite,#ffffff,8,,3,,8003005,,
7003006,Brain and Brawn - Defensive,Increase hero's defensive attributes by {0}%,career_mechanical_003,7003000,2;5,7003005,2,0,5,5,5|0;7|0,0,,1101038,1000,72001,55,180000,Combat Elite,#ffffff,8,,3,,8003006,,
7004001,Elite trial,When using the EXP Book; the experience gained by the hero is increased by {0}%,career_hero_001,7004000,2;3,7001004,2,0,0,5,5|20000000;7|20000000,313457,1600025|5,1101032,0,72001,60,0,Combat Elite,#ffffff,8,,3,,8004001,,
7004002,Elite trial,When using the EXP Book; the experience gained by the hero is increased by {0}%,career_hero_001,7004000,2;3,7004001,2,0,1,5,5|25000000;7|25000000,376149,1600025|10,1101032,200,72001,60,100000,Combat Elite,#ffffff,8,,3,,8004002,,
7004003,Elite trial,When using the EXP Book; the experience gained by the hero is increased by {0}%,career_hero_001,7004000,2;3,7004002,2,0,2,5,5|30000000;7|30000000,451378,1600025|15,1101032,400,72001,60,120000,Combat Elite,#ffffff,8,,3,,8004003,,
7004004,Elite trial,When using the EXP Book; the experience gained by the hero is increased by {0}%,career_hero_001,7004000,2;3,7004003,2,0,3,5,5|35000000;7|35000000,541654,1600025|20,1101032,600,72001,60,140000,Combat Elite,#ffffff,8,,3,,8004004,,
7004005,Elite trial,When using the EXP Book; the experience gained by the hero is increased by {0}%,career_hero_001,7004000,2;3,7004004,2,0,4,5,5|40000000;7|40000000,649985,1600025|25,1101032,800,72001,60,160000,Combat Elite,#ffffff,8,,3,,8004005,,
7004006,Elite trial,When using the EXP Book; the experience gained by the hero is increased by {0}%,career_hero_001,7004000,2;3,7004005,2,0,5,5,5|0;7|0,0,,1101032,1000,72001,60,180000,Combat Elite,#ffffff,8,,3,,8004006,,
7005001,Brain and Brawn,Increase hero's Command attributes by {0}%,career_strengthen_001,7005000,3;3,7002006|7003006,2,0,0,5,5|30000000;7|30000000,313457,1600025|20,1101036,0,72001,60,0,Combat Elite,#ffffff,9,2,4,,8005001,,
7005002,Brain and Brawn,Increase hero's Command attributes by {0}%,career_strengthen_001,7005000,3;3,7005001,2,0,1,5,5|35000000;7|35000000,376149,1600025|25,1101036,200,72001,60,100000,Combat Elite,#ffffff,9,,4,,8005002,,
7005003,Brain and Brawn,Increase hero's Command attributes by {0}%,career_strengthen_001,7005000,3;3,7005002,2,0,2,5,5|40000000;7|40000000,451378,1600025|30,1101036,400,72001,60,120000,Combat Elite,#ffffff,9,,4,,8005003,,
7005004,Brain and Brawn,Increase hero's Command attributes by {0}%,career_strengthen_001,7005000,3;3,7005003,2,0,3,5,5|45000000;7|45000000,541654,1600025|35,1101036,600,72001,60,140000,Combat Elite,#ffffff,9,,4,,8005004,,
7005005,Brain and Brawn,Increase hero's Command attributes by {0}%,career_strengthen_001,7005000,3;3,7005004,2,0,4,5,5|50000000;7|50000000,649985,1600025|40,1101036,800,72001,60,160000,Combat Elite,#ffffff,9,,4,,8005005,,
7005006,Brain and Brawn,Increase hero's Command attributes by {0}%,career_strengthen_001,7005000,3;3,7005005,2,0,5,5,5|0;7|0,0,,1101036,1000,72001,60,180000,Combat Elite,#ffffff,9,,4,,8005006,,
7006001,DMG Increase,Increase damage by {0}% for all units in the troops,kvk_tec_001,7006000,4;1,7005006,2,0,0,5,5|40000000;7|40000000,649985,1600025|50,1001001,0,72001,60,0,Combat Elite,#ffffff,10,,3,,8006001,,
7006002,DMG Increase,Increase damage by {0}% for all units in the troops,kvk_tec_001,7006000,4;1,7006001,2,0,1,5,5|45000000;7|45000000,779982,1600025|60,1001001,300,72001,60,150000,Combat Elite,#ffffff,10,,3,,8006002,,
7006003,DMG Increase,Increase damage by {0}% for all units in the troops,kvk_tec_001,7006000,4;1,7006002,2,0,2,5,5|50000000;7|50000000,935978,1600025|70,1001001,600,72001,60,180000,Combat Elite,#ffffff,10,,3,,8006003,,
7006004,DMG Increase,Increase damage by {0}% for all units in the troops,kvk_tec_001,7006000,4;1,7006003,2,0,3,5,5|55000000;7|55000000,1074641,1600025|80,1001001,900,72001,60,210000,Combat Elite,#ffffff,10,,3,,8006004,,
7006005,DMG Increase,Increase damage by {0}% for all units in the troops,kvk_tec_001,7006000,4;1,7006004,2,0,4,5,5|60000000;7|60000000,1217638,1600025|90,1001001,1200,72001,60,240000,Combat Elite,#ffffff,10,,3,,8006005,,
7006006,DMG Increase,Increase damage by {0}% for all units in the troops,kvk_tec_001,7006000,4;1,7006005,2,0,5,5,5|0;7|0,0,,1001001,1500,72001,60,270000,Combat Elite,#ffffff,10,,3,,8006006,,
7007001,Advanced Resistance,Reduce the damage received by all units in the troops by {0}%,kvk_tec_002,7007000,4;5,7005006,2,0,0,5,5|40000000;7|40000000,649985,1600025|50,1101040,0,72001,60,0,Combat Elite,#ffffff,10,,3,,8007001,,
7007002,Advanced Resistance,Reduce the damage received by all units in the troops by {0}%,kvk_tec_002,7007000,4;5,7007001,2,0,1,5,5|45000000;7|45000000,779982,1600025|60,1101040,400,72001,60,150000,Combat Elite,#ffffff,10,,3,,8007002,,
7007003,Advanced Resistance,Reduce the damage received by all units in the troops by {0}%,kvk_tec_002,7007000,4;5,7007002,2,0,2,5,5|50000000;7|50000000,935978,1600025|70,1101040,800,72001,60,180000,Combat Elite,#ffffff,10,,3,,8007003,,
7007004,Advanced Resistance,Reduce the damage received by all units in the troops by {0}%,kvk_tec_002,7007000,4;5,7007003,2,0,3,5,5|55000000;7|55000000,1074641,1600025|80,1101040,1200,72001,60,210000,Combat Elite,#ffffff,10,,3,,8007004,,
7007005,Advanced Resistance,Reduce the damage received by all units in the troops by {0}%,kvk_tec_002,7007000,4;5,7007004,2,0,4,5,5|60000000;7|60000000,1217638,1600025|90,1101040,1600,72001,60,240000,Combat Elite,#ffffff,10,,3,,8007005,,
7007006,Advanced Resistance,Reduce the damage received by all units in the troops by {0}%,kvk_tec_002,7007000,4;5,7007005,2,0,5,5,5|0;7|0,0,,1101040,2000,72001,60,270000,Combat Elite,#ffffff,10,,3,,8007006,,
7008001,War Fever,When attacking a city; increase troop Attack by {0}%,Mechanical Master,7008000,4;3,7005006,2,0,0,5,5|20000000;7|20000000,1398995,1600025|30,1101013,0,72001,65,0,Combat Elite,#ffffff,11,,3,,8008001,,
7008002,War Fever,When attacking a city; increase troop Attack by {0}%,Mechanical Master,7008000,4;3,7008001,2,0,1,5,5|30000000;7|30000000,1398995,1600025|40,1101013,300,72001,65,150000,Combat Elite,#ffffff,11,,3,,8008002,,
7008003,War Fever,When attacking a city; increase troop Attack by {0}%,Mechanical Master,7008000,4;3,7008002,2,0,2,5,5|40000000;7|40000000,1398995,1600025|50,1101013,600,72001,65,180000,Combat Elite,#ffffff,11,,3,,8008003,,
7008004,War Fever,When attacking a city; increase troop Attack by {0}%,Mechanical Master,7008000,4;3,7008003,2,0,3,5,5|45000000;7|45000000,1398995,1600025|60,1101013,900,72001,65,210000,Combat Elite,#ffffff,11,,3,,8008004,,
7008005,War Fever,When attacking a city; increase troop Attack by {0}%,Mechanical Master,7008000,4;3,7008004,2,0,4,5,5|50000000;7|50000000,1398995,1600025|70,1101013,1200,72001,65,240000,Combat Elite,#ffffff,11,,3,,8008005,,
