id,item_id,number,type,price_shop,tab,is_open,order,cost_reason,cut_off,weight,limit
30215,2200012,1,1,200,1,1,1,shopLimitItem_heropiece,8,32,100
30216,2200014,1,1,40,1,1,1,shopLimitItem_heropiece,8,160,100
30217,2200015,1,1,40,1,1,1,shopLimitItem_heropiece,8,160,100
30218,2200016,1,1,200,1,1,1,shopLimitItem_heropiece,8,32,100
30219,2200017,1,1,200,1,1,1,shopLimitItem_heropiece,8,32,100
30220,2200018,1,1,200,1,1,1,shopLimitItem_heropiece,8,32,100
30221,2200004,2,1,400,1,1,1,shopLimitItem_heropiece,8,16,100
30222,2200005,2,1,400,1,1,1,shopLimitItem_heropiece,8,16,100
30223,2200006,2,1,400,1,1,1,shopLimitItem_heropiece,8,16,100
30224,2200010,2,1,400,1,1,1,shopLimitItem_heropiece,8,16,100
30225,2200011,2,1,400,1,1,1,shopLimitItem_heropiece,8,16,100
30226,2200012,2,1,400,1,1,1,shopLimitItem_heropiece,8,16,100
30227,2200016,2,1,400,1,1,1,shopLimitItem_heropiece,8,16,100
30228,2200017,2,1,400,1,1,1,shopLimitItem_heropiece,8,16,100
30229,2200018,2,1,400,1,1,1,shopLimitItem_heropiece,8,16,100
30230,2200004,5,1,1000,1,1,1,shopLimitItem_heropiece,8,6,100
30231,2200005,5,1,1000,1,1,1,shopLimitItem_heropiece,8,6,100
30232,2200006,5,1,1000,1,1,1,shopLimitItem_heropiece,8,6,100
30233,2200010,5,1,1000,1,1,1,shopLimitItem_heropiece,8,6,100
30234,2200011,5,1,1000,1,1,1,shopLimitItem_heropiece,8,6,100
30235,2200012,5,1,1000,1,1,1,shopLimitItem_heropiece,8,6,100
30236,2200016,5,1,1000,1,1,1,shopLimitItem_heropiece,8,6,100
30237,2200017,5,1,1000,1,1,1,shopLimitItem_heropiece,8,6,100
30238,2200018,5,1,1000,1,1,1,shopLimitItem_heropiece,8,6,100
30239,2300002,1,1,68,1,1,1,shopLimitItem_heropiece_all,9,119,100
30240,2300002,2,1,136,1,1,1,shopLimitItem_heropiece_all,9,60,100
30241,2300002,5,1,340,1,1,1,shopLimitItem_heropiece_all,9,24,100
30242,2300002,1,1,60,1,1,1,shopLimitItem_heropiece_all,8,107,100
30243,2300002,2,1,120,1,1,1,shopLimitItem_heropiece_all,8,53,100
30244,2300002,5,1,300,1,1,1,shopLimitItem_heropiece_all,8,21,100
30245,2300003,1,1,320,1,1,1,shopLimitItem_heropiece_all,8,13,1
30246,2300003,2,1,640,1,1,1,shopLimitItem_heropiece_all,8,6,1
30247,2300003,5,1,1600,1,1,1,shopLimitItem_heropiece_all,8,3,1
30248,2300003,1,1,280,1,1,1,shopLimitItem_heropiece_all,7,11,1
30249,2300003,2,1,560,1,1,1,shopLimitItem_heropiece_all,7,5,1
30250,2300003,5,1,1400,1,1,1,shopLimitItem_heropiece_all,7,2,1
30251,1800001,10,1,12,1,1,1,shopLimitItem_chest7,4,133,100
30252,1800001,20,1,24,1,1,1,shopLimitItem_chest7,4,67,100
30253,1800001,50,1,60,1,1,1,shopLimitItem_chest7,4,27,100
30254,1800001,100,1,120,1,1,1,shopLimitItem_chest7,4,13,100
30255,1800001,10,1,6,1,1,1,shopLimitItem_chest7,2,67,100
30256,1800001,20,1,12,1,1,1,shopLimitItem_chest7,2,33,100
30257,1800001,50,1,30,1,1,1,shopLimitItem_chest7,2,13,100
30258,1800001,100,1,60,1,1,1,shopLimitItem_chest7,2,7,100
30259,3300001,5,1,68,1,1,1,shopLimitItem_chest8,9,119,100
30260,3300001,10,1,135,1,1,1,shopLimitItem_chest8,9,60,100
30261,3300001,20,1,270,1,1,1,shopLimitItem_chest8,9,30,100
30262,3300001,5,1,60,1,1,1,shopLimitItem_chest8,8,107,100
30263,3300001,10,1,120,1,1,1,shopLimitItem_chest8,8,53,100
30264,3300001,20,1,240,1,1,1,shopLimitItem_chest8,8,27,100
30265,3200001,1,1,80,1,1,1,shopLimitItem_armyequip,8,80,100
30266,3200001,3,1,240,1,1,1,shopLimitItem_armyequip,8,27,100
30267,3200001,5,1,400,1,1,1,shopLimitItem_armyequip,8,16,100
30268,3200001,1,1,60,1,1,1,shopLimitItem_armyequip,6,60,100
30269,3200001,3,1,180,1,1,1,shopLimitItem_armyequip,6,20,100
30270,3200001,5,1,300,1,1,1,shopLimitItem_armyequip,6,12,100
30271,400103,1,1,150,1,1,1,shopLimitItem_armyequip,3,10,100
30272,400104,1,1,420,1,1,1,shopLimitItem_armyequip,3,4,100
30273,400105,1,1,1200,1,1,1,shopLimitItem_armyequip,3,1,100
30274,400203,1,1,150,1,1,1,shopLimitItem_armyequip,3,10,100
30275,400204,1,1,420,1,1,1,shopLimitItem_armyequip,3,4,100
30276,400205,1,1,1200,1,1,1,shopLimitItem_armyequip,3,1,100
30277,400303,1,1,100,1,1,1,shopLimitItem_armyequip,3,15,100
30278,400304,1,1,300,1,1,1,shopLimitItem_armyequip,3,5,100
30279,400305,1,1,900,1,1,1,shopLimitItem_armyequip,3,2,100
30280,400403,1,1,100,1,1,1,shopLimitItem_armyequip,3,15,100
30281,400404,1,1,300,1,1,1,shopLimitItem_armyequip,3,5,100
30282,400405,1,1,900,1,1,1,shopLimitItem_armyequip,3,2,100
30283,400503,1,1,120,1,1,1,shopLimitItem_armyequip,3,13,100
30284,400504,1,1,360,1,1,1,shopLimitItem_armyequip,3,4,100
30285,400505,1,1,1050,1,1,1,shopLimitItem_armyequip,3,1,100
