id,form,vip_value,reward_pool,days,order,reward,price,count,buy_limit,value,exhibition
int,int,string,int,int,int,int,int,int,int,int,string
1,1,0|8,1,1,1,1500001,10,1,1,900,DAILY DEAL
112,1,9|999,2,3,112,1500112,90,1,1,2800,DAILY DEAL
113,1,9|999,2,3,113,1500113,200,1,1,3700,
114,1,9|999,2,3,114,1500114,1000,1,1,10800,
115,1,9|999,2,4,115,1500115,90,1,1,2080,DAILY DEAL
116,1,9|999,2,4,116,1500116,200,1,1,1960,
117,1,9|999,2,4,117,1500117,1000,1,1,9520,
118,1,9|999,2,5,118,1500118,90,1,1,2800,DAILY DEAL
119,1,9|999,2,5,119,1500119,200,1,1,3700,
120,1,9|999,2,5,120,1500120,1000,1,1,10800,
121,1,9|999,2,6,121,1500121,90,1,1,2080,DAILY DEAL
122,1,9|999,2,6,122,1500122,200,1,1,1960,
123,1,9|999,2,6,123,1500123,1000,1,1,9520,
124,1,9|999,2,7,124,1500124,90,1,1,2800,DAILY DEAL
125,1,9|999,2,7,125,1500125,200,1,1,3700,
126,1,9|999,2,7,126,1500126,1000,1,3,10800,
127,1,9|999,3,1,127,1500127,200,1,1,4800,DAILY DEAL
128,1,9|999,3,1,128,1500128,500,1,1,5700,
129,1,9|999,3,1,129,1500129,1000,1,1,10800,
130,1,9|999,3,2,130,1500130,200,1,1,2480,DAILY DEAL
131,1,9|999,3,2,131,1500131,500,1,1,4960,
132,1,9|999,3,2,132,1500132,1000,1,1,9520,
133,1,9|999,3,3,133,1500133,200,1,1,4800,DAILY DEAL
134,1,9|999,3,3,134,1500134,500,1,1,5700,
135,1,9|999,3,3,135,1500135,1000,1,1,10800,
136,1,9|999,3,4,136,1500136,200,1,1,2480,DAILY DEAL
137,1,9|999,3,4,137,1500137,500,1,1,4960,
138,1,9|999,3,4,138,1500138,1000,1,1,9520,
139,1,9|999,3,5,139,1500139,200,1,1,4800,DAILY DEAL
140,1,9|999,3,5,140,1500140,500,1,1,5700,
141,1,9|999,3,5,141,1500141,1000,1,1,10800,
142,1,9|999,3,6,142,1500142,200,1,1,2480,DAILY DEAL
143,1,9|999,3,6,143,1500143,500,1,1,4960,
144,1,9|999,3,6,144,1500144,1000,1,1,9520,
145,1,9|999,3,7,145,1500145,200,1,1,4800,DAILY DEAL
146,1,9|999,3,7,146,1500146,500,1,1,5700,
147,1,9|999,3,7,147,1500147,1000,1,3,10800,
