id,skill_name_key,icon,skill_group_1,skill_group_2,skill_group_3,skill_group_4,skill_group_5,type,desc_key,desc_para,desc_star_key,power,is_show,plat,desc_star_key_para
303,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),35,,,1,all,
304,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
305,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
306,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
307,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
308,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
309,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1104,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1105,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1106,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1204,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1205,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1206,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1304,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1305,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1306,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1109,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1209,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1309,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
209,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
110,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
210,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1210,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
211,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
310,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1310,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
111,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
311,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
112,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
212,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1212,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
113,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1213,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
312,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1412,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
114,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1115,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
213,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1401,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1402,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
115,Power of Hate,cap_skill_icon045,11006101|11006102|11006100,11006101|11006102|11006200,11006101|11006102|11006300,11006101|11006102|11006400,11006101|11006102|11006500,2,Increase ATK of unit under the hero's command by {0}%. VIT cost reduces by {1} when attacking Dark Legion, Warhammer and Heartthrob, and ATK increases by {2}%,20|2|40,Increase ATK of the units under the hero's command by {0}%|Increase ATK of the units under the hero's command by {0}%|Increase ATK of the units under the hero's command by {0}%|Increase ATK of the units under the hero's command by {0}%,0|0|0|0|0,1,all,15|15|15|22
313,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1117,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
116,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
117,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
214,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
314,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1314,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
119,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
118,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
215,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
315,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
120,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
121,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
216,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
122,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
123,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
316,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
124,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
125,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
126,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
127,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
217,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
128,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
1101,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
317,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
129,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
