id,type,pos_x,pos_y,len_x,len_y,is_init,terrain_type,disable,block_type,plot_restriction
903,0,4,16,4,4,0,1,0,0,
904,0,8,20,4,4,0,1,0,0,
905,0,12,24,4,4,0,1,0,0,
906,0,16,28,4,4,0,1,0,0,
907,0,20,32,4,4,0,2,0,0,
908,0,24,36,4,4,0,0,0,0,
909,0,28,40,4,4,0,0,0,0,
910,0,32,44,4,4,0,0,0,0,
911,0,36,48,4,4,0,0,0,0,
912,0,40,52,4,4,0,2,0,1,62
913,0,44,56,4,4,0,2,0,1,62
914,0,48,60,4,4,0,2,0,1,62
915,0,52,64,4,4,0,0,0,1,62
1004,0,4,24,4,4,0,0,0,0,
1005,0,8,28,4,4,0,1,0,0,
1006,0,12,32,4,4,0,1,0,0,
1007,0,16,36,4,4,0,0,0,0,
1008,0,20,40,4,4,0,0,0,0,
1009,0,24,44,4,4,0,0,0,0,
1010,0,28,48,4,4,0,0,0,0,
1011,0,32,52,4,4,0,2,0,1,62
1012,0,36,56,4,4,0,1,0,1,62
1013,0,40,60,4,4,0,1,0,1,62
1014,0,44,64,4,4,0,2,0,1,62
1015,0,48,68,4,4,0,2,0,1,62
1016,0,52,72,4,4,0,0,0,1,62
1105,0,4,32,4,4,0,0,0,0,
1106,0,8,36,4,4,0,2,0,0,
1107,0,12,40,4,4,0,2,0,0,
1108,0,16,44,4,4,0,2,0,0,
1109,0,20,48,4,4,0,0,0,0,
1110,0,24,52,4,4,0,0,0,1,62
1111,0,28,56,4,4,0,0,0,1,62
1112,0,32,60,4,4,0,2,0,1,62
1113,0,36,64,4,4,0,1,0,1,62
1114,0,40,68,4,4,0,2,0,1,62
1115,0,44,72,4,4,0,2,0,1,62
1116,0,48,76,4,4,0,0,0,1,62
1117,0,52,80,4,4,0,0,0,1,62
1206,0,4,40,4,4,0,2,0,0,
1207,0,8,44,4,4,0,2,0,0,
1208,0,12,48,4,4,0,2,0,0,
1209,0,16,52,4,4,0,2,0,1,62
1210,0,20,56,4,4,0,0,0,1,62
1211,0,24,60,4,4,0,0,0,1,62
1212,0,28,64,4,4,0,0,0,1,62
1213,0,32,68,4,4,0,2,0,1,62
1214,0,36,72,4,4,0,2,0,1,62
1215,0,40,76,4,4,0,2,0,1,62
1216,0,44,80,4,4,0,0,0,1,62
1217,0,48,84,4,4,0,0,0,1,62
1218,0,52,88,4,4,0,0,0,1,62
1307,0,4,48,4,4,0,1,0,0,
1308,0,8,52,4,4,0,1,0,1,62
1309,0,12,56,4,4,0,2,0,1,62
1310,0,16,60,4,4,0,0,0,1,62
1311,0,20,64,4,4,0,2,0,1,62
1312,0,24,68,4,4,0,2,0,1,62
1313,0,28,72,4,4,0,1,0,1,62
1314,0,32,76,4,4,0,1,0,1,62
1315,0,36,80,4,4,0,2,0,1,62
1316,0,40,84,4,4,0,0,0,1,62
1317,0,44,88,4,4,0,0,0,1,62
1318,0,48,92,4,4,0,0,0,1,62
1408,0,4,56,4,4,0,1,0,1,62
1409,0,8,60,4,4,0,2,0,1,62
1410,0,12,64,4,4,0,2,0,1,62
1411,0,16,68,4,4,0,2,0,1,62
1412,0,20,72,4,4,0,2,0,1,62
1413,0,24,76,4,4,0,1,0,1,62
1414,0,28,80,4,4,0,1,0,1,62
1415,0,32,84,4,4,0,2,0,1,62
1416,0,36,88,4,4,0,0,0,1,62
1417,0,40,92,4,4,0,0,0,1,62
1509,0,4,64,4,4,0,1,0,1,62
1510,0,8,68,4,4,0,1,0,1,62
1511,0,12,72,4,4,0,1,0,1,62
1512,0,16,76,4,4,0,1,0,1,62
1513,0,20,80,4,4,0,1,0,1,62
1514,0,24,84,4,4,0,2,0,1,62
1515,0,28,88,4,4,0,2,0,1,62
1516,0,32,92,4,4,0,0,0,1,62
1610,0,4,72,4,4,0,2,0,1,62
1611,0,8,76,4,4,0,1,0,1,62
1612,0,12,80,4,4,0,1,0,1,62
1613,0,16,84,4,4,0,2,0,1,62
1614,0,20,88,4,4,0,0,0,1,62
1615,0,24,92,4,4,0,0,0,1,62
1711,0,4,80,4,4,0,2,0,1,62
1712,0,8,84,4,4,0,2,0,1,62
1713,0,12,88,4,4,0,2,0,1,62
1714,0,16,92,4,4,0,0,0,1,62
1812,0,4,88,4,4,0,2,0,1,62
1813,0,8,92,4,4,0,0,0,1,62
