id,node,order,enemy_config,enemy_type,enemy_hero,player_number,arm_limit,reward,gift,icon
3009,2,9,21003,1,103;40;2|105;20;2,2,201,110303,,icon_island1
3010,2,10,10004;10004,0,103;40;2|105;20;2,2,201,100401,,icon_island2
3011,2,11,20005;20004,1,103;40;2|105;20;2,2,201,100402,,icon_island2
3012,2,12,30004;30005;30004,2,103;40;2|105;20;2,3,201,100403,,icon_island3
3013,2,13,10003;10004;10003;11004,0,103;40;2|105;20;2,3,201,110404,,icon_island1
3014,2,14,30005;30006,2,103;40;2|105;20;2,2,201,100501,,icon_island3
3015,2,15,10005;10006,0,103;40;2|105;20;2,2,201,100502,,icon_island1
3016,2,16,10006;10006,0,103;40;2|105;20;2,2,201,100503,,icon_island2
3017,2,17,20005;20005;20005;21005,1,103;40;2|105;20;2,3,201,110504,,icon_island2
3018,2,18,30006;30007,2,103;40;2|105;20;2,2,201,100601,,icon_island3
3019,2,19,10007;10007,0,103;40;2|105;20;2,2,201,100602,,icon_island1
3020,2,20,30006;30006;30007,2,103;40;2|105;20;2,3,201,100603,,icon_island3
3021,2,21,20005;30006;30006,1,103;40;2|105;20;2,3,201,100604,,icon_island1
3022,2,22,30005;30006;30005;31006,2,103;40;2|105;20;2,3,201,110605,,icon_island2
3023,2,23,10007;10007;10008,0,103;40;2|105;20;2,3,201,100701,,icon_island2
3024,2,24,10008;10008;10008,0,103;40;2|105;20;2,3,201,100702,,icon_island3
3025,2,25,30006;30006;30007;31006,2,103;40;2|105;20;2,4,201,110703,,icon_island1
4001,3,1,10001,0,103;40;2|105;20;2,1,301,100201,,icon_island3
4002,3,2,20002;20002,1,103;40;2|105;20;2,3,301,100201,,icon_island1
4003,3,3,30002;30002;30002,2,103;40;2|105;20;2,3,301,100201,,icon_island2
4004,3,4,10003,0,103;40;2|105;20;2,1,301,100201,,icon_island2
4005,3,5,20002;20002,1,103;40;2|105;20;2,2,301,100202,,icon_island3
4006,3,6,31002,2,103;40;2|105;20;2,2,301,110203,,icon_island1
4007,3,7,30003;30003,2,103;40;2|105;20;2,2,301,100301,,icon_island3
4008,3,8,10004;10003,0,103;40;2|105;20;2,2,301,100302,,icon_island1
4009,3,9,21003,1,103;40;2|105;20;2,2,301,110303,,icon_island2
4010,3,10,10004;10004,0,103;40;2|105;20;2,2,301,100401,,icon_island2
4011,3,11,20005;20004,1,103;40;2|105;20;2,2,301,100402,,icon_island3
4012,3,12,30004;30005;30004,2,103;40;2|105;20;2,3,301,100403,,icon_island1
4013,3,13,10003;10004;10003;11004,0,103;40;2|105;20;2,3,301,110404,,icon_island3
4014,3,14,30005;30006,2,103;40;2|105;20;2,2,301,100501,,icon_island1
4015,3,15,10005;10006,0,103;40;2|105;20;2,2,301,100502,,icon_island2
4016,3,16,10006;10006,0,103;40;2|105;20;2,2,301,100503,,icon_island2
4017,3,17,20005;20005;20005;21005,1,103;40;2|105;20;2,3,301,110504,,icon_island3
4018,3,18,30006;30007,2,103;40;2|105;20;2,2,301,100601,,icon_island1
4019,3,19,10007;10007,0,103;40;2|105;20;2,2,301,100602,,icon_island3
4020,3,20,30006;30006;30007,2,103;40;2|105;20;2,3,301,100603,,icon_island1
4021,3,21,20005;30006;30006,1,103;40;2|105;20;2,3,301,100604,,icon_island2
4022,3,22,30005;30006;30005;31006,2,103;40;2|105;20;2,3,301,110605,,icon_island2
4023,3,23,10007;10007;10008,0,103;40;2|105;20;2,3,301,100701,,icon_island3
4024,3,24,10008;10008;10008,0,103;40;2|105;20;2,3,301,100702,,icon_island1
4025,3,25,30006;30006;30007;31006,2,103;40;2|105;20;2,4,301,110703,,icon_island3
