id,group,item,num,limit,price,server_group
176,30,2520503,1,1,1500,2
177,30,2100002,20,1,3000,2
178,30,2200021,10,1,3600,2
179,30,2300003,10,1,4000,2
180,30,1700015,10,1,5400,2
181,31,2300003,4,1,1600,3
182,31,3300001,50,1,600,3
183,31,3610009,200,1,900,3
184,31,2540002,10,1,700,3
185,31,2300002,10,1,600,3
186,31,2400005,10,1,900,3
187,32,1900003,2,1,1000,3
188,32,600002,2,1,600,3
189,32,1700013,10,1,600,3
190,32,2100002,10,1,1500,3
191,32,2300002,10,1,600,3
192,32,2400005,10,1,900,3
193,33,2560001,20,1,600,3
194,33,1700015,5,1,2700,3
195,33,500002,5,1,750,3
196,33,2100005,5,1,2000,3
197,33,2100002,10,1,1500,3
198,33,2540002,20,1,1400,3
199,34,2300003,4,1,1600,3
200,34,3300001,50,1,600,3
201,34,3610009,200,1,900,3
202,34,2540002,20,1,1200,3
203,34,2300002,10,1,600,3
204,34,2400005,10,1,900,3
205,35,1900003,2,1,1000,3
206,35,600002,2,1,600,3
207,35,1700013,10,1,600,3
208,35,2100002,10,1,1500,3
209,35,2300002,10,1,600,3
210,35,2400005,10,1,900,3
211,36,2560001,20,1,600,3
212,36,1700015,5,1,2700,3
213,36,500002,5,1,750,3
214,36,2100005,5,1,2000,3
215,36,2100002,10,1,1500,3
216,36,2540002,10,1,600,3
217,37,2300003,10,1,4000,3
218,37,3300001,100,1,1200,3
219,37,3610009,400,1,1800,3
220,37,2540002,20,1,1000,3
221,37,2300002,20,1,1200,3
222,37,2400005,20,1,1800,3
223,38,1900003,5,1,2500,3
224,38,600002,5,1,1500,3
225,38,1700013,20,1,1200,3
226,38,2100002,20,1,3000,3
227,38,2300002,20,1,1200,3
228,38,1700015,10,1,5400,3
229,39,2560001,40,1,1200,3
230,39,2200028,10,1,3600,3
231,39,500002,10,1,1500,3
232,39,2100005,10,1,4000,3
233,39,1700015,10,1,5400,3
234,39,2540002,10,1,500,3
235,40,2520003,1,1,1500,3
236,40,2520303,1,1,1500,3
237,40,2100002,20,1,3000,3
238,40,2540002,20,1,1000,3
239,40,2300003,10,1,4000,3
240,40,1700015,10,1,5400,3
241,41,2520102,1,1,1500,3
242,41,2520403,1,1,1500,3
243,41,2100002,20,1,3000,3
244,41,2200027,10,1,3600,3
245,41,2300003,10,1,4000,3
246,41,1700015,10,1,5400,3
247,42,2520203,1,1,1500,3
248,42,2520503,1,1,1500,3
249,42,2100002,20,1,3000,3
250,42,2200021,10,1,3600,3
251,42,2300003,10,1,4000,3
252,42,1700015,10,1,5400,3
