ID,desc,condition_item,condition_gold,condition_time,first_reward,reward
38,A hug,20201046;40,,,,930003;100;Your support inspired him to keep exercising every day which made him a fitness trainer.
39,Some food,20201047;5,,,,930003;50;He ate too much and gained a lot of weight.|930003;50;He ate a lot but got stronger and eventually became an Air Force commander.
40,A priceless violin,20201048;3,,,,930006;50;She loved it but she couldn't play it well; her neighbors made a lot of complaints.|930008;50;After a lot of effort the young girl became a brilliant musician.
41,A pep talk,20201046;40,,,,930001;100;She rolled her eyes and left.
42,A valuable piano,20201047;5,,,,930005;40;She was very grateful for your gift and sold the piano for money.|930003;60;She was very grateful for your gift and practiced it a lot. Her neighbors made a lot of complaints.
43,Give him a cap with a "bully dog" on it,20201046;100,,,931005;You said only good kids can take it off; so he committed good deeds and eventually became a good man.,930005;50;You said only good kids can take it off; so he committed good deeds and eventually became a good man.|930003;50;He thought it was very cool and it soon became a trend.
44,Give him a badly damaged toy,20201046;40,,,,930003;50;He grinned after you gave him the toy. You recommended he go get some help.|930006;50;He was terrified and never bullied anyone again.
45,Show him a drum,20201047;10,,,,930003;100;"What do you mean?" the boy asked. "Beat it." you answered.
46,Roast goose,20201047;5,,,931005;Tears streamed down his face and he had a wonderful Christmas.,930005;100;Tears streamed down his face and he had a wonderful Christmas.|930002;50;He ate too much and spent the whole day in hospital.
47,Spaghetti,20201048;5,,,,930008;100;He was allergic and spent the whole day in hospital.
48,A fishing rod,20201046;40,,,,930003;100;"Teach a man to fish and you feed him for a lifetime;" you told the boy; but he seemed upset.
49,Forgive him and give him a gift,20201046;40,,,,930003;50;You gave him the toy gun he wanted. He accepted it and shot you.|930002;50;You gave him a plush toy and told him a story. He felt guilty and apologized to you.
50,Give him nothing because he offended you,20201047;20,,,,930007;100;He was quite jealous of the other kids but he didn't say a word.
51,Ask him to send out gifts to other kids,20201046;40,,,931003;He realized the meaning of giving and taking and apologized to you.,930003;100;He realized the meaning of giving and taking and apologized to you.
52,Buy the dress and give it to her,20201046;100,,,931004;It costs approximately half of your savings but you saw the girl's smile after getting the present. Money well spent.,930004;50;It costs approximately half of your savings but you saw the girl's smile after getting the present. Money well spent.|930003;50;You bought the dress; picturing the girl's smile. But as you left the shop the girl was gone.
53,Give her some flowers,20201046;100,,,,930004;50;She threw the petals around and it was beautiful. Then the cleaners complained.|930003;50;The girl smiled as she accepted the flowers.
54,Ask her why she's here all alone,20201046;40,,,,930003;100;You scared her and she cried.
55,Roller coaster,20201048;3,,,,930008;50;The kids were scared and cried out. You felt guilty.|930003;50;The kids had fun but you couldn't take it and puked in the end.
56,Carousel,20201046;40,,,931003;The kids enjoyed it very much and had a great time.,930003;50;The kids enjoyed it very much and had a great time.
57,River rapids ride,20201046;40,,,,930004;50;The kids enjoyed it very much but they got a cold because their heads were wet for a long time
58,Find him a guitar teacher,20201046;40,,,,930002;50;The kid was bored by the teacher and quit soon after.|930004;50;The teacher was inspiring and he learned a lot from the teacher.
59,Buy him a guitar book,20201047;10,,,,930004;50;He couldn't read the sheet music and put it under a table leg.|930005;50;He was grateful and played guitar for you. You had a good time.
60,Invite him to a concert,20201046;40,,,,930003;50;He felt that the concert was too noisy and gave up his dream.|930004;50;It took him some time to cool down but he got more resolute.
61,Invite them over for a big dinner,20201047;10,,,,930005;50;You never cooked before and almost burned the kitchen down.|930004;50;The mouth-watering meal you made was a hit with everyone.
62,Book tickets for a Broadway Show for Kids,20201047;5,,,931004;That show was made for the children and the kids loved it very much.,930004;100;That show was made for the children and the kids loved it very much.
63,A family portrait,20201047;5,,,,930003;100;Their dad was too busy to make the booking and this picture meant a lot to them. They all thanked you.
64,Abstract,20201047;10,,,,930006;50;Your painting was too "abstract" to be recognized.|930001;50;Children liked your painting and called many other kids to admire it.
65,Realism,20201047;5,,,,930003;50;You were talented and the kids took your painting back home.|930005;50;You didn't finish it before sunset so the children returned home with a sad face.
66,Comics,20201047;10,,,931004;The kids began to imitate characters in your comic and they were thrilled.,930004;50;The kids began to imitate characters in your comic and they were thrilled.|930005;50;The sketch was weird and ugly; which scared the kids and made them cry.
67,A balloon filled with air,20201047;20,,,,930007;50;It was easy to make and the kids were very happy.|930007;50;The balloons didn't float; so the kids were upset.
68,A hydrogen balloon,20201046;40,,,,930003;100;The security staff took all of the balloons since hydrogen is hazardous.
69,A helium balloon,20201046;40,,,,930004;100;Helium is not flammable and the helium balloons can float. The kids were very happy.
70,A giant plush toy,20201046;100,,,,930003;50;The boy was carrying a doll that is much bigger than he was; it was adorable.|930006;50;This was his first pal. You never expected this doll to make him feel so loved.
71,A wind chime,20201047;5,,,,930003;50;This kid was naughty and kept hitting the wind chimes. You were annoyed and took them away.|930004;50;The kid tapped the wind chime and enjoyed the sound very much.
72,A third-order Rubik's Cube,20201047;20,,,,930006;100;He took it and solved it in less than a minute.
73,A birthday cake,20201048;3,,,,930008;50;If Christmas and your birthday fall on the same day; celebrate them both and double the happiness.|930006;50;A cake wasn't quite enough for her. She left you with a sad face.
74,A nice dress,20201046;40,,,931004;You told the kid that it was her birthday gift and later there will be a Christmas gift. So she ran home with a smile.,930004;100;You told the kid that it was her birthday gift and later there will be a Christmas gift. So she ran home with a smile.
75,An Encyclopaedia,20201047;10,,,,930004;100;You told her that knowledge is everything. She was speechless.
76,Tell him it will happen soon,20201046;100,,,931006;He believed you and felt better now.,930006;50;He believed you and felt better now.|930004;50;"How soon?" he asked. "The near future;" you answered.
77,Take him to visit his mother,20201047;5,,,,930001;100;You found she had a common cold; so you told the kid that his wish would be realized soon.
78,Give him a flower basket,20201047;20,,,,930006;100;The kids accepted your flowers; thanked you and went home with a sad face.
79,A kitten,20201046;40,,,931004;The little girl smiled as she hugged the kitty you gave her.,930004;50;The little girl smiled as she hugged the kitty you gave her.|930003;50;She was allergic to cat hair and sneezed wildly.
80,A puppy,20201047;20,,,,930007;50;She couldn't take care of the puppy so she declined your gift.|930005;50;The puppy was excited to see his new friend.
81,A rabbit,20201046;40,,,,930002;100;She carried it home; but its poop stank up the entire house.
82,Accept his request,20201048;3,,,931006;He asked for your help so he could cook dinner for his ill grandma. You decided to stay and give him a hand.,930006;100;He asked for your help so he could cook dinner for his ill grandma. You decided to stay and give him a hand.|930006;50;He only wanted you to buy him chocolates; so you sent him home. The kid cried for a day.
83,Buy him a doll,20201047;5,,,,930003;100;The kid grabbed the doll; rolled his eyes at you and smiled joyfully.
84,Ignore him and leave,20201047;5,,,,930002;50;The kid continued pestering you and followed you home. You felt exhausted.|930003;50;The kid continued pestering you until you bought him a lollipop at the candy store. The kid got his lollipop and ran home.
85,Build a snowman,20201046;100,,,931005;You built a snowman together and enjoyed the moment very much.,930005;50;You built a snowman together and enjoyed the moment very much.|930003;50;A few kids pushed you down and turned you into a snowman.
86,Join them in a snowball fight,20201046;40,,,,930004;50;You were defeated shortly and covered with snow.|930002;50;You guys had a great time and spent a happy Christmas together.
87,Tell them stories about Top War heroes,20201047;10,,,,930005;100;You told them stories for an hour; and everyone caught a cold.
88,A shining light ball,20201047;5,,,,930003;100;One night; he placed the light ball in his parents' room as a surprise. But his parents didn't appreciate it and grounded him.
89,A telephone number,20201048;3,,,931007;The number belonged to his father; a serviceman who separated from his family years ago. They had a nice chat.,930007;50;The number belonged to his father; a serviceman who separated from his family years ago. They had a nice chat.|930006;50;He mistook this number for a girl's; but it was actually a food delivery service.
90,A mini Christmas tree,20201046;40,,,,930004;50;He gave this tree to his girlfriend and she was very happy.|930002;50;"That's a scam!!" he said.
91,Tell him to ask what the children want first,20201048;10,,,931009;He listened to you and made all children happy on his planet.,930009;100;He listened to you and made all children happy on his planet.
92,Think about a suggestion that can destroy the other planet,,,1800,,930002;100;"Money; of course." He sent out too much money and caused economic collapse on his planet.
93,Give him a balloon and a pump,20201048;10,,,931009;The balloon got bigger and eventually burst. So did his wishes.,930009;100;The balloon got bigger and eventually burst. So did his wishes.
94,Keep asking him for the next wish,,,1800,,930002;100;The kid asked you for another 3 wishes; then another 3... You kept counting his wishes for a day.
95,Tell his parents he's spending too much time on games,,,1800,,930002;100;The kid's wish touched his parents but somehow the kid got grounded for a week.
96,Tell the producer,20201048;10,,,931009;The kid's wish touched his parents but somehow the kid got grounded for a week.,930009;100;The kid's wish touched the producer but somehow the kid got muted for a week.
100,Be a gentleman,20201047;10,,,,930003;60;"Can't steal a bounty from my old friend." Preycis left there. Later; Rockfield foreclosed on his house because he couldn't pay off the debt.|930005;40;"Can't steal a bounty from my old friend." Preycis said and helped Bell. He got half of the bounty.
101,Take the advantage,20201046;100,,,,930003;50;Preycis appeared as Bell was about to arrest the target and tried to take the target away from her. They got into a fight and the trarget ran away.|930005;50;Preycis appeared as Bell was about to arrest the target and took the target away from her. He stole the bounty from Bell.
102,Observe the situation,20201046;40,,,,930004;50;Preycis appeared as Bell was about to arrest the target and took the target away from her. He stole the bounty from Bell.|930001;50;Preycis waited for a long time but couldn't find a good time. Bell arrested the target and left.
103,Fight to the death,20201047;20,,,,930005;50;The squad battled valiantly against the Dark Legion. In the end; the "Raven" squad sacrificed themselves to destroy the enemy.|930007;50;The squad battled valiantly against the Dark Legion. In the end; the "Raven" squad defeat the enemy and brought back intelligence.
104,Retreat,20201046;40,,,,930006;50;The "raven" squad escaped from there.|930001;50;There were too many enemies and the "Raven" members were annihilated one by one.
105,Keep moving forward,20201046;40,,,,930001;50;The "raven" squad headed into the enemy's base to gather more information but they were eliminated by the enemy.|930005;50;A few members were killed while searching the enemy's base for information.
106,Return to the village,20201047;5,,,,930003;50;The Dark Legion invaded the village and she fought back. But the temple was plundered by the Dark Forces.|930004;50;The Dark Legion invaded the village and she defended the village.
107,Stay in the temple,20201047;10,,,,930003;50;The Dark Legion aimed to take the relics. When Aya returned to the village; the Dark Forces had already destroyed everything.|930006;50;The Dark Legion aimed to take the relics. Aya fought back on her own but was unable to defeat the enemy. Soon the villagers came to help and protect the temple.
108,Run away with the relics,20201046;40,,,,930002;60;Aya took the relics and hid in the bushes. The enemy began to drop fire bombs into the forest and Aya was unable to escape.|930004;40;Aya took the relics and hid in the bushes. The enemy began to drop fire bombs into the forest. Aya was saved by the Freedom League but the relics were gone.
109,Dig towards the voice,20201046;100,,,931006;Amalia dug for a while and uncovered a weird book. She created a potion that would enhance the abilities of soldiers.,930006;50;Amalia dug for a while and uncovered a weird book. She created a potion that would enhance the abilities of soldiers.|930003;50;Amalia dug for a while and found the Dark Legion's secret base but she was discovered by the enemy as well.
110,Ignore it,20201046;40,,,,930004;50;Amalia thought it was a hallucination and decided to take a break from work.|930001;50;The voices became louder and louder in Amalia's head; giving her mental issues.
111,Talk to someone,20201046;40,,,,930001;50;Colleagues thought that Amalia had a scary hallucination and shunned her.|930004;50;Colleagues thought that Amalia had a hallucination and suggested she take a long vacation
112,Assult the supply vessel,20201047;20,,,931008;He cut off the Dark Legion's naval supply line and helped the Freedom League conquer Verdan Heights.,930008;35;He cut off the Dark Legion's naval supply line and helped the Freedom League conquer Verdan Heights.|930001;65;The Dark Legion expanded its supply network and the operation has failed.
113,Assult the marine corps base,20201047;5,,,,930003;50;The tense war situations on the front line lead to a deserted enemy's Base. The Dark Legion fought for two days without leaders and were finally vanquished.|930004;50;Attacking naval bases was difficult. It dawned on Nimitz that he couldn't instantly take the base down; so he changed his tactics.
114,Assult the major force,20201046;40,,,,930005;60;After a successful surprise strike; the Dark Legion's core forces were severely damaged.|930001;40;The Dark Force was overwhelming and the squad suffered a significant loss.
115,Investigate the area,20201046;100,,,931005;Tian Mu saw the Dark Legion's fleet was about to attack. He reported to headquarters and led a small team to disrupt the enemy's fighters and defend the headquarters. That was the "Night Fall" campaign.,930005;100;Tian Mu saw the Dark Legion's fleet was about to attack. He reported to headquarters and led a small team to disrupt the enemy's fighters and defend the headquarters. That was the "Night Fall" campaign.
116,Continue to patrol,20201047;10,,,,930004;100;Tian Mu decided to keep patrolling since the radar showed nothing. The enemy's stealth fighter was brutal. The Dark Legion's fleet broke through the Freedom League's air defense barrier; inflicting serious damage.
117,Call for backup,20201046;40,,,,930004;50;Tian Mu discovered a Dark Air Force stealth jet approaching the HQ. The Freedom League deployed their entire Air Force to avoid greater losses.|930001;50;The squad was forced to battle alone as the supporting force was attacked.
118,Remain silent,20201047;10,,,,930006;50;Alex did not betray the League even under extreme torture. He was saved by Natasha and Sid in the end.|930003;50;The Dark Legion murdered him since he couldn't provide any relevant information.
119,Make a sacrifice,20201047;5,,,,930003;100;His dignity prohibited him from being humiliated by the enemy; Alex bravely took his own life. Later; his younger brother; Sid; organized troops to take revenge.
120,Spread false messages,20201047;5,,,931004;As the Dark Legion proceeded to investigate Alex's fake report; they were ambushed by the Freedom League. Alex was saved by Natasha and Sid in the end.,930004;100;As the Dark Legion proceeded to investigate Alex's fake report; they were ambushed by the Freedom League. Alex was saved by Natasha and Sid in the end.
121,Retreat,20201046;40,,,,930004;50;Ganso retreated. The Dark Forces halted their assault and pursued Ganso; now he's in trouble again.|930001;50;The escape path was also guarded by the dark navy; which put Ganso in a dangerous position.
122,Fight to the death,20201048;2,,,931007;Ganso's fleet remained in place. The Dark Forces had to retreat after realizing that they couldn't take control of the area. This victory earned Ganso the title "Blue Fortress.",930007;50;Ganso's fleet remained in place. The Dark Forces had to retreat after realizing that they couldn't take control of the area. This victory earned Ganso the title "Blue Fortress."|930005;50;With the terrain advantages; Ganso was able to destroy the incoming dark fleet.
123,Seek for support from allies,20201046;40,,,,930003;50;Nimitz dispatched his soldiers and they defeated the enemy.|930001;50;The ally was also attacked by the Dark Navy and they were unable to rescue Ganso.
124,Open fire,20201047;5,,,,930003;50;It didn't work out well since most of the shells were intercepted by defensive systems.|930004;50;Although missiles were intercepted by the defense systems; the attack was successful.
125,Coordinate with the Marines,20201047;5,,,931003;The Marines paralyzed their air defense system and burst past their defenses; crashing the enemy.,930003;100;The Marines paralyzed their air defense system and burst past their defenses; crashing the enemy.
126,Coordinate with the Air Force,20201048;3,,,,930005;50;The extensive defense systems made it impossible to break through and the mission was a failure.|930009;50;The speed of Skylark enabled it to break past the Dark Legion's defense systems and cause massive damage.
127,Dark Legion,20201047;5,,,,930004;50;The Dark Legion has been repeatedly breaking their contract with Fahed; resulting in significant financial losses.|930003;50;It was insane to do business with the Dark Legion. Soon; the Dark Legion invaded Fahed's hometown.
128,Freedom League,20201046;40,,,,930003;100;The Dark Legion was irritated by their deal. Fahed joined the Freedom League for his own safety.
129,Other forces,20201047;10,,,931005;Fahed acquired a fortune from the oil resources,930005;30;Fahed acquired a fortune from the oil resources|930003;70;The Dark Legion attacked Farhad's hometown; plundering all the oil resources.
130,Open fire,20201046;40,,,,930001;50;The loud gunshot pierced the air and the operation failed.|930003;50;The shots could not be heard because of the storm. The patrol squad was terminated.
131,Fight like a boxer,20201047;10,,,931005;Rambo's assassin skills and physical talents eventually eliminated the patrol force.,930005;30;Rambo's assassin skills and physical talents eventually eliminated the patrol force.|930004;70;The operation failed because some Dark Legion soldiers pretended to be dead and called for backup.
132,Call for backup,20201046;40,,,,930001;100;The support forces caught the patrol team's attention and gave Rambo some extra time.
133,Approach her,20201048;3,,,931007;Florence wasn't able to react and fell to the ground.,930007;100;Florence wasn't able to react and fell to the ground.
134,Aim for the calf,20201047;10,,,,930004;100;Florence stepped back and dodged the attack.
135,Aim for the face,20201047;10,,,,930005;50;The rapid punch knocked Florence back a few steps.|930003;50;Florence lowered her head to avoid the hit.
136,Fight back,20201046;40,,,,930003;100;Even Katrina; the Queen of the Ocean lost to the Dark Navy's main force.
137,Try to get rid of them,20201046;40,,,,930004;50;After abandoning the large ship; Katrina utilized the coral reef landscape to get rid of the massive fleet behind her.|930001;50;Katrina tried hard but failed to get rid of the naval fleet behind her.
138,Defeat them one by one,20201048;3,,,931008;While evading the attack of the navy fleet; Katrina infiltrated the enemy's weakest point.,930008;50;While evading the attack of the navy fleet; Katrina infiltrated the enemy's weakest point.|930005;50;Katrina infiltrated the enemy's weakest point. But there were too many of them; so she was caught.
139,Warned the team,20201046;40,,,,930001;50;The deafening gunfire covered Kuruzo's voice and the troop was almost wiped out.|930004;50;Hearing this; his fellows all fell down to evade the attack.
140,Laid down,20201046;40,,,,930002;100;Kuruzo laid down and the other soldiers followed. Just a few soldiers were severely wounded.
141,Took cover in a trench,20201048;2,,,931007;Kuruzo signaled to his colleagues and got the squad into the trenches. The bombings left the squad with few injuries.,930007;100;Kuruzo signaled to his colleagues and got the squad into the trenches. The bombings left the squad with few injuries.
142,Assassinate him,20201047;5,,,931005;Katyusha snuck inside the stronghold and "took care of the target".,930005;40;Katyusha snuck inside the stronghold and "took care of the target".|930001;60;Katyusha snuck inside the stronghold but failed to discover the target.
143,Attack the base with a missile,20201046;50,,,,930005;30;After the explosions; the Dark Legion's stronghold was almost destroyed.|930003;70;The shell failed to pass through the enemy's defenses.
144,Invade the permises with a squad,20201046;50,,,,930002;50;The squad got rid of all the troops but missed the target.|930004;50;The squad got rid of all the troops and found the target.
145,Use Odinium weapons,20201046;40,,,,930004;30;With the help of Reichstein; the new missile was successfully developed.|930001;70;The element reacted violently with the missile and the experiment failed.
146,Improve the propeller,20201046;40,,,,930003;50;The missile is faster after refilling the propeller fuel. Even still; the missile was unable to break through the defenses.|930001;50;The project failed and the leaking element severely injured Marie Delhuyar's father.
147,Make graphite bombs,20201046;40,,,931004;Defensive screen was entirely destroyed by the missile.,930004;100;Defensive screen was entirely destroyed by the missile.
148,A Freedom League Officer,20201047;5,,,931005;The officer accepted the interview and expressed his longing for the end of the war.,930005;40;The officer accepted the interview and expressed his longing for the end of the war.|930002;60;The League had to postpone this interview request because of the tense situation on the front lines.
149,A Dark Legion Officer,20201046;40,,,,930001;50;The Dark Legion declined the interview and arrested her for being a spy.|930004;50;The officer accepted the interview. He accused the Freedom League of being deceptive and voiced his desire for the conflict to be over.
150,A Plutocrat,20201046;40,,,,930005;50;Although he stood to benefit financially from the war; he acknowledged that he was eager for its conclusion.|930003;50;"Sure; he will be available in five years;" the assistant answered.
151,Observe it,20201048;3,,,931008;Chloe discovered the weakness via the lens in her right eye and defeated it.,930008;100;Chloe discovered the weakness via the lens in her right eye and defeated it.
152,Attack it,20201047;5,,,,930003;50;The attack was reckless and resulted in significant fatalities.|930002;50;The powerful World Boss wiped out the incoming naval squad
153,Retreat,20201047;5,,,,930004;50;Chloe withdrew as she recognized the enemy's power.|930001;50;A member of the team awoke the World Boss; resulting in the death of more than half of the squad.
154,Functionality,20201046;40,,,,930001;50;The new fighter was equipped with a stealth mode.|930003;50;The new fighter was equipped with a shield.
155,Mobility,20201046;100,,,931005;The new fighters; at Nadia's request; put more attention to speed and agility. Later; this type of fighter was known as the "Skylark".,930005;100;The new fighters; at Nadia's request; put more attention to speed and agility. Later; this type of fighter was known as the "Skylark".
156,Firepower,20201046;40,,,,930001;50;It's flying capability was seriously affected by the amount of missiles and the project came to a dead end.|930004;50;With Scaramanga's assistance the element was successfully integrated into the fighter. The League later named it Giallar G-10
157,Bomb the area,20201047;10,,,,930006;50;The hostages and the Dark Forces were wiped out by the massive bombing. He got the title; 'Butcher of the Air'.|930003;50;Harris wiped out the Dark Force with the carpet bombing. Fortunately; the hostages escaped.
158,Negotiate an agreement,20201046;100,,,,930004;50;No agreement could be reached since the Dark Legion's demands were unacceptable.|930004;50;The terms were not favourable; however Harris had to accept them for the safety of the hostages.
159,Send a team to sneak in,20201047;5,,,,930006;20;The squad slipped in at night and freed the hostages.|930001;80;The Dark forces were disguised as the hostages and attacked the squad. The squad was eliminated.
160,Installed a tracker on an enemy's vehicle,20201046;100,,,,930003;50;The Dark Empire's location remains unknown.|930005;50;The Dark Empire's location remains unknown but he managed to find some fortresses.
161,Dispatched agents,20201047;10,,,,930004;50;The agents' reports were worthless since even inside the Dark Legion; few know where the Dark Empire is located.|930005;50;Hertz got the information he was looking for from the agent.
162,Used electromagnetic devices to detect the location,20201048;3,,,931008;He discovered the Dark Empire's location.,930008;100;He discovered the Dark Empire's location.
163,Made a false start,20201048;3,,,,930007;100;The opponents were too fast and he lost the game.
164,Shot the opponent's leg with the starting pistol,20201046;40,,,,930002;100;Bassel missed the target and lost the game.
165,Bribed the two referees standing by the finish line,20201046;40,,,931004;The referees moved the finish line towards him and made him the winner.,930004;50;The referees moved the finish line towards him and made him the winner.|930001;50;The opponents passed the finish line while the two referees hesitated. Bassel lost the game.
166,Accepted it,20201046;100,,,931005;She successfully passed the Test and became an Air Force pilot,930005;40;She successfully passed the Test and became an Air Force pilot|930001;60;She couldn't pass the practical flight Test and the Freedom League lost a talented pilot.
167,Asked about the salary,20201047;5,,,,930003;100;The incentives were impossible to resist.
168,Declined it,20201047;10,,,,930004;100;Skating is Selina's passion. She has an independent spirit and despises rules and regulations.
169,Charm him,20201046;100,,,931006;It's impossible to resist Merida's charm. Merida managed to get the secret.,930006;30;It's impossible to resist Merida's charm. Merida managed to get the secret.|930003;70;Mere beauty is not enough for him to disclose information.
170,Threaten him,20201046;40,,,,930001;50;Threats failed and Merida exposed her identify.|930004;50;Merida managed to make him spill the beans.
171,Follow him,20201046;40,,,,930003;100;Merida followed him to his office but couldn't find any useful information.
172,Stand their ground,20201047;10,,,931006;Thanks to his "Fortified Armor"; Bradley survived until reinforcements arrived. For his outstanding performance; he was honored as the "Battlefield Fortress",930006;30;Thanks to his "Fortified Armor"; Bradley survived until reinforcements arrived. For his outstanding performance; he was honored as the "Battlefield Fortress"|930001;70;Bradley wasn't able to survive the Dark Legion's attack.
173,Retreat,20201047;5,,,,930004;100;Eventually; Bradley decided to give up the high ground and withdraw.
174,Attack,20201046;40,,,,930001;100;They had no chance against the Dark Legion and as a result they were defeated.
175,Performed intense training,20201046;100,,,,930003;65;The officers were taken to the hospital because of the intense training.|930006;35;They made remarkable improvement with intense training.
176,Performed regular training,20201046;40,,,931003;The officers have benefited greatly from training.,930003;100;The officers have benefited greatly from training.
177,Skipped the training,20201046;40,,,,930003;100;The training wasn't beneficial at all.
178,Set traps,20201047;10,,,,930006;55;Diana's trap made the Dark Army miserable and forced them to march slower.|930001;45;Diana's trap was easily discovered by them.
179,Hide in bushes,20201048;2,,,931007;Diana was able to eliminate this threat with ease.,930007;50;Diana was able to eliminate this threat with ease.|930006;50;They boosted their defenses; making it tough for Diana to assault them.
180,Leave them alone,20201046;100,,,,930004;100;Due to time constraints; Diana reported the location and left.
181,Ignore it,20201046;100,,,,930005;100;She left this area as soon as she gathered the information needed.
