id,name,desc,image,reward,season_reward,buff,line,begin_time,last_time,building_desc,season_id
11,Lv.1 Gate,The occupied Alliances may go to the second area. When it is opened; commanders may compete for it. The first Alliance that takes it over will get the following rewards,icon_ECProgressShowPanel9,0,2800010,,2,518400,0,The Dark legion established these Gates between the areas; and there are residual troops guarding it. Only by conquering the Gate can you pass between the two adjacent areas.,0
12,Entering the Eternal Land,The second area in the Eternal Land; where commanders from adjacent Warzones may encounter each other; and battles may occur,icon_ECProgressShowPanel1,0,2800011,,3,518400,345600,,0
13,Special Resource Area,Taking over the Mine and gathering resources may earn Gems. Gathering and defeating Dark Forces may gain you more points here.,icon_ECProgressShowPanel10,0,2800012,,3,518400,0,The Eternal Land has 10 Special Resource Areas; which will be opened based on the progress of the Eternal Land. The Special Resource Area will refresh Dark Forces and resource regularly. When the area is opened; Amethyst can be collected in this area.,0
14,Earthshaker Ark,The Earthshaker Ark conTest has begun. Members of the winning Alliance will get rewards.,icon_ECProgressShowPanel17,,,,3,540000,,,0
15,Military Base,Taking over the buildings will gain you Alliance points and Warzone points. You'll also get item rewards for the first time you take over the buildings. Hold it for attribute bonuses.,icon_ECProgressShowPanel11,0,2800013,1101042;400,3,691200,0,The military base of the Dark Legion; long-term military training and battle has made this base easy to defend and difficult to attack. It also has great power,0
16,Military Fortress,Taking over the buildings will gain you Alliance points and Warzone points. You'll also get item rewards for the first time you take over the buildings. Hold it for attribute bonuses.,icon_ECProgressShowPanel12,0,2800014,930000;1000,3,777600,0,Military Fortress surrounded by 4 Military Bases; heavily guarded here; and supported by the most advanced science and technology of the Dark Legion. If you want to enter the deeper area of the Eternal Land; this fortress will be the difficulty we have to face.,0
17,Lv.2 Gate,The occupied Alliances may go to the third area. When it is opened; commanders may compete for it. The first Alliance that takes it over will get the following rewards,icon_ECProgressShowPanel9,0,2800015,,2,864000,0,The Dark legion established these Gates between the areas; and there are residual troops guarding it. Only by conquering the Gate can you pass between the two adjacent areas.,0
18,Deep into the Eternal Land,The third area in the Eternal Land; where commanders from four adjacent Warzones may encounter each other,icon_ECProgressShowPanel1,0,2800016,,2,864000,259200,,0
19,Special Resource Area,Taking over the Mine and gathering resources may earn Gems. Gathering and defeating Dark Forces may gain you more points here.,icon_ECProgressShowPanel10,0,2800017,,2,864000,0,The Eternal Land has 10 Special Resource Areas; which will be opened based on the progress of the Eternal Land. The Special Resource Area will refresh Dark Forces and resource regularly. When the area is opened; Amethyst can be collected in this area.,0
20,Flint Ark,The Flint Ark conTest has begun. Members of the winning Alliance will get rewards.,icon_ECProgressShowPanel18,,,,2,885600,,,0
21,Research Facility,Taking over the buildings will gain you Alliance points and Warzone points. You'll also get item rewards for the first time you take over the buildings. Hold it for attribute bonuses.,icon_ECProgressShowPanel13,0,2800018,970001;1000|1101018;1000|980204;500,2,1036800,0,The secret research institute of the Dark Legion; all evil research and powerful weapons are born from here. These soldiers are bathed in dark experiments all year round; and they are extremely powerful. Destroying and conquering these research institutes will be our full victory against the Dark Legion.,0
22,Lv.3 Gate,The occupied Alliances may go to the center of the Eternal Land and compete for the Eternal City. The first Alliance that takes it over will get the following rewards,icon_ECProgressShowPanel9,0,2800019,,2,1123200,0,The Dark legion established these Gates between the areas; and there are residual troops guarding it. Only by conquering the Gate can you pass between the two adjacent areas.,0
23,Special Resource Area,Taking over the Mine and gathering resources may earn Gems. Gathering and defeating Dark Forces may gain you more points here.,icon_ECProgressShowPanel10,0,2800020,,2,1123200,0,The Eternal Land has 10 Special Resource Areas; which will be opened based on the progress of the Eternal Land. The Special Resource Area will refresh Dark Forces and resource regularly. When the area is opened; Amethyst can be collected in this area.,0
24,Battle for the Eternal Land,The central area of the Eternal Land; where commanders from eight Warzones may encounter. You may attack start points of other Warzones.,icon_ECProgressShowPanel1,0,2800021,,2,1123200,432000,,0
25,Molten Ark,The Molten Ark conTest has begun. Members of the winning Alliance will get rewards.,icon_ECProgressShowPanel19,,,,2,1144800,,,0
26,Eternal City,Taking over the buildings will gain you Alliance points and Warzone points. You'll also get item rewards for the first time you take over the buildings. Hold it for attribute bonuses.,icon_ECProgressShowPanel14,0,2800022,1101042;1000|930000;1000,2,1209600,0,The secret information of the Dark Legion shows that this is the most central place in the world. Only the Tyrant is eligible to live in the Eternal City. At the same time; the Dark Legion stationed in the Eternal City is also the most elite force. Anyone who dares to challenge the Eternal City is buried here. The Eternal City provides its owner with eternal power,0
27,Claim Rewards,Commanders may collect rewards for completed tasks. Ranking rewards will be sent as well (below are possible rewards available),icon_ECProgressShowPanel15,0,2800023,,1,1555200,172800,,0
28,Event ends,The commanders will return to their servers; and you'll not be able to claim the unclaimed rewards,icon_ECProgressShowPanel1,0,2800024,,1,1728000,0,,0
