ID,desc,gift_type,item1_min,item1_max,item2_min,item2_max,group,rewardRate
38,通用区间,0,61,80,141,160,1,3;55|4;30|5;10|6;5
39,通用区间,0,61,80,161,180,1,3;55|4;25|5;14|6;6
40,通用区间,0,61,80,181,200,1,3;55|4;25|5;12|6;8
41,通用区间,0,81,100,1,20,1,2;35|3;45|4;15|5;5
42,通用区间,0,81,100,21,40,1,2;35|3;40|4;15|5;10
43,通用区间,0,81,100,41,60,1,2;30|3;40|4;16|5;14
44,通用区间,0,81,100,61,80,1,2;45|3;20|4;15|5;20
45,通用区间,0,81,100,81,100,1,2;15|3;45|4;20|5;20
46,通用区间,0,81,100,101,120,1,3;60|4;27|5;10|6;3
47,通用区间,0,81,100,121,140,1,3;55|4;30|5;10|6;5
48,通用区间,0,81,100,141,160,1,3;55|4;25|5;14|6;6
49,通用区间,0,81,100,161,180,1,3;55|4;25|5;12|6;8
50,通用区间,0,81,100,181,200,1,3;55|4;25|5;10|6;10
51,通用区间,0,101,120,1,20,1,2;35|3;40|4;15|5;10
52,通用区间,0,101,120,21,40,1,2;30|3;40|4;16|5;14
53,通用区间,0,101,120,41,60,1,2;45|3;20|4;15|5;20
54,通用区间,0,101,120,61,80,1,2;15|3;45|4;20|5;20
55,通用区间,0,101,120,81,100,1,3;60|4;27|5;10|6;3
56,通用区间,0,101,120,101,120,1,3;55|4;30|5;10|6;5
57,通用区间,0,101,120,121,140,1,3;55|4;25|5;14|6;6
58,通用区间,0,101,120,141,160,1,3;55|4;25|5;12|6;8
59,通用区间,0,101,120,161,180,1,3;55|4;25|5;10|6;10
60,通用区间,0,101,120,181,200,1,3;50|4;25|5;15|6;10
61,通用区间,0,121,140,1,20,1,2;30|3;40|4;16|5;14
62,通用区间,0,121,140,21,40,1,2;45|3;20|4;15|5;20
63,通用区间,0,121,140,41,60,1,2;15|3;45|4;20|5;20
64,通用区间,0,121,140,61,80,1,3;60|4;27|5;10|6;3
65,通用区间,0,121,140,81,100,1,3;55|4;30|5;10|6;5
66,通用区间,0,121,140,101,120,1,3;55|4;25|5;14|6;6
67,通用区间,0,121,140,121,140,1,3;55|4;25|5;12|6;8
68,通用区间,0,121,140,141,160,1,3;55|4;25|5;10|6;10
69,通用区间,0,121,140,161,180,1,3;50|4;25|5;15|6;10
70,通用区间,0,121,140,181,200,1,3;45|4;25|5;20|6;10
71,通用区间,0,141,160,1,20,1,2;45|3;20|4;15|5;20
72,通用区间,0,141,160,21,40,1,2;15|3;45|4;20|5;20
73,通用区间,0,141,160,41,60,1,3;60|4;27|5;10|6;3
74,通用区间,0,141,160,61,80,1,3;55|4;30|5;10|6;5
75,通用区间,0,141,160,81,100,1,3;55|4;25|5;14|6;6
76,通用区间,0,141,160,101,120,1,3;55|4;25|5;12|6;8
77,通用区间,0,141,160,121,140,1,3;55|4;25|5;10|6;10
78,通用区间,0,141,160,141,160,1,3;50|4;25|5;15|6;10
79,通用区间,0,141,160,161,180,1,3;45|4;25|5;20|6;10
80,通用区间,0,141,160,181,200,1,3;40|4;30|5;20|6;9|7;1
81,通用区间,0,161,180,1,20,1,2;15|3;45|4;20|5;20
82,通用区间,0,161,180,21,40,1,3;60|4;27|5;10|6;3
83,通用区间,0,161,180,41,60,1,3;55|4;30|5;10|6;5
84,通用区间,0,161,180,61,80,1,3;55|4;25|5;14|6;6
85,通用区间,0,161,180,81,100,1,3;55|4;25|5;12|6;8
86,通用区间,0,161,180,101,120,1,3;55|4;25|5;10|6;10
87,通用区间,0,161,180,121,140,1,3;50|4;25|5;15|6;10
88,通用区间,0,161,180,141,160,1,3;45|4;25|5;20|6;10
89,通用区间,0,161,180,161,180,1,3;40|4;30|5;20|6;9|7;1
90,通用区间,0,161,180,181,200,1,3;50|4;20|5;20|6;8|7;2
91,通用区间,0,181,200,1,20,1,3;60|4;27|5;10|6;3
92,通用区间,0,181,200,21,40,1,3;55|4;30|5;10|6;5
93,通用区间,0,181,200,41,60,1,3;55|4;25|5;14|6;6
94,通用区间,0,181,200,61,80,1,3;55|4;25|5;12|6;8
95,通用区间,0,181,200,81,100,1,3;55|4;25|5;10|6;10
96,通用区间,0,181,200,101,120,1,3;50|4;25|5;15|6;10
97,通用区间,0,181,200,121,140,1,3;45|4;25|5;20|6;10
98,通用区间,0,181,200,141,160,1,3;40|4;30|5;20|6;9|7;1
99,通用区间,0,181,200,161,180,1,3;50|4;20|5;20|6;8|7;2
100,通用区间,0,181,200,181,200,1,3;45|4;25|5;20|6;8|7;2
309,春节烟花,1,2,2,1,1,2,31;100
310,入世烟花,1,1,1,6,6,2,32;100
311,穿越的烟花,1,3,3,31,31,2,33;100
312,英雄烟花,1,15,15,15,15,2,34;100
313,城市烟花,1,12,12,12,12,2,35;100
314,远古爆竹,1,6,6,45,45,2,36;100
315,健身烟花,1,50,50,50,50,2,37;100
316,荣耀烟花,1,100,100,23,23,2,38;100
317,彩虹烟花,1,77,77,77,77,2,39;100
318,无名烟花,1,9,9,140,140,2,40;100
319,恭喜发财烟花,1,88,88,88,88,2,41;100
320,猛兽烟花,1,80,80,80,80,2,42;100
321,锦标赛烟花,1,192,192,6,6,2,43;100
322,宝藏烟花,1,90,90,90,90,2,44;100
323,最强烟花,1,48,48,200,200,2,45;100
324,三色烟花,1,200,200,55,55,2,46;100
325,识别码烟花,1,120,120,120,120,2,47;100
326,机械烟花,1,16,20,16,20,2,25;35|26;40|27;15|28;10|48;100
327,放射性烟花,1,30,35,30,35,2,25;55|26;30|27;10|28;5|49;100
328,砰砰烟花,1,100,104,100,104,2,25;15|26;45|27;20|28;20|50;100
329,超古代烟花,1,150,160,150,160,2,26;60|27;27|28;10|29;3|51;100
330,沙岛烟花,1,181,190,181,190,2,26;40|27;30|28;20|29;9|30;1|52;100
201,通用区间,0,1,20,1,20,2,24;100
202,通用区间,0,1,20,21,40,2,24;20|25;60|26;20
203,通用区间,0,1,20,41,60,2,25;60|26;30|27;10
204,通用区间,0,1,20,61,80,2,25;40|26;40|27;20
205,通用区间,0,1,20,81,100,2,25;35|26;35|27;25|28;5
206,通用区间,0,1,20,101,120,2,25;35|26;30|27;25|28;10
207,通用区间,0,1,20,121,140,2,25;20|26;30|27;36|28;14
208,通用区间,0,1,20,141,160,2,25;20|26;30|27;30|28;20
209,通用区间,0,1,20,161,180,2,25;10|26;30|27;40|28;20
210,通用区间,0,1,20,181,200,2,26;50|27;37|28;10|29;3
211,通用区间,0,21,40,1,20,2,24;20|25;60|26;20
212,通用区间,0,21,40,21,40,2,25;60|26;30|27;10
213,通用区间,0,21,40,41,60,2,25;40|26;40|27;20
214,通用区间,0,21,40,61,80,2,25;35|26;35|27;25|28;5
215,通用区间,0,21,40,81,100,2,25;35|26;30|27;25|28;10
216,通用区间,0,21,40,101,120,2,25;20|26;30|27;36|28;14
217,通用区间,0,21,40,121,140,2,25;20|26;30|27;30|28;20
218,通用区间,0,21,40,141,160,2,25;10|26;30|27;40|28;20
219,通用区间,0,21,40,161,180,2,26;50|27;37|28;10|29;3
220,通用区间,0,21,40,181,200,2,26;55|27;30|28;10|29;5
221,通用区间,0,41,60,1,20,2,25;60|26;30|27;10
222,通用区间,0,41,60,21,40,2,25;40|26;40|27;20
223,通用区间,0,41,60,41,60,2,25;35|26;35|27;25|28;5
224,通用区间,0,41,60,61,80,2,25;35|26;30|27;25|28;10
225,通用区间,0,41,60,81,100,2,25;20|26;30|27;36|28;14
226,通用区间,0,41,60,101,120,2,25;20|26;30|27;30|28;20
227,通用区间,0,41,60,121,140,2,25;10|26;30|27;40|28;20
228,通用区间,0,41,60,141,160,2,26;50|27;37|28;10|29;3
229,通用区间,0,41,60,161,180,2,26;55|27;30|28;10|29;5
230,通用区间,0,41,60,181,200,2,26;55|27;25|28;14|29;6
231,通用区间,0,61,80,1,20,2,25;40|26;40|27;20
232,通用区间,0,61,80,21,40,2,25;35|26;35|27;25|28;5
233,通用区间,0,61,80,41,60,2,25;35|26;30|27;25|28;10
234,通用区间,0,61,80,61,80,2,25;20|26;30|27;36|28;14
235,通用区间,0,61,80,81,100,2,25;20|26;30|27;30|28;20
236,通用区间,0,61,80,101,120,2,25;10|26;30|27;40|28;20
237,通用区间,0,61,80,121,140,2,26;50|27;37|28;10|29;3
238,通用区间,0,61,80,141,160,2,26;55|27;30|28;10|29;5
239,通用区间,0,61,80,161,180,2,26;55|27;25|28;14|29;6
240,通用区间,0,61,80,181,200,2,26;55|27;25|28;12|29;8
241,通用区间,0,81,100,1,20,2,25;35|26;35|27;25|28;5
242,通用区间,0,81,100,21,40,2,25;35|26;30|27;25|28;10
243,通用区间,0,81,100,41,60,2,25;20|26;30|27;36|28;14
244,通用区间,0,81,100,61,80,2,25;20|26;30|27;30|28;20
245,通用区间,0,81,100,81,100,2,25;10|26;30|27;40|28;20
246,通用区间,0,81,100,101,120,2,26;50|27;37|28;10|29;3
247,通用区间,0,81,100,121,140,2,26;55|27;30|28;10|29;5
248,通用区间,0,81,100,141,160,2,26;55|27;25|28;14|29;6
249,通用区间,0,81,100,161,180,2,26;55|27;25|28;12|29;8
250,通用区间,0,81,100,181,200,2,26;55|27;25|28;10|29;10
251,通用区间,0,101,120,1,20,2,25;35|26;30|27;25|28;10
252,通用区间,0,101,120,21,40,2,25;20|26;30|27;36|28;14
253,通用区间,0,101,120,41,60,2,25;20|26;30|27;30|28;20
254,通用区间,0,101,120,61,80,2,25;10|26;30|27;40|28;20
255,通用区间,0,101,120,81,100,2,26;50|27;37|28;10|29;3
256,通用区间,0,101,120,101,120,2,26;55|27;30|28;10|29;5
257,通用区间,0,101,120,121,140,2,26;55|27;25|28;14|29;6
258,通用区间,0,101,120,141,160,2,26;55|27;25|28;12|29;8
259,通用区间,0,101,120,161,180,2,26;55|27;25|28;10|29;10
260,通用区间,0,101,120,181,200,2,26;50|27;25|28;15|29;10
261,通用区间,0,121,140,1,20,2,25;20|26;30|27;36|28;14
262,通用区间,0,121,140,21,40,2,25;20|26;30|27;30|28;20
263,通用区间,0,121,140,41,60,2,25;10|26;30|27;40|28;20
264,通用区间,0,121,140,61,80,2,26;50|27;37|28;10|29;3
265,通用区间,0,121,140,81,100,2,26;55|27;30|28;10|29;5
266,通用区间,0,121,140,101,120,2,26;55|27;25|28;14|29;6
267,通用区间,0,121,140,121,140,2,26;55|27;25|28;12|29;8
268,通用区间,0,121,140,141,160,2,26;55|27;25|28;10|29;10
269,通用区间,0,121,140,161,180,2,26;50|27;25|28;15|29;10
270,通用区间,0,121,140,181,200,2,26;45|27;25|28;20|29;10
271,通用区间,0,141,160,1,20,2,25;20|26;30|27;30|28;20
272,通用区间,0,141,160,21,40,2,25;10|26;30|27;40|28;20
273,通用区间,0,141,160,41,60,2,26;50|27;37|28;10|29;3
274,通用区间,0,141,160,61,80,2,26;55|27;30|28;10|29;5
275,通用区间,0,141,160,81,100,2,26;55|27;25|28;14|29;6
276,通用区间,0,141,160,101,120,2,26;55|27;25|28;12|29;8
277,通用区间,0,141,160,121,140,2,26;55|27;25|28;10|29;10
278,通用区间,0,141,160,141,160,2,26;50|27;25|28;15|29;10
279,通用区间,0,141,160,161,180,2,26;45|27;25|28;20|29;10
280,通用区间,0,141,160,181,200,2,26;40|27;30|28;20|29;9|30;1
281,通用区间,0,161,180,1,20,2,25;10|26;30|27;40|28;20
282,通用区间,0,161,180,21,40,2,26;50|27;37|28;10|29;3
283,通用区间,0,161,180,41,60,2,26;55|27;30|28;10|29;5
284,通用区间,0,161,180,61,80,2,26;55|27;25|28;14|29;6
285,通用区间,0,161,180,81,100,2,26;55|27;25|28;12|29;8
286,通用区间,0,161,180,101,120,2,26;55|27;25|28;10|29;10
287,通用区间,0,161,180,121,140,2,26;50|27;25|28;15|29;10
288,通用区间,0,161,180,141,160,2,26;45|27;25|28;20|29;10
289,通用区间,0,161,180,161,180,2,26;40|27;30|28;20|29;9|30;1
290,通用区间,0,161,180,181,200,2,26;50|27;20|28;20|29;8|30;2
291,通用区间,0,181,200,1,20,2,26;50|27;37|28;10|29;3
292,通用区间,0,181,200,21,40,2,26;55|27;30|28;10|29;5
293,通用区间,0,181,200,41,60,2,26;55|27;25|28;14|29;6
294,通用区间,0,181,200,61,80,2,26;55|27;25|28;12|29;8
295,通用区间,0,181,200,81,100,2,26;55|27;25|28;10|29;10
296,通用区间,0,181,200,101,120,2,26;50|27;25|28;15|29;10
297,通用区间,0,181,200,121,140,2,26;45|27;25|28;20|29;10
298,通用区间,0,181,200,141,160,2,26;40|27;30|28;20|29;9|30;1
299,通用区间,0,181,200,161,180,2,26;50|27;20|28;20|29;8|30;2
300,通用区间,0,181,200,181,200,2,26;45|27;25|28;20|29;8|30;2
509,巧克力甜甜圈,1,72,72,82,82,3,131;100
510,玫瑰甜点,1,40,40,50,50,3,132;100
511,巨无霸甜点,1,110,110,110,110,3,133;100
512,沙岛甜品,1,50,50,50,50,3,134;100
513,健身甜品,1,100,100,200,200,3,135;100
514,斯魔格甜品,1,180,180,50,50,3,136;100
515,部落甜品,1,30,30,30,30,3,137;100
516,营养甜品,1,70,70,70,70,3,138;100
517,爱心甜品,1,150,150,150,150,3,139;100
518,黄金甜品,1,180,180,180,180,3,140;100
519,机械甜品,1,50,50,5,5,3,141;100
520,元气甜品,1,88,88,88,88,3,142;100
521,无名甜品,1,9,9,140,140,3,143;100
522,彩虹甜品,1,77,77,77,77,3,144;100
523,便携甜品,1,1,1,1,1,3,145;100
524,豪华甜品,1,200,200,200,200,3,146;100
525,祈福甜品,1,32,32,32,32,3,147;100
526,水果甜品,1,20,25,40,45,3,125;40|126;43|127;17|148;100
527,开胃甜品,1,90,95,90,95,3,126;50|127;38|128;10|129;4|149;100
528,街头甜品,1,17,19,17,19,3,124;20|125;62|126;18|150;100
529,雷神元素冷饮,1,140,149,140,149,3,126;50|127;25|128;13|129;12|151;100
530,绿竹甜品,1,171,179,171,179,3,126;42|127;38|128;10|129;9|130;1|152;100
401,通用区间,0,1,20,1,20,3,124;100
402,通用区间,0,1,20,21,40,3,124;20|125;62|126;18
403,通用区间,0,1,20,41,60,3,125;60|126;33|127;7
404,通用区间,0,1,20,61,80,3,125;40|126;43|127;17
405,通用区间,0,1,20,81,100,3,125;35|126;35|127;29|128;2
406,通用区间,0,1,20,101,120,3,125;35|126;30|127;23|128;12
407,通用区间,0,1,20,121,140,3,125;20|126;30|127;42|128;10
408,通用区间,0,1,20,141,160,3,125;20|126;30|127;29|128;22
409,通用区间,0,1,20,161,180,3,125;8|126;30|127;40|128;24
410,通用区间,0,1,20,181,200,3,126;50|127;38|128;10|129;4
411,通用区间,0,21,40,1,20,3,124;20|125;62|126;18
412,通用区间,0,21,40,21,40,3,125;60|126;33|127;7
413,通用区间,0,21,40,41,60,3,125;40|126;43|127;17
414,通用区间,0,21,40,61,80,3,125;35|126;35|127;29|128;2
415,通用区间,0,21,40,81,100,3,125;35|126;30|127;23|128;12
416,通用区间,0,21,40,101,120,3,125;20|126;30|127;42|128;10
417,通用区间,0,21,40,121,140,3,125;20|126;30|127;29|128;22
418,通用区间,0,21,40,141,160,3,125;8|126;30|127;40|128;24
419,通用区间,0,21,40,161,180,3,126;50|127;38|128;10|129;4
420,通用区间,0,21,40,181,200,3,126;55|127;30|128;11|129;6
421,通用区间,0,41,60,1,20,3,125;60|126;33|127;7
422,通用区间,0,41,60,21,40,3,125;40|126;43|127;17
423,通用区间,0,41,60,41,60,3,125;35|126;35|127;29|128;2
424,通用区间,0,41,60,61,80,3,125;35|126;30|127;23|128;12
425,通用区间,0,41,60,81,100,3,125;20|126;30|127;42|128;10
426,通用区间,0,41,60,101,120,3,125;20|126;30|127;29|128;22
427,通用区间,0,41,60,121,140,3,125;8|126;30|127;40|128;24
428,通用区间,0,41,60,141,160,3,126;50|127;38|128;10|129;4
429,通用区间,0,41,60,161,180,3,126;55|127;30|128;11|129;6
430,通用区间,0,41,60,181,200,3,126;55|127;25|128;15|129;7
431,通用区间,0,61,80,1,20,3,125;40|126;43|127;17
432,通用区间,0,61,80,21,40,3,125;35|126;35|127;29|128;2
433,通用区间,0,61,80,41,60,3,125;35|126;30|127;23|128;12
434,通用区间,0,61,80,61,80,3,125;20|126;30|127;42|128;10
435,通用区间,0,61,80,81,100,3,125;20|126;30|127;29|128;22
436,通用区间,0,61,80,101,120,3,125;8|126;30|127;40|128;24
437,通用区间,0,61,80,121,140,3,126;50|127;38|128;10|129;4
438,通用区间,0,61,80,141,160,3,126;55|127;30|128;11|129;6
439,通用区间,0,61,80,161,180,3,126;55|127;25|128;15|129;7
440,通用区间,0,61,80,181,200,3,126;54|127;24|128;13|129;9
441,通用区间,0,81,100,1,20,3,125;35|126;35|127;29|128;2
442,通用区间,0,81,100,21,40,3,125;35|126;30|127;23|128;12
443,通用区间,0,81,100,41,60,3,125;20|126;30|127;42|128;10
444,通用区间,0,81,100,61,80,3,125;20|126;30|127;29|128;22
445,通用区间,0,81,100,81,100,3,125;8|126;30|127;40|128;24
446,通用区间,0,81,100,101,120,3,126;50|127;38|128;10|129;4
447,通用区间,0,81,100,121,140,3,126;55|127;30|128;11|129;6
448,通用区间,0,81,100,141,160,3,126;55|127;25|128;15|129;7
449,通用区间,0,81,100,161,180,3,126;54|127;24|128;13|129;9
450,通用区间,0,81,100,181,200,3,126;53|127;26|128;10|129;11
451,通用区间,0,101,120,1,20,3,125;35|126;30|127;23|128;12
452,通用区间,0,101,120,21,40,3,125;20|126;30|127;42|128;10
453,通用区间,0,101,120,41,60,3,125;20|126;30|127;29|128;22
454,通用区间,0,101,120,61,80,3,125;8|126;30|127;40|128;24
455,通用区间,0,101,120,81,100,3,126;50|127;38|128;10|129;4
456,通用区间,0,101,120,101,120,3,126;55|127;30|128;11|129;6
457,通用区间,0,101,120,121,140,3,126;55|127;25|128;15|129;7
458,通用区间,0,101,120,141,160,3,126;54|127;24|128;13|129;9
459,通用区间,0,101,120,161,180,3,126;53|127;26|128;10|129;11
460,通用区间,0,101,120,181,200,3,126;50|127;25|128;13|129;12
461,通用区间,0,121,140,1,20,3,125;20|126;30|127;42|128;10
462,通用区间,0,121,140,21,40,3,125;20|126;30|127;29|128;22
463,通用区间,0,121,140,41,60,3,125;8|126;30|127;40|128;24
464,通用区间,0,121,140,61,80,3,126;50|127;38|128;10|129;4
465,通用区间,0,121,140,81,100,3,126;55|127;30|128;11|129;6
466,通用区间,0,121,140,101,120,3,126;55|127;25|128;15|129;7
467,通用区间,0,121,140,121,140,3,126;54|127;24|128;13|129;9
468,通用区间,0,121,140,141,160,3,126;53|127;26|128;10|129;11
469,通用区间,0,121,140,161,180,3,126;50|127;25|128;13|129;12
470,通用区间,0,121,140,181,200,3,126;46|127;26|128;15|129;13
471,通用区间,0,141,160,1,20,3,125;20|126;30|127;29|128;22
472,通用区间,0,141,160,21,40,3,125;8|126;30|127;40|128;24
473,通用区间,0,141,160,41,60,3,126;50|127;38|128;10|129;4
474,通用区间,0,141,160,61,80,3,126;55|127;30|128;11|129;6
475,通用区间,0,141,160,81,100,3,126;55|127;25|128;15|129;7
476,通用区间,0,141,160,101,120,3,126;54|127;24|128;13|129;9
477,通用区间,0,141,160,121,140,3,126;53|127;26|128;10|129;11
478,通用区间,0,141,160,141,160,3,126;50|127;25|128;13|129;12
479,通用区间,0,141,160,161,180,3,126;46|127;26|128;15|129;13
480,通用区间,0,141,160,181,200,3,126;42|127;38|128;10|129;9|130;1
481,通用区间,0,161,180,1,20,3,125;8|126;30|127;40|128;24
482,通用区间,0,161,180,21,40,3,126;50|127;38|128;10|129;4
483,通用区间,0,161,180,41,60,3,126;55|127;30|128;11|129;6
484,通用区间,0,161,180,61,80,3,126;55|127;25|128;15|129;7
485,通用区间,0,161,180,81,100,3,126;54|127;24|128;13|129;9
486,通用区间,0,161,180,101,120,3,126;53|127;26|128;10|129;11
487,通用区间,0,161,180,121,140,3,126;50|127;25|128;13|129;12
488,通用区间,0,161,180,141,160,3,126;46|127;26|128;15|129;13
489,通用区间,0,161,180,161,180,3,126;42|127;38|128;10|129;9|130;1
490,通用区间,0,161,180,181,200,3,126;32|127;42|128;16|129;9|130;1
491,通用区间,0,181,200,1,20,3,126;50|127;38|128;10|129;4
492,通用区间,0,181,200,21,40,3,126;55|127;30|128;11|129;6
493,通用区间,0,181,200,41,60,3,126;55|127;25|128;15|129;7
494,通用区间,0,181,200,61,80,3,126;54|127;24|128;13|129;9
495,通用区间,0,181,200,81,100,3,126;53|127;26|128;10|129;11
496,通用区间,0,181,200,101,120,3,126;50|127;25|128;13|129;12
497,通用区间,0,181,200,121,140,3,126;46|127;26|128;15|129;13
498,通用区间,0,181,200,141,160,3,126;42|127;38|128;10|129;9|130;1
499,通用区间,0,181,200,161,180,3,126;32|127;42|128;16|129;9|130;1
500,通用区间,0,181,200,181,200,3,127;76|128;14|129;9|130;1
