id,pos_x,pos_y,type,width,height,dispersed_points
81,4,80,1,0,0,4;80|5;81|3;81|4;82|2;82
82,40,52,1,0,0,42;54|41;57|37;55|38;56|39;57|40;58
83,36,56,1,4,4,
84,32,60,1,0,0,32;60|33;61|34;62|35;63|34;64
85,24,68,1,0,0,24;72|25;73|23;73|24;74
86,20,72,1,0,0,22;74|23;75|19;73|20;74|21;75|22;76|18;74|19;75|20;76|21;77|17;75|18;76|19;77|20;78
87,16,76,1,4,4,
88,12,80,1,4,4,
89,8,84,1,0,0,8;84|9;85|10;86|11;87|7;85|8;86|9;87|10;88|7;87|8;88|9;89|7;89
90,4,88,1,0,0,4;90|3;91|4;92|2;92
91,44,56,1,0,0,44;60|45;61|41;59|42;60|43;61|44;62
92,40,60,1,4,4,
93,36,64,1,4,4,
94,32,68,1,0,0,34;70|35;71|33;71|34;72|32;72|33;73|30;72|31;73|32;74
95,28,72,1,4,4,
96,24,76,1,4,4,
97,20,80,1,4,4,
98,16,84,1,0,0,16;84|17;85|15;85|16;86|14;86|15;87|16;88|13;87|14;88|15;89
99,12,88,1,0,0,12;88|13;89|14;90|15;91|11;89|12;90|13;91|14;92|10;90|11;91|12;92|13;93|10;92|11;93
100,48,60,1,0,0,45;63
101,44,64,1,0,0,44;64|45;65|46;66|43;65|44;66|45;67|46;68|42;66|43;67|44;68|45;69|41;67|42;68|43;69|44;70
102,40,68,1,0,0,40;68|41;69|42;70|43;71|39;69|40;70|41;71|38;70|39;71|40;72|37;71|38;72
103,36,72,1,0,0,36;72|37;73|35;73|36;74|34;74|35;75|36;76|33;75|34;76|35;77|36;78
104,32,76,1,4,4,
105,28,80,1,4,4,
106,24,84,1,0,0,24;84|25;85|26;86|27;87|23;85|24;86|25;87|26;88|22;86|23;87|24;88|25;89|21;87
107,48,68,1,0,0,47;69|46;70|45;71|46;72
108,44,72,1,0,0,44;72
109,40,76,1,0,0,37;79
110,36,80,1,0,0,36;80|37;81|35;81|36;82|34;82|33;83
111,32,84,1,0,0,32;84|33;85|31;85|32;86|33;87|30;86|31;87|32;88|29;87|30;88
112,28,88,1,0,0,28;88|29;89|27;89|28;90
113,0,0,1,0,0,55;29|54;30|53;31|0;52|1;53|0;54|2;54|1;55|3;55|0;56|2;56|1;57|0;58|0;60|1;61|0;62|2;62|1;63|3;63|0;64|2;64|1;65|0;68|1;69|2;70|3;71|2;72|3;79
