id,heroId,star,skill_show,choose_type,target_side,target_count,trigger_type,att_times,cap_buff_type,buff_id,buff_sub,buff_continue,buff_priority,buff_overlying_same_source,playback,player_opportunity,spell_effect,reset_sustained_buff,replace_effect,add_effect,skill_show_id,attack_effect,hit_effect,effect_new,para_equip_skill_new,para_new,skill_replace,fight_type,active_skill_frequency,newactive_skill_time,active_skill_status,heroskill_tips,effect_new_level,effect_new_exhibition,delay,is_show_hero_bust
13003500,303,5,3,1,1,1,11,1,2,3000027,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13003502,303,5,3,1,1,1,11,1,2,3000029,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13004100,304,1,3,4,1,2,11,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13004200,304,2,3,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13004300,304,3,3,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13004400,304,4,3,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13004500,304,5,3,4,1,3,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13006100,306,1,3,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13006200,306,2,3,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13006300,306,3,3,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13006400,306,4,3,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13006500,306,5,3,4,1,3,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13007100,307,1,3,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13007200,307,2,3,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13007300,307,3,3,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13007400,307,4,3,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13007500,307,5,3,4,1,3,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11010100,110,1,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11010200,110,2,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11010300,110,3,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11010400,110,4,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11010500,110,5,1,4,1,3,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11017100,117,1,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11017200,117,2,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11017300,117,3,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11017400,117,4,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11017500,117,5,1,4,1,3,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11030100,117,1,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11030200,117,2,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11030300,117,3,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11030400,117,4,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11030500,117,5,1,4,1,3,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11011100,117,1,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11011200,117,2,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11011300,117,3,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11011400,117,4,1,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
11011500,117,5,1,4,1,3,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
19000001,117,1,1,1,1,1,11,1,2,3900000,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
19000002,117,2,1,1,1,1,11,1,2,3900000,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
19000003,202,3,1,1,1,1,11,1,2,3900000,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
19000004,202,4,1,1,1,1,11,1,2,3900000,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
19000005,202,5,1,1,1,1,11,1,2,3900000,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
19000006,202,1,1,1,1,1,11,1,2,3900001,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
19000007,202,2,1,1,1,1,11,1,2,3900001,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
19000008,202,3,1,1,1,1,11,1,2,3900001,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
19000009,202,4,1,1,1,1,11,1,2,3900001,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
19000010,202,5,1,1,1,1,11,1,2,3900001,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
