id,local_key,local_key_to,text_raw,text_to,para1,para2
104,The hero will get a chest every time she defeats the Dark Legion; Warhammer; and Throb. The number of chests dropped each time is the Hero Star*1 and the daily limit is the Hero Star*4. The chest contains various items and Paint. (Paint can temporarily gain you buffs; which work like the base skin buffs. The effect is not stackable but effective time is stackable)\nFanatic Paint - increases the ATK of all units by 20%; lasts 30 minutes\nNatural Paint - increases the HP of Army by 20%; lasts 30 minutes\nTough Paint - Decrease DMG Taken for army +10% for 30 minutes.    \n   \nHero at 1-3 star drops Ancient Silver Chest.\nOrange Universal Shard 2% \nPurple Universal Shard 9% \nFanatic Paint 10% \nNatural Paint 10%  \nSmall VIT Capsule 14%  \nTraining Speed-up (8 hr)*1 35%  \nRepair Speed-Up (8 hr)*1 15%    \nShining Gold Chest*5 5%  \n   \nHero at 4-5 star drops Ancient Gold Chest\nOrange Universal Shard 4% \nPurple Universal Shard 11% \nTough Paint 10% \nFanatic Paint 10% \nNatural Paint 10%  \nLarge VIT Capsule 5%  \nTraining Speed-up (8 hr)*1 25%  \nRepair Speed-Up (8 hr)*1 15%    \nShining Gold Chest*5 10%,g123_Newyear_replace_104,,,2020-12-31-23-0-0,2021-1-7-23-59-59
105,ATK of all forces increases by {0}%. Every time Amalia defeats the Dark Force; Warhammer or Throb; she will get {1} Ancient Silver Chest(s); with a maximum of {2} chest(s) per day. When she is 4 stars or above; she will find Ancient Gold Chest. The chest contains rare items and Buff Paint (1 star gets 1/day; and the daily limit is 4. Number of chests and limit increases with Amalia's star level. Tap the "!" for more details),g123_Newyear_replace_105,,,2020-12-31-23-0-0,2021-1-7-23-59-59
106,Every 100 {0} increases ATK towards Dark Legion; Warhammer and Heartthrob by {1}%,g123_Newyear_replace_106,,,2020-12-31-23-0-0,2021-1-7-23-59-59
107,The Dark Legion; Warhammer and Throb drops {0} more chests for every 1 star increased,g123_Newyear_replace_107,,,2020-12-31-23-0-0,2021-1-7-23-59-59
108,Dropped by Dark Forces or Warhammer-4K during the time-limited event. Can be redeemed for decorations and other rewards in the redemption event.,g123_Newyear_replace_108,,,2020-12-31-23-0-0,2021-1-7-23-59-59
109,Defeat the World Boss,Defeat the World Boss_g123,,,2021-3-11-0-0-0,2021-3-16-23-59-59
110,105723,105723_g123,,,2021-4-8-0-0-0,2021-4-21-23-59-59
111,107261,107261_g123,,,2021-4-8-0-0-0,2021-4-21-23-59-59
112,107262,107262_g123,,,2021-4-8-0-0-0,2021-4-21-23-59-59
113,Huh! That's all that you've got? Try my invincible bomb!,Huh! That's all that you've got? Try my invincible bomb!_g123,,,2021-4-8-0-0-0,2021-4-21-23-59-59
114,Then die with them!,Then die with them!_g123,,,2021-4-8-0-0-0,2021-4-21-23-59-59
115,You earned {0} event points!,You earned {0} event points!_g123,,,2021-3-11-0-0-0,2021-3-16-23-59-59
116,g123_tutorial_001,,,あ、司令官さーん！よく来たんね！マクロスΔコラボ期間中は私が案内するんよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
117,g123_tutorial_002,,,まずは強化方法の説明をするんよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
118,g123_tutorial_003,,,ユニットをくっつけて合体させると、レベルがアップするんよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
119,g123_tutorial_007,,,レベルアップできたね！じゃあ次は今強化したユニットで戦いに行こう！,2021-5-6-0-0-0,2021-5-19-23-59-59
120,g123_newguild_7,,,あっ！人が倒れとる！助けんと！,2021-5-6-0-0-0,2021-5-19-23-59-59
121,g123_tutorial_011,,,よかったー！無事だったみたい。それじゃあ次は金鉱を建ててみよう！,2021-5-6-0-0-0,2021-5-19-23-59-59
122,g123_tutorial_012,,,金鉱では金貨を集めることができるんよ,2021-5-6-0-0-0,2021-5-19-23-59-59
123,g123_tutorial_013,,,金貨は色んな所で、たーくさん必要になるからぶっちゃ集めてね！,2021-5-6-0-0-0,2021-5-19-23-59-59
124,g123_tutorial_014,,,それじゃあさらに金鉱を建ててみよう！あと、もし進め方がわからなくなったら、下のビックリマークを押して今後の任務を確かめてみるんよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
125,Agent "Black Widow" reporting for duty. We've found some Tech Blueprints in the War Room.,,,このエリアをクリアすると作戦司令部が解禁されるんよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
126,Remnants morale seems to slip lower; let's take over the War Room!,,,作戦司令部ではユニットとかの研究ができるから、早速クリアして作戦司令部を解禁しよう！,2021-5-6-0-0-0,2021-5-19-23-59-59
127,g123_newguild_11,,,クリアおめでとう！エリアのクリア報酬で新しいユニットがもらえたよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
128,g123_newguild_12,,,奥のエリアほどレベルの高いユニットがもらえるからゴリゴリ先に進むんよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
129,You'll be dealing with strong opponents in the Expedition. Defeat them to get your reward; or if you can't; well at least it will expose your weaknesses,,,遠征基地ができたんよ！遠征では沢山の報酬がゲットできるからぶっちゃ頑張ってね！,2021-5-6-0-0-0,2021-5-19-23-59-59
130,This is the area we are challenging; let's go!,,,ここが始まりの地です。指揮、作戦を開始しましょう！,2021-5-6-0-0-0,2021-5-19-23-59-59
131,Commander! Now that you've understood the importance of this Expedition... We should move on to the next mission. Good luck there!,,,遠征作戦の流れはこんなところやね！先は長いけど頑張ってね！,2021-5-6-0-0-0,2021-5-19-23-59-59
132,Click here to see the current lineup of enemy troops!,,,ここをタップすると、敵軍の詳細が確認できます！,2021-5-6-0-0-0,2021-5-19-23-59-59
133,Commander; the new area is under our control now; but we've found something new. Come and I'll show you.,,,新しいエリアが見つかったみたいやね！早速見に行ってみようかね！,2021-5-6-0-0-0,2021-5-19-23-59-59
134,This is it. This rustic place looks ... different. Please note that Buildings and Units cannot be placed in this area.,,,未開拓のエリアみたいやね…このエリアにはユニットや金鉱、基地は設置できないらしいんよ…,2021-5-6-0-0-0,2021-5-19-23-59-59
135,Commander; we have rebuilt the Arsenal! Wow; we could definitely make use of it!,,,兵器庫が解禁されたんよ！戦力をぶっちゃ強化できるからゴリゴリ強くしてね,2021-5-6-0-0-0,2021-5-19-23-59-59
136,These are the Components. The right Components can eliminate enemies in a flash; and win more with less.,,,これは強化部品っていうんよ。セットすることでいろんなステータスを強化できるんよ。,2021-5-6-0-0-0,2021-5-19-23-59-59
137,Insert it in the Army slot; increase Army's HP!,,,まずは陸軍に強化部品をセットしてみるんよ。,2021-5-6-0-0-0,2021-5-19-23-59-59
138,I can't explain but; there is something about this mine... We got company! Defend our mine; we gotta fight for this!,,,異次元鉱山では防衛している敵を倒して資源を採集できるらしいんよ,2021-5-6-0-0-0,2021-5-19-23-59-59
139,Every hero gets lonely. OK; no more drama. In short; the relationship between these elites is sophisticated; you have to be careful.,,,英雄同士の絆を深めることで、戦力があげられるんよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
140,If you can choose the right hero and activate the bond; you can gain a significant bonus; which is very helpful.,,,レベルを上げたり星の数を増やして、ゴリゴリ絆を深めるんよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
141,Commander; the Hero Shards are used for upgrading hero stars. Heroes will be stronger with more stars!,,,破片を使うと英雄の星を上げられて、さらに強くできるんよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
142,Commander; the EXP Book are used for leveling your heroes. Let's have a try!,,,経験書を使うと英雄のレベルを上げられるんやて！早速やってみてほしいんよ！,2021-5-6-0-0-0,2021-5-19-23-59-59
143,<color=#000000>Allies are companions that could support you when you need a helping hand. Join an </c><color=#f77a0b>Alliance</c><color=#000000>; support each other </c><color=#f77a0b>and make a difference</c><color=#000000>!</c>,,,<color=#000000>ここでは連盟に加入することができるんよ！加入して仲間と一緒に楽しもう！</c>,2021-5-6-0-0-0,2021-5-19-23-59-59
144,Well done; commander! You have joined an Alliance. Next; allow me to introduce you to the features of an Alliance.,,,連盟に加入できたね！連盟の機能について簡単に紹介するよ,2021-5-6-0-0-0,2021-5-19-23-59-59
145,All for one; one for all. We are only as strong as we are united. Let's make this Alliance a better place!,,,連盟や他の連盟員に貢献すると強くなれるから、どんどん貢献していこう,2021-5-6-0-0-0,2021-5-19-23-59-59
146,The surrounding area is safe now; commander. Finally!! We can research new technologies and develop strategies now.,,,作戦司令部を取り戻したんよ！ここでは施設やユニットの研究が行えるんやて！,2021-5-6-0-0-0,2021-5-19-23-59-59
147,Raise the level of the War Room and unlock new units and techs. Please level up to Lv.6,,,作戦司令部をレベルアップさせると、新しいユニットや施設が解禁されるんよ。まずは作戦司令部をLv6にしてみようかね！,2021-5-6-0-0-0,2021-5-19-23-59-59
148,What??? We can collect gold directly from this facility! Commander. Such a convenient tech; get rich and count the coins!,,,この施設は金鉱から金貨を自動で回収してくれるんよ,2021-5-6-0-0-0,2021-5-19-23-59-59
149,<color=#000000>Oww. We can only collect from</c><color=#f77a0b> 10 Gold Mines</c><color=#000000>. This Tech is not perfect; but the higher the level of the Gold Mines; the more Gold we could collect.</c>,,,<color=#000000>金鉱10個分の金貨を一瞬で集められて、金鉱のレベルが高いほどより多く回収できるんよ</c>,2021-5-6-0-0-0,2021-5-19-23-59-59
150,Oh; see the gold mine has produced some gold. Tap to collect them!,,,回収できる金貨があるみたいやね、早速受け取ってみよう！,2021-5-6-0-0-0,2021-5-19-23-59-59
