id,anim,pic,army_skin,march_skin_id,sale_btn,get_pram,fragments_number,name,desc,equip_buff,own_buff,ui_cell_offset,ui_main_offset,userui_cell_offset,userui_main_offset,world_offset,is_show,is_temporarily,plat,exclude,plat_show,time,endtime,timeType,large,reward,icon_pos,only_limited,only_time,only_endtime,ui_model_offset,order,change_group,change_id,change_effect,interactive_effect,interactive_effect_id1,interactive_effect_id2,interactive_cd,city_skill_id,offsetY,special_effect_id,effect_offset,city_relation,link_city_show,city_effect_show,skin_group,skin_level,skin_up_banner,skin_up_convert_id,skin_up_level_icon,level_prefab,level_preview,skin_type,skin_level1_item,display_text,pic_new
1711000,effect/castle/castle_face_1711000_anim,image/world_unit2/castle_face_1711000,,,1,40003,10,Supreme Dragon City,Supreme Dragon City makes you stronger,930100;1500|930000;1500,930100;1000|930000;1000,12;0;0.5,0;73;0.6,4;24;0.5,45;8;1.1,0;0;1,1,0,,,,,,2,2,,,,,,,90,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1711000
1712000,effect/castle/castle_face_1712000_anim,image/world_unit2/castle_face_1712000,,,2,38,10,Leader's Demeanor,Everything under the heavens belongs to the kingdom.,960002;2000,920900;2000,8;-8;0.5,-8;67;0.6,12;24;0.6,54;-3;1.2,33;46;1,1,1,,,,,,2,2,,,,,,10;35;1,84,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1712000
1713000,,image/world_unit2/castle_face_1713000,,,2,49,10,Theme Park,skin_desc_022,930100;300,,8;-8;0.5,-8;67;0.6,13;22;0.8,47;6;1.6,5;15;1,1,0,,,,,,2,2,,,,,,,13,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1713000
1714000,effect/castle/castle_face_1714000_anim,image/world_unit2/castle_face_1714000,,,1,40004,10,Golden Dragon Boat,Golden Dragon Boat. Makes your Navy more dominant!,920802;1000|930002;1500|930102;1500,930002;1000|930102;1000,12;0;0.5,0;73;0.6,14;24;0.55,70;12;1.1,40;40;1,1,0,,,,,,2,2,,,,,,10;40;1,79,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1714000
1715000,,image/world_unit2/castle_face_1715000,,,1,40005,10,Ice Cream,Let's make it a cool summer!,930200;500,980301;500|930000;500,12;0;0.5,0;73;0.6,16;22;0.75,70;5;1.5,30;20;1.3,1,0,,,,,,2,2,,,,,,,15,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1715000
1716000,effect/castle/castle_face_1716000_anim,image/world_unit2/castle_face_1716000,,,1,40006,10,Frost Kirin,skin_desc_1716000,1001001;500|1001002;500,930100;1000|930000;1000,12;0;0.5,0;73;0.6,0;27.2;0.45,35;27;1,0;0;1,1,0,,,,,,2,2,,,,,,,83,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1716000
1717000,effect/castle/castle_face_1717000_anim,image/world_unit2/castle_face_1717000,,,2,74001,10,Airship,Airship description,960012;5,930100;1000|930000;1000,12;0;0.5,0;73;0.6,0;27.2;0.45,35;27;1,0;0;1,1,0,g123,1718000,1718000,2019-8-2-0-0-0,2019-8-21-23-59-59,1,2,,,,,,,17,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1717000
1718000,effect/castle/castle_face_1718000_anim,image/world_unit2/castle_face_1718000,,,1,40008,10,Romantic Skin,skin_desc_1718000,960012;5,930100;1000|930000;1000,12;0;0.5,0;73;0.6,0;24;0.55,23;0;1,1;-25;1,1,0,,1717000,,,,2,2,,,,,,0;-77;1,83,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1718000
1719000,effect/castle/castle_face_1719000_anim,image/world_unit2/castle_face_1719000,,,1,40009,10,Poetic Skin,skin_desc_1719000,960012;5,930100;1000|930000;1000,12;0;0.5,0;73;0.6,0;24;0.55,39;0;1,-1;-25;1,1,0,,1723000,,,,2,2,,,,,,0;-77;1,83,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1719000
1720000,effect/castle/castle_face_1720000_anim,image/world_unit2/castle_face_1720000,,,1,40010,10,Moonrabbit,Greatly increase your troops' ability to survive,930000;1000|980204;1000,930100;1000|930000;1000,12;0;0.5,0;73;0.6,0;24;0.55,39;0;1,-1;-25;1,1,0,,,,,,2,2,,,,,,0;10;1,91,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1720000
1721000,effect/castle/castle_face_1721000_anim,image/world_unit2/castle_face_1721000,,,1,40011,10,Battleship Fortress,Highly increase attributes during Defense battles,980104;1000|980205;1000|930000;1000,930100;1000|930000;1000,12;0;0.5,0;73;0.6,13;23;0.37,48;-29;0.6,28;22;0.9,1,0,,,,,,2,2,,,,,,35;0;1,94,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1721000
1722000,effect/castle/castle_face_1722000_anim,image/world_unit2/castle_face_1722000,,,2,2009209,10,skin_name_1722000,skin_desc_1722000,960012;5,930100;1000|930000;1000,12;0;0.5,0;73;0.6,0;24;0.55,39;0;1,-1;-25;1,1,0,g123,1719000,1719000,2021-1-21-0-0-0,2021-1-27-23-59-59,1,2,,,,,,,22,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1722000
1723000,effect/castle/castle_face_1723000_anim,image/world_unit2/castle_face_1723000,,,2,2009210,10,skin_name_1723000,skin_desc_1723000,960012;5,930100;1000|930000;1000,12;0;0.5,0;73;0.6,0;24;0.55,39;0;1,-1;-25;1,1,0,g123,1722000,1719000,2021-1-21-0-0-0,2021-1-27-23-59-59,1,2,,,,,,0;-20;1,23,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1723000
1725000,effect/castle/castle_face_1725000_anim,image/world_unit2/castle_face_1725000,,,1,40012,10,Holy Dragon Fortress,Holy Dragon Fortress makes your Air Force inconvincible,930100;1000|930000;1000|930103;1000|930003;1000,930100;1000|980204;300,12;0;0.5,0;73;0.6,0;24;0.4,39;0;1,3;-107;0.9,1,0,,,,,,2,2,,,,,,0;-117;1,96,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1725000
1724000,effect/castle/castle_face_1724000_anim,image/world_unit2/castle_face_1724000,,,2,156,10,skin_name_1724000,skin_desc_1724000,980104;1000|980205;1000|930000;1000,930100;1000|930000;1000,0;24;0.55,-10;110;0.6,0;24;0.55,39;65;1,-1;-25;1,1,0,g123,,1721000,2019-11-18-0-0-0,2019-12-01-23-59-59,1,2,,,,,,,24,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1724000
1727000,effect/castle/castle_face_1727000_anim,image/world_unit2/castle_face_171727000,,,1,40017,10,Merry Christmas,City Stats,930100;1000|930000;1000|930101;1000|930001;1000,930100;1000|960012;1,12;0;0.5,0;73;0.6,20;18;0.5,67;11;0.9,14;43;1,1,0,,,,,,2,2,,,,,,0;5;1,79,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_171727000
1728000,effect/castle/castle_face_1728000_anim,image/world_unit2/castle_face_1728000,,,2,194,10,Recruit Trial,Awarding skin after completing Recruit Trial quest,,,12;0;0.5,0;73;0.6,20;24;0.5,39;0;1,5;0;1,1,0,,,,,,2,2,,,,,,,6,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1728000
1726000,effect/castle/castle_face_1726000_anim,image/world_unit2/castle_face_1726000,,,2,2009188,10,skin_name_1726000,skin_desc_1726000,920801;1000|980101;1000,930100;1000|930000;1000,12;0;0.5,0;73;0.6,0;24;0.55,39;0;1,29;25;1,1,0,g123,,1727000,2020-10-29-0-0-0,2020-11-04-23-59-59,1,2,,,,,,,100,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1726000
1729000,effect/castle/castle_face_1729000_anim,image/world_unit2/castle_face_1729000,,,1,40019,10,Frost City,Highly increase attributes during Defense battles,980205;1500|920800;1000,930100;1000|930000;1000,12;0;0.5,0;73;0.6,4;20;0.5,39;0;1,5;0;1,1,0,,,,,,2,2,,,,,,,82,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1729000
1730000,effect/castle/castle_face_1730000_anim,image/world_unit2/castle_face_1730000,,,1,40024,10,Lucky Dragon Castle,Happy Spring Festival; Good luck in the coming year.,930100;1000|930000;1000,930100;1000|930000;1000|960012;2,12;0;0.5,0;73;0.6,4;20;0.4,39;0;1,5;0;1,1,0,,,,,,2,2,,,,,,0;-17;1,86,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1730000
1731000,effect/castle/castle_face_1731000_anim,image/world_unit2/castle_face_1731000,,,2,247,10,Super Garage,Boosts your training speed.,930001;500,920800;300,12;0;0.5,0;73;0.6,4;20;0.5,39;0;1,5;0;1,1,0,,,,,,2,2,,,,,,,32,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1731000
1732000,effect/castle/castle_face_1732000_anim,image/world_unit2/castle_face_1732000,,,1,40021,10,SweeTest Words,Greatly increase your battle stats,930100;1000|930000;1000|930102;1000|930002;1000,930100;1000|980204;300,12;0;0.5,0;73;0.6,4;20;0.4,39;0;1,5;0;1,1,0,,,,,,2,2,,,1,2020-2-13-0-0-0,2020-2-26-23-59-59,0;9;1,89,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1732000
1733000,effect/castle/castle_face_1733000_anim,image/world_unit2/castle_face_1733000,,,1,40022,10,Eternal Love,Greatly increase your battle stats,930100;1000|930000;1000|930102;1000|930002;1000,930100;1000|980204;300,12;0;0.5,0;73;0.6,4;20;0.4,39;0;1,5;0;1,1,0,,,,,,2,2,,,1,2020-2-13-0-0-0,2020-2-26-23-59-59,0;11;1,88,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1733000
1736000,effect/castle/castle_face_1736000_anim,image/world_unit2/castle_face_1736000,,,2,2002013,10,skin_name_1736000,skin_desc_1736000,,,12;0;0.5,0;73;0.6,0;24;0.55,39;0;1,0;-20;1,1,0,g123,,1739000,,,2,2,,,,,,,37,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1736000
1739000,effect/castle/castle_face_1739000_anim,image/world_unit2/castle_face_1739000,,,1,400027,10,Gus Cannon,skin_desc_1739000,980101;500|930101;1000|930001;1000,930100;1000|930000;1000,12;0;0.5,0;73;0.6,0;24;0.4,39;0;1,0;-20;0.9,1,0,,,,,,2,2,,,1,2020-3-12-0-0-0,2020-3-25-23-59-59,,98,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1739000
1740000,effect/castle/castle_face_1740000_anim,image/world_unit2/castle_face_1740000,,,1,400028,10,CVN-68,skin_desc_1740000,930000;2000|920803;1000|930103;1500|930102;1500,930100;1000|930000;1000,12;0;0.5,0;73;0.6,0;20;0.4,39;0;1,0;-20;1.2,1,0,,,,,,2,2,,,1,2020-4-9-0-0-0,2020-4-22-23-59-59,,99,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1740000
1743000,effect/castle/castle_face_1743000_anim,image/world_unit2/castle_face_1743000,,,2,2004007,10,skin_name_1743000,skin_desc_1743000,,,12;0;0.5,0;73;0.6,0;24;0.55,39;0;1,0;-20;1,1,0,g123,,1741000,2020-04-16-0-0-0,2020-04-23-0-0-0,1,2,0,,,2020-5-7-0-0-0,2020-5-14-23-59-59,,44,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1743000
1741000,effect/castle/castle_face_1741000_anim,image/world_unit2/castle_face_1741000,,,1,400030,10,Hercules,skin_desc_1741000,930100;1000|920801;1000|930003;1500|930103;1500,930100;1000|980204;500,12;0;0.7,0;73;0.6,0;0;0.4,0;-80;0.8,0;-100;1.2,1,0,,,,,,2,2,,,1,2020-5-7-0-0-0,2020-5-14-23-59-59,15;-57;1.2,97,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1741000
1744000,effect/castle/castle_face_1744000_anim,image/world_unit2/castle_face_1744000,,,1,400029,10,Metropolis,skin_desc_1744000,920800;300|930100;500|970003;2000,930100;1000|930000;1000,12;0;0.5,0;73;0.6,0;27.2;0.45,35;27;1,0;0;1,1,0,,,,,,2,2,0,,,,,,92,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1744000
1747000,effect/castle/castle_face_1747000_anim,image/world_unit2/castle_face_1747000,,,1,400031,10,The Predator,skin_desc_1747000,930101;1000|930001;1000|981046;3000;10001,930100;1000|930000;1000,12;0;0.7,0;73;0.6,0;20;0.35,0;0;0.8,0;0;0.96,1,0,,,,2020-06-11-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2020-6-11-0-0-0,2020-6-24-23-59-59,15;-10;0.85,100,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1747000
1749000,effect/castle/castle_face_1749000_anim,image/world_unit2/castle_face_1749000,,,2,370,10,Hyperion,skin_desc_1749000,960012;6|910300;2500|930100;1000|930000;1000,930100;1500|930000;1500,12;0;0.7,0;73;0.6,0;20;0.35,0;0;0.8,0;0;0.96,1,0,,,,2020-07-13-0-0-0,2029-10-30-23-59-59,3,2,0,,,,,15;-10;0.85,101,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1749000
1750000,effect/castle/castle_face_1750000_anim,image/world_unit2/castle_face_1750000,,,1,400032,10,Cetus,skin_desc_1750000,930100;1000|930000;1000|930102;1000|930002;1000,930000;1000|981060;20,12;0;0.5,0;73;0.6,0;20;0.4,39;0;1,0;0;0.96,1,0,,,,2020-07-09-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2020-7-9-0-0-0,2020-7-22-23-59-59,15;-10;0.85,102,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1750000
1752000,effect/castle/castle_face_1752000_anim,image/world_unit2/castle_face_1752000,,,2,500016,10,Amazing Holiday,Use it to get the Desert Boat marching queue,930100;1000|960002;1000,930000;500,12;0;0.5,0;73;0.6,0;24;0.55,39;0;1,10;0;0.95,1,0,,,,2020-7-31-0-0-0,2029-10-30-23-59-59,1,2,0,,,,,0;-15;0.8,103,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1752000
1753000,effect/castle/castle_face_1753000_anim,image/world_unit2/castle_face_1753000,,,1,400033,10,Neotopia,skin_desc_1753000,930003;1000|930103;1000|990100;3000,930100;1000|930000;1000|990101;2000;10002,12;0;0.5,0;73;0.6,0;24;0.42,39;0;1,10;-100;1,1,0,,,,2020-8-6-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2020-8-6-0-0-0,2020-8-19-23-59-59,0;-60;0.85,104,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1753000
1756000,effect/castle/castle_face_1756000_anim,image/world_unit2/castle_face_1756000,,,1,400034,10,VN-1 Forerunner,skin_desc_1756000,930100;2000|930101;2000|910300;2000,930100;1000|930000;1000|981063;10,12;0;0.5,0;73;0.6,10;20;0.5,39;0;1,0;10;1,1,0,,,,2020-9-10-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2020-9-17-0-0-0,2020-9-23-23-59-59,0;0;1,105,1756000,1757000,effect/prefab/Effect_2020_9yue_pifu02,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1756000
1757000,effect/castle/castle_face_1757000_anim,image/world_unit2/castle_face_1757000,,,1,400034,10,VN-1 Guardian,skin_desc_1757000,980205;3000|930001;2000|981064;3000,,12;0;0.5,0;73;0.6,5;20;0.5,39;0;1,0;10;1,0,0,,,,2020-9-10-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2020-9-17-0-0-0,2020-9-23-23-59-59,0;0;1,106,1756000,1756000,effect/prefab/Effect_2020_9yue_pifu04,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1757000
1760000,effect/castle/castle_face_1760000_anim,image/world_unit2/castle_face_1760000,,,1,400035,10,ZH-2 Wavebreaker,skin_desc_1760000,990116;4000|990115;2000|920802;2000,,12;0;0.5,0;73;0.6,0;20;0.5,39;0;1,-10;20;0.85,0,0,,,,2020-10-08-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2020-10-15-0-0-0,2020-10-28-23-59-59,0;0;1,109,1761000,1761000,effect/prefab/Effect_2020_10yue_03,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1760000
1761000,effect/castle/castle_face_1761000_anim,image/world_unit2/castle_face_1761000,,,1,400035,10,ZH-2 Conqueror,skin_desc_1761000,930100;1000|930000;1000|930102;2500,930100;1000|930000;1000|970005;20,12;0;0.5,0;73;0.6,5;20;0.4,39;0;1,-10;20;0.85,1,0,,,,2020-10-08-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2020-10-15-0-0-0,2020-10-28-23-59-59,0;0;1,110,1761000,1760000,effect/prefab/Effect_2020_10yue_04,1,Effect_2020_10yue_fashe,Effect_2020_10yue_mingzhong,300,2010201,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1761000
1762000,effect/castle/castle_face_1762000_anim,image/world_unit2/castle_face_1762000,,,2,500077,10,Shrieking Castle,Welcome to the Shrieking Castle; make sure to bring some treats; otherwise... Well; you'll see!,930100;1000|930000;1000,960002;500|930000;1000,12;0;0.5,0;73;0.6,17;24;0.285,59;10;0.5,25;0;1,1,0,,,,2020-10-31-0-0-0,2029-10-30-23-59-59,3,2,0,,,,,59;30;0.9,103,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1762000
1763000,effect/castle/castle_face_1763000_anim,image/world_unit2/castle_face_1763000,,,1,400036,10,WB-3 Beta,skin_desc_1763000,990124;4000|990125;2000|920803;2000,,12;0;0.5,0;73;0.6,0;20;0.5,39;0;1,10;-100;0.85,0,0,,,,2020-11-11-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2020-11-12-0-0-0,2020-11-25-23-59-59,0;-100;1,111,1764000,1764000,effect/prefab/B_20201105_pifu_bianshen02,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1763000
1764000,effect/castle/castle_face_1764000_anim,image/world_unit2/castle_face_1764000,,,1,400036,10,WB-3 Alpha,skin_desc_1764000,930100;2500|930003;1000|930103;1000,930100;1000|930000;1000|981062;20,12;0;0.5,0;73;0.6,5;20;0.4,39;0;1,10;-100;0.85,1,0,,,,2020-11-11-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2020-11-12-0-0-0,2020-11-25-23-59-59,0;-100;1,112,1764000,1763000,effect/prefab/B_20201105_pifu_bianshen,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1764000
1765000,effect/castle/castle_face_1765000_anim,image/world_unit2/castle_face_1765000,,,2,548,10,Shadow Dragon,skin_desc_1765000,930100;3500|930001;1000,930100;1000|930000;1000|960012;1,12;0;0.5,0;73;0.6,0;24;0.3,39;0;0.8,0;-20;0.9,1,0,,,,2020-12-10-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2020-12-10-0-0-0,2020-12-23-23-59-59,16;-53;0.73,113,,,,,,,,2012401,310,-1,20;60;1,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1765000
1767000,effect/castle/castle_face_1767000_anim,image/world_unit2/castle_face_1767000,,,2,500201,10,Home; Sweet Home,Home is where you are,960012;1|930000;1000,990101;500|930000;1000,12;0;0.5,0;73;0.6,17;24;0.285,59;10;0.5,25;50;0.6,1,0,,,,2020-12-21-0-0-0,2029-10-30-23-59-59,3,2,0,,,,,59;30;0.5,114,,,,,,,,,160,25,20;0;1,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1767000
1768000,effect/castle/castle_face_1768000_anim,image/world_unit2/castle_face_1768000,,,2,580,10,Phantom Ship,skin_desc_1768000,930100;1000|930000;1000|990129;3000,930100;1000|930000;1000|981060;10,12;0;0.5,0;73;0.6,0;24;0.4,39;0;0.8,0;-20;0.9,1,0,,,,2021-1-7-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2021-1-7-0-0-0,2021-1-20-23-59-59,20;-40;0.9,116,,,,,,,,2101201,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1768000
1769000,effect/castle/castle_face_1770000_anim,image/world_unit2/castle_face_1770000,,,0,,10,The Labyrinth,skin_desc_1769000,930000;2000|990134;1000;10003|1130011;500,,12;0;0.5,0;73;0.6,0;30;0.4,39;0;1,-10;-20;0.85,1,0,,,,2021-1-29-0-0-0,2029-10-30-23-59-59,3,2,0,,,,,0;-70;1,115,1770000,1770000,effect/prefab/B_20201229_pifu_bianshen,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1770000
1770000,effect/castle/castle_face_1769000_anim,image/world_unit2/castle_face_1769000,,,0,,10,Temple of Glory,skin_desc_1770000,930100;1000|990100;3000|1130010;500,930100;1500|930000;1500|981063;10,12;0;0.5,0;73;0.6,20;40;0.4,39;0;1,-10;-20;0.85,0,0,,,,2021-1-29-0-0-0,2029-10-30-23-59-59,3,2,0,,,,,0;-70;1,115,1770000,1769000,effect/prefab/B_20201229_pifu_bianshen02,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1769000
1771000,effect/castle/castle_face_1771000_anim,image/world_unit2/castle_face_1771000,,,2,604,10,Out of Blue,skin_desc_1771000,930100;1500|930000;1500|930101;1000,930100;1000|930000;1000|1001001;100,12;0;0.5,0;73;0.6,0;24;0.45,39;0;0.8,0;-20;1,1,0,,,,2021-2-10-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2021-2-11-0-0-0,2021-2-24-23-59-59,20;-40;0.9,117,,,,,,,,2101281,160,,,1772000,,citySkinSkill/2021love,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1771000
1772000,effect/castle/castle_face_1772000_anim,image/world_unit2/castle_face_1772000,,,2,604,10,Pretty in Pink,skin_desc_1772000,930100;1500|930000;1500|930102;1000,930100;1000|930000;1000|980204;100,12;0;0.5,0;73;0.6,0;24;0.45,39;0;0.8,0;-20;1,1,0,,,,2021-2-10-0-0-0,2029-10-30-23-59-59,3,2,0,,,,,20;-40;0.9,117,,,,,,,,2101282,160,,,1771000,,citySkinSkill/2021love,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1772000
1773000,effect/castle/castle_face_1773000_anim,image/world_unit2/castle_face_1773000,,,2,631,10,Rise Above The Flames,skin_desc_1773000,930100;2000|930000;2000|930103;500,930100;1000|930000;1000|1001001;100,12;0;0.5,0;73;0.6,0;24;0.3,39;0;0.8,0;-20;0.9,1,0,,,,2021-3-11-0-0-0,2029-10-30-23-59-59,3,2,0,,1,2021-3-11-0-0-0,2021-3-24-23-59-59,20;-40;0.75,118,,,,,,,,2101284,160,-1,20;60;1,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1773000
