id,radar_group_type,quality,type,task_id,reward,reward_v2,min_level,max_level,name,icon,des,icon_world,jump_army,exp_multiple,enemy_icon,group_id,order_num,day_group_id,day_order_num,open_contion_type,open_contion_param,close_time,radar_icon,radar_show,user_switch
928,1,1,207,10207,258399,1258399,1,11,Defuse the bomb,radarevent_bomb,The Dark Legion is onto something... Enter the correct code to disarm the bomb.,radarevent_bomb_world,,2.5,,,,,,,,,,,
929,1,2,207,10207,258400,1258400,1,11,Defuse the bomb,radarevent_bomb,The Dark Legion is onto something... Enter the correct code to disarm the bomb.,radarevent_bomb_world,,2.5,,,,,,,,,,,
930,1,3,207,10207,258401,1258401,1,11,Defuse the bomb,radarevent_bomb,The Dark Legion is onto something... Enter the correct code to disarm the bomb.,radarevent_bomb_world,,2.5,,,,,,,,,,,
897,1,3,205,10021,258402,1258402,1,11,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
898,1,3,205,10022,258403,1258403,1,11,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
899,1,3,205,10023,258404,1258404,1,11,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
1201,1,1,201,10000,258431,1258431,1,11,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.0,,,,,,,,,,,science_new_item
1202,1,2,201,10000,258432,1258432,1,11,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.25,,,,,,,,,,,science_new_item
1203,1,3,201,10000,258433,1258433,1,11,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.5,,,,,,,,,,,science_new_item
900,1,1,201,10000,258405,1258405,12,16,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.0,,,,,,,,,,,
901,1,2,201,10000,258406,1258406,12,16,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.25,,,,,,,,,,,
902,1,3,201,10000,258407,1258407,12,16,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.5,,,,,,,,,,,
903,1,4,201,10000,258408,1258408,12,16,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.0,,,,,,,,,,,
904,1,1,205,10021,258409,1258409,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
905,1,2,205,10022,258410,1258410,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
906,1,3,205,10023,258411,1258411,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
907,1,4,205,10024,258412,1258412,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
908,1,1,205,10021,258413,1258413,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
909,1,2,205,10022,258414,1258414,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
910,1,3,205,10023,258415,1258415,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
911,1,4,205,10024,258416,1258416,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
912,1,1,205,10021,258417,1258417,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
913,1,2,205,10022,258418,1258418,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
914,1,3,205,10023,258419,1258419,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
915,1,4,205,10024,258420,1258420,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
916,1,3,205,10021,258421,1258421,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
917,1,3,205,10021,258422,1258422,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
918,1,3,205,10021,258423,1258423,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
919,1,3,205,10022,258424,1258424,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
920,1,3,205,10022,258425,1258425,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
921,1,3,205,10022,258426,1258426,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
922,1,3,205,10023,258427,1258427,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
923,1,3,205,10023,258428,1258428,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
924,1,3,205,10023,258429,1258429,12,16,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
1204,1,1,201,10000,258434,1258434,12,16,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.0,,,,,,,,,,,science_new_item
1205,1,2,201,10000,258435,1258435,12,16,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.25,,,,,,,,,,,science_new_item
1206,1,3,201,10000,258436,1258436,12,16,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.5,,,,,,,,,,,science_new_item
1207,1,4,201,10000,258437,1258437,12,16,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.0,,,,,,,,,,,science_new_item
501,1,1,201,10000,258006,1258006,17,20,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.0,,,,,,,,,,,
502,1,2,201,10000,258007,1258007,17,20,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.25,,,,,,,,,,,
503,1,3,201,10000,258008,1258008,17,20,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.5,,,,,,,,,,,
504,1,4,201,10000,258009,1258009,17,20,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.0,,,,,,,,,,,
505,1,5,201,10000,258010,1258010,17,20,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.5,,,,,,,,,,,
506,1,1,205,10021,258011,1258011,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
507,1,2,205,10022,258012,1258012,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
508,1,3,205,10023,258013,1258013,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
509,1,4,205,10023,258014,1258014,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
510,1,5,205,10025,258015,1258015,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
511,1,1,205,10021,258016,1258016,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
512,1,2,205,10022,258017,1258017,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
513,1,3,205,10023,258018,1258018,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
514,1,4,205,10023,258019,1258019,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
515,1,5,205,10025,258020,1258020,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
516,1,1,205,10021,258021,1258021,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
517,1,2,205,10022,258022,1258022,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
518,1,3,205,10023,258023,1258023,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
519,1,4,205,10023,258024,1258024,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
520,1,5,205,10025,258025,1258025,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
1001,1,1,208,10031,258026,1258026,17,20,Kill Dark Forces,radarevent_task,,radarevent_task_world,,1.0,,,,,,,,,,,
1002,1,2,208,10032,258027,1258027,17,20,Kill Dark Forces,radarevent_task,,radarevent_task_world,,1.25,,,,,,,,,,,
1003,1,3,208,10033,258028,1258028,17,20,Kill Dark Forces,radarevent_task,,radarevent_task_world,,1.5,,,,,,,,,,,
1004,1,4,208,10034,258029,1258029,17,20,Kill Dark Forces,radarevent_task,,radarevent_task_world,,2.0,,,,,,,,,,,
1005,1,5,208,10035,258030,1258030,17,20,Kill Dark Forces,radarevent_task,,radarevent_task_world,,2.5,,,,,,,,,,,
526,1,3,205,10021,258031,1258031,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
527,1,3,205,10021,258032,1258032,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
528,1,3,205,10021,258033,1258033,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
529,1,3,205,10022,258034,1258034,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
530,1,3,205,10022,258035,1258035,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
531,1,3,205,10022,258036,1258036,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
532,1,3,205,10023,258037,1258037,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
533,1,3,205,10023,258038,1258038,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
534,1,3,205,10023,258039,1258039,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
535,1,4,205,10024,258040,1258040,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
536,1,5,205,10025,258041,1258041,17,20,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
1208,1,1,201,10000,258438,1258438,17,20,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.0,,,,,,,,,,,science_new_item
1209,1,2,201,10000,258439,1258439,17,20,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.25,,,,,,,,,,,science_new_item
1210,1,3,201,10000,258440,1258440,17,20,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.5,,,,,,,,,,,science_new_item
1211,1,4,201,10000,258441,1258441,17,20,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.0,,,,,,,,,,,science_new_item
1212,1,5,201,10000,258442,1258442,17,20,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.5,,,,,,,,,,,science_new_item
537,1,1,201,10000,258042,1258042,21,30,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.0,,,,,,,,,,,
538,1,2,201,10000,258043,1258043,21,30,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.25,,,,,,,,,,,
539,1,3,201,10000,258044,1258044,21,30,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.5,,,,,,,,,,,
540,1,4,201,10000,258045,1258045,21,30,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.0,,,,,,,,,,,
541,1,5,201,10000,258046,1258046,21,30,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.5,,,,,,,,,,,
542,1,1,202,10001,258047,1258047,21,30,Destroy the Dark Legion Fort,radarevent_monster,,radarevent_monster_world,,1.0,,,,,,,,,,,
543,1,2,202,10001,258048,1258048,21,30,Destroy the Dark Legion Fort,radarevent_monster,,radarevent_monster_world,,1.25,,,,,,,,,,,
544,1,3,202,10001,258049,1258049,21,30,Destroy the Dark Legion Fort,radarevent_monster,,radarevent_monster_world,,1.5,,,,,,,,,,,
545,1,4,202,10001,258050,1258050,21,30,Destroy the Dark Legion Fort,radarevent_monster,,radarevent_monster_world,,2.0,,,,,,,,,,,
546,1,5,202,10001,258051,1258051,21,30,Destroy the Dark Legion Fort,radarevent_monster,,radarevent_monster_world,,2.5,,,,,,,,,,,
547,1,1,205,10021,258052,1258052,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
548,1,2,205,10022,258053,1258053,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
549,1,3,205,10023,258054,1258054,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
550,1,4,205,10024,258055,1258055,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
551,1,5,205,10025,258056,1258056,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
552,1,1,205,10021,258057,1258057,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
553,1,2,205,10022,258058,1258058,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
554,1,3,205,10023,258059,1258059,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
555,1,4,205,10024,258060,1258060,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
556,1,5,205,10025,258061,1258061,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
557,1,1,205,10021,258062,1258062,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
558,1,2,205,10022,258063,1258063,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
559,1,3,205,10023,258064,1258064,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
560,1,4,205,10024,258065,1258065,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
561,1,5,205,10025,258066,1258066,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
562,1,1,205,10021,258067,1258067,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
563,1,2,205,10022,258068,1258068,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
564,1,3,205,10023,258069,1258069,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
565,1,4,205,10024,258070,1258070,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
566,1,5,205,10025,258071,1258071,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
1006,1,1,208,10031,258072,1258072,21,30,Kill Dark Forces,radarevent_task,,radarevent_task_world,,1.0,,,,,,,,,,,
1007,1,2,208,10032,258073,1258073,21,30,Kill Dark Forces,radarevent_task,,radarevent_task_world,,1.25,,,,,,,,,,,
1008,1,3,208,10033,258074,1258074,21,30,Kill Dark Forces,radarevent_task,,radarevent_task_world,,1.5,,,,,,,,,,,
1009,1,4,208,10034,258075,1258075,21,30,Kill Dark Forces,radarevent_task,,radarevent_task_world,,2.0,,,,,,,,,,,
1010,1,5,208,10035,258076,1258076,21,30,Kill Dark Forces,radarevent_task,,radarevent_task_world,,2.5,,,,,,,,,,,
572,1,3,205,10021,258077,1258077,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
573,1,3,205,10021,258078,1258078,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
574,1,3,205,10021,258079,1258079,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
575,1,3,205,10022,258080,1258080,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
576,1,3,205,10022,258081,1258081,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
577,1,3,205,10022,258082,1258082,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
578,1,3,205,10023,258083,1258083,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
579,1,3,205,10023,258084,1258084,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
580,1,3,205,10023,258085,1258085,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
581,1,4,205,10024,258086,1258086,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
582,1,5,205,10025,258087,1258087,21,30,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
1213,1,1,201,10000,258443,1258443,21,30,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.0,,,,,,,,,,,science_new_item
1214,1,2,201,10000,258444,1258444,21,30,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.25,,,,,,,,,,,science_new_item
1215,1,3,201,10000,258445,1258445,21,30,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.5,,,,,,,,,,,science_new_item
1216,1,4,201,10000,258446,1258446,21,30,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.0,,,,,,,,,,,science_new_item
1217,1,5,201,10000,258447,1258447,21,30,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.5,,,,,,,,,,,science_new_item
583,1,1,201,10000,258088,1258088,31,40,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.0,,,,,,,,,,,
584,1,2,201,10000,258089,1258089,31,40,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.25,,,,,,,,,,,
585,1,3,201,10000,258090,1258090,31,40,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.5,,,,,,,,,,,
586,1,4,201,10000,258091,1258091,31,40,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.0,,,,,,,,,,,
587,1,5,201,10000,258092,1258092,31,40,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.5,,,,,,,,,,,
588,1,1,202,10001,258093,1258093,31,40,Destroy the Dark Legion Fort,radarevent_monster,,radarevent_monster_world,,1.0,,,,,,,,,,,
589,1,2,202,10001,258094,1258094,31,40,Destroy the Dark Legion Fort,radarevent_monster,,radarevent_monster_world,,1.25,,,,,,,,,,,
590,1,3,202,10001,258095,1258095,31,40,Destroy the Dark Legion Fort,radarevent_monster,,radarevent_monster_world,,1.5,,,,,,,,,,,
591,1,4,202,10001,258096,1258096,31,40,Destroy the Dark Legion Fort,radarevent_monster,,radarevent_monster_world,,2.0,,,,,,,,,,,
592,1,5,202,10001,258097,1258097,31,40,Destroy the Dark Legion Fort,radarevent_monster,,radarevent_monster_world,,2.5,,,,,,,,,,,
593,1,1,205,10021,258098,1258098,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
594,1,2,205,10022,258099,1258099,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
595,1,3,205,10023,258100,1258100,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
596,1,4,205,10024,258101,1258101,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
597,1,5,205,10025,258102,1258102,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
598,1,1,205,10021,258103,1258103,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
599,1,2,205,10022,258104,1258104,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
600,1,3,205,10023,258105,1258105,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
601,1,4,205,10024,258106,1258106,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
602,1,5,205,10025,258107,1258107,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
603,1,1,205,10021,258108,1258108,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
604,1,2,205,10022,258109,1258109,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
605,1,3,205,10023,258110,1258110,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
606,1,4,205,10024,258111,1258111,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.0,rescue_icon_wrold,,,,,,,,,,
607,1,5,205,10025,258112,1258112,31,40,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,,,,,,,,,,
